close,open,date,high,volume,low
266.75,265.35,2025-08-22,268.75,1650988.0,264.0
268.9,267.0,2025-08-25,274.6,3723686.0,266.25
266.9,268.85,2025-08-26,272.75,2735877.0,266.45
263.0,264.8,2025-08-28,270.75,2959131.0,262.05
261.45,263.45,2025-08-29,266.15,3541918.0,260.0
275.0,262.25,2025-09-01,275.85,5587800.0,262.25
281.0,276.0,2025-09-02,282.8,6743439.0,274.1
288.0,282.25,2025-09-03,292.7,7920982.0,282.0
284.1,289.5,2025-09-04,290.55,2774294.0,283.1
284.5,284.3,2025-09-05,288.8,3249849.0,281.8
292.1,287.6,2025-09-08,294.95,5034951.0,285.25
291.6,293.0,2025-09-09,295.55,3266871.0,290.1
288.0,293.0,2025-09-10,293.35,2385081.0,287.05
287.2,288.0,2025-09-11,290.9,2054735.0,283.65
291.2,287.2,2025-09-12,291.8,2362429.0,286.55
291.3,291.2,2025-09-15,293.15,1375445.0,289.6
296.1,292.7,2025-09-16,297.3,3500063.0,292.0
292.85,296.15,2025-09-17,298.0,3007330.0,291.1
292.25,293.0,2025-09-18,293.4,1918250.0,289.05
286.5,293.9,2025-09-19,294.05,3324038.0,285.55
293.9,286.5,2025-09-22,294.8,3620384.0,286.5
293.25,296.0,2025-09-23,297.0,3071893.0,288.55
286.95,291.8,2025-09-24,295.55,2400471.0,285.5
281.2,287.0,2025-09-25,287.35,4349078.0,277.4
276.9,281.15,2025-09-26,282.05,1706175.0,275.3
282.75,277.8,2025-09-29,283.3,5810565.0,274.7
280.8,284.2,2025-09-30,287.4,3436973.0,277.6
286.35,282.75,2025-10-01,287.5,3474218.0,279.3
286.2,287.6,2025-10-03,287.6,1835564.0,281.55
290.75,286.05,2025-10-06,293.5,3613570.0,283.9
290.95,293.0,2025-10-07,294.9,2769162.0,290.2
293.0,292.0,2025-10-08,295.55,1978228.0,289.0
294.25,292.95,2025-10-09,295.5,2163470.0,290.6
284.75,293.0,2025-10-10,295.0,5022003.0,282.8
286.35,285.2,2025-10-13,287.35,1573608.0,283.15
283.75,288.4,2025-10-14,292.0,3160597.0,282.9
