close,open,date,high,volume,low
2437.5,2460.0,2025-08-11,2478.0,357967.0,2424.6
2430.7,2435.6,2025-08-12,2464.9,708892.0,2410.0
2466.0,2442.7,2025-08-13,2483.8,376040.0,2436.9
2472.6,2468.1,2025-08-14,2561.0,1001061.0,2461.9
2472.4,2496.5,2025-08-18,2499.8,510883.0,2461.0
2492.2,2480.0,2025-08-19,2530.0,513562.0,2478.2
2506.6,2496.0,2025-08-20,2516.2,390827.0,2485.5
2600.1,2506.0,2025-08-21,2628.9,1200361.0,2492.1
2606.8,2588.0,2025-08-22,2651.5,731363.0,2587.9
2557.1,2614.6,2025-08-25,2626.4,403135.0,2550.0
2502.0,2535.1,2025-08-26,2564.3,533860.0,2488.0
2474.1,2504.5,2025-08-28,2523.1,233219.0,2470.0
2471.4,2488.0,2025-08-29,2511.3,330123.0,2455.1
2520.9,2473.5,2025-09-01,2526.2,301064.0,2472.0
2543.3,2538.9,2025-09-02,2557.9,284743.0,2523.5
2559.1,2539.8,2025-09-03,2584.0,1013928.0,2529.7
2568.9,2610.1,2025-09-04,2610.1,421469.0,2563.2
2550.6,2568.0,2025-09-05,2590.9,176380.0,2543.8
2579.4,2541.0,2025-09-08,2595.0,180468.0,2516.2
2589.3,2571.0,2025-09-09,2602.0,188448.0,2552.5
2608.5,2600.0,2025-09-10,2624.9,339860.0,2566.8
2599.0,2590.0,2025-09-11,2614.8,325644.0,2583.3
2579.6,2600.0,2025-09-12,2619.6,181489.0,2563.1
2585.4,2561.0,2025-09-15,2593.0,144695.0,2561.0
2569.8,2575.0,2025-09-16,2598.2,143608.0,2565.9
2570.2,2566.0,2025-09-17,2584.9,239496.0,2555.1
2638.3,2570.2,2025-09-18,2659.9,716293.0,2565.2
2660.6,2643.7,2025-09-19,2671.7,730701.0,2627.3
2594.9,2674.0,2025-09-22,2674.0,369548.0,2586.4
2564.3,2590.5,2025-09-23,2615.9,291468.0,2552.6
2529.7,2565.9,2025-09-24,2570.0,195372.0,2521.1
2526.2,2520.0,2025-09-25,2539.3,161047.0,2510.0
2482.9,2500.0,2025-09-26,2514.0,335153.0,2440.0
2462.0,2489.3,2025-09-29,2499.7,309212.0,2453.5
2435.7,2462.0,2025-09-30,2488.3,390387.0,2425.0
2439.6,2420.0,2025-10-01,2454.9,218691.0,2420.0
2448.0,2440.9,2025-10-03,2460.2,606883.0,2400.4
2456.3,2415.0,2025-10-06,2469.0,377612.0,2405.0
2480.7,2462.9,2025-10-07,2487.7,434253.0,2443.0
2454.9,2480.7,2025-10-08,2493.6,285681.0,2442.9
2479.4,2450.0,2025-10-09,2484.2,135618.0,2448.1
2459.9,2480.0,2025-10-10,2500.9,133554.0,2455.0
2442.5,2466.8,2025-10-13,2480.0,209314.0,2426.0
2438.1,2436.4,2025-10-14,2444.9,431056.0,2400.1
2445.7,2441.8,2025-10-15,2450.8,503217.0,2426.7
2455.3,2456.9,2025-10-16,2464.8,441612.0,2435.3
2476.6,2470.4,2025-10-17,2484.8,461454.0,2440.0
2455.1,2485.0,2025-10-20,2511.9,288109.0,2450.0
2445.6,2467.0,2025-10-21,2470.6,35115.0,2435.0
2451.0,2453.5,2025-10-23,2483.8,170162.0,2440.4
2432.4,2459.8,2025-10-24,2459.8,249600.0,2415.0
2416.7,2444.4,2025-10-27,2449.0,243007.0,2412.0
2406.5,2416.7,2025-10-28,2424.2,271050.0,2389.9
2443.7,2413.6,2025-10-29,2447.0,125530.0,2405.9
2446.6,2458.0,2025-10-30,2458.0,280365.0,2420.1
2384.0,2446.6,2025-10-31,2447.9,593447.0,2368.0
2399.5,2383.3,2025-11-03,2404.2,202894.0,2357.2
2369.5,2399.5,2025-11-04,2408.6,351828.0,2358.2
2309.1,2375.0,2025-11-06,2379.8,486278.0,2305.3
2261.8,2250.0,2025-11-07,2302.4,870303.0,2248.6
2236.6,2271.8,2025-11-10,2272.5,702898.0,2222.2
2220.5,2237.7,2025-11-11,2239.0,428592.0,2213.2
2270.0,2225.0,2025-11-12,2293.0,1869027.0,2198.5
2257.0,2280.9,2025-11-13,2293.9,585393.0,2249.2
2267.1,2257.0,2025-11-14,2286.7,606234.0,2252.6
2247.0,2280.0,2025-11-17,2280.0,292698.0,2236.0
2226.9,2248.2,2025-11-18,2249.8,259735.0,2217.2
2223.1,2225.8,2025-11-19,2228.2,252790.0,2206.3
2239.5,2239.0,2025-11-20,2256.5,1310952.0,2222.9
2242.1,2234.0,2025-11-21,2247.2,563163.0,2210.0
2222.7,2245.0,2025-11-24,2245.0,710090.0,2208.6
2241.9,2224.0,2025-11-25,2254.7,294127.0,2219.6
2258.9,2250.1,2025-11-26,2300.4,591887.0,2243.7
2249.3,2274.0,2025-11-27,2274.0,390084.0,2224.1
2251.0,2259.8,2025-11-28,2260.7,267030.0,2235.0
2229.8,2260.0,2025-12-01,2260.0,498132.0,2223.0
2216.4,2240.1,2025-12-02,2243.9,236853.0,2211.0
2205.6,2228.0,2025-12-03,2228.0,975772.0,2178.0
2206.3,2208.0,2025-12-04,2221.7,409656.0,2195.1
2205.5,2215.7,2025-12-05,2215.7,299678.0,2191.6
2185.5,2205.6,2025-12-08,2207.2,357285.0,2165.1
2180.4,2172.0,2025-12-09,2189.6,194411.0,2160.3
2148.9,2190.0,2025-12-10,2191.0,686977.0,2142.2
2166.8,2148.9,2025-12-11,2177.1,143510.0,2130.0
2178.8,2176.0,2025-12-12,2189.9,1107746.0,2150.0
2141.2,2178.9,2025-12-15,2180.8,722635.0,2138.8
2106.0,2142.5,2025-12-16,2153.6,683877.0,2102.6
2111.2,2120.4,2025-12-17,2121.0,587753.0,2090.0
2142.0,2118.9,2025-12-18,2147.4,422234.0,2098.4
2172.1,2142.0,2025-12-19,2182.5,491349.0,2136.1
2186.3,2190.0,2025-12-22,2193.1,302826.0,2169.6
2229.6,2186.4,2025-12-23,2240.0,497596.0,2186.4
2193.3,2239.9,2025-12-24,2247.3,269610.0,2187.1
2193.0,2206.0,2025-12-26,2211.4,254903.0,2171.0
2182.0,2200.6,2025-12-29,2200.6,294610.0,2173.0
2152.5,2165.0,2025-12-30,2177.0,301618.0,2146.2
2196.5,2165.0,2025-12-31,2206.9,215961.0,2150.0
2164.6,2202.0,2026-01-01,2202.0,85103.0,2156.0
2202.7,2174.1,2026-01-02,2205.0,128332.0,2163.0
2195.0,2205.0,2026-01-05,2222.0,161264.0,2184.7
2240.8,2205.0,2026-01-06,2247.3,295984.0,2185.0
2311.8,2241.0,2026-01-07,2320.9,980886.0,2231.3
2261.2,2314.0,2026-01-08,2314.0,271109.0,2250.0
2200.8,2250.0,2026-01-09,2250.7,396485.0,2186.0
2224.3,2201.5,2026-01-12,2232.0,145024.0,2172.2
2213.9,2220.0,2026-01-13,2235.0,261324.0,2190.3
2244.4,2224.0,2026-01-14,2252.2,255195.0,2207.1
2175.4,2255.5,2026-01-16,2255.5,629547.0,2167.9
2117.2,2170.0,2026-01-19,2170.0,286090.0,2110.4
2124.3,2112.0,2026-01-20,2134.9,534187.0,2087.0
2099.1,2124.3,2026-01-21,2129.2,373956.0,2081.9
2147.0,2111.0,2026-01-22,2151.9,429287.0,2104.6
2107.6,2150.9,2026-01-23,2155.0,406709.0,2098.0
2094.2,2131.4,2026-01-27,2131.4,431208.0,2059.4
2116.9,2106.6,2026-01-28,2122.8,322350.0,2065.0
2100.8,2107.0,2026-01-29,2115.2,263563.0,2091.7
2124.0,2082.6,2026-01-30,2147.0,535611.0,2078.8
2063.8,2100.0,2026-02-02,2120.0,333325.0,2046.8
2162.6,2133.9,2026-02-03,2190.2,778709.0,2112.3
2089.3,2199.0,2026-02-04,2199.0,950401.0,2057.1
2080.4,2095.0,2026-02-05,2100.0,273390.0,2073.0
2060.2,2085.0,2026-02-06,2085.0,344092.0,2033.0
2081.9,2074.5,2026-02-09,2089.0,224975.0,2055.3
2073.1,2089.6,2026-02-10,2089.6,260205.0,2065.0
2087.0,2074.9,2026-02-11,2089.9,188015.0,2071.0
2079.0,2080.0,2026-02-12,2083.4,250124.0,2055.2
2060.5,2076.1,2026-02-13,2085.3,208497.0,2050.1
2083.3,2055.0,2026-02-16,2085.5,220437.0,2051.7
2062.9,2085.0,2026-02-17,2088.3,258057.0,2060.0
2075.6,2059.9,2026-02-18,2078.3,211151.0,2048.0
2039.5,2085.0,2026-02-19,2088.4,743196.0,2031.0
2024.3,2047.1,2026-02-20,2057.3,205439.0,2014.9
2046.6,2035.0,2026-02-23,2050.0,219028.0,2012.3
2054.7,2037.0,2026-02-24,2060.6,217522.0,2029.4
2155.7,2067.5,2026-02-25,2165.0,802399.0,2052.8
2279.7,2155.7,2026-02-26,2284.9,2770867.0,2145.9
2247.6,2261.1,2026-02-27,2275.0,794739.0,2235.0
2245.5,2161.0,2026-03-02,2251.1,545017.0,2161.0
2207.2,2219.8,2026-03-04,2235.0,687980.0,2195.1
2226.4,2210.8,2026-03-05,2239.8,312313.0,2191.6
2187.0,2231.7,2026-03-06,2231.7,350723.0,2178.1
2163.3,2131.0,2026-03-09,2170.8,826127.0,2108.3
2237.7,2190.0,2026-03-10,2249.3,1043920.0,2169.2
2243.8,2243.9,2026-03-11,2256.8,415703.0,2222.3
2207.9,2210.0,2026-03-12,2243.5,310028.0,2184.7
2138.9,2200.0,2026-03-13,2205.0,801859.0,2128.7
2094.7,2126.3,2026-03-16,2141.6,332072.0,2081.0
2068.2,2095.8,2026-03-17,2106.4,449927.0,2056.0
2103.1,2066.8,2026-03-18,2130.8,317917.0,2052.0
