close,open,date,high,volume,low
1215.7,1241.5,2025-07-18,1249.1,2382955,1213.1
1218.2,1217.4,2025-07-21,1226.5,1633631,1201.0
1218.8,1229.8,2025-07-22,1229.8,1896694,1207.5
1255.4,1209.9,2025-07-23,1258.0,1364458,1209.9
1267.4,1261.6,2025-07-24,1288.8,2393751,1258.8
1280.5,1261.2,2025-07-25,1284.6,3090257,1255.0
1257.4,1275.2,2025-07-28,1282.9,2930792,1229.0
1274.3,1256.0,2025-07-29,1278.0,1643450,1251.0
1264.6,1275.2,2025-07-30,1276.7,875446,1253.0
1246.0,1240.0,2025-07-31,1270.8,2265597,1235.6
1246.0,1245.0,2025-08-01,1258.2,932679,1239.0
1250.4,1253.6,2025-08-04,1256.0,718743,1235.3
1273.9,1245.6,2025-08-05,1280.0,1607681,1237.5
1271.1,1289.9,2025-08-06,1289.9,1095951,1256.1
1265.9,1260.0,2025-08-07,1272.1,2365386,1240.6
1245.3,1265.0,2025-08-08,1271.4,548971,1242.3
1263.3,1245.3,2025-08-11,1270.6,807096,1243.3
1260.6,1268.0,2025-08-12,1276.4,740292,1256.0
1267.1,1270.0,2025-08-13,1301.7,3268236,1251.4
1220.7,1275.0,2025-08-14,1275.0,5657114,1204.1
1211.6,1216.1,2025-08-18,1233.0,2557331,1206.6
1229.4,1212.6,2025-08-19,1236.8,2076532,1208.0
1225.6,1227.8,2025-08-20,1234.0,1779980,1210.9
1250.1,1239.8,2025-08-21,1256.0,2051298,1229.1
1234.7,1255.0,2025-08-22,1255.0,1488893,1228.1
1221.4,1240.0,2025-08-25,1252.5,1637753,1211.2
1183.4,1212.0,2025-08-26,1217.8,4500351,1177.4
1160.2,1196.0,2025-08-28,1196.0,4412704,1152.4
1154.3,1151.0,2025-08-29,1173.9,1977662,1147.6
1181.2,1154.3,2025-09-01,1186.0,1720121,1153.9
1161.8,1185.0,2025-09-02,1185.0,3028687,1151.4
1162.0,1160.0,2025-09-03,1165.6,1922382,1150.6
1160.2,1189.0,2025-09-04,1189.0,1797984,1156.9
1170.0,1169.9,2025-09-05,1171.6,1271671,1159.0
1149.6,1174.5,2025-09-08,1174.5,1316394,1146.5
1152.9,1153.0,2025-09-09,1159.1,1790082,1140.3
1180.7,1158.8,2025-09-10,1184.0,3661895,1155.0
1179.3,1168.5,2025-09-11,1181.0,1837622,1168.0
1184.2,1184.0,2025-09-12,1187.7,2487969,1171.3
1175.4,1184.2,2025-09-15,1186.9,2376299,1171.3
1158.7,1161.0,2025-09-16,1173.2,4075700,1148.1
1153.8,1162.5,2025-09-17,1166.5,4160131,1141.3
1173.4,1145.1,2025-09-18,1176.7,3746782,1145.1
1159.7,1170.0,2025-09-19,1176.4,4839925,1151.2
1171.6,1165.9,2025-09-22,1179.6,3370928,1160.6
1157.0,1174.7,2025-09-23,1175.0,4729220,1149.0
1133.2,1154.0,2025-09-24,1157.0,3419746,1125.3
1137.7,1138.4,2025-09-25,1144.9,5022322,1133.9
1123.4,1135.0,2025-09-26,1136.9,2327943,1107.0
1112.0,1134.6,2025-09-29,1139.5,48051997,1103.6
1114.7,1115.7,2025-09-30,1127.6,5570839,1108.0
1113.2,1119.7,2025-10-01,1121.2,3266312,1107.1
1069.2,1098.0,2025-10-03,1110.3,5969792,1060.0
1139.7,1101.0,2025-10-06,1144.7,8494611,1093.3
1130.7,1134.0,2025-10-07,1140.0,3577437,1115.0
1144.4,1130.0,2025-10-08,1147.4,3169556,1128.0
1155.8,1148.0,2025-10-09,1163.0,3052853,1131.7
1156.4,1156.0,2025-10-10,1163.0,2722755,1139.2
1143.3,1154.0,2025-10-13,1169.3,2376338,1140.0
1161.5,1149.0,2025-10-14,1165.0,1965357,1141.6
1155.8,1161.5,2025-10-15,1172.7,1762144,1154.3
1175.3,1161.4,2025-10-16,1177.4,2364667,1159.0
1202.7,1188.0,2025-10-17,1212.8,5239734,1178.7
1209.6,1211.9,2025-10-20,1217.6,2133962,1203.0
1204.0,1214.9,2025-10-21,1217.8,131329,1201.0
1211.0,1200.0,2025-10-23,1221.9,2981438,1197.0
1184.1,1213.7,2025-10-24,1213.7,858989,1181.5
1186.4,1180.0,2025-10-27,1188.4,979181,1175.5
1179.7,1186.3,2025-10-28,1192.6,1810857,1172.1
1189.5,1185.0,2025-10-29,1194.4,1516489,1181.7
1178.5,1186.5,2025-10-30,1189.0,1187989,1172.3
1147.8,1167.8,2025-10-31,1172.5,4276918,1143.7
1145.9,1146.7,2025-11-03,1154.3,1669607,1128.9
1138.4,1149.1,2025-11-04,1154.2,2176888,1132.5
1125.4,1119.1,2025-11-06,1146.9,2545462,1118.5
1135.3,1126.0,2025-11-07,1141.5,1796900,1120.1
1098.0,1141.3,2025-11-10,1141.3,1933973,1096.4
1095.4,1103.3,2025-11-11,1109.1,1779188,1081.9
1103.6,1124.9,2025-11-12,1124.9,4463966,1075.1
1098.0,1103.9,2025-11-13,1110.8,1468268,1090.6
1103.1,1093.7,2025-11-14,1106.4,1658556,1085.3
1121.6,1105.0,2025-11-17,1124.8,5102278,1091.7
1116.7,1141.4,2025-11-18,1144.6,5778653,1112.0
1164.4,1115.0,2025-11-19,1170.4,5964536,1104.9
1168.9,1166.0,2025-11-20,1172.0,2784798,1147.9
1181.1,1160.0,2025-11-21,1183.9,2258525,1160.0
1155.8,1183.9,2025-11-24,1185.4,2825309,1150.1
1158.1,1169.0,2025-11-25,1181.9,1966712,1151.1
1162.6,1158.3,2025-11-26,1171.9,1121189,1154.7
1161.8,1171.6,2025-11-27,1171.7,1423021,1155.5
1162.8,1156.1,2025-11-28,1170.0,1637243,1153.1
1125.4,1164.0,2025-12-01,1167.4,3436348,1117.0
1117.5,1125.4,2025-12-02,1133.2,2206424,1113.0
1086.0,1118.0,2025-12-03,1120.9,3801039,1077.0
1083.9,1087.0,2025-12-04,1090.0,3037781,1070.1
1097.4,1083.9,2025-12-05,1100.0,1799777,1075.0
1079.4,1103.9,2025-12-08,1108.9,3014602,1072.5
1074.7,1079.4,2025-12-09,1079.9,2945816,1061.1
1077.1,1075.9,2025-12-10,1088.3,2353780,1067.1
1087.9,1077.0,2025-12-11,1091.0,1209344,1074.2
1081.3,1082.8,2025-12-12,1092.3,2245724,1077.0
1085.4,1081.3,2025-12-15,1090.6,1632124,1064.5
1073.0,1089.0,2025-12-16,1091.3,1444588,1068.3
1031.1,1070.1,2025-12-17,1073.6,4268035,1024.9
1048.5,1030.0,2025-12-18,1060.9,5152758,1026.0
1075.8,1066.5,2025-12-19,1081.0,3285719,1061.1
1077.6,1079.2,2025-12-22,1085.3,2093527,1072.4
1075.2,1081.8,2025-12-23,1081.8,1304615,1065.2
1081.4,1074.0,2025-12-24,1090.0,1033268,1070.2
1074.3,1081.5,2025-12-26,1083.3,1266460,1068.4
1064.1,1074.3,2025-12-29,1077.5,1406148,1059.8
1040.8,1069.0,2025-12-30,1069.0,11581446,1032.0
1045.1,1048.7,2025-12-31,1052.7,1426506,1035.2
1049.4,1048.2,2026-01-01,1054.0,1219041,1040.1
1062.6,1049.4,2026-01-02,1064.4,928577,1047.0
1050.5,1062.6,2026-01-05,1062.6,1523489,1048.5
1051.6,1050.5,2026-01-06,1062.1,1963166,1043.3
1034.7,1049.0,2026-01-07,1049.9,4484760,1022.0
