close,open,date,high,volume,low
2721.8,2780.1,2025-08-01,2784.0,1054142,2710.0
2767.2,2700.0,2025-08-04,2787.9,1169140,2697.2
2847.8,2787.4,2025-08-05,2857.0,1746787,2774.2
2764.5,2880.0,2025-08-06,2887.9,1745166,2752.0
2785.0,2764.0,2025-08-07,2798.0,1259966,2721.1
2636.7,2789.9,2025-08-08,2789.9,2304126,2623.2
2697.3,2636.8,2025-08-11,2755.0,1919753,2624.0
2690.8,2697.3,2025-08-12,2727.7,1291654,2648.0
2748.8,2713.0,2025-08-13,2770.0,1280614,2704.2
2721.4,2750.1,2025-08-14,2750.8,666934,2710.0
2739.2,2771.4,2025-08-18,2785.9,1045907,2715.3
2747.4,2742.7,2025-08-19,2759.0,762684,2703.0
2772.9,2748.0,2025-08-20,2796.0,1220000,2722.0
2767.8,2785.0,2025-08-21,2841.4,2116310,2748.3
2700.3,2754.9,2025-08-22,2757.9,1126864,2695.5
2755.7,2798.9,2025-08-25,2798.9,2516925,2736.1
2687.8,2732.0,2025-08-26,2732.0,1371398,2672.0
2628.1,2664.0,2025-08-28,2695.8,1008768,2620.1
2603.1,2628.5,2025-08-29,2660.0,1141973,2596.7
2653.3,2610.0,2025-09-01,2661.4,1360542,2589.0
2731.0,2655.0,2025-09-02,2756.9,1849519,2636.0
2715.8,2740.0,2025-09-03,2779.0,1275347,2703.5
2680.3,2740.0,2025-09-04,2748.7,922825,2675.1
2670.7,2670.0,2025-09-05,2696.5,795647,2647.0
2665.0,2675.0,2025-09-08,2692.5,660270,2659.9
2684.0,2668.0,2025-09-09,2702.0,601801,2663.1
2755.3,2686.0,2025-09-10,2760.0,1238729,2686.0
2794.5,2795.0,2025-09-11,2816.4,2362827,2754.0
2924.7,2809.0,2025-09-12,2939.4,4278838,2792.1
2924.9,2949.9,2025-09-15,2957.4,1708949,2914.5
2946.0,2926.1,2025-09-16,2958.8,1196416,2896.6
2997.0,2948.0,2025-09-17,3016.0,2110060,2947.3
2984.6,3008.5,2025-09-18,3030.0,1462742,2971.5
2985.0,2978.1,2025-09-19,3015.0,846040,2969.1
2976.4,3025.0,2025-09-22,3061.4,1775858,2963.5
2939.5,2977.0,2025-09-23,2991.3,934666,2914.1
2940.2,2959.7,2025-09-24,2995.0,1486145,2924.0
2924.2,2947.7,2025-09-25,2993.3,1366015,2916.1
2827.6,2920.0,2025-09-26,2920.0,943654,2821.1
2751.1,2827.6,2025-09-29,2866.4,3209044,2725.0
2761.5,2756.0,2025-09-30,2794.4,1023698,2710.4
