close,open,date,high,volume,low
521.5,515.05,2025-06-30,528.95,289827,515.05
521.5,523.45,2025-07-01,524.5,789635,511.4
519.95,528.25,2025-07-02,529.8,690836,517.5
518.9,524.0,2025-07-03,524.95,132917,516.05
520.65,519.9,2025-07-04,524.8,305482,512.5
524.4,517.0,2025-07-07,528.6,805756,511.1
519.2,522.0,2025-07-08,529.65,575742,514.95
517.05,519.0,2025-07-09,525.7,175993,514.15
517.2,518.0,2025-07-10,522.0,138033,515.0
503.35,513.5,2025-07-11,517.7,585593,502.0
516.4,504.1,2025-07-14,522.5,524535,501.0
519.35,519.0,2025-07-15,522.5,143582,515.2
522.85,519.25,2025-07-16,524.5,231497,515.0
536.5,525.0,2025-07-17,542.3,645136,524.95
529.65,537.0,2025-07-18,540.25,253068,526.3
519.15,529.65,2025-07-21,531.0,136475,518.05
518.3,519.15,2025-07-22,524.9,77017,515.05
516.2,518.0,2025-07-23,522.0,249644,512.3
514.25,517.0,2025-07-24,520.75,84863,513.3
510.95,514.0,2025-07-25,514.3,253211,503.25
510.1,510.9,2025-07-28,515.55,214142,506.3
512.5,505.0,2025-07-29,516.0,94091,504.1
505.9,514.95,2025-07-30,517.95,158315,502.95
499.3,500.9,2025-07-31,508.6,173019,496.85
490.2,499.0,2025-08-01,503.1,233879,482.5
496.35,493.95,2025-08-04,499.0,123877,484.85
483.4,490.0,2025-08-05,495.05,249758,481.05
474.9,487.0,2025-08-06,492.85,377050,466.45
461.65,470.1,2025-08-07,476.05,293214,457.5
458.8,459.0,2025-08-08,464.25,87013,455.0
459.65,458.8,2025-08-11,462.0,398266,445.05
471.35,462.0,2025-08-12,478.3,723853,462.0
490.85,480.0,2025-08-13,498.6,721522,474.1
495.15,494.0,2025-08-14,500.45,175264,487.1
510.65,509.9,2025-08-18,513.8,353523,504.55
516.85,511.4,2025-08-19,519.4,285525,509.65
507.95,518.9,2025-08-20,519.55,111725,506.1
500.05,510.0,2025-08-21,511.2,112573,498.5
507.85,500.05,2025-08-22,510.25,269254,496.8
512.85,510.25,2025-08-25,521.7,1648322,505.4
499.0,509.75,2025-08-26,511.45,160974,495.4
501.3,495.0,2025-08-28,507.6,137361,495.0
498.85,504.0,2025-08-29,505.65,351923,495.65
507.1,498.05,2025-09-01,515.4,395990,498.05
507.6,504.5,2025-09-02,518.9,886331,500.4
506.7,509.0,2025-09-03,511.8,76256,505.0
502.5,513.8,2025-09-04,517.5,169107,498.75
504.0,505.4,2025-09-05,507.9,57672,501.7
520.6,504.8,2025-09-08,528.8,523065,504.8
515.25,521.8,2025-09-09,525.5,213802,514.0
509.9,518.9,2025-09-10,521.85,136649,508.7
507.0,509.0,2025-09-11,511.0,98014,503.4
511.6,507.0,2025-09-12,513.55,103351,504.75
509.65,511.6,2025-09-15,515.15,88823,508.5
518.0,512.0,2025-09-16,519.5,147803,509.35
531.75,512.8,2025-09-17,543.0,622486,510.5
531.45,537.3,2025-09-18,540.0,492319,521.1
549.25,532.8,2025-09-19,550.5,847095,532.55
532.8,550.0,2025-09-22,552.1,261018,531.9
534.5,532.8,2025-09-23,552.85,537326,530.05
579.1,550.0,2025-09-24,601.65,25409277,550.0
575.05,579.0,2025-09-25,591.7,2277181,570.9
571.3,573.0,2025-09-26,584.1,929711,566.0
568.85,578.0,2025-09-29,591.85,1702044,565.1
569.45,573.3,2025-09-30,575.85,510752,567.05
579.8,575.0,2025-10-01,584.95,470262,566.25
588.3,582.0,2025-10-03,594.0,1250916,577.25
579.6,590.9,2025-10-06,590.9,354339,577.05
594.35,577.0,2025-10-07,606.9,2025707,572.85
582.15,594.0,2025-10-08,604.8,897206,578.45
582.05,582.0,2025-10-09,590.0,456333,577.9
588.95,584.6,2025-10-10,593.4,454191,578.75
569.65,587.1,2025-10-13,587.1,1057728,555.55
564.2,570.05,2025-10-14,572.0,502114,553.25
568.75,564.6,2025-10-15,572.0,236231,559.4
583.05,569.9,2025-10-16,588.0,492458,569.9
568.5,581.25,2025-10-17,584.8,287792,566.55
577.4,571.5,2025-10-20,580.0,230024,569.0
576.95,581.65,2025-10-21,587.6,89301,567.9
567.2,585.0,2025-10-23,585.0,147887,565.2
565.05,567.75,2025-10-24,578.4,292510,563.05
562.8,565.05,2025-10-27,567.9,144472,560.0
566.65,567.0,2025-10-28,572.9,121352,564.5
575.1,566.65,2025-10-29,578.5,212059,565.0
569.15,578.1,2025-10-30,578.1,175987,565.1
563.7,569.15,2025-10-31,579.25,246495,562.15
588.85,563.7,2025-11-03,591.1,519357,563.7
591.4,589.0,2025-11-04,598.1,651323,583.0
573.35,595.0,2025-11-06,596.75,959199,566.25
579.2,582.0,2025-11-07,615.0,7870298,574.1
590.35,577.0,2025-11-10,591.45,580425,566.25
597.4,590.0,2025-11-11,604.5,549905,582.55
607.6,603.6,2025-11-12,612.25,811450,593.85
605.35,610.05,2025-11-13,619.95,781452,602.5
601.15,595.05,2025-11-14,612.0,294868,595.05
605.45,604.3,2025-11-17,613.9,280905,602.1
595.25,605.45,2025-11-18,608.15,213028,594.0
605.3,593.0,2025-11-19,619.0,802110,593.0
601.95,606.45,2025-11-20,607.95,167525,600.0
595.2,601.65,2025-11-21,601.65,197242,587.1
586.2,597.75,2025-11-24,598.0,171038,582.6
