close,open,date,high,volume,low
68.5,68.09,2025-07-15,69.74,510331,68.01
68.66,68.55,2025-07-16,69.48,547154,68.5
68.28,69.11,2025-07-17,69.2,420045,68.1
68.1,68.64,2025-07-18,68.87,575305,67.55
70.68,68.2,2025-07-21,72.0,4624082,67.52
70.29,71.8,2025-07-22,72.8,1677112,70.1
69.17,70.64,2025-07-23,70.64,734595,68.7
68.68,69.49,2025-07-24,69.56,445927,68.35
67.13,68.0,2025-07-25,68.5,631197,66.71
65.34,67.0,2025-07-28,67.24,692929,64.5
66.01,64.65,2025-07-29,66.98,571232,64.3
65.59,66.29,2025-07-30,66.95,249194,65.45
64.63,64.0,2025-07-31,65.15,426295,63.56
66.27,64.4,2025-08-01,69.47,1730537,64.4
65.6,65.65,2025-08-04,67.75,542779,65.25
65.71,66.0,2025-08-05,66.55,458788,65.5
64.9,66.1,2025-08-06,66.3,376036,64.71
64.42,64.94,2025-08-07,65.8,761011,62.22
63.26,64.8,2025-08-08,64.9,466187,63.05
62.81,63.26,2025-08-11,63.5,639046,61.81
62.01,62.15,2025-08-12,63.19,575802,61.9
62.69,62.31,2025-08-13,63.18,495666,62.3
62.13,62.69,2025-08-14,63.08,269250,62.0
63.01,62.5,2025-08-18,63.62,410180,62.5
65.3,63.01,2025-08-19,66.51,1908035,63.01
65.49,65.89,2025-08-20,66.09,575443,64.8
65.07,66.0,2025-08-21,66.7,553671,64.66
64.13,65.2,2025-08-22,65.32,325970,64.02
63.83,65.8,2025-08-25,65.8,445908,63.7
62.21,63.83,2025-08-26,63.9,315058,62.0
61.38,62.1,2025-08-28,63.24,731683,60.8
60.79,61.39,2025-08-29,61.94,463731,60.2
62.23,60.79,2025-09-01,62.55,729319,60.79
62.87,62.39,2025-09-02,63.92,758308,62.2
64.53,62.87,2025-09-03,65.6,1011210,62.81
63.38,65.0,2025-09-04,65.28,546510,63.2
64.54,63.25,2025-09-05,67.2,2787836,62.96
65.22,65.1,2025-09-08,67.2,1675775,64.36
64.47,65.69,2025-09-09,65.85,763542,64.12
65.05,64.65,2025-09-10,66.28,656831,64.56
64.85,65.03,2025-09-11,66.77,1427909,64.3
64.84,65.17,2025-09-12,65.56,510506,64.35
66.27,65.1,2025-09-15,68.6,2463164,65.1
66.09,66.73,2025-09-16,66.8,666376,65.74
66.09,66.61,2025-09-17,67.61,975845,65.84
66.34,66.45,2025-09-18,67.41,687204,66.0
67.39,66.44,2025-09-19,69.19,3248981,65.92
70.96,68.24,2025-09-22,73.88,23127727,67.21
70.14,71.45,2025-09-23,71.45,2664107,69.21
68.25,70.4,2025-09-24,70.59,1791976,67.9
68.19,68.85,2025-09-25,71.38,7343678,67.5
65.51,68.0,2025-09-26,68.1,1576222,65.13
64.66,65.6,2025-09-29,66.39,1500545,64.2
64.74,65.5,2025-09-30,65.54,1065603,64.25
65.41,65.7,2025-10-01,65.88,1048830,64.0
69.63,65.9,2025-10-03,70.5,9126195,65.58
70.05,70.1,2025-10-06,71.75,3641740,69.0
68.37,70.2,2025-10-07,70.4,1694314,68.1
70.71,69.8,2025-10-08,73.7,18465242,68.54
71.72,70.26,2025-10-09,72.53,4806908,69.81
70.55,71.8,2025-10-10,73.24,3487469,70.05
69.18,69.89,2025-10-13,70.19,1623214,68.71
67.61,69.0,2025-10-14,69.76,1607527,67.0
68.04,67.65,2025-10-15,69.29,1728950,67.08
68.1,68.04,2025-10-16,69.25,1185466,67.85
68.13,68.1,2025-10-17,69.24,1641302,67.39
67.64,68.2,2025-10-20,68.47,1133448,66.61
68.3,67.81,2025-10-21,68.99,342983,67.81
67.4,68.49,2025-10-23,68.85,969908,67.16
67.38,67.6,2025-10-24,68.86,1188094,66.8
67.04,67.1,2025-10-27,67.67,865987,66.8
66.8,67.2,2025-10-28,67.72,897630,66.64
68.75,66.8,2025-10-29,71.45,11497532,66.7
69.62,68.4,2025-10-30,70.35,3162048,68.12
68.73,69.3,2025-10-31,69.69,1040608,68.4
68.01,69.0,2025-11-03,70.66,4187572,67.53
67.54,67.1,2025-11-04,68.52,1215928,67.1
66.08,67.2,2025-11-06,67.73,1260438,65.72
65.32,65.9,2025-11-07,66.0,1125025,64.51
66.03,65.65,2025-11-10,67.16,1302641,65.48
66.4,67.7,2025-11-11,67.7,1627996,65.66
66.58,66.6,2025-11-12,67.04,718519,66.28
66.79,66.57,2025-11-13,68.2,1460277,66.0
65.65,67.0,2025-11-14,67.5,1012814,65.39
65.44,65.5,2025-11-17,66.57,659339,65.3
64.62,65.45,2025-11-18,65.78,707348,64.5
64.3,64.55,2025-11-19,64.72,667929,63.72
63.97,64.35,2025-11-20,65.7,922512,63.8
62.42,64.03,2025-11-21,64.08,624203,62.1
60.18,63.08,2025-11-24,63.08,930065,60.0
60.28,60.8,2025-11-25,61.35,748645,60.1
61.29,61.01,2025-11-26,61.62,850913,60.5
60.87,61.84,2025-11-27,62.4,721522,60.7
60.52,60.81,2025-11-28,61.5,677746,60.25
59.68,60.99,2025-12-01,60.99,845986,52.5
59.27,59.5,2025-12-02,59.82,530698,59.0
58.35,59.27,2025-12-03,59.75,818400,57.74
57.7,59.0,2025-12-04,59.0,693692,57.51
56.53,57.51,2025-12-05,57.98,836796,56.2
54.49,56.54,2025-12-08,56.7,932140,54.05
53.67,54.0,2025-12-09,54.7,4289641,51.23
55.11,53.67,2025-12-10,58.18,22402971,53.06
53.97,54.3,2025-12-11,56.21,3136718,53.36
55.3,54.5,2025-12-12,55.97,4468197,53.71
55.87,53.37,2025-12-15,56.43,2017414,53.37
54.88,55.9,2025-12-16,56.0,914780,54.0
54.04,54.75,2025-12-17,55.65,936118,53.6
54.14,54.04,2025-12-18,54.4,1254725,53.09
55.26,54.14,2025-12-19,55.5,1026012,54.14
56.48,55.45,2025-12-22,57.15,1607668,55.45
57.22,56.76,2025-12-23,58.98,3436377,56.44
57.53,57.2,2025-12-24,59.5,3215013,57.1
64.24,57.75,2025-12-26,65.4,71880168,57.25
70.67,66.2,2025-12-29,71.95,107487017,66.0
67.54,69.5,2025-12-30,69.5,26268679,66.56
67.23,67.25,2025-12-31,69.03,6473162,66.5
65.71,67.0,2026-01-01,67.01,2965343,65.5
67.3,65.39,2026-01-02,71.0,17631214,65.39
67.48,67.7,2026-01-05,69.2,4050320,66.66
66.64,67.7,2026-01-06,67.98,2747373,66.0
67.98,66.3,2026-01-07,70.47,9444859,65.9
65.76,67.55,2026-01-08,68.32,3630878,65.0
63.1,65.39,2026-01-09,65.74,3400564,62.12
63.52,63.33,2026-01-12,63.99,3408212,61.61
63.55,64.14,2026-01-13,64.82,2705091,62.64
71.58,63.9,2026-01-14,72.7,119531400,63.86
68.87,70.8,2026-01-16,70.8,14544426,68.03
68.66,68.67,2026-01-19,71.23,10906781,67.5
65.14,68.49,2026-01-20,68.66,6803679,64.73
65.85,65.25,2026-01-21,67.6,11664696,64.0
64.93,66.45,2026-01-22,66.65,3755777,64.2
