close,open,date,high,volume,low
960.25,962.95,2025-08-20,969.5,548309,955.5
949.3,962.1,2025-08-21,963.0,799074,933.85
929.25,949.0,2025-08-22,949.0,605404,925.15
925.7,932.9,2025-08-25,938.0,613837,918.5
908.95,920.05,2025-08-26,925.7,920618,901.1
889.0,908.15,2025-08-28,908.15,556768,886.0
857.3,890.05,2025-08-29,900.9,886375,852.0
895.4,860.95,2025-09-01,900.0,1172804,859.6
875.1,900.95,2025-09-02,901.2,1142882,871.2
881.1,878.95,2025-09-03,884.85,429716,873.0
870.85,889.7,2025-09-04,895.0,531433,867.85
873.05,874.35,2025-09-05,882.6,628011,865.8
895.0,877.45,2025-09-08,908.25,805095,870.05
884.75,896.0,2025-09-09,900.1,471558,880.1
920.0,889.9,2025-09-10,924.9,1513502,889.0
914.75,920.0,2025-09-11,923.9,666552,905.0
918.0,912.8,2025-09-12,928.9,591125,905.0
940.75,921.95,2025-09-15,946.75,888127,915.6
934.4,945.0,2025-09-16,945.0,455315,928.85
933.45,941.0,2025-09-17,941.45,491544,928.95
923.05,940.0,2025-09-18,940.1,478648,919.05
944.7,923.05,2025-09-19,962.0,2360368,921.5
950.3,943.45,2025-09-22,962.0,766897,940.45
958.35,951.0,2025-09-23,962.0,684313,943.65
943.75,960.0,2025-09-24,966.5,477688,936.55
920.05,940.0,2025-09-25,948.0,545291,916.35
910.75,923.0,2025-09-26,927.05,576550,901.6
916.2,912.45,2025-09-29,928.85,659150,909.4
893.6,920.1,2025-09-30,923.75,715679,880.1
900.1,890.1,2025-10-01,902.4,649035,877.7
911.0,903.7,2025-10-03,914.0,485972,896.4
935.25,910.0,2025-10-06,941.5,925225,905.5
937.4,936.4,2025-10-07,947.0,635299,928.2
923.95,935.0,2025-10-08,935.9,334903,920.0
980.25,923.0,2025-10-09,988.0,3854809,920.8
967.3,952.2,2025-10-10,980.75,1372916,952.2
1003.95,967.0,2025-10-13,1010.0,3415903,962.1
999.0,1008.55,2025-10-14,1020.0,1412070,991.3
1019.25,1003.0,2025-10-15,1023.4,1045369,995.6
1006.75,1024.2,2025-10-16,1024.2,555905,1003.0
1004.65,1011.45,2025-10-17,1011.95,716156,998.5
1020.35,1015.0,2025-10-20,1024.7,777381,1004.7
1026.25,1029.0,2025-10-21,1030.0,266944,1021.0
1020.2,1029.0,2025-10-23,1034.15,630743,1015.0
1036.2,1024.0,2025-10-24,1045.0,981772,1019.6
1058.9,1041.0,2025-10-27,1064.9,1429690,1035.4
1091.3,1064.2,2025-10-28,1097.1,2427463,1060.0
1007.8,1055.05,2025-10-29,1055.05,4733596,997.15
1025.3,1009.75,2025-10-30,1033.0,1824591,998.85
978.0,991.0,2025-10-31,993.6,5240331,941.25
1008.9,978.0,2025-11-03,1014.0,1877970,970.2
986.0,1009.95,2025-11-04,1016.35,742536,982.65
987.5,987.0,2025-11-06,997.0,598664,976.15
996.45,985.85,2025-11-07,1009.0,842897,964.7
1002.1,1001.85,2025-11-10,1008.35,572663,990.1
988.9,1007.0,2025-11-11,1007.0,577988,984.25
996.65,987.95,2025-11-12,1000.0,708432,982.35
990.65,996.0,2025-11-13,1023.0,1136370,988.0
991.3,990.0,2025-11-14,1005.95,706576,981.75
984.4,994.95,2025-11-17,1002.0,873621,981.75
972.1,985.0,2025-11-18,988.35,1632635,970.15
967.55,973.95,2025-11-19,982.0,428098,963.0
952.4,970.0,2025-11-20,975.0,1416006,950.0
947.8,954.7,2025-11-21,962.0,817624,943.7
