close,open,date,high,volume,low
145.56,147.5,2025-07-10,147.69,1714211,145.01
142.44,145.37,2025-07-11,145.85,1701975,142.0
141.98,142.38,2025-07-14,143.71,1357590,141.15
145.78,142.08,2025-07-15,146.3,2471832,142.08
146.96,145.5,2025-07-16,148.31,2096477,144.54
147.5,147.0,2025-07-17,149.19,2160346,146.14
149.21,148.16,2025-07-18,150.25,5010602,147.13
139.15,140.94,2025-07-21,142.6,7694176,136.77
144.81,141.0,2025-07-22,146.95,11041192,141.0
155.89,145.9,2025-07-23,156.5,38817846,144.06
151.39,155.99,2025-07-24,158.3,12543029,149.36
140.82,151.39,2025-07-25,151.4,6797403,140.21
134.96,141.0,2025-07-28,142.05,5158527,134.14
131.32,134.6,2025-07-29,135.4,5268397,129.76
129.87,132.3,2025-07-30,134.8,3580398,129.5
126.11,128.7,2025-07-31,129.46,4210226,125.4
123.55,126.15,2025-08-01,127.36,1935692,123.0
126.93,124.4,2025-08-04,127.49,2080001,122.84
126.92,127.89,2025-08-05,129.21,1902724,125.86
125.07,127.0,2025-08-06,127.84,1670100,123.33
123.66,125.2,2025-08-07,125.4,1886937,120.4
125.77,124.36,2025-08-08,129.0,3316455,123.18
125.86,126.4,2025-08-11,126.4,1266217,123.8
126.29,126.5,2025-08-12,128.39,1124759,125.68
124.73,126.29,2025-08-13,126.5,1818752,124.0
123.6,126.0,2025-08-14,126.19,1604239,122.4
123.45,125.0,2025-08-18,125.0,1202226,122.81
125.15,124.04,2025-08-19,125.7,1453250,123.68
125.08,125.5,2025-08-20,127.78,1753970,124.62
126.63,125.59,2025-08-21,128.8,2518365,125.35
124.89,126.75,2025-08-22,126.75,844374,124.15
123.49,125.8,2025-08-25,126.12,939787,123.0
123.95,123.04,2025-08-26,124.5,1336562,121.57
121.65,123.8,2025-08-28,124.01,745333,121.5
122.02,122.0,2025-08-29,122.7,870415,120.45
125.87,122.79,2025-09-01,126.99,1923747,122.25
126.75,126.78,2025-09-02,128.44,1719181,125.05
127.25,126.99,2025-09-03,128.4,725810,126.74
124.99,128.63,2025-09-04,128.9,1282308,124.21
126.46,126.2,2025-09-05,127.26,822238,125.05
126.69,126.85,2025-09-08,128.4,692452,126.5
125.32,126.99,2025-09-09,129.1,1475567,125.0
127.01,126.0,2025-09-10,128.73,1347251,125.65
127.61,127.65,2025-09-11,131.84,4302455,126.9
126.49,128.0,2025-09-12,128.6,1010837,126.01
126.9,126.95,2025-09-15,128.6,1150630,126.19
127.87,127.8,2025-09-16,128.74,698896,126.99
129.93,128.38,2025-09-17,130.99,2622122,128.05
131.09,131.58,2025-09-18,132.2,2168871,130.25
129.81,131.1,2025-09-19,132.2,1201776,129.5
129.88,129.76,2025-09-22,132.61,1665608,129.03
129.11,130.5,2025-09-23,130.71,695274,128.6
127.46,129.35,2025-09-24,129.79,785037,127.13
129.7,128.0,2025-09-25,130.9,1782834,127.35
127.39,129.2,2025-09-26,130.59,1843966,126.1
134.11,128.19,2025-09-29,137.6,15577557,127.56
132.79,135.4,2025-09-30,135.48,2183300,131.67
133.31,132.8,2025-10-01,136.3,2150382,132.64
143.4,134.49,2025-10-03,146.77,17510619,132.15
147.61,144.0,2025-10-06,148.44,10653696,141.61
149.28,148.0,2025-10-07,154.2,18883831,146.88
