close,open,date,high,volume,low
63.41,64.8,2025-07-11,65.24,6023620,62.9
63.38,63.85,2025-07-14,64.42,4986951,63.2
64.73,63.62,2025-07-15,65.5,10147143,63.62
64.5,65.17,2025-07-16,65.69,4356444,64.35
64.47,65.0,2025-07-17,65.24,3211730,63.99
43.52,43.7,2025-07-18,44.78,16342618,43.1
43.81,43.52,2025-07-21,44.05,3306172,43.0
42.84,43.81,2025-07-22,43.83,4428048,42.79
41.57,42.84,2025-07-23,43.08,7354994,41.45
41.4,41.8,2025-07-24,42.6,5491203,41.35
40.49,41.42,2025-07-25,41.56,5046157,40.35
40.01,40.3,2025-07-28,40.97,4509405,39.32
38.98,39.9,2025-07-29,40.41,10984590,38.69
37.77,39.19,2025-07-30,39.26,6995863,37.5
37.1,37.1,2025-07-31,37.7,4625910,36.66
37.52,37.39,2025-08-01,38.6,7643620,37.06
38.24,37.87,2025-08-04,38.37,4742827,37.36
39.35,38.47,2025-08-05,39.77,8399126,38.1
38.73,39.35,2025-08-06,39.99,5735903,38.11
38.28,38.5,2025-08-07,38.74,4276994,37.81
39.09,38.46,2025-08-08,39.42,3038655,37.91
38.28,39.17,2025-08-11,39.27,2762424,38.15
37.86,38.28,2025-08-12,38.48,2662088,37.8
37.66,38.09,2025-08-13,38.18,3138737,37.6
37.79,37.84,2025-08-14,37.95,6652014,37.12
39.46,38.21,2025-08-18,39.84,7364184,38.03
41.89,39.6,2025-08-19,43.4,43359719,39.06
42.88,42.22,2025-08-20,43.14,12383384,41.66
42.73,43.1,2025-08-21,43.21,4725006,42.16
41.76,42.65,2025-08-22,42.72,3949910,41.45
42.03,41.76,2025-08-25,42.25,13196114,41.65
41.61,41.9,2025-08-26,42.38,6291415,41.21
41.42,41.51,2025-08-28,41.77,2901358,40.82
41.56,41.65,2025-08-29,41.7,4748362,40.67
41.98,41.79,2025-09-01,42.13,3052525,41.61
43.0,42.27,2025-09-02,43.12,9333707,41.77
42.87,43.0,2025-09-03,43.36,5373986,42.34
44.15,43.43,2025-09-04,44.8,18369843,43.0
45.17,44.43,2025-09-05,45.48,19433639,43.86
47.26,45.78,2025-09-08,48.0,32144810,45.5
49.5,47.85,2025-09-09,50.54,26673717,46.43
48.91,49.5,2025-09-10,49.5,19719593,47.63
49.5,48.5,2025-09-11,49.69,13353550,47.84
50.09,49.79,2025-09-12,50.49,22518739,48.52
48.82,50.34,2025-09-15,50.35,9262971,48.36
49.35,49.0,2025-09-16,50.0,11695692,48.66
48.6,49.67,2025-09-17,49.8,6639585,48.45
48.48,48.84,2025-09-18,49.5,7377554,47.23
48.46,49.0,2025-09-19,49.0,6797063,47.86
47.58,48.01,2025-09-22,48.4,4752090,47.5
48.01,47.88,2025-09-23,48.52,9956959,47.42
47.17,47.99,2025-09-24,49.5,9392109,46.93
46.71,47.1,2025-09-25,47.77,3873266,46.48
46.85,46.71,2025-09-26,47.27,6343229,46.15
46.44,47.25,2025-09-29,47.47,26693107,45.71
45.71,46.44,2025-09-30,46.84,4134996,45.52
45.84,45.71,2025-10-01,46.0,2531716,45.36
45.74,45.85,2025-10-03,46.13,3044672,45.2
45.44,46.0,2025-10-06,46.1,3584571,45.21
46.38,45.55,2025-10-07,46.76,4824774,45.36
45.74,46.38,2025-10-08,46.75,2788840,45.55
45.06,45.74,2025-10-09,45.88,2828677,44.95
44.46,45.01,2025-10-10,45.87,3753770,44.37
45.04,44.0,2025-10-13,45.17,3562805,43.95
44.05,45.04,2025-10-14,45.52,2044134,44.0
46.41,44.39,2025-10-15,47.5,6845180,44.08
46.26,46.5,2025-10-16,46.6,3497055,45.75
45.89,46.3,2025-10-17,46.67,2143216,45.72
46.45,46.0,2025-10-20,46.64,2352682,45.72
46.56,46.89,2025-10-21,47.2,702915,46.25
47.67,46.8,2025-10-23,48.2,6585615,46.49
47.09,48.61,2025-10-24,48.61,4623333,46.6
46.3,47.09,2025-10-27,47.2,2196628,46.21
46.74,46.49,2025-10-28,47.44,2536011,46.41
47.82,46.89,2025-10-29,48.0,3537519,46.3
47.41,47.62,2025-10-30,47.75,2741101,46.9
47.21,47.0,2025-10-31,47.99,3535008,47.0
47.65,46.99,2025-11-03,47.75,3609778,46.53
46.99,47.75,2025-11-04,47.83,2242212,46.6
47.79,47.99,2025-11-06,48.81,11938833,46.74
46.78,47.34,2025-11-07,47.4,5792040,45.75
45.87,46.78,2025-11-10,46.78,2481446,45.65
46.42,45.7,2025-11-11,46.71,3221030,45.12
46.35,46.39,2025-11-12,46.67,2365668,46.01
47.39,46.0,2025-11-13,47.5,4399025,46.0
47.96,47.39,2025-11-14,48.45,5709408,47.36
49.01,48.0,2025-11-17,49.09,6674298,47.73
48.42,49.07,2025-11-18,49.4,7899171,48.3
48.64,48.45,2025-11-19,48.95,9989905,47.81
49.05,48.7,2025-11-20,49.44,5934183,48.56
48.42,48.99,2025-11-21,49.05,13603541,47.82
47.59,48.59,2025-11-24,49.34,5842053,47.1
46.79,47.58,2025-11-25,47.81,2301649,46.7
45.98,46.83,2025-11-26,46.94,3878284,45.9
46.27,46.44,2025-11-27,46.45,4208556,45.45
45.66,46.5,2025-11-28,46.55,2943752,45.5
46.66,45.9,2025-12-01,46.8,3139423,45.45
46.41,46.42,2025-12-02,46.63,2505266,46.06
46.14,46.49,2025-12-03,47.37,3810018,45.74
45.54,46.14,2025-12-04,46.2,1888602,45.45
45.6,45.54,2025-12-05,45.84,6829483,44.47
44.8,45.6,2025-12-08,45.66,3578192,43.9
44.75,44.8,2025-12-09,45.12,4165860,43.86
44.51,44.75,2025-12-10,45.19,4860637,44.21
45.65,44.78,2025-12-11,45.88,2406946,44.17
45.91,45.65,2025-12-12,46.74,8397399,45.25
45.97,45.91,2025-12-15,46.49,2394942,45.64
45.51,46.2,2025-12-16,46.6,5585698,45.27
45.15,45.51,2025-12-17,46.45,4076466,44.99
44.9,45.23,2025-12-18,45.43,2153740,44.6
47.65,44.81,2025-12-19,49.6,49911481,44.81
46.33,48.0,2025-12-22,48.16,5804351,46.21
45.45,46.32,2025-12-23,46.54,7671767,45.3
45.28,45.51,2025-12-24,45.95,4284783,45.1
45.13,45.28,2025-12-26,45.39,3087500,45.0
