close,open,date,high,volume,low
2665.4,2663.9,2025-07-14,2682.4,393965,2614.2
2655.5,2660.0,2025-07-15,2677.1,309635,2638.6
2650.2,2655.1,2025-07-16,2655.1,245451,2632.7
2660.0,2653.0,2025-07-17,2664.0,220480,2627.2
2660.0,2655.1,2025-07-18,2674.0,208268,2640.0
2683.2,2660.0,2025-07-21,2702.9,388402,2645.0
2674.3,2683.2,2025-07-22,2696.0,307737,2652.6
2690.0,2693.9,2025-07-23,2695.4,328123,2658.1
2662.2,2690.0,2025-07-24,2718.0,332080,2645.0
2660.6,2680.0,2025-07-25,2695.5,248220,2640.0
2648.0,2660.0,2025-07-28,2687.7,263831,2618.4
2617.1,2647.0,2025-07-29,2649.9,320111,2582.4
2633.2,2629.0,2025-07-30,2637.0,686131,2587.0
2612.3,2600.8,2025-07-31,2639.9,622451,2595.0
2592.7,2612.3,2025-08-01,2630.9,210510,2582.4
2665.8,2592.0,2025-08-04,2670.2,1053175,2548.0
2641.5,2670.0,2025-08-05,2677.0,293862,2616.0
2624.7,2635.1,2025-08-06,2655.8,340219,2613.1
2634.6,2625.0,2025-08-07,2655.0,196791,2595.4
2617.8,2641.0,2025-08-08,2664.7,223811,2595.0
2589.8,2605.2,2025-08-11,2626.4,439383,2560.0
2533.2,2592.4,2025-08-12,2596.9,261504,2510.0
2509.9,2522.0,2025-08-13,2549.9,487954,2476.6
2757.4,2730.0,2025-08-14,2800.0,8765092,2671.3
2768.3,2800.0,2025-08-18,2807.0,760570,2755.6
2747.2,2775.0,2025-08-19,2794.9,381133,2731.1
2683.9,2754.4,2025-08-20,2754.4,632863,2656.9
2675.8,2697.9,2025-08-21,2701.7,439025,2649.1
2680.6,2684.0,2025-08-22,2695.0,294041,2670.0
2693.7,2695.0,2025-08-25,2716.4,368961,2680.7
2673.1,2693.7,2025-08-26,2699.1,383881,2659.2
2644.8,2694.4,2025-08-28,2694.4,408579,2635.2
2637.8,2650.0,2025-08-29,2676.0,494826,2604.2
2710.0,2664.1,2025-09-01,2727.0,1352162,2651.2
2698.7,2732.6,2025-09-02,2768.0,497354,2686.5
2783.6,2709.5,2025-09-03,2800.0,1097610,2709.5
2826.3,2795.0,2025-09-04,2835.0,874540,2788.4
2837.9,2835.0,2025-09-05,2874.9,464545,2830.0
2900.9,2844.2,2025-09-08,2933.6,566051,2839.9
2942.4,2918.0,2025-09-09,2945.4,558569,2914.7
2898.1,2950.0,2025-09-10,2954.7,388493,2876.1
2877.4,2909.9,2025-09-11,2919.7,292701,2871.0
2926.2,2899.0,2025-09-12,2929.0,219036,2883.4
2937.0,2935.0,2025-09-15,2945.0,162815,2906.0
2988.4,2950.9,2025-09-16,2996.9,329547,2940.0
2942.1,2975.1,2025-09-17,2990.9,355490,2932.0
2957.6,2955.5,2025-09-18,2962.4,295424,2915.5
2934.9,2975.0,2025-09-19,2990.0,423706,2918.0
3047.6,2946.0,2025-09-22,3061.9,915253,2935.3
3060.8,3070.0,2025-09-23,3078.1,576185,3031.1
3088.3,3049.9,2025-09-24,3100.8,546580,3043.1
3051.6,3078.0,2025-09-25,3078.0,458349,3038.0
3020.3,3045.0,2025-09-26,3071.0,456328,3002.0
3064.7,3029.6,2025-09-29,3077.4,455979,3013.0
3077.1,3079.9,2025-09-30,3117.9,609599,3053.5
3144.5,3100.0,2025-10-01,3147.6,393081,3076.0
3167.6,3150.0,2025-10-03,3175.9,548299,3106.1
3227.7,3172.8,2025-10-06,3235.0,412347,3152.3
3242.6,3226.0,2025-10-07,3257.9,450418,3210.0
3263.1,3248.0,2025-10-08,3274.1,326225,3220.0
3249.5,3250.0,2025-10-09,3268.1,366182,3234.1
3156.9,3233.0,2025-10-10,3240.0,542445,3150.5
3214.0,3145.9,2025-10-13,3219.7,327232,3132.8
3218.3,3236.0,2025-10-14,3285.0,524878,3209.0
3260.3,3239.0,2025-10-15,3277.5,529423,3232.6
3268.5,3265.0,2025-10-16,3279.8,234148,3252.1
3334.5,3286.4,2025-10-17,3377.9,1123086,3277.9
3322.2,3332.8,2025-10-20,3343.2,375687,3282.0
3274.7,3312.1,2025-10-21,3322.2,131496,3265.1
3182.1,3251.1,2025-10-23,3252.0,1744380,3107.0
3163.1,3196.9,2025-10-24,3238.0,611149,3146.8
3145.9,3169.0,2025-10-27,3186.8,468730,3129.1
3182.0,3120.0,2025-10-28,3235.0,1227792,3089.6
3183.2,3160.0,2025-10-29,3192.9,470760,3145.0
3191.4,3190.0,2025-10-30,3199.0,361330,3143.6
3178.7,3195.0,2025-10-31,3245.0,462972,3173.0
3190.6,3180.6,2025-11-03,3220.0,287912,3170.8
3188.3,3180.0,2025-11-04,3206.8,633624,3165.0
3183.8,3188.3,2025-11-06,3228.0,375247,3164.9
3230.0,3161.0,2025-11-07,3238.4,397869,3145.2
3328.2,3245.0,2025-11-10,3335.0,452157,3220.3
3389.3,3350.0,2025-11-11,3398.0,468605,3316.6
3324.9,3389.3,2025-11-12,3389.3,349779,3305.0
3393.1,3325.0,2025-11-13,3406.8,509408,3307.2
3725.6,3650.0,2025-11-14,3755.0,4743416,3580.0
3760.5,3725.6,2025-11-17,3767.8,1176503,3701.0
3695.9,3680.1,2025-11-18,3748.1,525413,3680.1
3701.7,3692.1,2025-11-19,3709.8,314805,3676.5
3697.5,3709.2,2025-11-20,3726.3,307177,3692.6
3636.0,3693.0,2025-11-21,3698.0,290515,3630.6
3614.4,3636.0,2025-11-24,3650.0,489543,3594.4
3681.4,3638.0,2025-11-25,3697.9,639146,3625.0
3725.6,3709.9,2025-11-26,3735.0,334780,3690.0
3760.5,3725.6,2025-11-27,3773.9,382058,3725.6
3744.2,3765.0,2025-11-28,3772.5,356642,3731.5
3811.1,3779.0,2025-12-01,3833.0,453900,3770.0
3779.9,3800.0,2025-12-02,3827.4,353585,3765.2
3763.4,3795.0,2025-12-03,3795.0,287386,3709.2
3702.0,3770.0,2025-12-04,3778.5,330361,3688.3
3800.1,3702.0,2025-12-05,3807.0,328682,3702.0
3775.7,3799.1,2025-12-08,3818.0,452775,3753.0
3742.1,3753.1,2025-12-09,3767.6,668721,3712.0
3745.8,3768.5,2025-12-10,3792.0,270109,3735.6
3734.2,3760.0,2025-12-11,3784.4,219811,3726.0
3837.6,3765.0,2025-12-12,3848.1,437084,3751.1
3856.4,3837.4,2025-12-15,3868.0,295860,3802.6
3847.0,3849.1,2025-12-16,3855.5,176630,3818.8
3766.5,3853.0,2025-12-17,3867.0,283613,3756.5
3749.9,3784.9,2025-12-18,3784.9,345092,3724.1
3781.2,3749.5,2025-12-19,3790.0,429282,3722.0
3790.4,3781.2,2025-12-22,3799.1,278670,3750.0
3808.2,3801.2,2025-12-23,3819.9,290999,3770.0
3804.7,3820.0,2025-12-24,3890.0,622859,3790.0
3797.0,3824.0,2025-12-26,3845.0,218879,3785.0
3736.5,3812.0,2025-12-29,3826.9,228650,3725.6
3799.1,3710.0,2025-12-30,3819.0,1688316,3690.1
3811.7,3799.1,2025-12-31,3859.0,334171,3780.7
3839.0,3801.5,2026-01-01,3844.9,200637,3766.5
3820.8,3835.0,2026-01-02,3884.8,394926,3797.7
3921.0,3849.0,2026-01-05,3930.0,828263,3839.9
3940.7,3950.0,2026-01-06,3995.0,620673,3915.1
3960.1,3959.0,2026-01-07,3994.0,485501,3917.4
3853.8,3950.0,2026-01-08,3954.7,619124,3806.7
3821.0,3850.0,2026-01-09,3885.0,430996,3795.1
3909.0,3855.5,2026-01-12,3917.5,492060,3840.5
3926.3,3900.1,2026-01-13,3947.0,333979,3885.0
3938.1,3936.0,2026-01-14,3954.3,291366,3888.0
3936.1,3905.0,2026-01-16,3969.8,254955,3905.0
3946.9,3942.0,2026-01-19,3964.6,311547,3922.1
3930.4,3962.0,2026-01-20,3962.0,444231,3891.5
3906.6,3934.5,2026-01-21,4028.3,1138006,3897.8
3861.9,3932.0,2026-01-22,3945.0,731117,3754.3
3802.8,3931.2,2026-01-23,3934.6,481529,3796.7
3867.4,3829.0,2026-01-27,3889.7,504352,3819.0
3955.5,3905.0,2026-01-28,3984.5,467752,3900.0
4091.7,4015.9,2026-01-29,4149.5,751686,3996.0
3829.6,4000.0,2026-01-30,4000.0,1066990,3801.1
3535.1,3480.0,2026-02-02,3584.0,1113164,3410.5
3624.2,3725.0,2026-02-03,3798.9,1218833,3590.0
3721.7,3636.1,2026-02-04,3776.7,600107,3636.1
3578.8,3630.5,2026-02-05,3630.5,689465,3531.0
3704.2,3549.0,2026-02-06,3712.8,827152,3470.4
3779.8,3722.4,2026-02-09,3799.6,505069,3722.4
3882.0,3790.5,2026-02-10,3892.0,542510,3759.2
3933.2,3909.0,2026-02-11,3947.7,576889,3896.0
4066.9,3950.0,2026-02-12,4082.9,918911,3882.3
3586.1,3870.0,2026-02-13,3870.0,6498829,3552.7
3498.2,3580.0,2026-02-16,3580.0,1558907,3450.0
3495.9,3496.9,2026-02-17,3533.1,1095510,3440.1
3456.9,3482.1,2026-02-18,3529.0,834116,3445.2
3410.9,3462.9,2026-02-19,3492.4,539236,3381.7
3460.0,3400.3,2026-02-20,3471.5,881990,3365.0
3473.2,3512.0,2026-02-23,3539.9,946415,3442.5
3494.0,3475.0,2026-02-24,3504.0,550989,3444.0
3504.6,3510.0,2026-02-25,3523.4,476959,3466.0
3435.9,3499.8,2026-02-26,3505.0,800594,3399.0
3353.5,3458.0,2026-02-27,3458.0,1362651,3332.4
3471.9,3354.9,2026-03-02,3484.8,1268987,3354.9
3339.9,3399.1,2026-03-04,3422.4,748065,3327.4
3306.4,3369.0,2026-03-05,3378.9,957052,3240.2
3238.9,3303.9,2026-03-06,3326.9,564590,3232.0
3241.9,3090.1,2026-03-09,3270.0,691626,3080.4
3283.2,3304.8,2026-03-10,3308.7,618725,3253.8
3163.9,3290.3,2026-03-11,3302.4,757649,3157.5
3244.0,3127.0,2026-03-12,3253.4,1798792,3119.1
3333.2,3238.1,2026-03-13,3355.0,1425667,3216.5
3361.0,3316.6,2026-03-16,3370.0,1333026,3283.0
3419.2,3370.2,2026-03-17,3428.0,627317,3336.4
3433.0,3440.0,2026-03-18,3492.9,1016998,3400.0
3306.4,3370.0,2026-03-19,3398.8,1181511,3272.5
3315.9,3299.0,2026-03-20,3328.9,1556677,3256.0
3115.6,3190.0,2026-03-23,3220.5,2186867,3042.1
3155.2,3141.0,2026-03-24,3165.5,1645283,3047.1
3320.2,3219.9,2026-03-25,3334.0,1080479,3200.2
3270.6,3284.1,2026-03-27,3348.7,4509352,3198.8
3160.1,3189.0,2026-03-30,3249.9,1170858,3140.0
3256.0,3279.0,2026-04-01,3320.0,790724,3235.0
3178.8,3150.0,2026-04-02,3200.2,657545,3145.0
3289.8,3196.1,2026-04-06,3303.8,756759,3168.0
3241.4,3270.0,2026-04-07,3291.7,612643,3225.5
3503.3,3360.0,2026-04-08,3514.6,1290282,3360.0
3475.2,3461.0,2026-04-09,3515.0,800263,3445.0
3573.9,3496.0,2026-04-10,3579.9,850055,3496.0
3562.3,3499.0,2026-04-13,3575.5,524232,3437.0
3598.0,3650.3,2026-04-15,3678.5,911707,3571.1
3578.0,3634.9,2026-04-16,3662.0,734891,3565.0
