close,open,date,high,volume,low
855.25,874.95,2025-08-26,875.35,380460.0,853.6
867.15,853.05,2025-08-28,871.0,349020.0,849.0
862.0,867.15,2025-08-29,872.0,244492.0,855.55
864.8,862.95,2025-09-01,870.25,271492.0,859.65
865.65,869.0,2025-09-02,882.5,317803.0,862.05
872.0,867.75,2025-09-03,878.9,499490.0,856.55
855.55,884.95,2025-09-04,885.0,378931.0,850.15
852.75,860.95,2025-09-05,867.45,245888.0,851.0
846.1,857.4,2025-09-08,861.3,349057.0,844.8
841.25,849.2,2025-09-09,851.95,200780.0,840.0
844.25,848.1,2025-09-10,863.6,492194.0,841.8
848.25,848.0,2025-09-11,863.85,440108.0,846.3
862.2,856.85,2025-09-12,864.8,287633.0,850.25
851.4,864.95,2025-09-15,865.95,424517.0,847.4
852.15,855.6,2025-09-16,860.5,312336.0,848.5
857.25,857.6,2025-09-17,862.2,229795.0,852.45
884.3,859.95,2025-09-18,896.95,1555969.0,855.6
884.25,888.65,2025-09-19,889.25,392813.0,875.1
864.5,884.25,2025-09-22,884.25,274124.0,861.5
855.5,865.05,2025-09-23,868.2,277366.0,853.4
854.2,855.1,2025-09-24,858.8,228004.0,852.0
842.3,854.0,2025-09-25,859.25,390039.0,840.0
820.75,824.95,2025-09-26,835.0,1561872.0,796.9
795.4,820.75,2025-09-29,824.1,727817.0,791.0
795.55,801.9,2025-09-30,804.5,361742.0,789.0
806.55,799.9,2025-10-01,815.15,369957.0,796.75
822.55,813.7,2025-10-03,825.1,331044.0,808.0
815.15,830.0,2025-10-06,830.0,338272.0,808.55
811.4,820.0,2025-10-07,821.5,323135.0,809.15
809.0,812.0,2025-10-08,819.45,294055.0,806.4
813.55,810.0,2025-10-09,821.75,313756.0,810.0
845.8,845.0,2025-10-10,864.8,3958221.0,834.2
839.8,846.0,2025-10-13,847.8,389540.0,836.0
809.7,839.0,2025-10-14,840.65,865428.0,802.05
820.25,815.8,2025-10-15,821.95,336414.0,808.55
821.85,822.0,2025-10-16,824.9,211098.0,818.0
826.2,824.9,2025-10-17,847.9,901682.0,815.45
833.65,836.0,2025-10-20,837.6,286022.0,826.85
842.0,838.0,2025-10-21,844.4,148511.0,834.35
834.2,848.0,2025-10-23,849.45,351703.0,831.3
824.9,838.8,2025-10-24,838.8,237410.0,823.05
825.05,830.8,2025-10-27,835.0,437195.0,820.0
826.5,829.9,2025-10-28,834.15,240244.0,825.0
828.1,827.35,2025-10-29,832.0,261197.0,823.95
833.3,828.8,2025-10-30,835.6,223669.0,824.25
819.9,833.55,2025-10-31,838.9,412744.0,819.0
831.5,819.9,2025-11-03,833.5,480835.0,809.9
819.85,825.1,2025-11-04,837.2,352816.0,818.8
800.5,826.7,2025-11-06,826.7,666933.0,795.2
802.5,802.95,2025-11-07,805.0,384061.0,795.1
798.8,808.1,2025-11-10,808.1,374592.0,793.1
792.95,800.9,2025-11-11,803.25,315001.0,792.05
822.35,797.4,2025-11-12,829.0,896956.0,797.2
826.15,828.0,2025-11-13,831.95,457469.0,821.15
812.65,827.9,2025-11-14,830.0,974189.0,807.0
820.9,812.65,2025-11-17,825.9,519967.0,805.6
814.55,821.95,2025-11-18,824.9,284672.0,812.1
830.15,818.0,2025-11-19,848.0,2313933.0,811.4
869.3,831.7,2025-11-20,887.65,7751429.0,828.3
864.8,869.0,2025-11-21,872.9,731845.0,857.0
841.25,855.5,2025-11-24,864.1,977040.0,837.35
834.0,841.25,2025-11-25,850.95,465131.0,826.95
927.4,834.0,2025-11-26,938.15,19483069.0,834.0
882.75,927.0,2025-11-27,934.5,5461313.0,876.0
877.25,887.1,2025-11-28,900.9,2143680.0,869.25
903.2,885.15,2025-12-01,923.0,5243124.0,880.0
932.55,907.7,2025-12-02,948.8,8644797.0,897.4
935.4,931.95,2025-12-03,943.9,2027565.0,924.05
949.25,939.6,2025-12-04,950.1,2268798.0,910.5
933.6,945.0,2025-12-05,945.95,838020.0,928.2
897.75,934.7,2025-12-08,945.7,1121902.0,891.5
892.8,895.0,2025-12-09,902.75,703288.0,880.1
867.5,897.3,2025-12-10,897.85,638600.0,864.3
917.55,870.0,2025-12-11,933.65,6400043.0,865.9
905.65,914.8,2025-12-12,924.35,1394378.0,901.05
905.2,905.65,2025-12-15,918.2,706954.0,895.25
921.45,905.25,2025-12-16,928.2,1318280.0,903.2
922.3,923.5,2025-12-17,930.2,669230.0,913.0
914.85,923.0,2025-12-18,925.0,388879.0,911.05
916.75,918.6,2025-12-19,943.8,828324.0,913.0
923.85,919.5,2025-12-22,927.75,491316.0,910.8
927.0,920.0,2025-12-23,950.9,600837.0,920.0
916.25,923.2,2025-12-24,926.8,309442.0,913.5
908.5,920.7,2025-12-26,920.9,283088.0,906.2
895.7,908.8,2025-12-29,910.0,345497.0,893.45
897.25,899.8,2025-12-30,907.5,388763.0,887.0
903.05,899.95,2025-12-31,908.0,250870.0,897.75
888.2,901.05,2026-01-01,901.05,552559.0,884.2
893.05,888.2,2026-01-02,903.0,454790.0,887.15
906.1,893.85,2026-01-05,916.5,581137.0,888.75
925.9,909.85,2026-01-06,941.0,1230048.0,905.35
946.1,930.4,2026-01-07,960.4,1817099.0,928.0
909.7,950.75,2026-01-08,950.75,550397.0,905.75
890.2,913.2,2026-01-09,925.2,758205.0,883.0
857.85,890.0,2026-01-12,890.0,914840.0,849.1
871.8,866.0,2026-01-13,879.75,497265.0,862.0
891.95,875.0,2026-01-14,894.1,460228.0,870.8
859.4,892.0,2026-01-16,892.8,483657.0,852.9
845.75,861.0,2026-01-19,861.0,399337.0,841.0
822.75,851.2,2026-01-20,854.95,472718.0,818.05
839.75,819.95,2026-01-21,844.35,569270.0,814.5
834.75,844.95,2026-01-22,849.0,329011.0,830.25
831.95,835.0,2026-01-23,846.2,318161.0,825.0
814.25,840.0,2026-01-27,840.0,528716.0,809.0
818.5,820.05,2026-01-28,822.5,350526.0,812.4
813.2,821.8,2026-01-29,821.8,385390.0,809.0
835.9,810.0,2026-01-30,841.3,565512.0,806.05
823.9,823.9,2026-02-02,829.95,292623.0,810.55
853.7,880.0,2026-02-03,880.5,581622.0,845.05
841.1,860.0,2026-02-04,864.3,816586.0,838.0
828.95,842.0,2026-02-05,847.9,454698.0,827.0
823.55,827.05,2026-02-06,827.95,354957.0,812.3
845.6,830.05,2026-02-09,848.95,547253.0,819.35
846.95,848.0,2026-02-10,860.15,447090.0,839.0
850.8,848.8,2026-02-11,859.5,430555.0,846.8
839.85,851.0,2026-02-12,869.8,1540822.0,833.55
823.85,830.0,2026-02-13,834.25,451730.0,819.0
881.45,830.45,2026-02-16,932.0,22776662.0,828.0
884.7,887.45,2026-02-17,892.55,1741490.0,876.85
890.5,883.1,2026-02-18,898.5,1068111.0,862.85
888.3,896.0,2026-02-19,931.75,2709416.0,880.0
891.7,884.15,2026-02-20,894.9,440459.0,878.0
893.0,895.0,2026-02-23,906.4,384128.0,885.55
944.85,886.9,2026-02-24,950.0,10308556.0,885.55
978.2,948.0,2026-02-25,990.0,5721916.0,942.95
972.15,983.0,2026-02-26,993.9,966038.0,963.7
988.5,969.0,2026-02-27,999.0,2003619.0,960.0
956.25,925.15,2026-03-02,967.85,1073411.0,925.15
953.1,956.25,2026-03-04,992.4,3017646.0,944.6
1000.8,958.8,2026-03-05,1003.9,2953208.0,958.8
1019.7,1006.8,2026-03-06,1024.9,1606169.0,1000.0
1002.7,1001.0,2026-03-09,1019.35,1195996.0,993.85
1039.2,1015.0,2026-03-10,1050.95,2030206.0,1012.7
1016.15,1042.05,2026-03-11,1053.0,720555.0,1010.0
1016.2,1010.0,2026-03-12,1024.0,591887.0,996.05
955.85,1019.95,2026-03-13,1019.95,845767.0,951.0
946.15,990.0,2026-03-16,990.0,800909.0,933.5
942.9,948.05,2026-03-17,956.0,508299.0,926.45
957.9,945.0,2026-03-18,977.4,595749.0,945.0
938.05,950.0,2026-03-19,969.1,693120.0,932.1
959.2,950.0,2026-03-20,972.5,743788.0,948.2
927.55,960.0,2026-03-23,965.25,714373.0,924.4
949.75,950.0,2026-03-24,955.9,446714.0,925.1
973.7,967.6,2026-03-25,987.85,690459.0,959.25
978.7,970.0,2026-03-27,982.0,516032.0,955.0
974.2,968.05,2026-03-30,1007.8,1325914.0,960.3
1001.9,998.6,2026-04-01,1014.9,703695.0,984.75
1027.55,984.0,2026-04-02,1031.0,1054328.0,978.45
1028.55,1029.95,2026-04-06,1034.95,550982.0,1012.0
1082.4,1023.0,2026-04-07,1096.5,3107569.0,1008.0
1112.45,1100.0,2026-04-08,1124.0,1794093.0,1075.0
1123.7,1106.9,2026-04-09,1128.0,867099.0,1097.15
1104.2,1125.0,2026-04-10,1134.85,662719.0,1100.0
1077.25,1079.05,2026-04-13,1093.9,526970.0,1070.0
1091.5,1089.5,2026-04-15,1095.0,561394.0,1075.35
