close,open,date,high,volume,low
191.47,192.22,2025-08-21,193.57,2828430.0,190.74
188.87,191.1,2025-08-22,192.17,2388053.0,188.5
190.41,189.9,2025-08-25,193.0,4149070.0,189.9
186.02,189.5,2025-08-26,190.35,3791406.0,185.1
184.79,185.8,2025-08-28,187.84,5377292.0,184.1
186.18,185.99,2025-08-29,188.47,5025373.0,183.86
191.79,187.8,2025-09-01,192.4,4526262.0,186.75
200.53,192.0,2025-09-02,201.95,25022851.0,190.87
207.12,201.51,2025-09-03,208.3,16998064.0,201.51
206.67,209.0,2025-09-04,209.3,8186271.0,204.5
212.14,207.0,2025-09-05,213.0,9198908.0,205.2
210.56,213.0,2025-09-08,216.95,8837936.0,209.6
206.62,210.61,2025-09-09,211.7,5412600.0,206.19
209.13,207.25,2025-09-10,211.37,6450913.0,207.02
214.4,210.25,2025-09-11,218.39,14202110.0,209.8
218.3,215.2,2025-09-12,219.14,8843556.0,214.4
216.79,219.14,2025-09-15,221.23,7843919.0,216.07
216.48,217.0,2025-09-16,218.4,7290406.0,213.74
213.26,216.51,2025-09-17,217.92,8013579.0,211.66
213.8,213.5,2025-09-18,214.3,5633670.0,211.02
211.6,211.0,2025-09-19,212.74,6125353.0,210.24
210.94,211.79,2025-09-22,214.5,5282484.0,209.46
208.84,210.9,2025-09-23,211.88,6350517.0,207.3
206.09,208.01,2025-09-24,210.07,5280952.0,205.6
205.61,206.4,2025-09-25,210.38,6275647.0,204.81
200.58,205.6,2025-09-26,206.22,6436834.0,198.68
203.91,201.0,2025-09-29,206.0,5885119.0,200.83
213.87,204.2,2025-09-30,215.4,22791494.0,204.2
214.5,214.8,2025-10-01,215.99,8477437.0,210.2
221.16,214.5,2025-10-03,224.6,25070995.0,214.5
217.15,222.05,2025-10-06,223.5,7789646.0,216.74
217.07,217.9,2025-10-07,220.0,6033212.0,216.0
223.62,218.15,2025-10-08,226.25,32888505.0,218.05
229.55,225.4,2025-10-09,232.2,21222011.0,224.73
224.3,230.0,2025-10-10,230.8,9669882.0,223.4
225.38,223.0,2025-10-13,226.23,8749565.0,221.37
223.91,227.1,2025-10-14,229.2,8629781.0,222.77
226.55,223.8,2025-10-15,228.0,12613195.0,223.8
226.84,227.0,2025-10-16,227.75,6327250.0,223.92
225.35,227.09,2025-10-17,230.49,8595074.0,223.8
226.03,225.42,2025-10-20,227.42,5197040.0,222.71
227.35,227.0,2025-10-21,227.92,1587416.0,226.5
228.28,228.5,2025-10-23,231.14,9421550.0,227.35
236.1,234.0,2025-10-24,240.2,30712917.0,232.07
237.87,237.8,2025-10-27,238.88,5646448.0,236.51
236.76,237.87,2025-10-28,241.11,10124445.0,235.65
238.1,238.0,2025-10-29,241.0,10095469.0,237.36
238.08,237.6,2025-10-30,239.32,7514342.0,234.33
234.14,235.9,2025-10-31,236.95,9030396.0,233.31
238.66,237.0,2025-11-03,240.1,9491472.0,236.28
233.27,238.0,2025-11-04,238.14,6566393.0,231.75
230.59,233.27,2025-11-06,233.3,6052538.0,228.03
