close,open,date,high,volume,low
1393.4,1404.0,2025-07-16,1407.0,708852,1386.0
1379.3,1400.4,2025-07-17,1402.7,653294,1377.1
1364.8,1384.0,2025-07-18,1393.4,1994386,1358.1
1399.8,1364.8,2025-07-21,1414.8,1061489,1363.2
1458.8,1404.0,2025-07-22,1467.5,4076845,1404.0
1475.0,1460.0,2025-07-23,1481.0,1600050,1459.1
1457.2,1468.1,2025-07-24,1485.0,683571,1450.6
1436.5,1451.0,2025-07-25,1451.0,1043310,1427.0
1409.5,1430.0,2025-07-28,1431.9,1778107,1384.4
1409.4,1419.1,2025-07-29,1419.1,1203324,1375.1
1395.6,1390.0,2025-07-30,1406.1,2075877,1364.7
1392.3,1380.0,2025-07-31,1400.0,1082367,1370.0
1367.9,1395.0,2025-08-01,1399.9,432220,1364.2
1370.9,1369.0,2025-08-04,1377.4,2890882,1359.0
1341.7,1372.0,2025-08-05,1372.5,3593587,1333.0
1322.4,1341.7,2025-08-06,1345.0,1704636,1311.5
1361.7,1315.0,2025-08-07,1371.0,1124107,1311.2
1332.0,1361.0,2025-08-08,1369.5,1636607,1322.3
1320.6,1307.9,2025-08-11,1341.9,4245522,1287.1
1321.2,1332.0,2025-08-12,1352.5,2051386,1311.2
1325.9,1325.0,2025-08-13,1331.3,1533006,1312.5
1365.4,1329.0,2025-08-14,1385.5,6756189,1319.5
1353.6,1390.0,2025-08-18,1400.1,1159319,1350.1
1380.8,1359.5,2025-08-19,1385.0,1022673,1343.6
1395.5,1365.0,2025-08-20,1398.9,1593082,1365.0
1412.8,1400.0,2025-08-21,1437.8,2432234,1387.1
1380.6,1418.0,2025-08-22,1418.0,1083516,1375.2
1406.1,1387.5,2025-08-25,1420.3,1646990,1385.6
1395.7,1403.0,2025-08-26,1411.2,1437602,1384.1
1386.0,1410.0,2025-08-28,1411.9,830602,1376.0
1358.1,1390.0,2025-08-29,1395.0,1215734,1354.5
1371.7,1358.1,2025-09-01,1377.8,773237,1346.2
1364.5,1376.6,2025-09-02,1390.4,559228,1351.0
1366.4,1374.1,2025-09-03,1374.9,600553,1356.6
1331.8,1368.9,2025-09-04,1380.5,1350218,1324.4
1347.0,1342.8,2025-09-05,1365.5,967418,1329.5
1337.0,1347.0,2025-09-08,1352.9,515700,1325.1
1349.5,1347.3,2025-09-09,1377.2,1229455,1340.8
1385.8,1358.7,2025-09-10,1398.9,1177741,1353.8
1371.9,1382.5,2025-09-11,1383.0,681007,1355.1
1360.6,1375.1,2025-09-12,1380.5,593993,1355.2
1362.8,1360.0,2025-09-15,1374.8,849889,1346.3
1352.4,1371.0,2025-09-16,1371.0,2612615,1343.0
1375.0,1362.5,2025-09-17,1401.9,2281760,1360.3
1384.8,1380.0,2025-09-18,1391.3,1051506,1371.8
1376.1,1388.0,2025-09-19,1388.0,1100226,1371.2
1417.7,1370.0,2025-09-22,1426.0,2045289,1365.2
1393.9,1422.8,2025-09-23,1433.6,1526034,1389.0
1385.3,1391.0,2025-09-24,1405.6,1082692,1375.0
1358.6,1385.3,2025-09-25,1385.4,1099888,1351.7
1316.2,1358.6,2025-09-26,1365.7,1236310,1310.0
1315.8,1317.9,2025-09-29,1332.1,1577060,1299.2
1309.3,1312.1,2025-09-30,1316.6,1322833,1299.8
1338.6,1309.3,2025-10-01,1340.0,1081395,1303.2
1333.9,1341.0,2025-10-03,1342.7,785507,1320.0
1379.9,1334.0,2025-10-06,1393.9,891973,1328.0
1383.6,1379.9,2025-10-07,1390.1,397410,1369.0
1367.5,1383.6,2025-10-08,1388.0,548172,1363.8
1346.5,1390.0,2025-10-09,1393.0,2141013,1332.6
1333.1,1352.5,2025-10-10,1353.3,462385,1331.0
1333.5,1330.1,2025-10-13,1337.1,529298,1317.3
1322.3,1345.5,2025-10-14,1345.5,825533,1320.0
1334.8,1327.9,2025-10-15,1342.8,584131,1326.3
1348.5,1339.7,2025-10-16,1362.9,595870,1333.3
1328.3,1345.2,2025-10-17,1347.0,904220,1323.0
1311.5,1335.8,2025-10-20,1339.0,692834,1308.2
1317.0,1324.0,2025-10-21,1326.0,52958,1312.0
1379.8,1325.0,2025-10-23,1391.5,2925254,1322.4
1377.8,1380.0,2025-10-24,1419.9,2376373,1373.8
1364.7,1384.6,2025-10-27,1391.2,487437,1359.8
1385.7,1375.7,2025-10-28,1393.2,1412055,1367.3
1389.1,1390.0,2025-10-29,1408.2,1035864,1383.0
1384.1,1389.2,2025-10-30,1389.3,765573,1373.4
1378.3,1384.1,2025-10-31,1394.0,507529,1375.0
1359.6,1375.0,2025-11-03,1375.0,941920,1339.1
1338.7,1366.2,2025-11-04,1366.2,606779,1326.5
1326.8,1325.1,2025-11-06,1350.1,855886,1317.3
1345.4,1321.0,2025-11-07,1358.3,1077290,1302.1
1342.4,1340.0,2025-11-10,1353.0,689807,1330.8
1341.0,1349.0,2025-11-11,1349.7,565605,1327.0
1376.4,1347.6,2025-11-12,1382.5,1917141,1341.3
1347.3,1382.5,2025-11-13,1384.0,1870419,1331.6
1323.5,1345.0,2025-11-14,1354.9,1323927,1311.5
1332.2,1329.0,2025-11-17,1337.9,803936,1321.0
1324.9,1332.2,2025-11-18,1333.6,561417,1311.1
1362.2,1324.9,2025-11-19,1364.0,862715,1318.0
1365.4,1374.0,2025-11-20,1374.0,729780,1356.8
1340.4,1364.0,2025-11-21,1364.0,792639,1333.0
1346.3,1340.9,2025-11-24,1365.6,1774967,1332.8
1332.0,1351.9,2025-11-25,1351.9,608562,1325.2
1341.5,1330.0,2025-11-26,1354.2,590377,1325.3
1339.4,1347.0,2025-11-27,1348.0,977874,1315.6
1330.2,1339.4,2025-11-28,1339.4,655737,1320.1
1365.1,1326.4,2025-12-01,1369.0,939714,1326.4
1386.6,1375.0,2025-12-02,1402.8,2136679,1354.2
1377.2,1374.0,2025-12-03,1389.8,628631,1361.5
1396.2,1371.4,2025-12-04,1401.0,1390101,1371.3
1388.7,1396.9,2025-12-05,1398.8,437945,1382.2
1372.1,1386.7,2025-12-08,1391.0,668131,1361.6
1376.3,1351.6,2025-12-09,1379.8,836641,1344.3
1342.8,1365.5,2025-12-10,1379.0,550667,1337.5
1343.5,1340.0,2025-12-11,1356.9,986073,1326.0
1377.7,1343.7,2025-12-12,1379.9,594311,1343.5
1361.6,1362.6,2025-12-15,1371.7,932411,1345.3
1346.9,1352.5,2025-12-16,1365.2,673471,1342.0
1338.2,1340.0,2025-12-17,1366.0,336409,1335.0
1333.7,1338.2,2025-12-18,1347.9,429181,1325.4
