close,open,date,high,volume,low
603.95,606.65,2025-07-15,616.85,414802,601.0
612.05,604.0,2025-07-16,615.85,546554,600.75
615.95,618.0,2025-07-17,623.8,871052,611.2
609.25,613.5,2025-07-18,623.25,445967,603.1
606.65,608.05,2025-07-21,610.0,326978,589.2
610.9,610.0,2025-07-22,619.0,358876,606.1
630.65,611.5,2025-07-23,637.0,1731173,608.0
632.55,634.75,2025-07-24,641.0,656058,625.2
612.2,635.6,2025-07-25,636.0,771045,605.5
600.65,615.05,2025-07-28,621.5,556674,596.45
603.65,600.95,2025-07-29,607.0,309465,585.35
610.1,610.05,2025-07-30,623.95,920837,603.05
629.55,603.0,2025-07-31,634.15,1056962,592.0
620.9,628.05,2025-08-01,639.0,557675,615.0
619.7,618.0,2025-08-04,629.45,333050,610.65
614.05,620.05,2025-08-05,624.35,213752,611.25
607.45,614.5,2025-08-06,623.0,407836,602.2
607.3,602.0,2025-08-07,612.0,344883,594.4
606.35,608.1,2025-08-08,614.0,220937,602.3
625.85,606.0,2025-08-11,628.35,502732,604.1
622.25,628.95,2025-08-12,631.0,310740,614.95
615.35,621.1,2025-08-13,625.9,225410,613.05
581.6,615.25,2025-08-14,627.0,1579006,572.25
579.15,581.6,2025-08-18,588.0,504007,574.05
592.1,579.5,2025-08-19,596.15,410356,576.0
597.35,596.0,2025-08-20,599.4,391431,589.35
675.25,597.35,2025-08-21,710.0,18638726,596.0
671.85,675.0,2025-08-22,680.0,2411502,660.25
672.05,670.0,2025-08-25,696.0,1755023,662.5
659.8,671.0,2025-08-26,674.5,650656,655.0
656.2,661.0,2025-08-28,680.2,792573,648.0
687.6,659.3,2025-08-29,696.0,5258174,652.5
711.4,695.0,2025-09-01,717.7,2217787,689.0
704.0,713.0,2025-09-02,716.45,776381,692.0
704.25,707.0,2025-09-03,721.0,761495,700.2
681.6,710.0,2025-09-04,711.8,538992,675.8
678.65,686.6,2025-09-05,696.0,503985,676.0
686.55,685.95,2025-09-08,691.9,370775,676.1
701.05,690.0,2025-09-09,704.95,524365,680.05
693.35,705.0,2025-09-10,710.95,423167,691.0
704.25,694.7,2025-09-11,708.0,417558,693.35
703.85,710.65,2025-09-12,718.0,573649,696.9
704.95,707.0,2025-09-15,735.0,1187970,700.0
714.5,709.9,2025-09-16,720.0,515084,703.7
705.5,716.3,2025-09-17,720.1,443880,702.0
