close,open,date,high,volume,low
228.99,228.87,2025-07-17,232.0,2544366,227.6
227.57,228.99,2025-07-18,231.9,2238293,225.8
227.62,227.57,2025-07-21,230.0,1318899,225.9
227.42,227.62,2025-07-22,230.75,1785992,226.9
224.44,227.55,2025-07-23,228.38,1629223,223.35
224.75,225.41,2025-07-24,226.55,1399722,222.99
218.25,223.12,2025-07-25,223.87,2665142,217.6
215.51,217.63,2025-07-28,223.56,2576423,214.85
222.98,214.31,2025-07-29,223.69,3053483,214.09
222.81,222.98,2025-07-30,224.53,1672593,220.04
217.71,219.0,2025-07-31,221.19,2116305,217.0
214.05,219.7,2025-08-01,220.26,2754912,212.86
211.46,215.0,2025-08-04,218.33,3299542,210.46
211.01,212.39,2025-08-05,213.81,4628580,207.22
214.92,210.0,2025-08-06,220.8,18998547,209.0
222.39,214.6,2025-08-07,225.25,5828688,212.24
222.17,222.75,2025-08-08,225.95,4371016,220.59
223.77,221.95,2025-08-11,225.4,2065238,220.33
222.85,223.77,2025-08-12,224.5,1278810,221.27
222.68,222.6,2025-08-13,225.09,2001471,221.1
218.44,221.96,2025-08-14,222.29,1366665,217.78
218.97,220.49,2025-08-18,223.1,1827445,218.06
222.26,219.47,2025-08-19,222.6,1573324,218.19
220.84,222.26,2025-08-20,222.6,1122892,219.7
218.79,221.5,2025-08-21,222.27,1236960,218.34
216.96,218.51,2025-08-22,219.97,1619596,216.57
218.77,217.65,2025-08-25,220.98,2419062,215.98
211.98,217.0,2025-08-26,218.7,2174587,211.62
207.93,211.98,2025-08-28,216.99,1826727,207.0
204.5,208.0,2025-08-29,212.2,1988832,203.77
211.08,208.9,2025-09-01,212.79,5642890,207.3
211.13,211.08,2025-09-02,213.72,2014669,210.1
212.87,212.0,2025-09-03,213.8,1966337,210.71
207.3,214.9,2025-09-04,215.0,2304156,206.25
206.54,207.0,2025-09-05,208.88,1619758,205.0
207.41,207.05,2025-09-08,209.8,2878164,205.97
205.7,207.99,2025-09-09,208.76,1983489,205.3
207.26,206.7,2025-09-10,208.79,1744405,206.25
208.23,207.3,2025-09-11,210.38,1738258,207.27
