close,open,date,high,volume,low
1144.1,1120.5,2025-08-18,1169.9,3478231,1120.5
1161.4,1149.6,2025-08-19,1168.0,1851158,1130.2
1190.3,1165.0,2025-08-20,1192.8,1652532,1156.7
1179.4,1190.0,2025-08-21,1190.3,991563,1168.8
1162.9,1175.0,2025-08-22,1191.0,921658,1158.0
1153.0,1162.9,2025-08-25,1166.8,931358,1148.8
1162.2,1149.0,2025-08-26,1179.0,3619892,1149.0
1162.4,1165.6,2025-08-28,1168.2,1065888,1155.0
1156.2,1160.3,2025-08-29,1184.4,1593255,1150.0
1174.4,1157.9,2025-09-01,1176.0,643866,1156.2
1200.9,1174.4,2025-09-02,1202.5,1773623,1172.4
1194.8,1206.5,2025-09-03,1206.5,827824,1191.3
1212.6,1230.0,2025-09-04,1238.2,3346196,1208.0
1208.5,1212.0,2025-09-05,1216.4,1434458,1191.0
1187.7,1208.5,2025-09-08,1211.0,1112974,1185.2
1202.2,1195.2,2025-09-09,1204.0,1295618,1187.9
1217.5,1208.2,2025-09-10,1219.2,1015673,1201.7
1220.8,1212.1,2025-09-11,1224.9,783400,1212.1
1217.6,1220.2,2025-09-12,1223.0,632659,1209.5
1212.5,1212.2,2025-09-15,1220.0,523120,1209.6
1204.2,1212.0,2025-09-16,1215.0,1137133,1201.2
1204.3,1207.0,2025-09-17,1212.6,1005661,1195.6
1209.1,1205.1,2025-09-18,1213.3,1345158,1200.0
1194.5,1212.0,2025-09-19,1212.0,2395784,1191.0
1188.3,1198.9,2025-09-22,1201.2,1107323,1184.0
1168.4,1189.8,2025-09-23,1194.5,2114020,1165.0
1178.6,1167.9,2025-09-24,1185.2,1395188,1161.4
1173.5,1184.5,2025-09-25,1192.4,1273981,1171.6
1162.6,1170.0,2025-09-26,1179.0,1011036,1160.2
1152.5,1160.0,2025-09-29,1162.1,2130382,1149.2
1152.9,1155.6,2025-09-30,1159.6,1409305,1146.4
1166.4,1157.9,2025-10-01,1169.2,727804,1145.0
1169.9,1160.0,2025-10-03,1171.3,1159975,1154.4
1181.7,1163.5,2025-10-06,1183.7,639965,1163.5
1176.8,1181.7,2025-10-07,1192.2,922441,1175.0
1180.5,1170.0,2025-10-08,1182.5,893579,1158.6
1187.8,1175.1,2025-10-09,1189.1,922191,1172.9
1199.5,1186.4,2025-10-10,1202.0,1110822,1184.4
1188.1,1199.0,2025-10-13,1200.8,1062394,1181.9
1175.5,1190.1,2025-10-14,1194.3,1293553,1171.0
1221.4,1175.5,2025-10-15,1225.0,2283392,1175.5
1276.6,1221.4,2025-10-16,1286.5,6927367,1216.5
1289.5,1263.9,2025-10-17,1311.6,3171952,1261.3
1285.4,1289.5,2025-10-20,1305.6,1246633,1280.8
1287.3,1280.0,2025-10-21,1292.0,245138,1277.3
1272.8,1287.0,2025-10-23,1303.8,1751448,1270.8
1282.0,1274.4,2025-10-24,1284.5,1433533,1259.4
1283.0,1282.0,2025-10-27,1292.2,1107997,1275.8
1271.0,1283.8,2025-10-28,1288.9,1343829,1263.7
1273.0,1275.0,2025-10-29,1281.0,836932,1266.5
1279.9,1278.0,2025-10-30,1281.4,728703,1267.7
1271.6,1279.9,2025-10-31,1284.0,943037,1269.6
1266.7,1269.6,2025-11-03,1269.9,847050,1255.5
1265.0,1266.0,2025-11-04,1269.0,770668,1250.7
1266.1,1265.0,2025-11-06,1278.9,1171263,1260.1
1262.7,1264.0,2025-11-07,1270.9,596683,1256.4
1262.9,1263.1,2025-11-10,1273.2,737986,1260.2
1268.1,1268.0,2025-11-11,1270.2,729912,1255.0
1278.2,1270.0,2025-11-12,1286.9,824792,1261.6
1275.2,1280.0,2025-11-13,1289.3,691337,1270.3
1271.6,1275.2,2025-11-14,1279.0,675047,1262.4
1270.3,1272.0,2025-11-17,1278.0,774802,1264.1
1265.1,1262.1,2025-11-18,1269.9,810387,1252.6
1279.0,1267.9,2025-11-19,1280.0,726287,1263.0
1279.2,1288.0,2025-11-20,1288.6,796864,1275.2
1280.7,1275.0,2025-11-21,1288.9,673231,1273.0
1269.2,1285.0,2025-11-24,1285.8,2636542,1259.5
1263.2,1267.4,2025-11-25,1270.9,1065974,1250.8
1276.8,1257.1,2025-11-26,1282.7,810809,1257.1
1266.4,1276.0,2025-11-27,1279.5,708607,1260.5
1261.1,1266.3,2025-11-28,1269.7,626947,1258.2
1260.6,1260.6,2025-12-01,1264.0,644563,1251.6
1258.9,1251.0,2025-12-02,1261.8,911551,1251.0
1241.9,1257.0,2025-12-03,1258.0,642993,1236.1
1242.4,1241.9,2025-12-04,1245.0,664641,1233.2
1246.9,1237.5,2025-12-05,1249.0,911699,1234.2
1214.8,1246.9,2025-12-08,1248.0,1534927,1212.8
1215.8,1214.9,2025-12-09,1221.5,810028,1207.3
1209.3,1215.8,2025-12-10,1221.8,514862,1205.0
1215.0,1209.4,2025-12-11,1220.4,339626,1205.8
1238.3,1219.0,2025-12-12,1240.0,841766,1215.4
1243.5,1238.0,2025-12-15,1248.0,857798,1225.5
1240.6,1236.5,2025-12-16,1264.0,1086329,1234.4
1234.6,1237.0,2025-12-17,1241.4,526222,1224.3
1233.5,1234.7,2025-12-18,1243.9,707432,1227.5
1244.4,1230.8,2025-12-19,1246.2,754446,1229.7
1257.2,1246.0,2025-12-22,1259.9,880387,1240.0
1256.5,1260.0,2025-12-23,1261.5,663261,1251.1
1259.7,1251.1,2025-12-24,1264.1,598956,1247.9
1272.6,1264.0,2025-12-26,1277.0,1433973,1251.4
1280.0,1275.0,2025-12-29,1286.5,888206,1270.8
1274.1,1284.0,2025-12-30,1289.0,2043408,1267.7
1288.0,1274.2,2025-12-31,1294.3,738631,1270.4
1295.0,1293.0,2026-01-01,1299.0,932297,1284.0
1279.7,1292.0,2026-01-02,1299.0,736473,1277.6
1314.6,1279.0,2026-01-05,1320.0,2397082,1278.5
1319.9,1319.0,2026-01-06,1323.5,866154,1298.4
1314.8,1312.5,2026-01-07,1332.7,676669,1304.2
1306.9,1309.1,2026-01-08,1315.1,555817,1299.0
1299.1,1306.9,2026-01-09,1310.8,1194489,1290.1
1312.4,1293.0,2026-01-12,1318.0,1032516,1291.6
1318.7,1312.4,2026-01-13,1321.9,1316337,1309.0
1307.1,1321.0,2026-01-14,1328.2,904110,1302.2
1315.9,1318.2,2026-01-16,1320.9,1491989,1305.3
1315.6,1306.0,2026-01-19,1320.3,867546,1305.5
1295.7,1315.0,2026-01-20,1317.1,1173676,1291.6
1283.2,1298.9,2026-01-21,1311.7,1046054,1271.3
1306.0,1285.9,2026-01-22,1312.0,994359,1272.3
1293.8,1310.0,2026-01-23,1311.9,744221,1290.3
1303.3,1300.0,2026-01-27,1314.0,1159495,1290.3
1292.4,1297.2,2026-01-28,1306.0,940426,1273.0
1287.9,1286.5,2026-01-29,1294.4,1151521,1262.3
1332.4,1286.0,2026-01-30,1339.6,5292100,1283.0
1308.3,1297.5,2026-02-02,1311.0,1254558,1273.9
1308.0,1330.0,2026-02-03,1340.4,1232271,1291.1
1303.2,1313.6,2026-02-04,1328.0,875783,1295.1
1303.5,1304.8,2026-02-05,1310.6,854891,1287.0
1303.3,1291.1,2026-02-06,1305.2,835646,1278.7
1295.6,1301.0,2026-02-09,1307.0,746303,1290.3
1308.6,1296.9,2026-02-10,1310.3,936331,1296.5
1305.3,1315.0,2026-02-11,1324.9,911500,1296.7
1305.5,1312.1,2026-02-12,1312.1,534672,1295.1
1282.6,1305.0,2026-02-13,1310.4,522586,1278.0
