close,open,date,high,volume,low
854.7,862.7,2025-08-13,867.75,220434.0,850.1
886.45,854.7,2025-08-14,929.8,9142276.0,854.7
886.5,886.85,2025-08-18,893.65,623939.0,877.65
874.9,886.5,2025-08-19,889.95,336468.0,871.05
878.3,875.75,2025-08-20,897.95,514620.0,866.65
871.1,883.75,2025-08-21,885.4,221720.0,869.0
866.45,875.6,2025-08-22,875.6,226951.0,863.7
920.75,870.3,2025-08-25,946.75,9248781.0,870.3
895.6,915.0,2025-08-26,915.0,702295.0,889.35
902.45,912.0,2025-08-28,922.0,1396051.0,883.25
883.2,905.0,2025-08-29,908.45,387535.0,880.0
891.6,887.0,2025-09-01,898.0,219788.0,884.0
891.4,899.0,2025-09-02,904.7,241933.0,889.05
904.35,891.45,2025-09-03,923.2,715607.0,881.05
899.1,904.9,2025-09-04,925.9,424039.0,894.1
886.75,901.05,2025-09-05,903.2,254993.0,884.0
884.65,897.25,2025-09-08,897.25,224699.0,880.65
878.0,888.0,2025-09-09,890.0,159869.0,875.0
884.95,880.0,2025-09-10,909.0,579411.0,877.0
885.9,890.5,2025-09-11,902.95,219265.0,883.0
887.5,887.55,2025-09-12,894.9,176964.0,880.2
885.55,887.5,2025-09-15,891.15,176695.0,880.75
885.2,889.0,2025-09-16,894.5,168093.0,882.5
884.6,887.5,2025-09-17,898.15,271448.0,882.35
918.7,891.0,2025-09-18,947.0,6826720.0,887.0
915.5,922.8,2025-09-19,924.9,467814.0,906.0
898.1,896.35,2025-09-22,900.0,346990.0,888.6
884.2,898.1,2025-09-23,899.1,203983.0,881.7
875.5,883.5,2025-09-24,886.1,216371.0,873.0
909.45,913.65,2025-09-25,937.8,6625203.0,898.7
888.6,903.0,2025-09-26,903.6,408640.0,876.75
876.95,889.95,2025-09-29,890.05,210034.0,875.1
889.7,877.0,2025-09-30,895.0,215996.0,873.05
899.8,896.55,2025-10-01,921.2,1072664.0,890.0
891.65,900.8,2025-10-03,903.65,227344.0,888.15
882.65,895.55,2025-10-06,895.55,192341.0,879.45
883.1,882.65,2025-10-07,892.5,190456.0,877.0
874.25,879.9,2025-10-08,897.8,316638.0,871.1
872.65,878.55,2025-10-09,881.85,213183.0,866.0
871.9,874.0,2025-10-10,881.9,144965.0,871.0
866.0,870.05,2025-10-13,871.0,169276.0,861.1
849.65,866.0,2025-10-14,869.0,218245.0,847.6
887.0,849.95,2025-10-15,909.8,4867103.0,849.95
877.55,881.6,2025-10-16,881.85,223444.0,872.0
872.05,877.55,2025-10-17,884.25,195685.0,870.05
880.1,876.55,2025-10-20,889.0,261867.0,873.5
880.6,881.8,2025-10-21,888.3,45719.0,875.6
899.5,890.0,2025-10-23,929.0,1976237.0,886.1
892.75,898.05,2025-10-24,898.05,131329.0,887.0
896.25,892.75,2025-10-27,898.9,222885.0,885.2
996.55,899.95,2025-10-28,1015.0,9589387.0,898.0
995.75,996.55,2025-10-29,1041.95,11226817.0,971.15
969.25,994.0,2025-10-30,994.0,1021709.0,964.4
976.1,969.6,2025-10-31,1017.7,2248710.0,960.95
994.6,983.35,2025-11-03,1008.4,1005261.0,967.15
972.15,996.3,2025-11-04,996.3,394978.0,968.6
955.2,972.15,2025-11-06,996.25,566336.0,948.0
947.95,950.0,2025-11-07,963.3,475953.0,932.85
942.1,950.0,2025-11-10,954.8,207473.0,936.3
958.95,942.95,2025-11-11,968.8,511240.0,942.9
983.65,962.8,2025-11-12,991.05,647655.0,957.65
964.35,991.95,2025-11-13,995.5,325150.0,961.0
940.7,938.2,2025-11-14,958.0,312852.0,938.2
923.55,945.3,2025-11-17,947.0,330293.0,920.0
919.4,926.3,2025-11-18,932.95,437746.0,910.55
921.0,919.4,2025-11-19,950.6,846346.0,915.0
918.4,924.0,2025-11-20,928.05,177988.0,915.55
902.0,915.1,2025-11-21,915.65,227001.0,898.1
889.55,896.8,2025-11-24,932.85,544977.0,884.0
873.95,889.0,2025-11-25,891.0,251423.0,871.35
892.5,874.0,2025-11-26,897.85,304533.0,865.8
880.35,890.0,2025-11-27,893.15,206548.0,876.0
881.15,883.5,2025-11-28,899.0,303213.0,878.05
880.05,883.85,2025-12-01,888.95,149150.0,877.0
871.35,878.0,2025-12-02,878.0,140693.0,865.0
