close,open,date,high,volume,low
227.6,230.8,2025-07-14,230.8,1088175,226.51
229.64,227.58,2025-07-15,229.99,816724,225.8
238.4,229.65,2025-07-16,239.9,4496887,228.76
239.18,243.0,2025-07-17,243.4,2337062,237.6
233.61,239.18,2025-07-18,239.9,1130773,233.21
230.1,234.9,2025-07-21,235.8,1191961,229.0
241.16,231.25,2025-07-22,244.8,8083338,229.83
244.59,242.49,2025-07-23,247.89,5049634,240.64
245.17,244.9,2025-07-24,248.2,2251232,243.5
239.22,242.7,2025-07-25,245.0,1217760,237.1
234.41,238.5,2025-07-28,240.79,1205830,231.91
239.45,234.3,2025-07-29,240.0,852760,232.46
243.83,239.0,2025-07-30,244.29,1487643,237.7
242.25,238.0,2025-07-31,244.02,1053999,236.83
233.94,242.25,2025-08-01,242.79,734135,232.78
244.0,234.3,2025-08-04,245.2,1844834,233.2
239.5,245.5,2025-08-05,251.1,3979013,238.1
233.95,239.49,2025-08-06,242.35,1004938,232.6
233.34,233.1,2025-08-07,233.99,1363436,226.25
232.34,235.5,2025-08-08,237.3,1093230,231.4
232.69,232.34,2025-08-11,233.87,544912,229.25
240.22,232.61,2025-08-12,241.69,1446007,232.25
242.17,240.0,2025-08-13,245.55,1147676,239.81
237.59,242.25,2025-08-14,242.9,432399,236.59
236.13,239.1,2025-08-18,240.79,756165,235.2
237.49,236.9,2025-08-19,238.7,691738,234.9
236.5,237.25,2025-08-20,239.1,243707,236.0
236.87,236.57,2025-08-21,243.32,747410,236.01
234.7,236.49,2025-08-22,237.25,284810,234.11
232.53,234.75,2025-08-25,235.79,320943,232.01
236.04,231.99,2025-08-26,239.09,775689,228.73
227.7,236.79,2025-08-28,237.37,1259592,222.0
225.15,226.2,2025-08-29,227.6,538962,222.87
230.99,225.69,2025-09-01,231.44,670408,224.95
233.46,231.8,2025-09-02,236.99,1104690,229.85
232.73,233.46,2025-09-03,238.88,1017790,232.0
230.9,234.1,2025-09-04,235.59,656463,229.0
228.53,229.8,2025-09-05,231.9,801480,225.72
235.52,230.0,2025-09-08,240.0,1542913,228.8
239.0,236.0,2025-09-09,240.0,1106603,234.0
248.62,240.8,2025-09-10,249.45,4429560,240.01
256.26,250.99,2025-09-11,263.8,12663187,250.14
262.74,261.0,2025-09-12,266.2,7082299,257.2
261.92,263.0,2025-09-15,268.65,3527029,259.6
262.21,262.3,2025-09-16,268.0,2442377,261.1
258.15,264.5,2025-09-17,265.32,1712825,256.0
256.16,259.9,2025-09-18,260.95,1384763,254.1
260.27,254.5,2025-09-19,263.55,2358303,254.5
264.25,260.05,2025-09-22,266.0,2407995,258.05
276.09,265.5,2025-09-23,277.45,9772198,260.11
280.35,278.3,2025-09-24,284.75,9797004,275.0
279.55,281.2,2025-09-25,284.55,5172384,273.75
279.53,279.8,2025-09-26,290.46,9028792,274.8
284.7,280.3,2025-09-29,287.47,5984519,276.08
285.32,285.95,2025-09-30,291.96,3892892,282.03
277.05,283.8,2025-10-01,284.85,2733203,276.25
283.25,277.15,2025-10-03,285.0,3520129,275.85
284.4,282.95,2025-10-06,286.9,3269226,280.1
283.4,284.2,2025-10-07,292.2,3737989,281.1
269.75,285.0,2025-10-08,285.5,4015291,268.0
271.5,270.4,2025-10-09,276.5,3124168,269.05
270.05,272.5,2025-10-10,275.4,1284866,269.3
269.95,269.75,2025-10-13,271.2,1858628,266.25
266.5,271.0,2025-10-14,274.7,1299472,264.3
268.9,267.0,2025-10-15,270.0,1336486,264.5
263.8,268.25,2025-10-16,269.35,1005736,262.65
264.4,263.8,2025-10-17,266.55,862929,262.2
267.15,265.6,2025-10-20,268.4,1658667,262.8
267.5,268.0,2025-10-21,269.2,227838,266.2
262.45,268.0,2025-10-23,268.25,574707,261.65
264.15,263.05,2025-10-24,266.8,888016,262.6
260.5,265.0,2025-10-27,265.0,842409,259.5
260.1,261.45,2025-10-28,263.8,797447,259.0
252.1,261.0,2025-10-29,268.35,6126172,251.0
263.9,252.65,2025-10-30,265.45,4009345,251.85
262.3,262.55,2025-10-31,263.6,2196871,255.45
259.55,262.4,2025-11-03,264.3,1046468,259.05
262.1,260.0,2025-11-04,263.45,1493912,257.85
259.95,262.95,2025-11-06,264.0,955530,257.4
258.25,257.75,2025-11-07,259.2,1555890,253.0
262.65,259.15,2025-11-10,263.75,781857,257.25
262.8,264.45,2025-11-11,266.85,2183555,261.05
260.3,263.1,2025-11-12,265.5,1000501,259.55
259.65,260.45,2025-11-13,263.0,667023,257.55
254.95,259.5,2025-11-14,260.95,503204,254.2
255.85,255.5,2025-11-17,257.2,669736,253.45
255.15,255.4,2025-11-18,256.0,636149,253.15
251.95,255.15,2025-11-19,255.7,419421,251.25
249.5,252.05,2025-11-20,253.55,682401,246.75
245.5,249.2,2025-11-21,252.9,833105,244.25
243.8,244.25,2025-11-24,247.0,850315,240.25
240.05,245.6,2025-11-25,245.6,743887,238.7
246.9,240.25,2025-11-26,247.85,1445656,240.15
247.95,249.4,2025-11-27,251.4,1318628,244.0
243.2,248.95,2025-11-28,248.95,439628,242.45
239.85,244.6,2025-12-01,245.3,930778,237.3
241.46,239.0,2025-12-02,243.3,560245,238.95
239.88,242.92,2025-12-03,243.0,673269,235.61
237.69,239.85,2025-12-04,239.85,518476,235.55
239.4,238.71,2025-12-05,243.0,1593478,231.2
236.85,241.0,2025-12-08,241.26,984083,230.0
239.23,234.0,2025-12-09,242.0,844517,230.2
236.24,239.23,2025-12-10,241.0,881064,234.1
236.31,236.95,2025-12-11,238.76,920145,234.12
243.9,236.5,2025-12-12,244.8,935426,236.5
242.87,245.11,2025-12-15,249.4,2099467,241.36
240.45,243.0,2025-12-16,243.01,995725,238.7
241.79,241.4,2025-12-17,243.66,826420,238.41
237.59,242.0,2025-12-18,242.0,703240,234.9
239.01,239.57,2025-12-19,239.76,543079,235.81
241.08,241.0,2025-12-22,243.3,569660,240.22
251.89,241.0,2025-12-23,253.2,2572970,240.0
249.77,253.95,2025-12-24,255.64,1250722,247.5
249.93,250.0,2025-12-26,257.2,1753210,247.23
256.4,251.16,2025-12-29,258.8,3001389,248.48
253.46,257.0,2025-12-30,257.0,616058,252.5
250.22,254.0,2025-12-31,255.27,1776956,246.2
256.15,251.2,2026-01-01,262.0,1735069,249.8
272.0,256.8,2026-01-02,273.75,6070028,255.35
270.0,274.0,2026-01-05,275.0,2580600,267.05
274.1,270.0,2026-01-06,276.8,2238770,268.6
269.65,274.0,2026-01-07,276.9,1432627,268.25
258.8,269.6,2026-01-08,272.2,1358072,257.5
252.4,258.1,2026-01-09,264.9,1472831,251.2
255.9,252.15,2026-01-12,258.65,1783597,243.6
255.35,259.7,2026-01-13,263.95,1868823,253.05
260.15,259.35,2026-01-14,265.9,3761506,258.0
257.3,259.9,2026-01-16,264.0,1150600,256.3
256.35,257.5,2026-01-19,261.6,1859208,254.25
253.5,253.0,2026-01-20,257.9,2769128,250.65
248.5,252.45,2026-01-21,253.1,1353374,243.95
248.9,250.55,2026-01-22,255.0,670972,247.7
247.1,248.9,2026-01-23,250.35,876967,246.0
241.25,247.15,2026-01-27,247.85,1072556,239.05
251.1,242.0,2026-01-28,253.8,1448417,241.5
264.4,252.0,2026-01-29,266.95,3308564,245.0
259.1,265.0,2026-01-30,265.0,2927529,256.35
248.05,247.6,2026-02-02,250.55,1296445,241.55
251.5,261.5,2026-02-03,261.5,1176582,249.25
264.35,254.0,2026-02-04,268.4,4520672,252.0
259.75,262.8,2026-02-05,264.3,1003534,258.8
256.25,258.55,2026-02-06,261.6,1103806,253.2
262.35,259.1,2026-02-09,263.0,956520,257.4
258.35,263.3,2026-02-10,263.95,1151998,257.15
256.8,257.2,2026-02-11,257.55,1026566,252.7
259.65,256.8,2026-02-12,260.8,1616282,251.2
259.3,256.0,2026-02-13,262.0,1711761,249.15
256.85,257.0,2026-02-16,258.35,1522312,253.5
261.75,256.5,2026-02-17,264.0,1759531,253.65
264.75,261.0,2026-02-18,267.4,2105899,257.5
261.3,264.85,2026-02-19,271.25,2834861,258.1
264.95,260.7,2026-02-20,266.5,2025475,257.2
265.45,267.45,2026-02-23,267.9,994559,262.25
263.9,263.25,2026-02-24,265.5,1221109,261.15
263.45,264.4,2026-02-25,267.5,1143302,261.5
262.4,263.5,2026-02-26,265.3,690762,261.0
260.05,261.35,2026-02-27,261.5,877868,258.5
252.45,246.5,2026-03-02,258.55,1239022,246.5
249.25,250.0,2026-03-04,251.0,1535781,243.1
253.85,249.25,2026-03-05,263.3,2756964,249.25
255.25,254.0,2026-03-06,261.85,2145655,251.8
239.75,251.25,2026-03-09,251.25,1513070,236.0
245.15,244.55,2026-03-10,246.85,900774,241.45
248.45,245.4,2026-03-11,254.75,1727688,244.45
265.25,247.55,2026-03-12,271.4,12868605,242.8
259.5,267.0,2026-03-13,274.85,4703746,257.2
257.0,260.0,2026-03-16,262.9,2231589,255.0
262.25,257.85,2026-03-17,265.0,1813369,256.6
261.85,263.95,2026-03-18,266.8,1338489,261.2
258.65,258.0,2026-03-19,270.9,3645042,257.0
266.35,262.0,2026-03-20,273.8,4195734,261.05
253.8,266.35,2026-03-23,267.0,2060768,250.4
259.35,258.0,2026-03-24,261.7,1545852,251.65
267.45,261.2,2026-03-25,269.8,2076432,259.5
270.4,268.0,2026-03-27,273.3,2506526,265.8
268.6,270.4,2026-03-30,276.0,3477969,265.0
283.2,274.8,2026-04-01,285.85,4676372,270.8
278.6,280.0,2026-04-02,280.0,2159290,272.35
275.0,280.0,2026-04-06,282.6,1979828,273.2
271.45,274.0,2026-04-07,276.8,1047358,270.5
269.55,276.2,2026-04-08,278.4,2016608,268.8
268.8,269.9,2026-04-09,273.6,1179336,267.3
267.2,270.0,2026-04-10,273.35,1283539,266.15
271.8,264.65,2026-04-13,275.5,3026013,261.1
275.2,274.0,2026-04-15,279.3,1541783,274.0
297.75,277.35,2026-04-16,307.45,41546367,276.05
300.65,300.0,2026-04-17,308.35,7285335,298.8
304.35,303.6,2026-04-20,318.55,11959394,301.0
300.0,304.35,2026-04-21,308.0,2794049,299.0
301.15,300.5,2026-04-22,307.65,4026853,298.95
296.9,301.0,2026-04-23,305.0,2905966,295.2
299.1,298.3,2026-04-24,306.95,5919913,293.15
313.85,303.25,2026-04-27,322.0,15950635,302.25
318.15,316.2,2026-04-28,325.1,7443872,314.35
318.2,321.0,2026-04-29,328.7,6513443,311.45
316.6,316.75,2026-04-30,326.0,5262674,312.4
320.4,319.4,2026-05-04,330.0,5307777,318.0
316.45,321.25,2026-05-05,323.2,2166944,313.95
322.3,319.0,2026-05-06,324.05,4190483,316.05
328.7,323.8,2026-05-07,331.7,8435064,320.05
328.2,328.7,2026-05-08,329.9,3872028,322.4
329.7,327.0,2026-05-11,336.5,5194711,323.3
308.1,330.0,2026-05-12,334.5,4822479,306.4
325.7,308.0,2026-05-13,327.0,5353741,306.3
370.9,348.0,2026-05-14,387.8,81913146,348.0
352.8,375.2,2026-05-15,375.2,11521132,350.6
348.15,351.55,2026-05-18,354.35,7356479,337.5
358.35,354.1,2026-05-19,366.7,8723182,349.2
354.65,356.1,2026-05-20,359.1,3003189,352.65
350.5,357.3,2026-05-21,363.85,3873134,348.65
