close,open,date,high,volume,low
452.2,456.9,2025-08-14,459.9,254963,447.0
449.8,457.85,2025-08-18,462.85,383044,448.85
457.5,452.9,2025-08-19,462.9,402032,450.95
461.15,457.4,2025-08-20,468.0,360589,455.75
466.3,459.1,2025-08-21,468.0,210420,459.1
457.35,468.0,2025-08-22,468.0,183438,454.25
453.15,462.0,2025-08-25,465.45,235651,451.25
464.35,453.0,2025-08-26,467.3,642517,450.1
464.4,465.0,2025-08-28,469.8,236827,455.45
456.05,460.3,2025-08-29,464.85,167885,453.5
456.2,456.15,2025-09-01,467.85,239531,455.0
458.5,459.85,2025-09-02,464.9,325410,454.35
462.5,463.6,2025-09-03,466.0,686012,457.2
470.6,464.9,2025-09-04,477.5,565147,463.35
463.9,470.95,2025-09-05,472.15,147581,460.5
453.25,461.0,2025-09-08,467.0,181015,451.2
452.35,453.3,2025-09-09,460.0,131131,451.0
442.45,452.95,2025-09-10,456.3,253555,439.55
428.35,442.0,2025-09-11,443.7,266450,426.0
428.65,428.35,2025-09-12,435.0,192714,425.75
435.45,428.95,2025-09-15,436.9,124431,427.05
442.8,434.0,2025-09-16,443.9,156580,434.0
445.7,446.0,2025-09-17,449.5,120243,442.2
448.45,445.0,2025-09-18,450.0,151048,442.4
447.45,448.45,2025-09-19,450.2,152639,443.05
447.3,447.45,2025-09-22,453.25,149625,446.9
445.9,449.7,2025-09-23,450.05,110042,443.8
450.6,447.6,2025-09-24,452.5,192375,438.6
442.25,451.05,2025-09-25,452.9,101789,439.05
419.9,433.2,2025-09-26,438.0,1227093,416.15
422.75,419.95,2025-09-29,432.95,1382043,410.6
419.6,422.9,2025-09-30,430.05,105791,415.9
423.2,417.1,2025-10-01,425.25,212311,409.55
424.35,422.1,2025-10-03,429.65,258244,417.0
421.6,424.2,2025-10-06,428.4,95677,416.45
428.95,423.25,2025-10-07,430.6,102325,421.6
430.65,428.95,2025-10-08,432.65,135901,422.0
432.65,430.65,2025-10-09,436.15,134533,425.35
432.85,430.0,2025-10-10,439.85,96406,430.0
429.1,428.0,2025-10-13,433.85,94578,427.45
426.8,429.1,2025-10-14,430.0,159327,418.0
404.7,425.0,2025-10-15,432.25,1345354,402.75
412.9,407.9,2025-10-16,415.0,297056,402.8
410.95,412.4,2025-10-17,421.75,258121,405.0
417.5,415.0,2025-10-20,418.65,144401,407.85
422.25,418.55,2025-10-21,424.8,59220,417.5
422.4,427.4,2025-10-23,430.0,319402,421.4
414.9,422.4,2025-10-24,424.5,186168,413.35
425.05,416.9,2025-10-27,428.0,224670,414.0
424.65,425.05,2025-10-28,429.7,145786,420.4
418.35,423.0,2025-10-29,430.2,272748,414.6
422.35,418.35,2025-10-30,427.0,128799,417.4
414.65,422.35,2025-10-31,424.25,101075,413.0
408.75,415.5,2025-11-03,417.9,176263,406.5
399.05,409.0,2025-11-04,411.5,168974,397.1
381.95,399.5,2025-11-06,399.65,313906,378.6
381.5,381.95,2025-11-07,385.0,171333,373.5
375.95,381.5,2025-11-10,382.55,115474,374.3
374.85,379.7,2025-11-11,380.3,93866,373.4
374.4,379.25,2025-11-12,379.25,141810,368.6
370.8,380.0,2025-11-13,380.0,118896,369.45
368.8,377.65,2025-11-14,377.65,87900,367.05
367.3,373.85,2025-11-17,373.85,93562,364.8
