close,open,date,high,volume,low
211.39,211.58,2025-08-05,212.73,1895822.0,209.79
208.62,211.39,2025-08-06,212.54,2875309.0,207.15
209.9,207.4,2025-08-07,210.89,2278210.0,204.65
202.13,209.0,2025-08-08,209.0,3609865.0,200.71
203.54,202.59,2025-08-11,204.3,2556783.0,200.14
204.64,204.15,2025-08-12,205.8,1737735.0,202.64
215.04,215.0,2025-08-13,220.77,45277971.0,210.0
215.14,214.81,2025-08-14,216.5,6579517.0,211.16
219.17,217.0,2025-08-18,221.0,5714072.0,216.11
226.83,219.17,2025-08-19,227.5,8440492.0,215.59
225.18,228.0,2025-08-20,229.15,6551938.0,224.01
224.95,226.0,2025-08-21,228.45,5635245.0,223.3
224.94,224.95,2025-08-22,227.88,4074027.0,224.39
229.54,226.0,2025-08-25,233.1,11527076.0,224.94
231.65,229.55,2025-08-26,234.28,22792751.0,227.5
233.84,232.8,2025-08-28,236.96,7414193.0,228.13
230.15,231.91,2025-08-29,231.91,8204962.0,225.26
233.73,230.79,2025-09-01,234.5,3672436.0,230.75
232.52,233.8,2025-09-02,235.41,4259942.0,231.0
237.71,233.45,2025-09-03,238.52,6707938.0,231.35
239.53,242.0,2025-09-04,244.39,7205270.0,238.48
242.64,240.5,2025-09-05,245.68,5599787.0,240.49
247.28,243.7,2025-09-08,249.28,7283203.0,242.21
241.49,248.0,2025-09-09,248.39,9459534.0,238.11
238.72,241.5,2025-09-10,243.26,4495559.0,237.0
237.83,239.5,2025-09-11,239.5,1995884.0,235.2
239.17,239.0,2025-09-12,240.47,6962701.0,236.2
240.98,238.99,2025-09-15,244.11,5301420.0,238.25
243.74,241.03,2025-09-16,244.39,3298726.0,240.37
242.64,243.84,2025-09-17,245.0,2504057.0,240.86
245.93,243.85,2025-09-18,246.9,2971354.0,242.15
243.62,246.5,2025-09-19,247.77,3704175.0,243.04
242.4,242.39,2025-09-22,245.79,4006232.0,241.82
237.71,243.1,2025-09-23,243.56,2661574.0,237.1
237.05,238.7,2025-09-24,239.99,2180564.0,236.0
236.46,237.01,2025-09-25,239.29,3006429.0,233.43
230.62,236.0,2025-09-26,237.44,1792733.0,230.07
231.35,230.0,2025-09-29,234.8,3074483.0,230.0
232.38,231.8,2025-09-30,234.3,4787843.0,227.9
241.26,231.85,2025-10-01,242.3,4704492.0,231.24
239.81,241.0,2025-10-03,241.0,2832768.0,237.1
255.34,239.81,2025-10-06,256.95,29018183.0,239.5
262.4,257.0,2025-10-07,265.6,28356081.0,254.2
257.42,260.3,2025-10-08,260.65,10204231.0,254.52
264.11,257.42,2025-10-09,265.5,9572887.0,256.51
265.19,263.0,2025-10-10,268.25,6545523.0,262.7
261.48,264.0,2025-10-13,267.49,3440498.0,260.3
255.79,263.23,2025-10-14,263.23,4736812.0,254.86
261.62,257.15,2025-10-15,262.78,3290589.0,256.61
263.31,262.78,2025-10-16,266.79,3667221.0,261.9
261.14,261.3,2025-10-17,267.58,7194337.0,258.06
257.48,261.49,2025-10-20,264.49,2347878.0,256.91
256.86,258.79,2025-10-21,260.5,729991.0,255.33
