close,open,date,high,volume,low
8707.5,8841.5,2025-07-22,8860.0,69573,8675.0
8779.0,8735.0,2025-07-23,8815.0,79754,8663.5
8939.0,8947.5,2025-07-24,8987.0,475675,8758.0
8609.0,8950.0,2025-07-25,9034.5,173750,8575.0
8681.0,8645.0,2025-07-28,8769.5,147286,8509.0
8664.5,8681.0,2025-07-29,8720.0,67051,8580.0
8570.0,8699.0,2025-07-30,8699.5,72342,8542.5
8475.0,8500.0,2025-07-31,8569.5,150964,8445.5
8378.5,8475.0,2025-08-01,8492.5,124824,8340.0
8569.5,8355.5,2025-08-04,8590.0,77907,8319.5
8575.0,8585.0,2025-08-05,8607.5,49503,8487.5
8517.0,8576.0,2025-08-06,8599.5,81885,8420.5
8571.5,8475.0,2025-08-07,8590.0,65889,8430.5
8424.0,8627.5,2025-08-08,8627.5,47453,8387.5
8403.5,8409.0,2025-08-11,8459.0,28768,8363.0
8513.5,8411.0,2025-08-12,8639.0,102518,8409.0
8594.5,8588.0,2025-08-13,8617.0,70550,8465.5
8586.5,8585.0,2025-08-14,8718.5,83210,8570.0
8552.5,8660.0,2025-08-18,8665.5,39039,8517.0
8597.0,8619.0,2025-08-19,8636.0,53315,8491.0
8763.0,8550.0,2025-08-20,8848.0,146307,8550.0
8699.0,8810.0,2025-08-21,8860.0,100872,8681.0
8624.0,8744.0,2025-08-22,8744.0,34763,8610.0
8750.5,8670.5,2025-08-25,8932.0,203962,8670.5
8530.5,8720.5,2025-08-26,8759.5,80298,8505.0
8370.5,8540.0,2025-08-28,8565.5,101080,8335.5
8293.5,8310.5,2025-08-29,8455.0,79570,8274.0
8472.5,8331.0,2025-09-01,8514.0,138605,8325.0
8476.5,8480.0,2025-09-02,8542.0,65922,8390.0
8412.5,8500.0,2025-09-03,8546.5,102667,8380.5
8293.5,8475.0,2025-09-04,8518.0,119181,8270.5
8280.0,8347.0,2025-09-05,8395.0,84450,8141.5
8300.5,8340.0,2025-09-08,8398.0,62155,8266.5
8413.0,8359.5,2025-09-09,8428.0,80671,8330.0
9264.5,8913.0,2025-09-10,9301.0,1529853,8820.0
9137.5,9950.0,2025-09-11,9950.0,1573471,9044.0
8979.0,9160.0,2025-09-12,9187.0,368777,8926.0
8970.5,8975.0,2025-09-15,9000.0,120921,8866.0
9142.5,8971.0,2025-09-16,9169.0,162517,8968.5
9125.0,9165.0,2025-09-17,9210.0,115640,9101.5
9175.0,9149.0,2025-09-18,9200.0,108710,9055.0
9018.0,9195.0,2025-09-19,9215.0,193760,9001.5
9056.5,8900.0,2025-09-22,9115.5,145431,8860.5
9104.0,9098.0,2025-09-23,9211.5,130689,9035.0
9061.5,9088.0,2025-09-24,9108.0,122602,8955.0
8909.0,9061.5,2025-09-25,9124.5,89964,8884.5
8515.0,8888.0,2025-09-26,8909.0,133987,8500.0
8453.5,8570.5,2025-09-29,8598.5,108039,8425.5
8403.0,8461.0,2025-09-30,8510.5,111001,8310.0
8724.0,8400.0,2025-10-01,8755.0,176760,8377.0
8962.0,8724.0,2025-10-03,8984.0,209851,8641.0
9093.5,8939.0,2025-10-06,9110.0,110924,8900.0
9332.5,9090.0,2025-10-07,9365.0,204283,9083.5
9189.5,9270.0,2025-10-08,9315.0,165216,9103.0
9311.5,9220.0,2025-10-09,9382.0,187532,9184.5
9213.0,9380.0,2025-10-10,9380.0,133863,9181.0
9197.0,9190.0,2025-10-13,9274.0,215451,9076.5
8950.0,9197.5,2025-10-14,9280.0,134209,8921.0
8757.0,8974.5,2025-10-15,9073.0,152247,8730.5
8796.5,8790.5,2025-10-16,8848.0,103843,8752.0
8780.5,8810.5,2025-10-17,8837.0,121533,8721.0
8585.5,8745.0,2025-10-20,8754.0,225848,8550.0
