close,open,date,high,volume,low
445.4,443.5,2025-07-09,447.5,1342459,441.55
437.5,449.0,2025-07-10,449.8,2395496,435.5
432.3,438.0,2025-07-11,438.6,2515975,427.0
445.85,433.0,2025-07-14,446.65,2603352,430.9
445.85,443.0,2025-07-15,447.6,1691288,440.35
446.45,442.0,2025-07-16,447.0,1458656,442.0
446.45,447.0,2025-07-17,450.25,1044393,445.0
447.9,446.65,2025-07-18,452.3,2054293,445.45
453.25,447.0,2025-07-21,455.0,1734046,443.75
451.35,452.0,2025-07-22,455.0,1544230,448.1
453.4,451.4,2025-07-23,456.0,1722788,448.0
446.95,453.65,2025-07-24,455.0,2260983,445.7
434.75,443.35,2025-07-25,449.75,1205069,433.05
426.3,436.8,2025-07-28,441.0,1176775,425.0
440.7,428.85,2025-07-29,442.3,1537551,428.5
444.8,446.0,2025-07-30,449.5,1901183,442.5
440.0,442.15,2025-07-31,445.65,1599592,437.6
434.05,437.5,2025-08-01,440.0,1975660,430.0
428.85,437.0,2025-08-04,437.4,1397797,428.0
433.0,428.5,2025-08-05,435.95,2288242,419.7
432.0,431.0,2025-08-06,435.25,2156704,428.25
432.15,427.6,2025-08-07,435.35,1344648,426.0
432.4,430.0,2025-08-08,436.2,1583670,429.85
423.45,432.0,2025-08-11,433.3,1932699,418.5
425.1,424.0,2025-08-12,428.35,1240551,423.05
407.0,426.05,2025-08-13,427.65,6879674,401.0
400.75,408.3,2025-08-14,409.6,3923902,396.5
401.45,406.0,2025-08-18,406.8,2682648,396.7
408.1,403.0,2025-08-19,408.95,853141,401.45
408.0,408.95,2025-08-20,409.45,2079625,403.65
410.8,408.0,2025-08-21,413.9,1609390,407.25
409.4,410.8,2025-08-22,413.75,1309378,407.35
409.35,409.4,2025-08-25,410.8,1014761,405.3
398.9,409.0,2025-08-26,409.0,2416702,396.7
390.5,399.0,2025-08-28,400.9,2049222,389.4
390.3,390.5,2025-08-29,392.15,3349257,384.6
400.05,390.3,2025-09-01,401.0,1422828,388.8
402.05,401.25,2025-09-02,407.4,1131425,397.1
402.75,400.15,2025-09-03,410.0,858612,400.15
393.6,403.0,2025-09-04,403.75,1235200,392.75
396.4,393.6,2025-09-05,397.4,1501955,391.15
391.95,399.75,2025-09-08,399.75,685485,390.95
392.55,393.9,2025-09-09,397.65,687532,391.45
390.7,399.0,2025-09-10,399.0,1193875,390.0
394.65,393.0,2025-09-11,399.3,2476339,392.45
398.4,394.65,2025-09-12,400.0,1350083,393.35
394.95,398.55,2025-09-15,400.5,1772987,393.0
398.85,396.25,2025-09-16,401.0,1818441,393.0
403.55,399.85,2025-09-17,404.2,2140559,398.55
399.15,405.45,2025-09-18,405.5,1308680,397.15
404.05,401.9,2025-09-19,405.0,2301934,399.4
409.25,405.0,2025-09-22,412.0,1916721,401.55
404.55,409.6,2025-09-23,411.0,1604703,403.55
406.6,406.0,2025-09-24,407.45,1008571,404.0
414.8,409.05,2025-09-25,423.0,6236842,407.6
410.25,414.0,2025-09-26,417.65,1503166,407.3
417.25,418.0,2025-09-29,423.0,4207568,415.0
413.8,416.0,2025-09-30,419.0,2205908,410.6
411.3,416.0,2025-10-01,418.8,1932766,408.75
414.7,409.0,2025-10-03,417.0,2588580,406.55
419.2,414.5,2025-10-06,421.25,2355560,413.0
422.45,422.45,2025-10-07,428.45,3473185,418.65
416.8,422.45,2025-10-08,423.55,1218310,415.0
417.9,415.1,2025-10-09,419.5,1405743,412.8
418.2,415.5,2025-10-10,420.4,1348389,415.5
416.45,415.0,2025-10-13,418.05,2991227,407.15
414.1,420.0,2025-10-14,420.9,2387212,413.05
423.05,414.1,2025-10-15,424.75,2294459,412.1
417.25,423.0,2025-10-16,423.05,1667593,414.55
408.9,415.85,2025-10-17,416.3,3456903,406.0
406.95,409.0,2025-10-20,410.15,2589621,405.65
406.6,407.7,2025-10-21,409.15,210086,405.0
417.4,410.05,2025-10-23,419.5,4650187,409.0
419.5,420.95,2025-10-24,422.35,2648404,417.2
422.35,420.0,2025-10-27,424.8,1684230,419.15
412.75,425.0,2025-10-28,425.0,3047030,410.75
420.5,413.2,2025-10-29,421.95,1634139,413.0
434.75,420.4,2025-10-30,436.2,6027483,420.3
433.35,435.0,2025-10-31,437.3,1781066,430.7
437.0,433.35,2025-11-03,442.0,1558767,430.35
431.5,438.0,2025-11-04,438.95,1262735,429.5
433.05,431.5,2025-11-06,435.9,1300076,429.55
433.7,432.85,2025-11-07,438.3,1285300,428.1
431.8,433.7,2025-11-10,438.95,1186554,430.9
435.95,432.0,2025-11-11,437.6,852274,430.3
441.15,437.05,2025-11-12,449.5,2447507,436.05
434.45,442.7,2025-11-13,442.7,1340682,432.75
436.85,435.95,2025-11-14,439.6,1413722,431.05
436.25,436.95,2025-11-17,443.6,1947670,433.0
433.35,437.55,2025-11-18,438.0,1415722,430.7
436.85,431.7,2025-11-19,437.75,760053,431.5
436.2,438.0,2025-11-20,438.9,1092339,434.5
425.05,431.9,2025-11-21,432.9,3508596,423.5
420.6,425.7,2025-11-24,426.25,7911440,415.25
421.05,419.0,2025-11-25,422.6,1194721,414.55
423.15,419.1,2025-11-26,424.95,844279,417.9
417.2,423.05,2025-11-27,424.55,1069299,414.5
413.2,419.85,2025-11-28,419.9,1004484,411.15
414.2,413.2,2025-12-01,417.5,1126148,412.0
416.65,412.05,2025-12-02,417.7,664332,412.05
410.7,420.0,2025-12-03,420.0,1765944,407.05
408.15,411.65,2025-12-04,411.75,2221247,407.05
411.95,408.2,2025-12-05,412.9,760930,406.35
403.95,413.0,2025-12-08,415.0,1200785,401.4
401.9,401.1,2025-12-09,406.15,3705448,398.0
399.85,404.75,2025-12-10,404.75,3276833,395.6
404.85,400.0,2025-12-11,407.8,799175,397.65
404.35,404.05,2025-12-12,405.2,1803667,401.3
403.55,403.5,2025-12-15,404.3,564288,398.35
401.7,401.45,2025-12-16,402.95,597083,400.05
