close,open,date,high,volume,low
236.79,240.1,2025-08-01,240.71,12629251,234.05
234.83,236.5,2025-08-04,238.39,16174972,234.0
234.48,235.5,2025-08-05,236.0,9562689,233.05
233.77,234.55,2025-08-06,235.37,7568954,232.91
233.93,233.15,2025-08-07,234.2,5560413,231.31
233.44,233.9,2025-08-08,235.12,5249568,232.68
233.79,233.44,2025-08-11,235.0,4699743,231.58
235.52,233.8,2025-08-12,236.36,7036778,233.61
238.67,237.74,2025-08-13,239.95,8501906,236.3
236.94,238.51,2025-08-14,238.67,7258450,234.43
238.16,237.25,2025-08-18,238.59,8501972,235.5
237.94,237.5,2025-08-19,238.54,5538059,236.68
237.93,237.0,2025-08-20,239.09,7438061,237.0
238.29,238.0,2025-08-21,240.99,8111371,237.23
236.29,238.0,2025-08-22,238.63,5423818,235.89
236.76,236.3,2025-08-25,237.49,8854258,235.65
234.19,236.66,2025-08-26,237.3,14671897,233.8
233.39,234.3,2025-08-28,235.28,13870643,232.38
233.71,233.39,2025-08-29,235.37,9928988,231.33
238.72,234.0,2025-09-01,239.19,4366396,233.07
239.49,238.75,2025-09-02,242.5,5921193,237.4
239.07,239.5,2025-09-03,241.94,4364007,238.46
235.72,239.07,2025-09-04,239.35,8778730,235.43
234.13,235.75,2025-09-05,237.16,7210683,233.01
232.53,234.13,2025-09-08,234.98,8418326,232.06
231.33,232.53,2025-09-09,234.59,11665314,230.76
231.74,233.0,2025-09-10,233.04,11775053,231.0
233.76,232.1,2025-09-11,235.22,11047708,232.1
233.25,234.51,2025-09-12,235.41,6073522,232.7
232.26,233.15,2025-09-15,234.19,6153784,232.0
235.09,232.48,2025-09-16,235.27,7319921,232.42
236.88,236.0,2025-09-17,237.96,7628371,235.18
235.59,237.7,2025-09-18,237.7,6497852,234.5
236.69,235.11,2025-09-19,237.4,16484017,234.75
237.47,236.0,2025-09-22,238.45,9962796,235.65
236.66,237.25,2025-09-23,237.59,7014239,235.15
238.52,236.66,2025-09-24,240.13,8299331,236.26
239.67,238.92,2025-09-25,242.14,10150654,238.52
238.02,240.0,2025-09-26,240.26,6349466,236.84
239.98,239.0,2025-09-29,241.16,10631271,238.17
239.5,240.0,2025-09-30,240.89,7167687,238.5
243.04,238.6,2025-10-01,246.29,10375310,238.47
243.66,242.5,2025-10-03,244.2,10702610,239.7
245.86,242.73,2025-10-06,247.5,9465503,242.73
245.32,245.86,2025-10-07,249.5,12498420,244.66
241.81,246.55,2025-10-08,246.8,5073558,241.14
243.39,241.84,2025-10-09,244.5,9292031,240.56
246.34,244.05,2025-10-10,247.08,9050771,243.6
244.09,245.0,2025-10-13,245.68,12607116,241.38
244.69,245.3,2025-10-14,248.74,13865005,243.9
247.72,244.69,2025-10-15,248.19,8520238,244.29
248.35,248.0,2025-10-16,248.7,6083826,246.0
247.69,248.55,2025-10-17,248.55,14250215,244.77
248.74,247.69,2025-10-20,249.2,10920554,244.99
248.12,248.74,2025-10-21,249.3,569979,247.39
252.31,250.0,2025-10-23,253.24,13879042,249.08
254.96,254.0,2025-10-24,257.4,17882209,252.85
253.27,255.42,2025-10-27,256.09,7889080,251.91
250.54,253.1,2025-10-28,253.79,8529692,249.86
255.64,250.95,2025-10-29,257.34,8806213,250.55
254.53,256.5,2025-10-30,256.5,5266883,253.41
255.37,254.7,2025-10-31,257.9,7199008,253.32
257.55,255.0,2025-11-03,258.5,5450040,254.3
252.35,256.1,2025-11-04,257.5,6006851,252.0
251.5,253.55,2025-11-06,255.5,6987258,250.45
252.2,250.0,2025-11-07,253.6,4449104,250.0
251.4,252.0,2025-11-10,255.5,7418162,249.5
