close,open,date,high,volume,low
416.5,419.0,2025-08-14,419.8,3680607.0,413.9
408.7,419.8,2025-08-18,419.8,6119780.0,407.5
410.0,409.55,2025-08-19,413.15,5315976.0,406.5
403.4,409.95,2025-08-20,411.3,7517853.0,403.0
400.25,404.75,2025-08-21,408.15,6814781.0,399.3
399.85,400.25,2025-08-22,402.7,6199157.0,394.4
399.3,399.85,2025-08-25,401.25,3576487.0,398.4
388.55,398.4,2025-08-26,399.5,8672494.0,387.65
381.75,388.85,2025-08-28,389.7,6429323.0,381.0
379.7,381.75,2025-08-29,383.6,7398515.0,376.0
389.55,380.0,2025-09-01,391.0,3520775.0,379.75
392.65,391.9,2025-09-02,395.75,4362539.0,388.2
394.3,392.65,2025-09-03,395.85,3271472.0,391.7
390.05,397.0,2025-09-04,397.95,2108026.0,389.25
394.4,390.5,2025-09-05,396.3,2886182.0,390.5
395.15,395.3,2025-09-08,398.85,2699778.0,393.5
392.9,394.65,2025-09-09,397.65,2829816.0,392.5
398.0,394.05,2025-09-10,400.95,4562765.0,394.0
399.55,398.0,2025-09-11,402.75,2141209.0,397.5
395.7,400.0,2025-09-12,401.0,2713735.0,394.8
401.85,395.75,2025-09-15,404.75,4377204.0,395.75
403.05,402.5,2025-09-16,404.25,3484057.0,400.65
404.8,404.25,2025-09-17,406.6,5034405.0,402.75
408.0,406.0,2025-09-18,411.65,4572862.0,405.75
409.1,407.0,2025-09-19,410.45,4772377.0,407.0
408.85,408.0,2025-09-22,411.7,3096650.0,407.1
412.9,409.1,2025-09-23,415.0,4410834.0,409.1
410.7,412.0,2025-09-24,414.75,2610791.0,409.6
405.4,411.0,2025-09-25,412.9,2866572.0,404.0
397.3,405.0,2025-09-26,406.55,4214115.0,395.0
406.45,399.0,2025-09-29,407.65,3646754.0,398.5
410.25,406.15,2025-09-30,411.1,4126060.0,404.5
411.15,410.0,2025-10-01,426.4,13392846.0,408.35
412.2,411.0,2025-10-03,414.45,6422810.0,406.4
