close,open,date,high,volume,low
4113.0,4086.4,2025-07-28,4165.0,124615,4054.6
4249.5,4086.4,2025-07-29,4258.0,221479,4039.7
4324.2,4257.0,2025-07-30,4330.0,249591,4249.5
4250.9,4240.0,2025-07-31,4315.0,265735,4175.0
4190.2,4275.0,2025-08-01,4275.0,94332,4152.1
4138.0,4190.0,2025-08-04,4190.1,159262,4067.7
4109.3,4145.0,2025-08-05,4149.0,91475,4091.3
4084.9,4120.0,2025-08-06,4128.1,67607,4066.0
4023.8,4065.0,2025-08-07,4100.3,179302,3957.1
3919.1,4015.0,2025-08-08,4027.8,101833,3904.3
3853.7,3875.0,2025-08-11,3904.0,367193,3781.2
3837.9,3857.6,2025-08-12,3883.5,283903,3811.1
3772.7,3802.0,2025-08-13,3879.0,1197821,3754.0
3690.2,3772.7,2025-08-14,3844.9,660958,3664.1
3750.4,3700.0,2025-08-18,3779.0,161048,3681.0
3765.0,3770.8,2025-08-19,3792.9,143908,3738.0
3796.8,3770.0,2025-08-20,3821.9,65999,3742.5
3869.8,3796.8,2025-08-21,3882.8,162383,3774.9
3865.1,3869.7,2025-08-22,3882.7,60860,3838.4
3896.2,3866.0,2025-08-25,3917.8,130508,3844.0
3787.2,3898.0,2025-08-26,3898.0,312272,3774.7
3708.8,3788.9,2025-08-28,3806.1,161470,3700.0
3694.8,3701.1,2025-08-29,3732.0,113988,3685.3
3767.7,3713.2,2025-09-01,3775.0,86430,3696.0
3753.2,3791.0,2025-09-02,3791.0,70356,3736.6
3757.7,3753.2,2025-09-03,3782.5,241421,3715.0
3741.2,3783.0,2025-09-04,3797.6,253977,3723.3
3664.0,3747.5,2025-09-05,3760.0,184860,3652.2
3697.7,3668.4,2025-09-08,3729.4,113535,3654.0
3695.5,3695.1,2025-09-09,3715.2,105943,3649.0
3707.2,3705.3,2025-09-10,3755.0,227001,3684.7
3741.1,3705.9,2025-09-11,3765.2,187933,3704.4
3701.0,3764.4,2025-09-12,3776.9,80690,3697.9
3723.1,3708.5,2025-09-15,3731.2,55316,3699.2
3711.8,3723.1,2025-09-16,3738.8,125306,3699.1
3753.0,3721.2,2025-09-17,3810.0,204080,3714.5
3705.7,3776.0,2025-09-18,3776.0,272282,3652.0
3731.2,3728.2,2025-09-19,3769.2,569442,3708.0
3668.9,3745.0,2025-09-22,3745.0,133893,3661.2
3625.8,3668.9,2025-09-23,3681.0,184263,3592.8
3629.0,3632.0,2025-09-24,3644.8,142580,3593.0
3573.2,3638.0,2025-09-25,3646.2,78675,3563.3
3487.6,3573.2,2025-09-26,3593.9,185817,3478.1
3492.3,3509.0,2025-09-29,3593.0,127227,3471.0
3513.5,3505.9,2025-09-30,3543.7,244113,3479.9
3584.1,3520.0,2025-10-01,3594.4,91418,3484.0
3617.0,3570.0,2025-10-03,3628.6,149389,3562.2
3630.4,3570.0,2025-10-06,3689.4,212445,3536.9
3582.8,3622.2,2025-10-07,3643.4,502253,3563.9
3497.6,3605.0,2025-10-08,3605.0,293884,3483.0
3531.7,3510.0,2025-10-09,3549.0,211896,3505.1
3564.6,3528.0,2025-10-10,3606.5,335525,3524.0
3544.7,3524.7,2025-10-13,3597.3,584774,3503.2
3555.0,3566.4,2025-10-14,3575.0,195195,3518.3
3555.3,3572.6,2025-10-15,3572.6,93641,3542.7
3550.3,3550.0,2025-10-16,3577.0,84701,3529.3
3573.1,3542.5,2025-10-17,3594.0,173104,3513.1
3534.1,3540.0,2025-10-20,3589.7,150890,3512.1
3527.1,3535.0,2025-10-21,3544.9,10057,3520.0
3541.2,3536.1,2025-10-23,3591.2,174294,3527.7
3583.2,3551.0,2025-10-24,3589.0,246229,3520.0
3610.0,3607.5,2025-10-27,3652.8,204327,3562.4
3587.2,3628.1,2025-10-28,3629.7,106072,3557.1
3604.9,3590.1,2025-10-29,3622.1,243244,3586.2
3595.8,3604.9,2025-10-30,3627.0,72591,3571.1
3577.4,3593.7,2025-10-31,3614.9,125096,3554.1
3685.3,3566.7,2025-11-03,3699.0,218765,3566.7
3683.3,3705.0,2025-11-04,3714.9,157073,3616.8
3750.1,3685.8,2025-11-06,3775.0,338796,3679.4
3758.3,3759.8,2025-11-07,3792.9,146865,3722.0
3820.5,3768.1,2025-11-10,3832.9,136496,3745.7
3786.8,3819.9,2025-11-11,3819.9,149809,3750.0
3588.9,3750.0,2025-11-12,3750.0,1207676,3568.0
3572.5,3588.9,2025-11-13,3590.0,541697,3511.0
