close,open,date,high,volume,low
1050.2,1065.0,2025-07-24,1065.5,1337877,1040.0
1010.4,1053.0,2025-07-25,1053.0,2312927,993.3
1013.5,1010.0,2025-07-28,1031.3,1429676,996.0
1006.3,1014.5,2025-07-29,1015.5,786810,989.0
986.8,1014.7,2025-07-30,1014.7,892753,984.4
986.2,984.4,2025-07-31,996.1,835617,970.5
808.45,883.1,2025-08-01,883.1,32931969,803.15
778.5,820.0,2025-08-04,823.95,10893261,771.65
767.8,785.0,2025-08-05,794.0,5652778,765.1
774.8,772.2,2025-08-06,785.7,4817454,766.5
758.7,770.05,2025-08-07,771.9,3869902,754.0
770.75,765.7,2025-08-08,782.95,3559039,761.25
773.6,774.65,2025-08-11,780.0,1790243,766.25
767.15,774.0,2025-08-12,777.4,1700330,765.0
773.05,769.0,2025-08-13,775.5,1124423,767.45
767.0,776.0,2025-08-14,777.4,1163422,765.55
786.2,777.0,2025-08-18,789.0,3014348,770.45
817.7,788.4,2025-08-19,824.7,10253695,783.65
808.45,817.7,2025-08-20,819.95,2732430,803.1
804.25,811.8,2025-08-21,816.3,1609672,802.95
799.75,804.85,2025-08-22,806.65,1548980,794.8
799.85,803.95,2025-08-25,806.5,1990188,794.0
782.9,802.25,2025-08-26,802.25,1906485,781.05
767.05,785.0,2025-08-28,785.0,2816692,765.2
753.6,770.1,2025-08-29,774.5,1227892,750.3
761.25,760.0,2025-09-01,763.5,1609137,751.05
785.45,769.7,2025-09-02,793.0,3181014,760.1
791.85,790.0,2025-09-03,795.8,1318507,785.0
782.6,795.0,2025-09-04,797.5,970724,778.1
791.7,783.95,2025-09-05,794.0,1512725,776.95
799.85,795.0,2025-09-08,812.0,2561729,792.85
800.4,803.0,2025-09-09,810.0,1103494,799.2
808.8,805.0,2025-09-10,817.7,2144266,802.75
812.35,814.8,2025-09-11,815.0,1086642,805.85
830.15,812.0,2025-09-12,835.9,2390934,811.0
835.3,834.4,2025-09-15,843.2,1245197,826.35
830.95,835.2,2025-09-16,838.75,799555,829.1
840.6,836.95,2025-09-17,843.35,1333162,828.75
861.3,848.0,2025-09-18,866.95,2039806,843.2
869.45,861.95,2025-09-19,878.2,3896120,856.55
859.05,869.6,2025-09-22,875.0,908615,854.55
891.75,859.05,2025-09-23,896.85,3932351,859.05
889.9,885.0,2025-09-24,897.8,2192211,880.0
907.75,882.0,2025-09-25,915.5,4642991,872.3
864.1,905.8,2025-09-26,908.7,1466783,860.0
870.05,866.9,2025-09-29,880.0,1507691,855.0
863.6,870.05,2025-09-30,877.2,985624,859.0
882.3,863.95,2025-10-01,893.0,1924688,859.75
888.05,887.0,2025-10-03,896.0,737158,878.6
895.05,890.0,2025-10-06,904.7,1115599,888.0
890.0,896.7,2025-10-07,898.2,972976,879.5
876.25,892.0,2025-10-08,905.7,1298611,872.1
876.1,878.0,2025-10-09,881.95,822722,869.9
853.6,877.0,2025-10-10,878.0,1230300,851.0
853.25,851.2,2025-10-13,859.2,1022640,843.1
843.1,851.0,2025-10-14,856.35,1180695,834.2
848.85,843.1,2025-10-15,856.6,820260,842.3
843.4,853.2,2025-10-16,853.55,781721,838.4
838.85,844.25,2025-10-17,846.85,803567,833.3
869.15,840.0,2025-10-20,878.95,1726051,838.1
875.6,873.5,2025-10-21,879.0,152233,870.15
883.6,879.6,2025-10-23,892.0,1060148,871.0
907.3,885.9,2025-10-24,912.15,2293847,885.15
927.6,915.0,2025-10-27,933.0,1914701,911.3
933.5,927.6,2025-10-28,937.0,3907522,885.9
938.45,933.0,2025-10-29,946.0,1248219,926.6
934.55,935.0,2025-10-30,946.0,1249508,924.0
928.7,933.0,2025-10-31,936.0,867887,921.95
937.9,929.0,2025-11-03,952.75,1041911,926.55
931.65,940.0,2025-11-04,946.95,640906,927.5
908.55,930.0,2025-11-06,931.3,858553,903.55
896.15,900.5,2025-11-07,907.85,1391793,885.4
898.95,896.95,2025-11-10,911.5,1404326,894.15
898.5,895.0,2025-11-11,901.8,698596,882.35
899.05,900.0,2025-11-12,903.65,935459,892.1
912.55,895.0,2025-11-13,919.25,870435,894.3
915.4,912.0,2025-11-14,923.85,541570,907.85
917.65,918.7,2025-11-17,921.75,383284,911.0
920.0,925.0,2025-11-18,942.95,1798495,916.9
908.85,925.0,2025-11-19,930.45,1014303,899.05
905.25,912.8,2025-11-20,915.85,366619,902.05
887.15,905.25,2025-11-21,909.7,1069079,884.45
872.1,887.15,2025-11-24,892.0,923444,870.0
881.45,871.6,2025-11-25,889.0,802649,868.05
915.9,881.45,2025-11-26,918.3,924269,881.45
910.8,918.0,2025-11-27,921.0,440900,906.7
905.3,908.95,2025-11-28,918.0,525845,904.05
908.8,910.2,2025-12-01,916.9,322102,902.0
899.45,908.8,2025-12-02,916.85,462993,895.0
878.05,898.95,2025-12-03,901.0,614936,872.3
882.25,880.0,2025-12-04,893.8,405898,878.45
903.85,882.9,2025-12-05,905.9,896426,878.0
873.15,906.0,2025-12-08,906.0,470157,867.0
882.6,868.5,2025-12-09,886.8,1043109,854.85
884.3,883.0,2025-12-10,889.8,934614,877.8
900.15,885.05,2025-12-11,907.0,1094106,878.95
937.1,902.7,2025-12-12,952.0,3906514,899.9
922.05,937.1,2025-12-15,948.75,2073246,902.85
913.4,920.0,2025-12-16,920.9,675680,908.05
894.85,913.4,2025-12-17,917.5,739093,890.1
896.15,894.7,2025-12-18,908.7,793126,880.1
927.8,899.0,2025-12-19,932.4,2275095,893.15
936.35,927.8,2025-12-22,946.9,1190363,927.05
932.85,936.35,2025-12-23,939.55,411102,927.05
966.3,930.1,2025-12-24,968.0,2832626,928.5
943.8,969.45,2025-12-26,970.85,1046494,941.4
932.8,943.75,2025-12-29,946.85,513418,928.8
944.9,940.0,2025-12-30,950.25,1506831,936.1
951.5,945.15,2025-12-31,957.0,508709,942.05
986.6,954.0,2026-01-01,998.0,3562795,951.55
998.0,983.05,2026-01-02,1002.9,1213911,980.45
1003.9,1004.0,2026-01-05,1015.75,768888,995.6
1007.85,1003.9,2026-01-06,1014.0,1008692,995.8
1004.4,1007.0,2026-01-07,1010.65,1325004,985.25
979.55,1005.0,2026-01-08,1007.7,1214956,975.9
973.25,979.55,2026-01-09,988.75,1037544,969.4
977.65,971.0,2026-01-12,982.8,1083174,956.55
970.05,983.5,2026-01-13,992.65,579849,959.4
975.0,968.0,2026-01-14,982.45,353129,967.8
961.5,984.0,2026-01-16,988.75,586376,957.25
961.05,957.2,2026-01-19,967.5,661934,950.4
948.55,955.6,2026-01-20,966.9,636023,944.0
930.55,949.9,2026-01-21,954.75,837205,918.2
860.25,925.0,2026-01-22,925.0,7696517,837.5
812.4,860.25,2026-01-23,866.25,3807984,806.0
825.4,814.0,2026-01-27,834.25,1470057,798.75
845.55,829.5,2026-01-28,849.1,896653,818.9
841.5,845.0,2026-01-29,852.85,788186,836.0
822.4,833.5,2026-01-30,841.0,1293426,815.0
804.4,805.5,2026-02-02,810.0,1474478,779.9
822.8,835.0,2026-02-03,860.0,2356199,813.7
850.1,823.2,2026-02-04,853.3,1608415,820.15
846.4,851.4,2026-02-05,855.0,708714,838.4
849.25,840.4,2026-02-06,851.7,1208995,832.05
866.35,857.0,2026-02-09,872.0,778837,852.0
854.75,868.6,2026-02-10,869.85,1409806,845.1
854.9,854.75,2026-02-11,859.0,1062969,843.55
852.85,855.95,2026-02-12,857.95,616701,840.5
836.05,848.0,2026-02-13,848.0,1057628,827.7
849.35,832.0,2026-02-16,853.8,503367,830.15
863.65,853.0,2026-02-17,866.2,1558240,841.0
865.2,870.95,2026-02-18,870.95,448831,859.1
844.2,868.55,2026-02-19,868.55,413299,840.0
848.9,844.2,2026-02-20,859.3,334182,838.4
837.25,850.0,2026-02-23,854.45,1151087,833.65
831.7,836.0,2026-02-24,838.0,872601,818.35
849.15,835.0,2026-02-25,859.8,782646,832.25
847.7,836.05,2026-02-26,869.15,440568,836.05
824.75,846.7,2026-02-27,847.65,767208,817.4
813.3,811.15,2026-03-02,827.7,782909,804.6
783.15,805.0,2026-03-04,808.65,779842,774.85
790.65,785.45,2026-03-05,795.85,860503,772.35
772.95,788.1,2026-03-06,798.8,584235,770.6
755.5,763.0,2026-03-09,763.0,1644141,729.6
791.3,768.0,2026-03-10,797.0,895970,767.55
776.5,790.0,2026-03-11,806.4,891292,774.05
780.15,774.0,2026-03-12,787.35,1005815,756.15
763.9,776.5,2026-03-13,780.0,1112562,761.55
766.75,763.0,2026-03-16,777.55,534970,749.5
779.95,768.4,2026-03-17,786.35,716898,767.15
807.65,784.05,2026-03-18,813.45,1029247,783.2
788.05,798.05,2026-03-19,798.6,826493,782.0
791.9,795.0,2026-03-20,810.7,1237594,789.05
750.75,786.0,2026-03-23,787.95,1251948,737.05
782.25,767.95,2026-03-24,793.7,866135,757.8
802.85,789.0,2026-03-25,812.9,1626626,786.15
794.65,800.0,2026-03-27,804.05,947914,787.4
755.05,785.0,2026-03-30,785.9,1471638,749.0
780.05,786.85,2026-04-01,795.75,1257172,773.7
784.4,775.0,2026-04-02,787.5,1071725,754.3
817.35,781.0,2026-04-06,819.25,832589,775.95
817.0,814.05,2026-04-07,820.15,421808,804.7
873.3,834.9,2026-04-08,885.45,1055947,834.9
862.95,873.3,2026-04-09,873.3,701417,852.4
864.75,865.0,2026-04-10,884.25,403724,859.9
846.65,855.0,2026-04-13,857.7,799281,836.2
866.55,852.05,2026-04-15,878.55,1467608,852.05
893.8,874.2,2026-04-16,906.5,1941645,871.05
923.7,894.0,2026-04-17,927.9,2129544,889.0
906.75,923.3,2026-04-20,933.8,1525958,899.15
979.1,949.5,2026-04-21,1007.0,19954612,943.9
990.25,979.1,2026-04-22,1001.3,3936595,978.0
1007.75,981.5,2026-04-23,1011.7,1723043,981.0
1033.65,1012.0,2026-04-24,1041.25,3181116,995.0
1047.0,1047.9,2026-04-27,1060.7,2370550,1040.35
1043.55,1049.5,2026-04-28,1055.2,857702,1034.0
1053.05,1044.9,2026-04-29,1068.5,1610944,1034.35
1045.65,1043.05,2026-04-30,1052.5,1424315,1027.5
1042.2,1050.0,2026-05-04,1057.0,427338,1038.6
1042.1,1042.2,2026-05-05,1051.0,885979,1031.4
1065.1,1050.0,2026-05-06,1070.5,861300,1042.1
1051.6,1065.1,2026-05-07,1065.1,775626,1046.9
1091.2,1059.1,2026-05-08,1095.8,2066157,1053.3
1072.8,1080.0,2026-05-11,1095.0,783129,1067.2
1057.7,1072.1,2026-05-12,1082.0,1525808,1051.9
1062.9,1055.0,2026-05-13,1076.7,907690,1051.6
1069.7,1065.0,2026-05-14,1079.0,532210,1044.6
1069.4,1069.0,2026-05-15,1077.6,523695,1057.9
1045.2,1053.6,2026-05-18,1057.1,849525,1040.0
1064.5,1045.2,2026-05-19,1065.3,735303,1045.2
1060.8,1061.0,2026-05-20,1070.0,1175898,1054.2
1055.9,1064.0,2026-05-21,1071.0,930612,1049.3
1059.6,1060.0,2026-05-22,1072.6,1139365,1047.8
1085.6,1064.8,2026-05-25,1098.8,1182448,1063.1
1092.6,1084.1,2026-05-26,1098.0,669294,1078.1
1077.9,1093.0,2026-05-27,1105.0,532208,1074.0
1030.5,1077.9,2026-05-29,1086.0,2065203,1020.7
1003.0,1040.0,2026-06-01,1048.9,671151,1000.1
996.5,997.2,2026-06-02,1002.0,637554,984.3
993.0,1006.0,2026-06-03,1008.0,608418,961.1
999.4,991.5,2026-06-04,1009.5,731869,982.2
997.7,1005.5,2026-06-05,1027.7,1006166,988.2
970.1,978.0,2026-06-08,991.1,727544,964.0
989.0,976.2,2026-06-09,998.5,648241,974.5
968.5,987.0,2026-06-10,989.6,524650,962.0
953.9,966.7,2026-06-11,969.8,804966,950.0
989.9,967.9,2026-06-12,994.0,2049521,965.1
1017.3,999.8,2026-06-15,1023.8,1091671,999.8
1017.9,1020.0,2026-06-16,1031.9,456232,1008.0
1003.5,1020.2,2026-06-17,1025.0,380659,1002.2
1003.9,1004.9,2026-06-18,1010.2,259335,994.3
1003.0,1004.0,2026-06-19,1006.0,354706,989.7
1010.4,1004.6,2026-06-22,1026.8,483741,1000.1
1022.3,1010.4,2026-06-23,1034.5,748602,1008.2
1046.5,1030.0,2026-06-24,1050.0,645084,1018.0
1044.8,1051.1,2026-06-25,1079.9,1452480,1042.6
1034.0,1038.9,2026-06-29,1061.1,996558,1024.3
1038.4,1035.0,2026-06-30,1051.5,1494613,1026.6
1051.8,1038.4,2026-07-01,1069.0,845452,1038.2
1055.6,1055.8,2026-07-02,1062.0,499657,1047.1
1064.4,1059.6,2026-07-03,1086.4,1243362,1057.4
1089.800048828125,1066.5,2026-07-06,1092.0,938079,1061.5999755859375
