close,open,date,high,volume,low
6803.5,6764.0,2025-08-12,6823.0,522463.0,6620.0
6966.0,6827.0,2025-08-13,6980.5,255672.0,6820.0
6970.0,6975.0,2025-08-14,6983.0,143368.0,6904.5
7087.0,7025.0,2025-08-18,7185.0,459379.0,7009.0
7117.0,7094.0,2025-08-19,7135.0,187122.0,7024.0
7158.0,7129.0,2025-08-20,7208.0,217222.0,7120.0
7084.5,7158.0,2025-08-21,7177.0,139514.0,7067.0
7100.5,7100.0,2025-08-22,7164.0,172189.0,7059.5
7071.5,7148.5,2025-08-25,7155.5,116097.0,7057.5
7064.0,7027.5,2025-08-26,7096.0,187129.0,6985.0
7106.5,7099.0,2025-08-28,7170.0,275286.0,6985.0
7091.0,7114.5,2025-08-29,7180.0,260270.0,7070.0
7144.5,7126.5,2025-09-01,7159.5,150419.0,7059.0
7178.5,7149.0,2025-09-02,7199.0,130949.0,7113.0
7235.0,7175.0,2025-09-03,7245.0,265000.0,7157.5
7257.0,7250.0,2025-09-04,7325.0,197453.0,7236.0
7228.0,7288.0,2025-09-05,7315.5,143952.0,7218.5
7324.5,7230.0,2025-09-08,7384.5,234488.0,7230.0
7193.0,7360.0,2025-09-09,7371.5,160736.0,7174.5
7209.0,7254.0,2025-09-10,7271.0,133081.0,7196.5
7233.5,7240.0,2025-09-11,7284.5,178711.0,7148.5
7254.5,7250.5,2025-09-12,7310.0,218090.0,7235.5
7250.0,7260.0,2025-09-15,7280.0,161143.0,7130.0
7395.0,7250.5,2025-09-16,7401.0,209209.0,7241.5
7359.0,7439.0,2025-09-17,7439.0,269888.0,7302.0
7440.5,7359.5,2025-09-18,7452.0,184784.0,7350.0
7549.0,7440.5,2025-09-19,7568.0,370166.0,7424.0
7657.0,7549.0,2025-09-22,7714.0,415876.0,7505.0
7620.0,7650.0,2025-09-23,7697.0,317133.0,7561.5
7532.5,7590.0,2025-09-24,7623.5,352940.0,7505.0
7407.5,7580.0,2025-09-25,7600.0,464674.0,7381.5
7322.5,7425.0,2025-09-26,7506.0,244407.0,7272.0
7278.0,7325.0,2025-09-29,7369.5,248137.0,7259.5
7286.0,7285.0,2025-09-30,7317.0,183924.0,7205.0
7351.0,7334.0,2025-10-01,7373.0,112742.0,7275.0
7393.0,7390.0,2025-10-03,7415.0,140544.0,7309.5
7615.5,7407.5,2025-10-06,7644.0,213779.0,7400.5
7595.5,7625.0,2025-10-07,7638.5,110181.0,7555.0
7588.0,7600.0,2025-10-08,7675.0,150765.0,7523.5
7631.0,7588.0,2025-10-09,7641.0,96611.0,7546.5
7730.0,7645.0,2025-10-10,7794.5,236521.0,7645.0
7685.5,7700.0,2025-10-13,7748.0,129001.0,7608.0
7608.0,7700.0,2025-10-14,7724.5,163491.0,7570.5
7658.5,7608.0,2025-10-15,7723.5,115511.0,7593.5
7578.0,7700.0,2025-10-16,7705.0,186760.0,7470.0
7439.5,7593.0,2025-10-17,7619.5,1113487.0,7239.5
7673.5,7530.0,2025-10-20,7700.0,526263.0,7511.0
7605.0,7694.0,2025-10-21,7697.5,65121.0,7572.5
7518.5,7660.0,2025-10-23,7689.5,250081.0,7500.0
7513.0,7550.0,2025-10-24,7605.0,202587.0,7466.5
7666.5,7514.5,2025-10-27,7702.0,276608.0,7483.5
7510.0,7667.0,2025-10-28,7719.0,761477.0,7478.0
7735.5,7520.0,2025-10-29,7758.0,211944.0,7514.5
7845.0,7735.0,2025-10-30,7868.5,345825.0,7698.0
7704.0,7865.0,2025-10-31,7903.0,324713.0,7684.5
7626.5,7704.0,2025-11-03,7775.0,240686.0,7584.5
7560.0,7617.0,2025-11-04,7667.5,162179.0,7548.5
7591.5,7585.0,2025-11-06,7670.0,201409.0,7572.5
7542.0,7585.0,2025-11-07,7589.5,127993.0,7451.5
7608.0,7560.0,2025-11-10,7662.5,112624.0,7500.5
7659.5,7620.0,2025-11-11,7690.0,105930.0,7549.0
7680.0,7688.0,2025-11-12,7745.5,129351.0,7634.5
7721.0,7662.5,2025-11-13,7816.0,182942.0,7637.5
7632.0,7740.0,2025-11-14,7747.5,127917.0,7602.5
7683.0,7630.0,2025-11-17,7708.5,146747.0,7580.5
7661.0,7679.5,2025-11-18,7730.0,255512.0,7650.0
7688.0,7663.0,2025-11-19,7704.0,138316.0,7641.0
7648.5,7700.0,2025-11-20,7740.0,220950.0,7630.5
7521.0,7648.0,2025-11-21,7648.0,169885.0,7506.0
7427.0,7550.0,2025-11-24,7550.0,305698.0,7390.5
7439.0,7420.0,2025-11-25,7520.0,130117.0,7384.0
7539.0,7429.5,2025-11-26,7568.5,132131.0,7416.0
7479.0,7560.0,2025-11-27,7560.0,170964.0,7425.0
7470.0,7489.0,2025-11-28,7520.0,223708.0,7451.5
7401.0,7478.0,2025-12-01,7530.0,199441.0,7382.5
7347.0,7409.5,2025-12-02,7462.5,185659.0,7281.0
7227.0,7370.0,2025-12-03,7370.0,278984.0,7206.5
7348.5,7250.0,2025-12-04,7382.5,179869.0,7233.0
7257.0,7321.0,2025-12-05,7336.0,191949.0,7171.0
7025.0,7257.0,2025-12-08,7265.5,217567.0,7007.5
7194.0,7025.0,2025-12-09,7214.5,222653.0,6932.0
7139.0,7219.0,2025-12-10,7268.5,126487.0,7110.0
7218.5,7120.0,2025-12-11,7307.0,295740.0,7120.0
7276.5,7230.0,2025-12-12,7298.0,158727.0,7193.5
7339.5,7250.5,2025-12-15,7355.0,121874.0,7223.5
7361.5,7323.0,2025-12-16,7402.5,267325.0,7264.5
7079.5,7341.0,2025-12-17,7341.0,1779522.0,7031.0
7099.0,7079.5,2025-12-18,7145.0,194054.0,7022.5
7439.0,7090.0,2025-12-19,7455.0,630329.0,7087.0
7603.0,7450.0,2025-12-22,7648.0,390893.0,7450.0
7645.0,7605.0,2025-12-23,7680.5,256703.0,7580.0
7630.5,7644.5,2025-12-24,7678.0,94994.0,7611.0
7556.5,7610.0,2025-12-26,7672.5,134764.0,7531.5
7493.5,7547.5,2025-12-29,7611.5,206255.0,7462.0
7497.0,7475.0,2025-12-30,7596.5,370086.0,7470.0
7619.0,7498.0,2025-12-31,7659.5,235002.0,7498.0
7673.0,7615.0,2026-01-01,7695.0,139174.0,7520.0
7798.0,7676.5,2026-01-02,7821.0,192881.0,7664.5
7762.0,7840.5,2026-01-05,7840.5,1133200.0,7584.5
7795.5,7752.0,2026-01-06,7868.5,365681.0,7737.0
7897.0,7764.0,2026-01-07,7935.0,365640.0,7764.0
7750.5,7871.5,2026-01-08,7948.0,327505.0,7723.0
7685.0,7740.0,2026-01-09,7775.5,309566.0,7629.0
7629.0,7700.0,2026-01-12,7710.0,265168.0,7576.5
7555.0,7640.0,2026-01-13,7663.5,436635.0,7402.0
7323.5,7328.0,2026-01-14,7538.0,1655893.0,7303.5
7121.5,7301.0,2026-01-16,7359.0,819635.0,7019.5
7418.0,7182.5,2026-01-19,7440.5,1189009.0,7157.0
7074.5,7420.0,2026-01-20,7427.5,569182.0,7050.0
6975.0,7000.0,2026-01-21,7044.5,773107.0,6808.0
6999.0,7050.0,2026-01-22,7098.0,435717.0,6980.5
6722.0,7050.0,2026-01-23,7050.0,368113.0,6705.5
6766.0,6805.5,2026-01-27,6810.0,479067.0,6663.0
6928.0,6829.0,2026-01-28,6938.5,351390.0,6802.5
7017.5,6900.0,2026-01-29,7034.0,339387.0,6850.0
7013.5,7029.5,2026-01-30,7037.5,396287.0,6915.0
7036.5,6800.5,2026-02-02,7070.0,292881.0,6800.0
7505.0,7400.0,2026-02-03,7699.5,916405.0,7360.0
7630.0,7504.0,2026-02-04,7666.0,354745.0,7420.0
7536.5,7600.0,2026-02-05,7613.0,194719.0,7503.0
7623.5,7536.5,2026-02-06,7643.5,142827.0,7524.0
7788.0,7679.0,2026-02-09,7844.5,262430.0,7645.5
7742.5,7790.0,2026-02-10,7794.0,131347.0,7706.0
7814.0,7789.5,2026-02-11,7825.0,119349.0,7756.0
7768.0,7781.0,2026-02-12,7799.0,145735.0,7730.0
7587.5,7760.5,2026-02-13,7764.0,160046.0,7565.0
7636.0,7617.5,2026-02-16,7674.0,107865.0,7536.0
7742.0,7650.0,2026-02-17,7754.5,90445.0,7616.0
7830.0,7777.0,2026-02-18,7838.5,162110.0,7753.5
7778.0,7830.0,2026-02-19,7898.5,264268.0,7720.0
7869.0,7780.0,2026-02-20,7932.0,393536.0,7710.0
7974.0,7939.0,2026-02-23,8005.0,328097.0,7830.0
8120.5,7969.0,2026-02-24,8147.5,858763.0,7911.0
8348.5,8120.5,2026-02-25,8407.5,886874.0,8119.5
8506.0,8348.5,2026-02-26,8539.5,629664.0,8345.0
8610.5,8502.0,2026-02-27,8722.0,926904.0,8469.5
8548.5,8400.0,2026-03-02,8696.5,653618.0,8400.0
8284.0,8420.0,2026-03-04,8475.0,485905.0,8266.5
8564.0,8331.0,2026-03-05,8586.0,504469.0,8272.0
8552.0,8562.0,2026-03-06,8630.0,287941.0,8480.0
8228.5,8450.0,2026-03-09,8455.0,498043.0,8180.0
7723.0,8363.0,2026-03-10,8363.0,1056999.0,7684.0
7429.5,7690.0,2026-03-11,7707.5,1095711.0,7383.0
