close,open,date,high,volume,low
434.3,444.5,2025-08-08,445.0,587328,432.6
442.45,434.3,2025-08-11,443.4,570685,432.6
446.75,442.75,2025-08-12,450.9,841062,440.65
451.75,448.05,2025-08-13,457.25,1117629,448.05
455.75,452.05,2025-08-14,461.0,841917,452.05
467.9,458.0,2025-08-18,474.25,1666630,458.0
469.75,469.0,2025-08-19,470.4,727061,461.7
462.8,469.2,2025-08-20,469.2,459875,461.75
450.75,463.0,2025-08-21,466.3,756245,449.45
465.5,451.0,2025-08-22,467.0,1707005,449.55
467.7,465.9,2025-08-25,470.95,1338551,462.9
452.7,466.95,2025-08-26,469.9,1161972,450.65
429.6,452.95,2025-08-28,455.2,3079415,421.4
431.55,428.45,2025-08-29,433.5,989138,423.05
428.7,431.65,2025-09-01,433.2,758691,426.1
425.75,431.0,2025-09-02,433.05,957757,424.4
442.95,425.95,2025-09-03,445.0,974022,424.0
432.75,444.05,2025-09-04,452.8,1042845,430.6
431.6,436.3,2025-09-05,438.25,378565,430.6
428.9,432.85,2025-09-08,435.0,269428,427.05
430.9,430.0,2025-09-09,435.0,424106,426.6
450.45,430.4,2025-09-10,453.0,1900526,430.4
438.4,449.0,2025-09-11,452.45,620172,436.9
439.45,441.9,2025-09-12,444.35,575155,437.4
439.15,437.5,2025-09-15,447.5,792558,435.7
441.85,439.2,2025-09-16,447.7,3223407,438.5
447.1,443.55,2025-09-17,456.75,1850309,442.8
502.1,453.0,2025-09-18,513.35,66654495,451.0
500.25,502.1,2025-09-19,509.0,9163262,493.45
484.45,498.0,2025-09-22,501.35,3312490,482.3
482.95,485.95,2025-09-23,489.4,1123046,478.45
485.5,482.95,2025-09-24,493.9,2014592,480.0
493.45,484.9,2025-09-25,501.0,2930030,481.0
485.25,488.65,2025-09-26,492.5,870181,481.55
501.5,490.25,2025-09-29,506.2,4087102,487.25
497.6,502.0,2025-09-30,503.7,1562738,487.25
502.25,501.1,2025-10-01,506.0,1534963,489.35
524.4,505.0,2025-10-03,528.8,5528559,499.35
531.45,530.0,2025-10-06,570.4,23134466,511.5
537.0,531.5,2025-10-07,545.0,4003402,526.75
526.55,534.9,2025-10-08,535.95,2234852,516.9
530.85,526.55,2025-10-09,533.9,1023794,524.2
529.15,530.85,2025-10-10,533.35,614025,527.1
528.35,526.55,2025-10-13,532.7,954531,523.25
517.2,531.4,2025-10-14,535.5,1168976,514.1
542.5,514.05,2025-10-15,544.1,2424636,514.05
539.4,544.8,2025-10-16,544.8,958609,534.5
526.4,539.4,2025-10-17,539.4,1198367,524.25
511.9,530.0,2025-10-20,531.7,3060397,503.25
514.9,516.0,2025-10-21,518.9,275387,512.0
489.65,516.0,2025-10-23,517.9,1719301,487.0
484.55,492.05,2025-10-24,493.0,958487,483.15
490.4,486.0,2025-10-27,512.5,6105370,481.5
493.45,491.05,2025-10-28,503.6,1727764,489.15
487.8,493.45,2025-10-29,493.9,1654852,480.0
483.05,487.8,2025-10-30,488.35,681219,480.4
481.85,484.4,2025-10-31,492.85,1169566,478.8
474.6,479.0,2025-11-03,487.9,1429196,472.85
472.65,475.0,2025-11-04,487.8,1481997,470.0
462.9,472.65,2025-11-06,474.0,932409,460.0
463.6,463.4,2025-11-07,466.05,786396,457.6
458.55,463.6,2025-11-10,467.8,718497,456.7
468.45,459.9,2025-11-11,471.7,1210511,453.55
489.3,470.8,2025-11-12,491.0,2241542,462.8
478.95,490.05,2025-11-13,494.4,1048846,477.6
469.2,475.0,2025-11-14,475.2,1154143,465.2
469.0,467.0,2025-11-17,470.3,595412,465.4
465.5,469.0,2025-11-18,469.0,436502,463.5
468.6,465.0,2025-11-19,473.5,856101,462.2
468.45,468.6,2025-11-20,470.1,442595,464.55
470.2,466.1,2025-11-21,474.9,760343,462.85
456.4,470.2,2025-11-24,470.4,825778,451.5
459.75,459.75,2025-11-25,464.0,737865,457.25
469.35,459.0,2025-11-26,473.0,584519,459.0
465.6,473.0,2025-11-27,473.0,348992,464.5
480.3,469.1,2025-11-28,489.0,6019124,466.95
484.75,481.5,2025-12-01,503.8,4059184,479.15
475.35,485.0,2025-12-02,485.65,763578,473.5
462.5,476.0,2025-12-03,476.0,636625,459.45
463.95,461.25,2025-12-04,469.0,590000,458.7
470.65,464.05,2025-12-05,473.1,962629,457.0
446.65,469.0,2025-12-08,469.8,1484364,441.55
