close,open,date,high,volume,low
190.07,191.86,2025-08-08,196.52,3557025,189.1
189.94,190.07,2025-08-11,191.11,1608219,188.0
189.41,190.24,2025-08-12,191.24,2451853,188.6
192.13,191.0,2025-08-13,193.9,2520715,190.45
190.04,192.88,2025-08-14,193.79,2050350,189.55
192.87,192.0,2025-08-18,194.47,2440499,190.38
194.21,192.87,2025-08-19,195.64,1933761,192.24
191.79,194.59,2025-08-20,194.99,1718399,191.63
192.05,190.0,2025-08-21,196.25,3366635,190.0
192.75,192.5,2025-08-22,195.1,2780076,192.43
192.82,194.85,2025-08-25,197.2,2768270,192.33
189.36,192.8,2025-08-26,192.8,2699421,188.5
186.3,189.6,2025-08-28,190.33,2217846,186.01
183.44,186.51,2025-08-29,188.17,2182619,182.8
187.81,183.45,2025-09-01,188.2,1469588,182.0
186.71,188.74,2025-09-02,189.27,2026785,185.73
201.16,186.99,2025-09-03,202.2,26784180,186.99
198.98,203.4,2025-09-04,203.5,5162404,197.2
200.65,200.39,2025-09-05,202.49,2738839,199.76
198.94,202.0,2025-09-08,202.0,1532805,198.5
198.17,199.93,2025-09-09,199.99,1512574,197.53
199.2,200.02,2025-09-10,202.34,2964835,198.7
200.16,199.2,2025-09-11,203.35,3774879,199.05
200.67,201.0,2025-09-12,201.96,1722552,199.65
203.69,201.71,2025-09-15,205.71,4134481,198.81
205.63,204.9,2025-09-16,205.94,3130431,202.21
203.13,206.39,2025-09-17,207.14,4145507,201.0
203.33,204.07,2025-09-18,204.4,1747374,201.65
208.28,203.33,2025-09-19,209.44,7287332,203.33
202.71,208.34,2025-09-22,208.67,3253102,201.6
200.03,202.6,2025-09-23,203.42,2198637,199.51
196.34,200.45,2025-09-24,200.93,1955674,195.8
195.2,199.1,2025-09-25,201.0,2712002,194.8
187.73,195.06,2025-09-26,195.06,6704368,187.0
191.64,189.9,2025-09-29,193.3,5569677,187.94
191.16,192.48,2025-09-30,192.9,2115708,188.9
199.04,191.07,2025-10-01,200.2,5460929,190.52
198.47,199.06,2025-10-03,201.59,2576009,196.15
195.61,198.99,2025-10-06,199.26,1599560,193.7
195.56,196.51,2025-10-07,198.0,1432184,193.75
193.8,194.61,2025-10-08,197.79,1784235,193.32
197.67,195.0,2025-10-09,198.64,4277668,195.0
201.69,197.67,2025-10-10,206.6,7412470,195.5
197.58,201.52,2025-10-13,201.85,2074076,197.0
192.26,197.58,2025-10-14,198.19,4445505,190.72
193.5,192.26,2025-10-15,194.81,2274935,191.58
194.16,194.1,2025-10-16,195.4,2039432,193.22
192.64,194.9,2025-10-17,195.36,1774622,191.13
195.56,193.5,2025-10-20,196.23,4545499,191.58
197.28,196.89,2025-10-21,198.4,919086,195.4
203.6,198.99,2025-10-23,204.95,6187004,197.0
202.37,204.9,2025-10-24,206.5,3169076,201.77
203.14,203.45,2025-10-27,204.76,1806019,202.65
202.1,203.1,2025-10-28,205.28,2176419,200.28
204.13,203.15,2025-10-29,205.9,2317936,202.5
201.9,204.13,2025-10-30,204.44,2496546,200.1
199.63,202.2,2025-10-31,202.9,1740300,198.82
201.56,199.76,2025-11-03,203.74,3926935,199.76
200.42,201.49,2025-11-04,202.74,4528048,198.24
199.33,196.5,2025-11-06,209.25,14705456,196.5
199.15,198.6,2025-11-07,201.08,3105483,196.0
195.45,199.25,2025-11-10,199.85,2888782,194.4
194.22,195.4,2025-11-11,196.43,1904002,192.9
195.64,195.0,2025-11-12,196.59,2142816,193.67
193.84,195.9,2025-11-13,196.6,2144573,193.4
194.03,193.84,2025-11-14,197.99,2531346,193.1
195.47,194.99,2025-11-17,197.16,1619560,192.65
192.13,195.47,2025-11-18,195.88,2356015,191.6
188.8,192.95,2025-11-19,192.99,3241928,188.07
189.64,190.0,2025-11-20,192.0,1601706,189.11
188.38,190.15,2025-11-21,190.15,2106643,187.5
186.33,188.38,2025-11-24,189.91,3111398,185.25
184.87,186.0,2025-11-25,187.75,2048124,184.2
187.38,185.5,2025-11-26,189.07,2454457,184.63
186.4,188.75,2025-11-27,188.82,1641129,185.84
187.21,186.4,2025-11-28,190.8,3572225,186.11
184.87,187.9,2025-12-01,189.2,2221428,184.15
185.27,184.6,2025-12-02,185.9,2016737,182.5
182.05,184.56,2025-12-03,187.7,2687250,181.29
180.85,182.48,2025-12-04,182.5,4307960,179.6
179.85,181.62,2025-12-05,181.62,2246077,177.44
174.65,180.3,2025-12-08,180.3,3033632,173.4
173.34,174.65,2025-12-09,174.69,3116307,170.4
170.99,173.42,2025-12-10,174.45,1936247,170.1
171.79,170.9,2025-12-11,173.62,5375581,169.58
174.45,172.39,2025-12-12,176.28,7177114,170.65
171.7,174.45,2025-12-15,174.5,2418081,171.16
168.6,171.75,2025-12-16,171.85,3642796,167.55
167.9,169.0,2025-12-17,170.95,2597044,167.29
166.52,168.8,2025-12-18,168.8,2649342,165.12
171.28,166.55,2025-12-19,171.9,3929834,166.55
177.7,171.97,2025-12-22,179.0,6094697,170.87
178.01,177.74,2025-12-23,179.44,3267359,176.16
177.31,178.0,2025-12-24,180.99,2751002,176.31
174.22,177.31,2025-12-26,177.4,1575785,173.85
172.85,174.3,2025-12-29,175.2,1991534,171.6
171.3,173.3,2025-12-30,174.06,1795282,170.61
172.21,172.6,2025-12-31,173.49,1455932,171.09
169.88,172.75,2026-01-01,173.34,2136651,169.36
178.48,170.1,2026-01-02,179.1,4960834,170.1
178.86,179.2,2026-01-05,182.93,5009603,177.98
180.0,179.28,2026-01-06,181.85,3010285,177.55
180.81,180.9,2026-01-07,185.04,6506808,179.88
172.71,180.81,2026-01-08,181.48,3119826,172.0
168.53,172.8,2026-01-09,173.71,2463860,167.81
167.73,168.68,2026-01-12,168.99,2962445,163.64
168.36,168.45,2026-01-13,169.43,3404750,165.38
168.02,168.3,2026-01-14,169.17,1416806,166.71
166.28,168.4,2026-01-16,169.08,1376825,165.18
164.34,166.0,2026-01-19,166.3,3317687,163.5
157.81,163.61,2026-01-20,164.0,2841483,157.2
155.11,157.8,2026-01-21,160.3,3373270,154.3
156.5,157.33,2026-01-22,159.9,1947868,155.18
151.41,157.0,2026-01-23,157.15,2745484,150.21
152.45,152.78,2026-01-27,154.3,4639402,150.1
153.96,154.0,2026-01-28,155.0,3472060,151.55
153.69,150.0,2026-01-29,163.24,17726569,148.31
154.68,152.46,2026-01-30,156.76,3231653,150.4
155.06,152.4,2026-02-02,156.09,2194812,149.76
161.23,165.0,2026-02-03,166.56,3831082,160.02
162.16,161.41,2026-02-04,163.16,2360341,158.53
158.6,160.91,2026-02-05,160.91,1926539,157.51
158.75,158.89,2026-02-06,159.18,2018940,154.63
162.84,160.0,2026-02-09,163.2,1894781,158.65
163.42,162.0,2026-02-10,165.48,6187075,161.25
164.36,163.8,2026-02-11,164.6,1632632,162.1
163.31,164.36,2026-02-12,165.11,1949079,161.48
165.95,162.5,2026-02-13,167.88,4647771,159.0
164.05,166.78,2026-02-16,169.54,3946154,163.39
164.66,161.99,2026-02-17,165.3,1640770,161.87
166.04,165.0,2026-02-18,166.46,2453587,164.2
163.05,166.04,2026-02-19,167.85,1388727,162.01
160.53,163.0,2026-02-20,164.03,1989983,159.93
162.14,161.7,2026-02-23,163.14,2218043,160.5
