close,open,date,high,volume,low
989.5,1000.0,2025-07-11,1007.95,261026,985.25
981.25,984.0,2025-07-14,1001.75,299356,967.0
989.55,977.2,2025-07-15,1017.0,695175,977.2
979.35,975.0,2025-07-16,989.0,425875,970.0
976.15,980.0,2025-07-17,984.6,122826,973.0
1019.4,978.0,2025-07-18,1030.0,1321807,958.45
1032.45,1019.0,2025-07-21,1045.0,901067,1018.0
1018.65,1035.0,2025-07-22,1042.5,397438,1008.0
1019.85,1012.0,2025-07-23,1035.0,238040,1005.0
1010.9,1025.0,2025-07-24,1028.9,200505,1004.4
1000.1,1005.1,2025-07-25,1008.55,246132,991.5
978.7,1005.1,2025-07-28,1025.0,210758,972.05
988.15,979.55,2025-07-29,991.85,120428,966.95
987.65,988.15,2025-07-30,1008.25,105160,985.0
999.8,988.0,2025-07-31,1004.9,270455,975.0
998.05,1004.7,2025-08-01,1024.0,271027,985.5
1017.85,1005.0,2025-08-04,1022.5,143445,990.0
1036.2,1015.0,2025-08-05,1038.9,375067,1011.45
1035.5,1044.0,2025-08-06,1044.0,1121342,1001.05
1067.45,1038.0,2025-08-07,1085.0,1900405,1035.5
1071.25,1076.0,2025-08-08,1117.9,1094848,1056.95
1073.5,1063.0,2025-08-11,1096.0,431836,1056.1
1090.1,1075.2,2025-08-12,1106.7,631433,1075.2
1078.7,1099.0,2025-08-13,1099.0,342247,1070.15
1079.0,1086.9,2025-08-14,1099.0,434008,1071.0
1055.65,1091.0,2025-08-18,1093.2,318449,1050.0
1096.2,1063.9,2025-08-19,1103.35,920177,1060.9
1086.95,1095.0,2025-08-20,1098.9,200360,1080.0
1122.55,1084.5,2025-08-21,1130.0,930570,1084.5
1131.2,1129.65,2025-08-22,1138.5,286101,1122.7
1108.9,1131.2,2025-08-25,1135.0,161650,1105.05
1139.25,1106.0,2025-08-26,1147.7,839358,1100.0
1120.95,1129.75,2025-08-28,1133.0,329989,1113.1
1119.9,1115.5,2025-08-29,1129.75,302445,1101.25
1119.3,1123.0,2025-09-01,1129.1,143997,1110.0
1119.4,1112.5,2025-09-02,1128.0,394367,1099.6
1121.8,1124.0,2025-09-03,1140.0,264756,1106.4
1130.8,1144.0,2025-09-04,1144.9,318362,1120.0
1146.3,1130.8,2025-09-05,1166.0,938356,1109.2
1111.8,1140.0,2025-09-08,1144.0,314109,1100.0
1129.4,1111.9,2025-09-09,1160.2,582060,1111.9
1121.2,1130.6,2025-09-10,1137.4,359138,1110.0
1135.7,1122.9,2025-09-11,1148.0,344058,1122.6
1120.8,1135.0,2025-09-12,1140.5,152500,1119.0
1113.6,1121.8,2025-09-15,1129.0,201314,1106.4
1146.1,1118.8,2025-09-16,1149.0,399795,1109.5
