close,open,date,high,volume,low
2698.4,2694.4,2025-07-10,2747.0,382895,2668.0
2718.3,2711.4,2025-07-11,2754.0,353928,2692.0
2748.2,2734.9,2025-07-14,2780.0,425929,2722.6
2746.2,2748.2,2025-07-15,2759.9,239012,2728.5
2740.0,2749.1,2025-07-16,2756.7,118211,2733.3
2737.9,2742.0,2025-07-17,2749.0,66940,2727.1
2718.3,2742.0,2025-07-18,2778.0,276188,2701.5
2727.9,2720.0,2025-07-21,2740.0,132632,2674.3
2758.2,2742.5,2025-07-22,2769.0,161886,2726.2
2762.1,2778.9,2025-07-23,2785.9,157234,2740.0
2726.3,2757.0,2025-07-24,2781.0,184179,2700.6
2702.1,2725.0,2025-07-25,2725.0,80138,2680.1
2679.5,2710.9,2025-07-28,2740.0,197624,2651.0
2687.1,2707.6,2025-07-29,2731.0,250733,2674.7
2711.6,2700.9,2025-07-30,2725.0,107869,2690.0
2734.5,2707.0,2025-07-31,2772.0,1115600,2672.9
2838.8,2768.0,2025-08-01,2940.0,2609065,2750.0
2798.3,2865.0,2025-08-04,2935.6,661531,2780.5
2887.1,2815.0,2025-08-05,2924.1,629435,2805.3
2837.6,2899.0,2025-08-06,2918.0,509089,2570.7
2837.0,2840.6,2025-08-07,2868.5,234142,2805.6
2824.1,2849.0,2025-08-08,2861.4,158615,2808.0
2856.3,2824.1,2025-08-11,2884.0,209442,2822.1
2895.5,2867.0,2025-08-12,2915.0,211968,2845.6
2823.9,2915.0,2025-08-13,2915.5,233643,2791.0
2857.6,2847.6,2025-08-14,2871.0,185108,2777.3
2851.3,2871.3,2025-08-18,2894.7,226303,2842.0
2821.8,2852.9,2025-08-19,2861.9,125396,2815.1
2833.5,2825.1,2025-08-20,2845.0,283667,2796.5
2894.8,2844.0,2025-08-21,2905.0,220793,2822.2
2890.4,2904.9,2025-08-22,2921.5,172629,2867.2
2912.7,2905.0,2025-08-25,2924.8,228332,2884.1
2904.5,2909.0,2025-08-26,2914.0,227390,2850.0
2840.0,2905.0,2025-08-28,2905.0,78575,2830.0
2852.5,2845.6,2025-08-29,2883.5,124344,2818.4
2856.7,2852.5,2025-09-01,2876.4,145580,2817.0
2896.7,2865.0,2025-09-02,2915.8,186740,2850.0
2902.1,2896.7,2025-09-03,2949.0,246083,2860.0
2840.4,2909.0,2025-09-04,2914.8,170830,2819.1
2787.2,2847.0,2025-09-05,2860.0,160970,2764.1
2759.9,2785.0,2025-09-08,2835.0,148659,2750.1
2757.7,2755.0,2025-09-09,2786.5,138558,2724.6
2810.0,2757.7,2025-09-10,2832.8,578859,2711.0
2877.0,2810.5,2025-09-11,2892.0,189549,2805.7
2870.9,2862.0,2025-09-12,2903.4,353904,2848.0
2980.6,2904.0,2025-09-15,2986.8,703289,2904.0
2994.4,2986.6,2025-09-16,3021.0,445388,2966.6
3010.9,3000.9,2025-09-17,3016.9,213655,2980.6
3010.5,3014.1,2025-09-18,3035.7,338157,2978.3
3052.5,3016.9,2025-09-19,3067.0,539820,3003.0
3027.6,3060.7,2025-09-22,3062.0,94151,3010.0
2957.6,3030.7,2025-09-23,3034.0,125042,2946.8
2969.3,2979.9,2025-09-24,2985.0,127858,2925.0
2962.8,2969.4,2025-09-25,3037.8,327244,2950.0
2882.8,2965.0,2025-09-26,2971.0,131442,2872.9
2886.6,2894.3,2025-09-29,2925.5,143795,2861.7
2887.9,2880.0,2025-09-30,2902.8,131698,2859.7
2914.2,2884.8,2025-10-01,2922.0,100145,2854.2
2957.6,2940.0,2025-10-03,2968.9,183044,2897.0
2951.2,2973.0,2025-10-06,2973.0,121532,2919.0
2997.4,2950.0,2025-10-07,3014.5,264311,2950.0
2982.7,3000.0,2025-10-08,3005.6,67344,2966.0
2987.8,2982.0,2025-10-09,2997.0,100710,2952.0
2988.4,2985.0,2025-10-10,3010.0,87885,2975.0
2996.5,2988.0,2025-10-13,3040.0,121570,2972.2
2911.3,2998.0,2025-10-14,2998.0,144673,2887.1
2951.7,2914.9,2025-10-15,2965.0,88009,2909.6
2997.9,2953.1,2025-10-16,3017.0,142577,2951.8
3108.5,2997.4,2025-10-17,3130.0,701637,2996.5
3254.7,3130.0,2025-10-20,3281.9,1496122,3130.0
3302.1,3280.0,2025-10-21,3314.4,75031,3276.5
3283.3,3302.1,2025-10-23,3423.0,670210,3250.4
