close,open,date,high,volume,low
404.9,406.5,2025-07-21,408.5,1044008,401.0
401.9,406.5,2025-07-22,408.45,810539,400.55
402.75,403.35,2025-07-23,406.2,851989,397.85
402.4,404.05,2025-07-24,406.2,726020,400.25
394.35,402.9,2025-07-25,403.2,991023,391.8
378.15,393.95,2025-07-28,393.95,1350880,375.05
384.35,378.1,2025-07-29,386.2,1910026,376.4
378.95,386.0,2025-07-30,388.0,845176,376.35
367.55,372.0,2025-07-31,374.85,1263261,364.05
354.0,367.5,2025-08-01,370.55,1532249,352.2
368.45,359.55,2025-08-04,369.7,2017438,357.15
366.55,369.0,2025-08-05,375.45,1311686,365.05
361.9,366.35,2025-08-06,369.5,850367,360.25
357.85,360.1,2025-08-07,360.9,1209206,348.15
345.6,358.65,2025-08-08,358.9,973230,344.4
352.7,345.6,2025-08-11,354.0,1144785,342.6
346.6,353.0,2025-08-12,353.7,717869,345.15
348.3,348.0,2025-08-13,352.65,713684,345.75
347.0,348.95,2025-08-14,359.0,1617696,346.0
352.45,350.95,2025-08-18,355.35,672861,349.95
358.55,353.3,2025-08-19,360.5,914144,351.5
359.4,359.0,2025-08-20,363.0,1146155,353.5
362.15,365.0,2025-08-21,374.05,4146078,360.95
354.5,360.5,2025-08-22,361.3,794372,354.0
353.15,356.5,2025-08-25,358.5,963125,351.6
343.35,352.4,2025-08-26,352.4,796792,341.7
336.3,343.15,2025-08-28,344.0,654732,335.0
328.2,335.0,2025-08-29,338.35,832319,327.0
339.4,329.0,2025-09-01,342.0,1154263,327.35
352.25,341.5,2025-09-02,362.7,2881421,338.55
348.05,353.9,2025-09-03,354.95,1242604,346.95
343.7,351.0,2025-09-04,352.3,848052,341.2
344.5,343.8,2025-09-05,348.45,600663,341.1
345.95,345.5,2025-09-08,349.6,591507,343.25
364.45,357.0,2025-09-09,367.8,14902370,355.5
365.9,367.7,2025-09-10,369.35,1787067,362.0
363.4,365.9,2025-09-11,367.35,833768,361.2
374.6,368.0,2025-09-12,379.15,5389424,365.8
399.7,382.0,2025-09-15,407.7,20177360,382.0
396.95,400.0,2025-09-16,401.5,3022526,392.6
400.9,403.9,2025-09-17,412.9,5939730,394.95
397.6,402.15,2025-09-18,402.5,1750027,395.65
393.8,395.0,2025-09-19,397.7,1074614,392.8
387.45,395.15,2025-09-22,396.8,1294946,385.3
382.45,387.35,2025-09-23,387.4,867746,380.2
374.15,380.45,2025-09-24,383.9,870394,373.3
380.6,372.8,2025-09-25,388.5,1193800,372.15
377.95,382.85,2025-09-26,389.5,2729607,372.45
373.4,382.15,2025-09-29,384.4,1266041,370.0
372.2,374.5,2025-09-30,375.0,986046,369.0
383.75,370.55,2025-10-01,386.5,1467505,370.55
387.55,385.0,2025-10-03,392.0,1485158,381.85
384.8,387.9,2025-10-06,388.55,621933,382.0
397.65,384.35,2025-10-07,399.5,2491420,383.5
390.95,400.0,2025-10-08,400.8,1355992,387.8
383.6,390.95,2025-10-09,391.0,852797,382.5
383.95,385.0,2025-10-10,391.25,1050119,383.15
376.4,379.6,2025-10-13,380.95,638279,375.25
365.55,377.05,2025-10-14,378.85,867354,363.1
373.2,365.5,2025-10-15,374.6,788497,365.1
372.75,372.95,2025-10-16,374.8,551091,368.85
368.15,371.0,2025-10-17,371.75,651768,365.0
369.45,368.95,2025-10-20,370.5,471501,365.7
370.55,371.1,2025-10-21,371.6,191431,368.95
369.9,371.7,2025-10-23,373.4,477737,368.5
370.7,370.15,2025-10-24,372.5,467244,368.05
366.25,370.0,2025-10-27,371.4,810613,365.35
366.05,367.95,2025-10-28,369.45,639677,362.0
375.9,366.65,2025-10-29,378.7,1216164,364.2
371.5,375.0,2025-10-30,377.7,1265058,368.75
368.1,372.4,2025-10-31,373.65,749839,365.65
369.75,369.85,2025-11-03,374.8,579034,368.1
364.2,369.0,2025-11-04,370.5,501538,362.8
354.5,363.6,2025-11-06,363.75,627815,352.45
351.65,353.45,2025-11-07,353.45,670977,347.05
349.25,352.05,2025-11-10,353.95,466528,348.1
353.3,350.0,2025-11-11,355.0,558041,345.95
357.4,355.0,2025-11-12,359.3,562335,352.25
352.7,356.0,2025-11-13,359.95,468253,351.3
358.1,351.9,2025-11-14,361.65,765850,350.35
364.35,358.25,2025-11-17,372.2,1829500,357.55
356.0,363.8,2025-11-18,364.0,537698,355.0
350.55,355.95,2025-11-19,355.95,511833,349.1
349.6,351.0,2025-11-20,355.5,467170,349.0
342.25,347.95,2025-11-21,349.75,471719,340.15
335.75,342.0,2025-11-24,343.5,555047,334.0
338.15,335.75,2025-11-25,341.3,574893,332.4
343.2,338.9,2025-11-26,345.15,555871,336.15
345.95,345.6,2025-11-27,351.2,557430,345.0
338.9,345.6,2025-11-28,345.7,472703,337.55
338.85,339.9,2025-12-01,343.35,466760,336.15
336.15,337.0,2025-12-02,339.8,347106,334.3
332.05,337.85,2025-12-03,338.55,417762,331.0
330.5,333.7,2025-12-04,337.95,552854,329.25
334.35,332.5,2025-12-05,340.6,1081531,330.3
317.0,336.0,2025-12-08,336.0,960133,311.15
323.9,317.0,2025-12-09,325.0,912948,311.05
318.85,324.8,2025-12-10,326.5,552254,316.9
332.25,318.8,2025-12-11,339.5,3809212,315.3
329.2,332.25,2025-12-12,334.0,771206,326.35
335.9,329.2,2025-12-15,337.25,876919,327.4
331.65,335.4,2025-12-16,336.7,641300,330.15
328.9,339.0,2025-12-17,339.0,1093324,324.6
326.05,329.85,2025-12-18,329.85,493152,322.55
333.3,325.7,2025-12-19,335.0,722993,324.8
341.6,334.4,2025-12-22,346.85,2096109,334.1
358.7,344.85,2025-12-23,373.0,10637411,341.7
356.75,360.8,2025-12-24,366.0,2061457,354.45
378.25,356.55,2025-12-26,391.0,18235601,354.05
372.35,382.9,2025-12-29,387.7,3207337,370.3
366.95,371.1,2025-12-30,375.95,1878559,364.0
371.55,367.1,2025-12-31,377.5,2151106,365.3
370.95,373.0,2026-01-01,374.25,1056729,366.5
376.15,376.0,2026-01-02,381.0,2205349,372.8
370.15,376.05,2026-01-05,377.65,964278,368.05
371.0,371.9,2026-01-06,376.05,1103160,366.5
368.7,370.7,2026-01-07,373.35,674238,367.75
353.4,368.3,2026-01-08,370.25,1449648,352.0
343.55,353.8,2026-01-09,357.8,1175456,341.5
343.55,343.55,2026-01-12,345.55,1188355,334.15
340.15,345.8,2026-01-13,348.0,824260,337.05
352.95,333.35,2026-01-14,356.25,3551010,332.45
347.85,352.5,2026-01-16,353.9,1103933,346.3
344.35,347.5,2026-01-19,350.1,812762,343.0
331.55,344.3,2026-01-20,345.1,1229590,329.0
327.35,331.5,2026-01-21,333.5,1561524,324.0
336.1,334.0,2026-01-22,338.0,1171540,331.5
328.2,337.7,2026-01-23,343.6,1338647,327.2
330.8,331.5,2026-01-27,335.9,1216332,325.1
346.95,334.7,2026-01-28,349.0,1551473,333.05
342.55,349.0,2026-01-29,350.75,1290552,337.25
353.4,340.2,2026-01-30,355.8,2101706,335.6
336.8,333.0,2026-02-02,338.5,1326999,323.6
334.9,340.0,2026-02-03,347.85,1606621,334.0
334.8,334.8,2026-02-04,336.2,887126,330.4
330.8,335.0,2026-02-05,335.6,513128,330.15
324.0,329.75,2026-02-06,329.75,612646,322.5
332.2,326.25,2026-02-09,333.75,725032,325.15
346.85,346.0,2026-02-10,358.6,11135460,343.2
339.4,345.7,2026-02-11,345.7,768957,337.5
336.25,340.95,2026-02-12,340.95,658824,333.4
331.35,332.0,2026-02-13,332.9,446042,329.35
331.2,330.4,2026-02-16,335.0,507687,326.0
329.5,332.2,2026-02-17,334.95,392402,328.65
333.55,330.95,2026-02-18,334.75,588371,328.65
328.65,334.0,2026-02-19,338.5,958591,328.0
324.35,330.7,2026-02-20,332.0,1205733,322.0
330.6,334.0,2026-02-23,338.0,2436421,327.0
323.45,328.5,2026-02-24,328.75,1003914,319.75
317.55,325.1,2026-02-25,325.6,768330,316.0
312.6,319.15,2026-02-26,320.0,807189,310.6
313.65,314.0,2026-02-27,316.5,742745,310.65
293.55,295.95,2026-03-02,303.05,1878268,291.5
278.55,289.95,2026-03-04,289.95,1454053,276.5
282.05,281.4,2026-03-05,284.9,1008526,276.15
290.9,281.9,2026-03-06,299.8,3320734,280.0
282.15,289.9,2026-03-09,289.9,1210792,275.45
288.4,289.0,2026-03-10,289.45,704720,282.7
283.5,287.05,2026-03-11,293.4,1198642,281.25
287.1,281.0,2026-03-12,291.25,978673,275.1
278.0,285.0,2026-03-13,285.8,655595,276.75
269.95,278.0,2026-03-16,279.25,1131090,265.45
272.25,272.95,2026-03-17,274.5,1046995,269.5
282.45,272.85,2026-03-18,284.7,1387424,272.0
270.45,274.85,2026-03-19,277.4,870142,269.1
271.5,273.0,2026-03-20,279.5,996603,270.2
253.3,270.15,2026-03-23,271.0,1312012,251.15
262.0,260.7,2026-03-24,264.35,1286151,253.35
268.8,265.0,2026-03-25,272.85,1277110,263.85
260.5,265.0,2026-03-27,268.3,1655195,258.25
246.1,260.0,2026-03-30,260.5,2180652,245.0
263.78,258.53,2026-04-01,265.7,1844720,253.18
263.55,255.77,2026-04-02,264.91,1032874,252.6
266.96,264.0,2026-04-06,268.63,1527908,256.74
268.85,267.95,2026-04-07,272.75,1819768,264.19
284.54,280.1,2026-04-08,285.9,1573955,275.5
282.41,284.54,2026-04-09,290.56,1317672,279.45
286.9,284.95,2026-04-10,294.2,2054688,282.94
284.38,278.0,2026-04-13,288.12,1132254,275.57
336.73,300.03,2026-04-15,339.85,69537346,300.03
337.87,339.51,2026-04-16,353.9,26416380,333.35
335.29,333.0,2026-04-17,342.77,4320811,331.17
326.28,335.28,2026-04-20,336.66,1662564,324.54
326.49,327.95,2026-04-21,332.62,1462196,325.06
331.59,325.5,2026-04-22,334.87,1514325,324.8
327.2,329.41,2026-04-23,335.72,1341707,325.2
315.9,327.0,2026-04-24,328.9,1110099,314.51
323.8,317.3,2026-04-27,325.79,936751,317.05
332.3,327.5,2026-04-28,338.76,4289730,327.5
326.64,333.95,2026-04-29,334.03,1023029,325.15
323.55,325.0,2026-04-30,326.0,774156,319.37
336.05,338.85,2026-05-04,345.0,4978929,330.2
340.5,333.95,2026-05-05,344.05,3603459,331.35
343.15,343.05,2026-05-06,345.8,1737448,339.0
348.25,344.6,2026-05-07,351.95,3064994,343.0
342.6,348.0,2026-05-08,349.5,1324435,341.2
333.0,341.0,2026-05-11,341.6,1006421,331.5
318.5,333.0,2026-05-12,335.85,1104210,316.9
323.0,320.0,2026-05-13,327.0,731574,320.0
328.65,324.55,2026-05-14,330.0,1296022,317.75
320.1,329.85,2026-05-15,330.9,788586,319.0
318.2,318.0,2026-05-18,319.9,904754,311.3
317.35,319.0,2026-05-19,322.4,527294,316.4
320.3,315.0,2026-05-20,322.0,613119,313.0
321.1,325.1,2026-05-21,327.25,697177,319.15
320.1,320.05,2026-05-22,321.9,470848,318.5
328.55,322.05,2026-05-25,330.0,1486613,321.05
324.05,326.55,2026-05-26,330.5,716104,321.1
324.3,325.5,2026-05-27,328.2,507838,323.0
315.3,325.4,2026-05-29,326.2,916935,312.75
311.3,316.0,2026-06-01,320.25,680654,310.5
316.0,308.2,2026-06-02,318.0,591495,306.15
317.3,316.0,2026-06-03,319.25,652085,309.2
314.35,314.1,2026-06-04,320.5,645749,310.5
313.25,316.05,2026-06-05,320.25,602561,311.9
303.6,308.7,2026-06-08,311.65,628346,302.05
311.95,305.0,2026-06-09,312.9,620425,305.0
302.75,310.0,2026-06-10,312.0,554807,300.5
294.5,299.7,2026-06-11,299.95,621473,293.1
308.75,300.85,2026-06-12,311.0,926300,297.0
318.75,320.0,2026-06-15,324.0,980081,315.05
321.8,321.3,2026-06-16,328.35,1171360,318.5
323.95,323.4,2026-06-17,328.9,1215600,322.35
322.7,327.25,2026-06-18,329.35,941691,320.6
319.4,321.0,2026-06-19,324.5,640456,316.35
323.5,322.0,2026-06-22,328.35,864679,322.0
318.45,322.4,2026-06-23,324.9,962885,315.55
317.4,320.1,2026-06-24,322.0,555175,315.4
314.05,319.9,2026-06-25,321.0,468612,313.0
306.2,312.0,2026-06-29,313.0,455450,305.05
307.95,308.5,2026-06-30,311.9,504484,307.15
316.9,311.0,2026-07-01,325.4,3400164,310.5
315.65,318.65,2026-07-02,319.4,526313,314.5
314.5,318.0,2026-07-03,318.2,379482,313.45
309.54998779296875,313.45001220703125,2026-07-06,314.0,482970,307.75
310.25,310.95001220703125,2026-07-07,312.0,546836,307.1499938964844
298.6499938964844,307.20001220703125,2026-07-08,307.8999938964844,984533,297.79998779296875
302.8999938964844,300.0,2026-07-09,306.3500061035156,509683,298.6499938964844
307.5,304.5,2026-07-10,313.3500061035156,947147,304.29998779296875
309.0,304.3999938964844,2026-07-13,310.0,477400,302.1000061035156
303.6000061035156,306.0,2026-07-14,308.1499938964844,349435,303.0
302.20001220703125,303.5,2026-07-15,311.79998779296875,598195,301.5
301.79998779296875,303.6499938964844,2026-07-16,304.5,336790,300.6000061035156
298.0,300.25,2026-07-17,302.5,383993,296.75
294.70001220703125,297.0,2026-07-20,297.8500061035156,440660,293.54998779296875
294.1499938964844,295.3500061035156,2026-07-21,298.3500061035156,343536,293.29998779296875
289.8999938964844,294.1499938964844,2026-07-22,294.79998779296875,424492,288.20001220703125
287.54998779296875,288.0,2026-07-23,291.75,443196,286.1499938964844
284.75,285.0,2026-07-24,287.6000061035156,694871,279.29998779296875
288.54998779296875,288.3999938964844,2026-07-27,291.0,291299,287.3999938964844
