close,open,date,high,volume,low
1144.1,1178.9,2025-07-25,1180.1,223804,1135.1
1170.1,1144.1,2025-07-28,1177.3,395216,1142.0
1193.3,1167.9,2025-07-29,1195.0,372439,1150.6
1201.4,1193.0,2025-07-30,1206.9,558285,1174.8
1177.2,1192.0,2025-07-31,1209.0,310445,1170.1
1151.1,1184.8,2025-08-01,1185.0,165814,1134.0
1171.4,1161.6,2025-08-04,1182.8,174103,1145.9
1161.1,1174.9,2025-08-05,1178.0,158611,1145.0
1149.3,1160.0,2025-08-06,1165.9,111614,1140.3
1136.9,1149.3,2025-08-07,1160.4,177197,1128.8
1071.8,1120.0,2025-08-08,1120.0,841228,1055.0
1070.4,1051.0,2025-08-11,1086.0,352402,1032.5
1059.3,1080.0,2025-08-12,1086.9,293297,1047.2
1065.9,1058.4,2025-08-13,1093.2,302509,1053.4
1066.7,1063.0,2025-08-14,1077.0,59928,1056.4
1087.3,1100.0,2025-08-18,1100.0,149127,1071.2
1086.5,1089.9,2025-08-19,1091.0,104397,1068.6
1114.6,1093.0,2025-08-20,1120.0,157272,1078.6
1111.4,1124.0,2025-08-21,1124.0,106718,1100.0
1073.3,1113.8,2025-08-22,1113.8,353569,1064.1
1063.6,1081.9,2025-08-25,1086.5,223045,1058.0
1043.5,1064.0,2025-08-26,1065.2,175899,1038.6
1034.3,1050.9,2025-08-28,1051.0,250906,1020.3
1046.8,1037.9,2025-08-29,1051.0,177144,1025.0
1058.5,1038.5,2025-09-01,1068.0,107144,1038.5
1080.6,1067.0,2025-09-02,1084.0,122087,1061.6
1084.4,1080.6,2025-09-03,1093.0,143266,1066.3
1090.3,1098.0,2025-09-04,1098.0,247648,1069.2
1069.8,1096.0,2025-09-05,1097.4,210895,1065.5
1049.8,1069.8,2025-09-08,1080.4,250169,1046.5
1055.3,1058.0,2025-09-09,1064.2,141142,1041.9
1045.9,1058.9,2025-09-10,1066.1,133347,1043.5
1031.0,1050.0,2025-09-11,1052.5,105881,1027.0
1030.9,1035.2,2025-09-12,1052.9,348243,1026.5
1046.0,1038.9,2025-09-15,1055.0,414010,1030.9
1040.0,1049.9,2025-09-16,1056.5,244104,1035.3
1062.2,1043.9,2025-09-17,1087.3,521691,1043.9
1062.4,1067.8,2025-09-18,1069.4,129030,1052.0
1054.2,1060.0,2025-09-19,1066.9,162433,1049.7
1044.4,1055.0,2025-09-22,1062.7,324231,1041.1
1045.0,1051.0,2025-09-23,1069.5,282944,1044.0
1040.0,1045.0,2025-09-24,1052.9,100645,1031.3
1028.0,1040.0,2025-09-25,1047.1,242245,1020.6
1001.6,1028.0,2025-09-26,1032.3,361303,997.0
996.9,1010.0,2025-09-29,1024.8,428654,990.0
985.4,1004.7,2025-09-30,1010.9,280594,980.0
992.7,989.95,2025-10-01,995.25,491164,963.05
989.75,993.0,2025-10-03,1004.8,476896,977.35
979.5,982.0,2025-10-06,997.0,623663,972.0
1005.7,990.5,2025-10-07,1025.0,1829634,987.75
998.6,1005.7,2025-10-08,1010.45,230988,996.6
1008.2,998.0,2025-10-09,1011.75,181802,989.65
1018.65,1012.5,2025-10-10,1026.3,271305,1003.6
1010.9,1012.4,2025-10-13,1019.15,226724,1006.5
1002.35,1010.9,2025-10-14,1016.0,170063,999.3
1015.75,1005.0,2025-10-15,1019.7,190377,1001.8
1029.1,1021.0,2025-10-16,1037.3,679785,1020.0
1023.6,1024.05,2025-10-17,1029.9,102266,1012.55
1028.65,1035.0,2025-10-20,1035.0,253324,1007.0
