close,open,date,high,volume,low
254.15,256.0,2025-08-21,258.0,4258646.0,253.0
253.15,254.1,2025-08-22,257.85,4286419.0,251.9
256.8,254.5,2025-08-25,260.35,5064696.0,254.5
255.4,257.6,2025-08-26,259.4,8085816.0,252.05
250.85,255.3,2025-08-28,256.55,51659384.0,243.25
261.05,251.5,2025-08-29,267.35,65899998.0,251.5
264.9,260.5,2025-09-01,266.95,22893999.0,259.05
269.3,266.05,2025-09-02,271.0,11539140.0,263.75
270.0,270.7,2025-09-03,273.6,10132446.0,267.6
265.8,271.7,2025-09-04,271.7,4988447.0,265.2
276.0,265.8,2025-09-05,279.0,26498078.0,265.8
273.0,276.05,2025-09-08,277.3,4319393.0,271.1
273.45,273.0,2025-09-09,275.25,4257979.0,272.45
272.4,275.0,2025-09-10,275.55,8544963.0,263.2
270.05,274.0,2025-09-11,274.5,2543432.0,269.7
272.6,271.5,2025-09-12,274.7,5978860.0,268.65
271.35,273.6,2025-09-15,274.5,4516550.0,270.25
267.3,271.5,2025-09-16,272.65,7487514.0,265.55
264.4,267.4,2025-09-17,268.75,8307534.0,263.7
271.2,264.4,2025-09-18,273.2,10780169.0,262.7
271.0,268.95,2025-09-19,273.75,7284786.0,268.9
269.7,272.8,2025-09-22,275.9,24355387.0,267.55
268.95,270.55,2025-09-23,274.35,7932080.0,266.5
270.35,269.3,2025-09-24,272.9,3979056.0,268.6
275.45,270.0,2025-09-25,277.0,14095435.0,269.0
272.35,275.0,2025-09-26,276.3,8484898.0,270.85
277.8,274.0,2025-09-29,279.85,9385811.0,273.1
277.25,278.8,2025-09-30,279.95,16589086.0,270.85
275.2,277.7,2025-10-01,281.7,38691602.0,261.6
275.9,275.0,2025-10-03,280.15,10145743.0,273.1
275.6,277.1,2025-10-06,278.0,6943468.0,272.3
273.55,275.55,2025-10-07,276.55,5236546.0,272.1
286.45,274.9,2025-10-08,290.45,34201386.0,273.8
286.7,285.9,2025-10-09,287.9,7451525.0,279.2
291.6,284.5,2025-10-10,292.85,10083597.0,284.5
290.0,289.05,2025-10-13,296.4,18908156.0,286.5
291.5,294.0,2025-10-14,299.6,34421273.0,285.85
299.55,292.95,2025-10-15,305.0,26964527.0,292.4
306.75,302.0,2025-10-16,307.85,33300773.0,294.3
299.5,305.0,2025-10-17,305.5,11526677.0,298.0
326.65,302.3,2025-10-20,328.8,101896918.0,302.0
324.65,326.2,2025-10-21,328.6,7754162.0,321.3
317.9,325.95,2025-10-23,327.0,20312614.0,313.9
315.95,317.9,2025-10-24,322.0,11847488.0,314.4
322.05,317.1,2025-10-27,325.9,18611108.0,317.05
325.1,323.0,2025-10-28,326.35,8631329.0,319.15
323.6,327.0,2025-10-29,327.0,5625467.0,322.55
324.95,322.0,2025-10-30,327.4,6307582.0,321.7
326.35,324.45,2025-10-31,331.5,10422948.0,324.25
328.75,327.5,2025-11-03,332.0,5670523.0,324.6
323.85,329.0,2025-11-04,329.4,9204487.0,321.95
325.6,327.0,2025-11-06,332.0,10775022.0,324.85
328.25,324.85,2025-11-07,330.0,7953347.0,319.85
324.0,328.9,2025-11-10,331.0,7494051.0,321.95
320.4,323.45,2025-11-11,324.5,5671161.0,316.0
319.55,320.8,2025-11-12,322.6,5092785.0,316.2
315.45,320.55,2025-11-13,322.7,4057852.0,314.55
318.65,315.25,2025-11-14,319.5,5156226.0,314.35
316.7,321.0,2025-11-17,321.0,2615820.0,315.95
314.05,318.0,2025-11-18,319.4,4853216.0,313.45
309.6,314.0,2025-11-19,314.85,6438780.0,308.55
313.65,309.6,2025-11-20,315.3,4991279.0,309.05
312.45,311.95,2025-11-21,318.4,4259450.0,311.0
308.3,312.1,2025-11-24,316.9,3839441.0,306.65
308.25,307.6,2025-11-25,310.0,3017233.0,306.5
317.5,309.05,2025-11-26,318.15,4294290.0,308.95
311.75,317.5,2025-11-27,318.1,5707931.0,308.3
312.4,313.3,2025-11-28,314.2,2877894.0,309.65
307.05,313.25,2025-12-01,314.1,5327751.0,303.7
302.25,307.0,2025-12-02,307.25,4085596.0,300.7
304.3,302.0,2025-12-03,306.0,4279637.0,299.45
298.45,304.05,2025-12-04,304.3,4816287.0,296.2
305.8,297.0,2025-12-05,306.75,4484867.0,296.8
300.0,306.7,2025-12-08,306.75,3795391.0,298.05
304.1,299.4,2025-12-09,304.7,4941665.0,294.0
302.0,303.0,2025-12-10,307.8,4162606.0,301.1
311.2,302.0,2025-12-11,312.5,5400088.0,301.0
307.6,311.2,2025-12-12,314.45,3891673.0,304.95
304.3,307.6,2025-12-15,307.6,2729004.0,302.95
300.7,302.5,2025-12-16,303.35,4912232.0,297.3
296.95,301.55,2025-12-17,305.0,5473701.0,295.5
298.75,297.4,2025-12-18,301.8,2897785.0,294.3
300.25,299.6,2025-12-19,301.5,2456528.0,297.0
303.1,301.5,2025-12-22,305.15,3436480.0,301.0
303.6,304.0,2025-12-23,306.9,2678987.0,302.7
305.95,307.3,2025-12-24,312.45,6525936.0,303.95
303.25,306.0,2025-12-26,306.05,2400482.0,300.65
304.2,303.2,2025-12-29,304.95,2111241.0,301.2
309.7,304.45,2025-12-30,310.35,7190442.0,302.5
315.8,310.0,2025-12-31,316.3,8031693.0,308.65
315.3,313.95,2026-01-01,316.5,1946232.0,310.8
320.75,315.0,2026-01-02,324.3,6278560.0,314.25
316.05,320.9,2026-01-05,320.9,8916084.0,309.0
320.25,316.05,2026-01-06,322.25,10314444.0,315.75
318.65,320.25,2026-01-07,321.0,6957911.0,311.75
309.85,317.0,2026-01-08,319.0,5421629.0,307.0
305.9,309.5,2026-01-09,312.9,4337505.0,304.2
304.9,304.85,2026-01-12,308.4,4600396.0,300.9
305.7,306.45,2026-01-13,307.7,4994436.0,297.75
312.0,304.7,2026-01-14,312.75,3432977.0,304.25
324.6,315.0,2026-01-16,328.45,16184591.0,315.0
302.85,309.0,2026-01-19,309.0,25110461.0,297.15
293.7,304.3,2026-01-20,305.0,9557270.0,292.45
297.5,293.0,2026-01-21,302.9,8916581.0,293.0
296.2,300.85,2026-01-22,303.55,4771859.0,294.3
288.6,296.2,2026-01-23,298.25,4898254.0,287.2
295.35,289.75,2026-01-27,298.0,5149312.0,288.25
297.35,295.3,2026-01-28,298.35,3505678.0,294.4
296.2,296.25,2026-01-29,299.25,3940211.0,293.45
298.75,296.0,2026-01-30,302.05,5459235.0,292.55
296.95,291.0,2026-02-02,298.5,4770076.0,287.8
304.75,304.2,2026-02-03,308.95,7044236.0,299.25
305.8,304.5,2026-02-04,309.75,2639416.0,302.4
304.4,305.0,2026-02-05,306.5,2466173.0,302.6
302.1,303.9,2026-02-06,304.9,2067144.0,299.45
