close,open,date,high,volume,low
279.8,280.9,2025-07-09,283.0,685286,278.15
280.2,280.0,2025-07-10,285.5,687393,279.0
278.25,280.0,2025-07-11,281.6,387797,276.55
278.95,283.65,2025-07-14,284.0,973588,277.9
279.9,280.0,2025-07-15,282.7,466451,279.1
278.65,280.35,2025-07-16,280.75,347152,278.05
277.55,278.65,2025-07-17,279.8,293931,277.05
275.1,277.8,2025-07-18,278.65,327615,274.0
275.7,276.0,2025-07-21,277.0,367090,273.3
274.65,277.0,2025-07-22,278.05,274395,274.0
273.4,275.7,2025-07-23,275.7,295896,272.25
273.65,274.05,2025-07-24,276.25,254667,272.45
264.6,273.45,2025-07-25,273.45,674230,263.25
263.25,270.0,2025-07-28,272.5,1163713,261.05
262.8,261.5,2025-07-29,264.4,533229,257.25
260.55,262.75,2025-07-30,263.7,257901,260.0
256.75,258.15,2025-07-31,260.65,424910,254.45
252.05,258.0,2025-08-01,259.8,425007,251.0
258.9,252.0,2025-08-04,260.7,509438,250.25
257.85,258.7,2025-08-05,263.25,376658,255.6
256.5,258.95,2025-08-06,260.05,484617,255.0
250.9,253.0,2025-08-07,254.05,533329,247.75
247.05,251.15,2025-08-08,254.9,378880,246.0
250.3,247.0,2025-08-11,251.0,329331,245.0
248.9,252.0,2025-08-12,253.5,352700,247.3
250.4,248.9,2025-08-13,252.1,275020,248.15
250.5,249.4,2025-08-14,253.8,362555,248.75
251.0,251.5,2025-08-18,254.7,320259,250.0
258.2,252.0,2025-08-19,259.4,462888,251.5
257.35,258.15,2025-08-20,260.5,464118,254.65
259.35,257.4,2025-08-21,260.55,492880,256.4
256.05,258.05,2025-08-22,259.35,193730,255.1
252.1,256.45,2025-08-25,257.05,237694,251.55
250.25,253.0,2025-08-26,253.6,301688,248.65
244.35,250.25,2025-08-28,250.8,316686,243.75
243.95,244.0,2025-08-29,248.45,346058,242.5
258.48,247.0,2025-09-01,260.0,1685144,245.85
264.18,259.05,2025-09-02,267.99,1549925,255.3
262.64,263.18,2025-09-03,266.56,535496,261.2
257.62,265.0,2025-09-04,265.7,460910,256.77
262.19,257.7,2025-09-05,263.45,427988,255.9
261.44,262.19,2025-09-08,266.82,551183,259.61
269.87,261.59,2025-09-09,270.8,1609437,261.59
269.23,271.4,2025-09-10,273.91,955207,268.12
263.93,268.9,2025-09-11,269.0,537207,263.2
267.9,265.19,2025-09-12,269.13,704766,264.5
275.14,267.91,2025-09-15,280.9,2419079,267.91
275.14,277.0,2025-09-16,277.07,835145,272.48
272.93,274.4,2025-09-17,278.3,1168603,271.55
