close,open,date,high,volume,low
566.55,574.0,2025-08-29,574.0,423541.0,563.5
572.65,566.55,2025-09-01,575.15,206677.0,564.05
578.2,574.9,2025-09-02,583.35,312837.0,568.6
576.6,576.5,2025-09-03,580.0,209299.0,569.6
571.0,583.5,2025-09-04,585.95,227855.0,567.95
570.45,572.5,2025-09-05,583.4,437600.0,569.05
579.2,573.75,2025-09-08,602.0,1419361.0,570.9
581.2,579.05,2025-09-09,584.25,230858.0,574.1
584.85,584.0,2025-09-10,605.95,1183736.0,581.35
583.15,588.9,2025-09-11,594.85,265714.0,581.7
576.35,585.15,2025-09-12,587.5,217789.0,575.1
577.55,580.85,2025-09-15,586.0,412860.0,575.8
575.15,581.5,2025-09-16,584.4,244476.0,573.5
576.6,579.45,2025-09-17,582.8,323558.0,574.75
577.05,577.95,2025-09-18,585.0,388113.0,572.25
566.8,579.7,2025-09-19,579.7,897969.0,564.0
555.6,569.1,2025-09-22,570.4,420626.0,554.2
563.8,560.0,2025-09-23,565.0,405554.0,549.2
561.75,565.0,2025-09-24,566.95,341705.0,555.5
539.8,561.95,2025-09-25,562.5,693834.0,537.05
532.75,540.0,2025-09-26,543.45,436487.0,528.35
519.85,534.8,2025-09-29,539.0,851002.0,513.2
539.7,527.05,2025-09-30,542.9,1041604.0,523.1
539.3,544.1,2025-10-01,544.95,343135.0,534.0
551.65,540.8,2025-10-03,561.9,693698.0,540.55
554.75,555.0,2025-10-06,556.8,332682.0,546.0
549.05,554.75,2025-10-07,554.75,224475.0,544.5
537.1,550.15,2025-10-08,553.65,237773.0,536.05
549.9,538.0,2025-10-09,552.2,296840.0,536.2
552.0,549.0,2025-10-10,555.0,177188.0,544.55
558.4,548.0,2025-10-13,563.75,1348501.0,542.65
557.5,558.4,2025-10-14,563.0,324609.0,544.6
549.95,557.5,2025-10-15,557.5,197936.0,548.45
552.35,552.0,2025-10-16,557.55,270114.0,546.05
535.0,552.35,2025-10-17,553.95,411070.0,531.65
544.25,535.05,2025-10-20,559.5,646472.0,532.2
