close,open,date,high,volume,low
378.2,376.35,2025-07-21,380.0,3246863,373.1
372.25,380.0,2025-07-22,380.1,2494508,371.55
373.7,373.1,2025-07-23,375.45,4443972,367.0
376.9,374.1,2025-07-24,379.0,3184740,372.2
365.6,375.9,2025-07-25,375.9,3472092,363.55
354.45,363.85,2025-07-28,368.25,3438508,353.2
359.5,354.0,2025-07-29,362.0,4192933,352.0
358.4,360.15,2025-07-30,362.2,2041969,356.5
348.15,353.0,2025-07-31,355.3,3934940,345.0
345.45,349.35,2025-08-01,350.4,3149891,343.3
353.0,346.45,2025-08-04,354.0,3431280,344.35
351.55,353.0,2025-08-05,357.3,2551146,350.0
346.0,352.0,2025-08-06,354.45,2282901,344.5
346.5,341.2,2025-08-07,348.0,2924832,337.2
336.6,346.8,2025-08-08,346.8,2140972,335.0
342.5,337.7,2025-08-11,346.7,3610633,334.4
329.45,342.75,2025-08-12,346.5,5392512,320.3
326.3,323.15,2025-08-13,333.85,9107823,316.5
324.1,329.5,2025-08-14,333.85,5292079,322.0
323.8,330.0,2025-08-18,330.75,4633408,322.55
327.75,325.0,2025-08-19,328.5,3483785,321.5
330.8,328.85,2025-08-20,332.0,4059829,324.5
328.65,330.0,2025-08-21,334.4,5454040,327.1
323.75,327.8,2025-08-22,327.8,3877289,323.1
321.65,325.45,2025-08-25,326.95,2419995,321.0
312.7,321.65,2025-08-26,322.45,5319362,311.5
308.65,316.0,2025-08-28,318.15,7594499,307.0
302.6,308.4,2025-08-29,309.0,4853561,301.75
315.7,302.95,2025-09-01,317.5,5644181,301.6
331.85,318.0,2025-09-02,339.5,20277592,316.0
334.6,332.0,2025-09-03,337.45,9498144,328.6
326.95,333.95,2025-09-04,335.0,6377015,325.15
329.4,326.7,2025-09-05,331.05,4541584,325.05
332.2,330.85,2025-09-08,337.2,4123272,329.05
332.4,333.2,2025-09-09,335.85,3863086,329.5
333.45,333.35,2025-09-10,339.55,5814933,332.7
335.15,337.8,2025-09-11,337.9,6896258,331.6
338.1,335.4,2025-09-12,339.9,5594449,334.4
347.25,340.0,2025-09-15,355.5,18797234,339.3
354.9,348.65,2025-09-16,356.7,10201112,344.35
360.8,356.0,2025-09-17,369.85,17573057,355.6
362.5,362.85,2025-09-18,364.7,7379618,356.35
363.45,361.9,2025-09-19,367.7,6433354,361.15
358.9,362.45,2025-09-22,368.0,5537194,357.2
357.6,362.0,2025-09-23,365.0,6674464,354.55
347.65,356.85,2025-09-24,356.95,3858578,347.0
346.55,345.6,2025-09-25,355.9,4137205,345.0
337.8,346.95,2025-09-26,347.7,3434829,336.55
341.65,340.0,2025-09-29,348.35,3972955,339.0
339.45,343.3,2025-09-30,343.9,4677413,336.05
344.4,339.05,2025-10-01,345.75,3430563,338.55
347.05,344.25,2025-10-03,347.7,3140339,342.5
346.6,347.3,2025-10-06,349.8,2559353,343.55
354.85,347.1,2025-10-07,356.15,7443017,347.0
346.55,357.2,2025-10-08,357.4,8765182,344.4
344.4,344.5,2025-10-09,347.3,4026015,341.2
342.0,344.9,2025-10-10,348.0,3046643,341.35
339.15,338.75,2025-10-13,340.5,2891506,336.05
333.05,338.5,2025-10-14,341.15,3285293,331.75
338.6,333.1,2025-10-15,340.45,3209510,333.1
336.05,338.7,2025-10-16,341.85,3202695,335.5
331.65,335.0,2025-10-17,335.5,3682969,328.8
329.0,333.2,2025-10-20,336.1,4963362,328.4
332.0,330.6,2025-10-21,333.3,861044,330.6
329.95,334.0,2025-10-23,335.1,2981997,329.0
329.45,330.95,2025-10-24,333.45,2336043,328.05
330.0,330.0,2025-10-27,332.85,2248942,328.8
328.85,332.65,2025-10-28,334.2,4632729,327.3
332.75,328.45,2025-10-29,334.0,3978096,327.25
331.55,332.95,2025-10-30,337.3,3002069,330.5
328.8,331.5,2025-10-31,332.75,2081372,328.4
328.7,328.4,2025-11-03,331.55,2313547,327.7
325.8,329.65,2025-11-04,330.35,1993561,324.3
317.8,325.9,2025-11-06,327.45,3610101,317.3
318.0,317.7,2025-11-07,319.8,3577541,314.0
315.9,318.3,2025-11-10,320.85,2271236,315.55
317.75,317.5,2025-11-11,320.3,2711458,315.05
316.35,314.0,2025-11-12,320.5,7164298,308.0
314.3,316.05,2025-11-13,320.9,3602435,314.0
321.05,314.35,2025-11-14,325.25,7162206,314.3
327.0,322.65,2025-11-17,335.65,13111023,321.4
321.2,327.0,2025-11-18,327.4,3136355,320.3
320.15,320.9,2025-11-19,322.2,2950970,316.5
319.1,320.45,2025-11-20,324.15,2390778,318.1
314.0,319.05,2025-11-21,319.05,2555681,313.6
324.85,316.9,2025-11-24,329.95,9809535,312.6
322.9,323.55,2025-11-25,326.0,10977583,315.2
323.6,319.75,2025-11-26,324.9,5359842,317.9
324.55,326.8,2025-11-27,329.7,4946518,321.6
324.1,323.0,2025-11-28,324.8,3243378,321.5
321.65,323.8,2025-12-01,327.5,3356315,320.55
317.9,320.0,2025-12-02,320.4,2598203,316.55
311.65,317.45,2025-12-03,318.8,3009610,311.05
312.4,313.25,2025-12-04,316.4,4042661,310.7
310.85,312.3,2025-12-05,312.4,3104280,307.85
307.15,310.45,2025-12-08,311.55,3969397,301.65
312.7,304.0,2025-12-09,313.7,4741731,301.2
308.9,312.05,2025-12-10,315.0,2160269,307.55
311.9,308.75,2025-12-11,316.0,3663101,307.25
313.9,313.35,2025-12-12,315.15,1953253,311.05
313.15,312.0,2025-12-15,314.45,1474329,311.7
309.4,312.55,2025-12-16,312.6,1438292,308.0
307.25,309.5,2025-12-17,310.9,1877813,306.0
305.95,306.95,2025-12-18,307.15,2042006,303.2
319.15,308.7,2025-12-19,320.7,5025216,306.65
332.5,320.05,2025-12-22,335.5,13224486,319.1
341.85,334.2,2025-12-23,349.5,20825008,333.0
345.7,343.95,2025-12-24,349.4,12510973,338.0
387.95,346.7,2025-12-26,392.8,102998642,345.85
367.6,394.95,2025-12-29,400.7,38027612,365.9
360.35,369.9,2025-12-30,373.05,23158835,358.1
357.25,360.5,2025-12-31,366.25,13232939,356.1
361.5,359.2,2026-01-01,365.4,7782539,355.5
365.85,363.5,2026-01-02,368.45,7088047,360.65
361.0,366.05,2026-01-05,372.9,6255317,358.45
358.3,361.9,2026-01-06,367.75,5660162,354.4
357.4,358.8,2026-01-07,365.9,7777810,356.25
342.55,357.4,2026-01-08,360.75,8367219,341.0
332.2,344.0,2026-01-09,350.35,10019235,330.3
331.65,333.45,2026-01-12,333.9,9252024,323.1
330.2,334.0,2026-01-13,337.65,7141388,325.05
338.3,329.5,2026-01-14,341.9,10947879,328.0
335.15,341.0,2026-01-16,344.95,6964569,333.5
331.3,332.95,2026-01-19,337.7,5086365,329.8
320.3,331.3,2026-01-20,331.55,7883696,318.95
317.1,318.0,2026-01-21,324.15,8128372,313.8
329.0,322.6,2026-01-22,330.5,7930048,319.35
325.15,331.0,2026-01-23,334.8,6752882,323.4
