close,open,date,high,volume,low
123.36,122.51,2025-08-07,123.87,10677634,120.5
121.07,123.0,2025-08-08,123.78,6142679,120.7
121.67,121.07,2025-08-11,121.93,9091136,119.9
122.19,121.4,2025-08-12,123.49,6594879,121.31
124.05,122.5,2025-08-13,124.64,12017599,122.15
120.37,124.2,2025-08-14,124.35,7879264,120.2
122.44,122.8,2025-08-18,124.0,8711845,121.51
122.98,122.56,2025-08-19,123.73,4611886,122.15
124.09,122.7,2025-08-20,125.83,12009594,122.0
123.25,124.1,2025-08-21,125.27,4254584,123.05
121.93,123.23,2025-08-22,123.25,5155189,121.42
122.84,122.66,2025-08-25,123.6,2959928,122.23
119.94,122.21,2025-08-26,122.4,7276847,119.0
119.25,119.87,2025-08-28,120.0,7776953,118.1
118.66,119.52,2025-08-29,120.25,5165884,118.2
121.09,119.16,2025-09-01,121.4,4676092,118.5
123.09,121.5,2025-09-02,124.69,8200047,120.81
129.68,123.85,2025-09-03,130.0,26783470,123.56
127.57,130.0,2025-09-04,130.21,7801378,127.22
129.26,127.8,2025-09-05,129.6,5711851,126.71
131.45,130.53,2025-09-08,134.79,26650648,130.16
129.45,131.45,2025-09-09,131.6,6939950,129.11
129.72,130.0,2025-09-10,131.55,4651804,129.23
131.82,130.0,2025-09-11,132.63,8098228,129.27
132.26,132.0,2025-09-12,133.0,4655442,131.31
132.79,132.01,2025-09-15,133.45,6555662,131.52
132.94,132.79,2025-09-16,133.8,4986436,132.15
132.75,133.05,2025-09-17,134.3,5930567,131.5
133.18,132.99,2025-09-18,133.79,6394911,131.44
136.2,133.18,2025-09-19,136.63,34447974,133.0
135.49,135.11,2025-09-22,138.24,11023917,134.83
137.3,135.49,2025-09-23,137.75,10743591,134.9
136.34,136.6,2025-09-24,138.75,14644870,135.95
136.52,136.4,2025-09-25,138.62,8887697,135.67
131.02,136.52,2025-09-26,136.9,9029952,130.4
131.71,131.4,2025-09-29,133.95,6598940,131.26
134.48,132.29,2025-09-30,135.28,10087746,131.93
134.92,134.48,2025-10-01,136.75,19829958,132.75
134.96,135.03,2025-10-03,137.9,16097900,134.74
132.62,135.65,2025-10-06,136.5,31643657,131.56
132.88,133.0,2025-10-07,134.33,18395982,131.31
131.72,132.78,2025-10-08,133.0,20062802,130.1
136.46,132.0,2025-10-09,137.0,41930005,131.61
132.17,136.5,2025-10-10,136.5,21483357,131.47
132.51,131.5,2025-10-13,133.32,18513844,128.81
128.77,132.94,2025-10-14,134.2,13838918,128.0
130.29,129.0,2025-10-15,131.67,11279798,128.39
131.38,130.9,2025-10-16,132.93,15763529,129.08
128.68,131.38,2025-10-17,132.16,13063892,128.02
129.84,129.6,2025-10-20,130.5,8776091,127.74
129.95,130.55,2025-10-21,130.69,1955418,129.5
129.34,130.8,2025-10-23,131.25,8311038,128.9
129.46,129.71,2025-10-24,131.88,14135916,129.11
129.9,130.5,2025-10-27,130.95,12660595,129.01
132.16,129.91,2025-10-28,133.15,54886107,129.5
140.55,133.37,2025-10-29,143.27,143438521,133.2
137.05,138.7,2025-10-30,139.7,31586710,135.5
136.85,137.2,2025-10-31,138.2,27662647,135.0
137.97,136.79,2025-11-03,140.94,22226547,135.8
138.18,138.25,2025-11-04,140.77,29013280,136.39
137.91,138.0,2025-11-06,139.69,18170970,136.0
141.0,136.49,2025-11-07,141.98,32646925,134.66
144.34,141.0,2025-11-10,145.82,41386043,141.0
144.4,144.27,2025-11-11,145.25,19224266,141.65
143.49,145.04,2025-11-12,145.28,14977228,142.8
144.72,144.25,2025-11-13,145.9,24530062,143.0
141.99,144.15,2025-11-14,145.0,13373663,141.33
141.33,142.0,2025-11-17,143.1,8529282,140.2
138.9,140.61,2025-11-18,140.87,16189299,137.18
139.99,138.7,2025-11-19,140.99,10782966,138.28
138.19,139.8,2025-11-20,140.61,9904118,137.8
134.08,137.89,2025-11-21,138.78,11154148,132.8
132.08,134.0,2025-11-24,134.51,12377263,131.7
132.25,132.25,2025-11-25,133.68,37889153,131.1
136.92,133.85,2025-11-26,138.3,37106654,133.71
136.21,137.8,2025-11-27,139.65,15805364,135.82
134.91,136.79,2025-11-28,137.29,12338284,134.49
135.05,135.91,2025-12-01,136.8,10957771,134.53
132.46,135.05,2025-12-02,135.12,11909464,131.24
131.92,132.46,2025-12-03,133.6,15579248,130.29
132.14,132.0,2025-12-04,134.3,13313343,131.66
132.54,132.2,2025-12-05,133.2,6506989,130.66
129.75,132.54,2025-12-08,132.8,11987614,128.63
129.15,129.0,2025-12-09,129.92,11367505,126.8
128.52,128.5,2025-12-10,130.32,8907207,127.72
129.54,128.99,2025-12-11,130.0,6218056,128.41
131.9,130.5,2025-12-12,132.6,11049524,130.4
132.31,131.65,2025-12-15,132.5,8285011,130.5
129.68,131.7,2025-12-16,131.9,12843983,128.3
130.2,129.35,2025-12-17,130.48,8436068,129.03
127.27,129.8,2025-12-18,130.49,11582737,126.78
125.91,127.39,2025-12-19,127.74,21222260,124.0
130.06,126.7,2025-12-22,131.39,18396794,126.45
132.71,130.65,2025-12-23,133.92,14054101,129.91
131.85,133.5,2025-12-24,134.3,10990662,131.0
132.32,131.0,2025-12-26,132.78,7733641,130.6
134.09,132.9,2025-12-29,138.8,44684863,132.9
141.02,134.09,2025-12-30,141.8,41245044,133.54
146.99,145.1,2025-12-31,149.19,68661714,143.8
148.45,147.1,2026-01-01,149.47,22828687,145.46
147.47,148.6,2026-01-02,148.9,12703746,146.9
150.85,147.4,2026-01-05,151.25,25349187,146.36
146.44,152.1,2026-01-06,152.8,27791120,146.0
150.37,146.39,2026-01-07,150.85,16707388,146.31
146.46,151.0,2026-01-08,151.43,21794398,143.25
145.67,146.0,2026-01-09,147.4,14766805,143.71
149.22,145.67,2026-01-12,149.7,21341282,143.64
147.76,149.25,2026-01-13,150.36,11414470,146.51
152.44,147.76,2026-01-14,152.65,26571101,147.21
149.37,152.45,2026-01-16,153.12,16896403,148.55
149.7,149.0,2026-01-19,150.21,9393373,147.68
145.4,150.19,2026-01-20,152.22,22619361,144.72
146.45,145.0,2026-01-21,147.9,20875315,143.9
151.65,148.05,2026-01-22,153.9,45852758,148.05
149.03,152.45,2026-01-23,156.5,35863744,148.5
155.56,150.5,2026-01-27,157.0,40035179,149.0
155.74,157.0,2026-01-28,157.45,31471571,152.9
157.18,156.0,2026-01-29,160.0,31557755,155.8
151.13,154.5,2026-01-30,154.5,33012904,147.75
148.67,148.1,2026-02-02,149.9,38552721,141.3
154.36,154.5,2026-02-03,156.05,32031454,149.04
157.29,154.95,2026-02-04,158.2,20559103,154.11
158.5,155.9,2026-02-05,160.0,22567786,152.29
160.52,158.0,2026-02-06,161.3,29587522,156.49
158.38,161.05,2026-02-09,161.9,22102148,157.17
160.99,158.49,2026-02-10,161.48,28657528,156.22
162.12,161.0,2026-02-11,162.9,15729412,160.37
160.35,162.12,2026-02-12,163.0,11007640,159.33
159.28,157.8,2026-02-13,161.3,19899685,155.0
159.58,158.0,2026-02-16,160.14,8429730,157.25
157.27,158.8,2026-02-17,158.84,15671137,153.84
159.21,157.51,2026-02-18,160.89,14036849,157.31
155.8,160.5,2026-02-19,161.74,13791140,154.87
158.75,155.9,2026-02-20,160.1,14376451,155.32
156.68,159.4,2026-02-23,159.7,15614066,155.25
160.18,156.7,2026-02-24,160.68,47145393,152.05
164.93,161.55,2026-02-25,167.2,64790496,160.85
165.51,165.0,2026-02-26,165.9,20505687,162.86
165.71,164.75,2026-02-27,167.99,28020533,164.0
165.59,158.99,2026-03-02,168.21,21848406,158.8
155.62,161.42,2026-03-04,161.42,36418465,152.4
156.15,156.1,2026-03-05,160.2,20616217,154.31
154.94,155.4,2026-03-06,157.6,12234478,153.51
149.52,150.99,2026-03-09,151.19,17043925,144.8
149.84,152.05,2026-03-10,153.45,11722822,148.37
153.88,150.82,2026-03-11,155.34,13160960,150.82
153.65,153.01,2026-03-12,154.2,9824998,149.6
149.89,152.26,2026-03-13,154.25,24157379,144.25
144.69,148.97,2026-03-16,150.13,16060150,143.27
153.53,145.19,2026-03-17,153.99,27048278,144.5
154.42,152.8,2026-03-18,156.09,20171195,151.65
152.55,152.0,2026-03-19,155.41,14841772,151.0
155.52,153.11,2026-03-20,158.54,25811397,153.11
143.04,153.04,2026-03-23,154.0,21470572,142.26
145.73,146.46,2026-03-24,147.5,17464379,143.3
151.71,147.99,2026-03-25,152.34,22905688,145.95
146.47,150.1,2026-03-27,152.07,27097799,145.9
151.42,146.2,2026-03-30,156.6,70851364,145.01
155.82,155.6,2026-04-01,158.0,38264128,153.1
155.16,154.0,2026-04-02,156.19,28426617,150.28
160.44,153.9,2026-04-06,161.28,27838073,151.32
160.62,159.42,2026-04-07,161.69,21021523,158.22
164.41,164.95,2026-04-08,169.0,34940851,162.41
163.35,164.41,2026-04-09,168.71,21954699,162.21
166.02,165.0,2026-04-10,166.8,15081386,162.66
167.88,162.78,2026-04-13,171.5,29116175,160.75
166.95,170.0,2026-04-15,171.1,25814344,165.88
171.32,167.67,2026-04-16,172.07,30877678,166.61
173.33,172.0,2026-04-17,174.99,24677974,170.41
172.71,173.4,2026-04-20,174.05,17825908,170.3
175.06,174.4,2026-04-21,177.68,27069051,174.0
176.23,175.3,2026-04-22,178.46,20405858,174.76
176.45,174.71,2026-04-23,178.09,18802890,173.8
178.46,176.5,2026-04-24,179.07,18292305,176.0
184.2,179.96,2026-04-27,185.32,46111040,179.5
185.63,184.2,2026-04-28,189.1,26454300,183.91
186.16,187.0,2026-04-29,187.3,25568031,181.54
184.62,184.98,2026-04-30,185.4,30459594,179.7
186.15,185.25,2026-05-04,187.82,19546889,184.28
187.31,185.8,2026-05-05,188.83,15578841,185.02
186.04,189.0,2026-05-06,190.5,13017351,184.71
187.28,186.25,2026-05-07,190.25,16281234,185.9
184.88,187.0,2026-05-08,187.7,9202608,184.15
180.72,182.89,2026-05-11,184.87,33196633,179.91
176.09,179.9,2026-05-12,180.9,17088771,175.16
201.31,176.31,2026-05-13,202.35,173466903,176.31
199.08,203.0,2026-05-14,209.7,50058182,198.55
192.4,199.99,2026-05-15,200.24,24155534,191.55
192.73,192.0,2026-05-18,195.0,44414796,188.21
199.05,192.0,2026-05-19,200.29,43235882,191.25
199.04,197.0,2026-05-20,199.8,21709606,194.3
196.53,200.06,2026-05-21,202.0,22316399,195.55
201.21,197.0,2026-05-22,202.16,26032718,195.6
198.32,202.4,2026-05-25,203.32,22355175,196.11
203.84,198.35,2026-05-26,205.0,35728025,198.35
206.06,205.99,2026-05-27,208.45,35333674,203.82
204.37,206.3,2026-05-29,207.5,19770515,203.17
203.69,205.2,2026-06-01,206.25,18107952,202.25
205.85,203.41,2026-06-02,206.6,16404349,202.62
203.87,206.69,2026-06-03,206.9,10280547,200.71
197.31,203.4,2026-06-04,205.5,38406537,195.77
190.56,197.5,2026-06-05,198.2,20088924,188.25
183.78,187.37,2026-06-08,187.96,25903021,182.51
185.99,186.0,2026-06-09,187.45,18783847,184.31
181.72,186.0,2026-06-10,186.77,10702500,180.89
181.36,179.97,2026-06-11,183.04,14061909,178.71
184.09,184.9,2026-06-12,185.82,10126753,180.35
182.51,185.95,2026-06-15,187.87,15561828,181.96
180.99,182.5,2026-06-16,183.41,20743356,179.12
179.58,181.79,2026-06-17,182.7,15721175,177.67
182.16,179.9,2026-06-18,184.0,11869764,179.47
180.05,181.4,2026-06-19,183.86,20204155,178.33
174.85,180.1,2026-06-22,180.79,26161924,172.35
169.18,174.4,2026-06-23,174.4,19652451,167.84
171.42,168.51,2026-06-24,174.32,15287405,165.36
170.79,170.72,2026-06-25,172.18,11464399,169.43
175.23,170.79,2026-06-29,176.89,53065147,170.4
173.49,174.5,2026-06-30,175.4,14838040,171.34
168.27,173.36,2026-07-01,173.36,18693148,166.31
168.12,168.0,2026-07-02,169.99,23051079,166.0
169.88,171.0,2026-07-03,172.86,17112122,168.15
169.22999572753906,169.63999938964844,2026-07-06,170.9199981689453,12749606,167.80999755859375
165.66000366210938,168.47999572753906,2026-07-07,168.49000549316406,8475276,164.5
162.02000427246094,163.9499969482422,2026-07-08,165.8699951171875,10873193,161.3300018310547
165.89999389648438,162.5,2026-07-09,167.5,11729950,161.72000122070312
167.9499969482422,168.0800018310547,2026-07-10,172.27000427246094,12021855,167.14999389648438
167.00999450683594,166.1999969482422,2026-07-13,167.63999938964844,9424622,163.7100067138672
166.4499969482422,166.0800018310547,2026-07-14,168.75,11645234,165.5500030517578
164.63999938964844,167.00999450683594,2026-07-15,168.2899932861328,8502175,163.8000030517578
163.6300048828125,165.25,2026-07-16,166.39999389648438,8996282,162.97999572753906
163.0399932861328,163.6999969482422,2026-07-17,164.35000610351562,14455891,160.5
162.63999938964844,162.89999389648438,2026-07-20,165.3300018310547,8864518,162.13999938964844
164.07000732421875,163.0,2026-07-21,164.9600067138672,9267976,162.64999389648438
161.97999572753906,164.35000610351562,2026-07-22,166.19000244140625,10562600,160.9199981689453
160.91000366210938,162.10000610351562,2026-07-23,162.49000549316406,10374772,159.25999450683594
161.4499969482422,160.25,2026-07-24,162.8000030517578,8934625,158.00999450683594
162.6199951171875,162.89999389648438,2026-07-27,166.5,13668661,162.10000610351562
165.85000610351562,162.6199951171875,2026-07-28,167.3000030517578,22209978,160.02000427246094
170.9600067138672,165.86000061035156,2026-07-29,175.89999389648438,45756170,165.86000061035156
169.0500030517578,170.6999969482422,2026-07-30,171.36000061035156,11778947,167.60000610351562
169.02999877929688,169.66000366210938,2026-07-31,171.85000610351562,15516602,167.97000122070312
165.0,170.60000610351562,2026-08-03,172.6999969482422,12091707,165.0
173.5500030517578,168.25,2026-08-04,174.14999389648438,25309664,168.02000427246094
175.5,174.9499969482422,2026-08-05,175.8000030517578,20205910,171.52000427246094
177.25999450683594,176.2100067138672,2026-08-06,179.75,13990725,174.8699951171875
176.5800018310547,176.60000610351562,2026-08-07,176.8800048828125,9567085,174.61000061035156
172.4499969482422,177.0,2026-08-10,180.11000061035156,26474078,168.4600067138672
173.0,171.5,2026-08-11,173.4499969482422,12938399,169.32000732421875
174.0,172.69000244140625,2026-08-12,175.89999389648438,18037643,171.16000366210938
168.67999267578125,173.6999969482422,2026-08-13,173.99000549316406,9611426,167.25
