close,open,date,high,volume,low
495.65,484.8,2025-08-08,502.7,587056.0,480.3
486.25,496.4,2025-08-11,504.0,217014.0,483.5
478.75,485.15,2025-08-12,491.95,165188.0,478.05
480.25,480.25,2025-08-13,486.9,143223.0,475.95
479.75,482.7,2025-08-14,484.9,244086.0,477.1
485.75,483.1,2025-08-18,489.0,140592.0,481.05
482.75,488.0,2025-08-19,488.0,69391.0,481.15
485.65,481.55,2025-08-20,488.0,95024.0,480.0
482.4,490.0,2025-08-21,492.1,109101.0,480.85
489.3,482.4,2025-08-22,502.85,627788.0,480.15
487.35,494.7,2025-08-25,498.95,172167.0,485.05
476.95,487.05,2025-08-26,487.05,180541.0,475.0
479.85,475.3,2025-08-28,486.05,130895.0,475.25
482.3,481.0,2025-08-29,485.7,146033.0,479.05
484.7,484.25,2025-09-01,488.9,67434.0,479.2
491.9,484.1,2025-09-02,503.4,422613.0,484.1
494.6,492.8,2025-09-03,499.35,111700.0,489.0
490.9,494.6,2025-09-04,499.9,77394.0,488.35
490.15,494.3,2025-09-05,494.3,112942.0,487.0
502.05,490.95,2025-09-08,512.8,566224.0,490.9
500.0,504.3,2025-09-09,504.3,360625.0,497.6
499.7,502.5,2025-09-10,508.25,125271.0,496.3
496.6,498.0,2025-09-11,502.0,58225.0,494.25
492.75,498.6,2025-09-12,500.0,78977.0,491.3
490.85,492.8,2025-09-15,496.1,118665.0,489.6
495.05,492.55,2025-09-16,496.5,56599.0,492.1
493.7,496.5,2025-09-17,497.9,138692.0,490.2
492.1,499.0,2025-09-18,517.7,1665292.0,489.6
490.6,491.0,2025-09-19,495.0,316934.0,487.2
484.45,490.65,2025-09-22,493.8,109161.0,482.35
481.8,485.05,2025-09-23,488.1,289384.0,475.0
476.4,481.05,2025-09-24,482.6,691107.0,475.0
473.7,475.05,2025-09-25,478.4,509502.0,470.8
472.25,470.2,2025-09-26,483.1,253644.0,467.25
464.3,472.0,2025-09-29,476.1,268362.0,462.35
469.15,466.9,2025-09-30,471.0,116460.0,460.1
472.95,470.55,2025-10-01,473.8,367945.0,466.0
472.9,475.3,2025-10-03,477.55,330969.0,468.9
466.05,470.05,2025-10-06,472.5,148104.0,465.05
471.45,467.3,2025-10-07,473.9,155307.0,461.7
460.55,471.2,2025-10-08,471.6,193390.0,458.25
452.15,458.55,2025-10-09,459.7,141275.0,450.5
451.75,452.25,2025-10-10,455.2,95833.0,449.25
458.95,462.0,2025-10-13,470.85,816668.0,450.0
461.25,456.0,2025-10-14,462.95,147804.0,450.1
459.0,461.45,2025-10-15,462.0,209990.0,454.15
457.9,462.1,2025-10-16,463.0,555656.0,451.5
451.0,457.9,2025-10-17,459.25,222035.0,447.4
454.65,450.9,2025-10-20,457.6,86976.0,449.0
455.85,456.8,2025-10-21,458.3,20183.0,454.65
451.8,458.9,2025-10-23,458.9,100722.0,450.4
457.75,451.8,2025-10-24,462.0,102070.0,451.05
