close,open,date,high,volume,low
113.41,111.0,2025-07-09,113.97,1859182,110.65
115.48,114.0,2025-07-10,115.95,3102409,113.55
119.02,116.0,2025-07-11,120.5,7112805,113.96
117.38,118.5,2025-07-14,118.65,2441388,116.4
117.84,117.1,2025-07-15,120.0,1999330,117.1
118.04,118.0,2025-07-16,118.88,1133903,117.41
117.59,118.39,2025-07-17,119.75,1169776,116.6
115.59,117.5,2025-07-18,117.74,1419396,114.67
114.59,115.75,2025-07-21,115.99,2078688,113.8
118.06,114.59,2025-07-22,118.59,2726170,114.57
118.57,118.9,2025-07-23,119.0,1471638,117.5
114.49,119.0,2025-07-24,119.16,2860015,113.59
109.46,113.51,2025-07-25,113.65,3959677,107.66
111.4,110.0,2025-07-28,113.5,4104804,108.85
106.68,111.11,2025-07-29,111.91,2466043,106.3
106.03,106.6,2025-07-30,108.59,1597793,105.55
104.72,105.25,2025-07-31,106.81,1666691,104.01
101.34,104.73,2025-08-01,105.47,2461913,100.89
103.32,100.73,2025-08-04,104.33,1762766,100.67
103.94,103.55,2025-08-05,105.88,1773552,103.0
102.5,103.99,2025-08-06,104.55,1063308,101.7
102.64,102.01,2025-08-07,103.26,1429717,100.69
101.33,102.6,2025-08-08,103.5,1013585,100.61
102.36,101.95,2025-08-11,103.2,1122951,100.94
102.36,102.19,2025-08-12,105.0,1459122,101.56
103.36,102.79,2025-08-13,104.0,922740,101.5
104.98,103.89,2025-08-14,105.71,1423060,103.31
108.5,106.0,2025-08-18,108.9,2615540,105.5
111.81,110.0,2025-08-19,112.27,2143240,108.67
111.87,111.9,2025-08-20,112.9,1353194,110.65
113.59,113.0,2025-08-21,114.25,3879139,112.14
113.43,113.59,2025-08-22,116.35,2209473,111.96
112.17,113.5,2025-08-25,114.0,3008616,110.92
108.11,112.1,2025-08-26,112.46,2851399,107.35
105.25,107.89,2025-08-28,108.0,1208588,105.0
105.6,105.0,2025-08-29,107.56,1435707,104.0
108.06,105.6,2025-09-01,108.5,3223942,105.35
104.05,108.45,2025-09-02,108.45,7397867,103.21
107.8,104.3,2025-09-03,108.31,3078877,104.3
106.31,108.0,2025-09-04,108.25,965945,106.0
106.82,106.95,2025-09-05,107.97,1018443,105.04
106.83,107.35,2025-09-08,108.2,930487,105.66
106.32,106.83,2025-09-09,107.04,564003,105.25
106.99,106.69,2025-09-10,107.72,858562,106.0
106.28,107.6,2025-09-11,107.7,644765,105.79
106.67,106.28,2025-09-12,107.25,446539,106.1
106.59,105.25,2025-09-15,107.4,1552895,105.25
106.84,107.2,2025-09-16,107.32,683825,106.22
108.2,107.0,2025-09-17,109.5,2022920,106.9
107.87,108.99,2025-09-18,109.04,1224797,107.0
107.44,107.87,2025-09-19,108.3,2510558,106.4
109.33,107.3,2025-09-22,110.1,1842988,106.8
111.66,111.16,2025-09-23,113.4,3922296,109.99
112.14,111.0,2025-09-24,112.89,2195388,110.08
108.91,112.01,2025-09-25,112.25,1099465,108.11
106.57,108.91,2025-09-26,110.25,1800224,106.0
107.43,106.95,2025-09-29,108.85,977097,105.74
105.99,108.9,2025-09-30,108.9,1917701,105.48
109.01,106.06,2025-10-01,109.45,1287743,106.0
108.37,109.98,2025-10-03,109.98,1718833,107.71
110.2,110.0,2025-10-06,112.5,2351508,109.61
110.68,110.64,2025-10-07,113.5,2367405,108.4
108.55,111.6,2025-10-08,111.6,714010,108.18
108.64,108.55,2025-10-09,109.24,673544,108.02
108.76,109.15,2025-10-10,109.51,1767181,107.71
105.99,107.01,2025-10-13,107.76,1966056,105.5
106.98,106.02,2025-10-14,107.1,1018343,105.25
108.15,107.48,2025-10-15,109.18,779545,106.9
107.91,108.15,2025-10-16,108.99,347420,107.66
112.83,107.75,2025-10-17,113.95,6785245,107.17
111.15,112.8,2025-10-20,112.83,1311500,109.92
115.8,112.95,2025-10-21,117.75,4358687,112.12
111.77,117.0,2025-10-23,117.0,3681498,111.0
115.48,111.78,2025-10-24,117.44,7420560,111.54
114.8,116.01,2025-10-27,116.39,1287832,113.8
114.98,114.7,2025-10-28,116.1,1327147,113.6
114.19,115.2,2025-10-29,115.78,1489590,112.48
113.78,114.0,2025-10-30,114.49,561409,113.13
114.08,114.0,2025-10-31,116.7,1816933,113.51
118.5,117.0,2025-11-03,123.0,29276945,115.28
117.52,119.19,2025-11-04,119.19,2673859,116.11
112.4,117.34,2025-11-06,117.34,2342753,111.12
113.97,112.29,2025-11-07,115.0,2058957,111.02
112.32,113.2,2025-11-10,114.37,1155308,112.0
110.38,113.1,2025-11-11,113.1,1301930,110.0
109.75,110.89,2025-11-12,110.94,2213176,108.95
108.59,109.75,2025-11-13,110.2,1600585,108.29
109.3,108.29,2025-11-14,110.06,1048453,108.0
110.79,109.1,2025-11-17,114.28,4438167,109.1
109.53,111.23,2025-11-18,111.23,1172637,109.0
109.62,109.99,2025-11-19,110.19,744134,109.01
108.72,109.62,2025-11-20,110.05,1128538,108.45
107.52,108.11,2025-11-21,109.55,1037130,107.17
105.23,107.52,2025-11-24,108.08,1517039,104.67
107.34,105.39,2025-11-25,107.76,1361476,105.21
108.88,107.7,2025-11-26,109.0,594141,107.08
106.56,109.09,2025-11-27,109.58,1553597,105.59
108.38,106.66,2025-11-28,108.64,1297436,106.39
107.69,107.61,2025-12-01,108.69,692985,107.01
106.25,107.6,2025-12-02,107.66,635956,105.9
106.14,106.85,2025-12-03,106.9,762790,105.3
105.92,106.14,2025-12-04,106.65,397790,105.56
106.27,105.9,2025-12-05,106.88,796817,104.17
104.64,106.27,2025-12-08,106.57,1748608,103.67
105.02,103.71,2025-12-09,105.59,880828,103.2
105.45,104.64,2025-12-10,106.8,455067,104.5
105.07,105.45,2025-12-11,106.03,594267,104.88
105.33,105.25,2025-12-12,106.45,559018,104.7
105.14,104.93,2025-12-15,105.77,649876,104.36
105.01,106.01,2025-12-16,108.56,5843228,103.92
103.17,105.6,2025-12-17,105.6,1321646,102.5
103.34,103.0,2025-12-18,105.0,922719,102.35
103.63,103.51,2025-12-19,104.29,936296,102.65
104.38,105.0,2025-12-22,105.19,734202,103.8
104.8,104.99,2025-12-23,106.4,1519480,104.34
106.0,103.3,2025-12-24,107.94,1822606,103.3
104.49,105.6,2025-12-26,106.1,657979,104.3
104.86,104.5,2025-12-29,105.2,1440942,102.84
104.71,104.87,2025-12-30,105.26,3654002,103.72
104.05,104.61,2025-12-31,104.8,4803259,103.25
102.86,104.0,2026-01-01,104.29,925896,102.4
102.99,103.7,2026-01-02,103.7,988455,102.74
101.88,103.25,2026-01-05,103.49,954137,101.55
102.36,102.17,2026-01-06,103.29,1239497,101.89
103.46,101.9,2026-01-07,104.3,1222454,101.53
102.36,103.8,2026-01-08,103.8,514565,101.9
99.45,102.36,2026-01-09,102.72,1209862,99.12
102.37,99.43,2026-01-12,105.0,1451437,98.02
101.94,101.5,2026-01-13,102.44,543665,101.07
101.57,101.93,2026-01-14,101.93,384010,101.18
107.01,101.55,2026-01-16,109.75,5943935,101.5
107.94,103.45,2026-01-19,109.7,1751690,103.45
103.52,107.3,2026-01-20,107.3,1467161,103.21
100.12,103.0,2026-01-21,103.7,3334875,99.13
103.4,101.29,2026-01-22,104.0,1573922,101.29
101.86,103.39,2026-01-23,104.1,785431,100.85
89.97,101.8,2026-01-27,101.8,34059915,84.75
88.85,91.64,2026-01-28,91.64,16492933,84.24
85.99,88.95,2026-01-29,90.4,3680573,85.62
85.42,86.13,2026-01-30,86.39,3158323,84.27
86.07,85.01,2026-02-02,87.89,2373755,83.76
89.98,89.04,2026-02-03,92.6,2722616,87.61
