close,open,date,high,volume,low
794.0,795.7,2025-08-01,801.0,15468391,792.0
795.7,794.5,2025-08-04,797.2,8820724,786.55
800.6,798.0,2025-08-05,804.05,7381537,796.3
805.15,800.95,2025-08-06,810.2,7409396,799.0
805.15,801.1,2025-08-07,806.65,7091392,793.4
804.3,805.0,2025-08-08,807.8,15708181,790.0
823.45,808.0,2025-08-11,825.0,15236297,808.0
820.6,824.95,2025-08-12,825.5,7986728,820.0
821.85,822.65,2025-08-13,824.95,4447508,820.65
826.55,822.0,2025-08-14,828.0,7087573,819.1
827.65,836.0,2025-08-18,838.0,6138124,825.15
830.4,827.5,2025-08-19,831.0,5076681,825.8
828.95,828.7,2025-08-20,831.9,4493888,827.4
825.7,828.95,2025-08-21,833.25,4402511,824.05
816.25,824.0,2025-08-22,826.0,5097647,815.7
816.45,817.45,2025-08-25,820.5,5672898,814.2
807.85,814.85,2025-08-26,815.85,6997817,806.75
801.95,807.25,2025-08-28,811.0,7898436,800.65
802.5,800.7,2025-08-29,806.7,6861440,798.5
806.05,803.1,2025-09-01,808.3,5619805,802.65
803.9,806.3,2025-09-02,810.5,5075460,802.65
812.15,804.3,2025-09-03,813.3,4261589,803.0
809.4,814.65,2025-09-04,816.75,4471950,808.0
806.6,811.5,2025-09-05,812.5,5194842,803.65
808.8,808.0,2025-09-08,813.85,4614227,806.8
808.85,812.0,2025-09-09,812.35,4567272,805.6
818.2,812.0,2025-09-10,824.6,7285853,810.4
823.65,819.1,2025-09-11,825.7,7425055,819.0
823.55,824.1,2025-09-12,825.8,5078018,819.8
824.75,823.55,2025-09-15,827.8,3852494,821.1
831.55,825.1,2025-09-16,833.0,9467531,821.65
857.15,834.3,2025-09-17,858.15,17243938,831.0
854.35,858.65,2025-09-18,860.8,10400847,851.1
862.35,852.0,2025-09-19,864.45,15206426,849.3
855.25,862.0,2025-09-22,868.2,6594034,854.0
870.6,854.6,2025-09-23,874.25,14357863,851.2
866.2,876.0,2025-09-24,880.5,12840160,864.45
861.15,866.55,2025-09-25,870.15,8678821,859.95
856.95,862.0,2025-09-26,864.35,6959545,853.0
870.75,858.05,2025-09-29,873.5,22641712,856.0
872.45,869.95,2025-09-30,877.6,12831593,867.6
864.1,872.3,2025-10-01,876.45,10832384,862.8
867.3,865.15,2025-10-03,873.0,8019442,863.8
874.05,868.0,2025-10-06,875.3,7820352,862.8
864.7,874.15,2025-10-07,877.0,9242580,863.0
858.25,866.8,2025-10-08,867.8,7156112,857.25
862.1,861.6,2025-10-09,865.8,7020501,858.1
880.65,862.1,2025-10-10,883.75,13713015,861.3
882.95,879.0,2025-10-13,888.1,11923143,876.0
876.95,883.0,2025-10-14,884.15,7681973,872.1
886.1,878.1,2025-10-15,887.5,8269225,877.05
886.95,888.3,2025-10-16,891.85,8493686,882.45
889.15,887.5,2025-10-17,894.75,8511854,883.0
907.5,894.6,2025-10-20,913.65,13546463,891.05
907.85,908.0,2025-10-21,910.0,1783576,906.4
911.55,912.0,2025-10-23,918.0,13382769,904.8
904.5,910.95,2025-10-24,914.1,5313227,900.95
922.75,906.95,2025-10-27,928.0,9150761,906.0
930.25,927.1,2025-10-28,935.85,22066289,917.7
939.75,933.9,2025-10-29,942.05,12314222,930.25
934.35,939.45,2025-10-30,944.9,13044473,933.05
937.0,934.9,2025-10-31,946.7,12078252,930.25
949.7,938.75,2025-11-03,953.4,11744735,937.5
957.6,951.0,2025-11-04,959.3,19154518,941.5
960.75,969.65,2025-11-06,971.4,23088096,955.3
955.85,958.75,2025-11-07,964.85,13371323,944.0
951.15,956.0,2025-11-10,963.2,7343249,949.1
953.3,953.6,2025-11-11,954.95,8648917,945.05
957.15,957.7,2025-11-12,961.55,7043323,951.4
954.0,954.25,2025-11-13,963.95,8894441,952.45
967.85,952.95,2025-11-14,969.05,11032927,952.0
973.35,971.0,2025-11-17,976.0,7415026,968.5
972.45,975.6,2025-11-18,976.7,6594686,968.85
982.75,972.45,2025-11-19,984.45,8291226,968.8
981.55,986.0,2025-11-20,986.6,6440857,979.35
972.6,979.7,2025-11-21,980.6,5377241,971.05
970.6,975.55,2025-11-24,977.7,9901946,968.05
983.6,975.55,2025-11-25,988.95,9140201,971.35
983.9,986.6,2025-11-26,999.0,13943490,982.15
972.85,986.7,2025-11-27,988.55,11909168,968.9
979.0,976.8,2025-11-28,983.0,8117842,973.05
973.1,985.45,2025-12-01,991.2,8808306,969.85
967.3,976.0,2025-12-02,980.45,13444314,964.9
951.05,970.45,2025-12-03,972.55,14051968,947.55
948.1,951.05,2025-12-04,952.55,13622724,944.45
971.5,948.85,2025-12-05,973.3,17347847,946.7
956.4,970.85,2025-12-08,972.5,15386438,951.7
959.35,954.8,2025-12-09,964.0,9580294,950.45
959.75,960.1,2025-12-10,963.95,6989178,955.25
963.25,962.1,2025-12-11,966.5,5979035,958.45
963.15,966.0,2025-12-12,967.0,5681930,958.0
967.25,957.25,2025-12-15,968.85,4416952,957.25
961.15,966.05,2025-12-16,969.0,4764786,958.05
975.85,965.55,2025-12-17,978.5,8013382,964.3
977.55,977.9,2025-12-18,981.45,4926879,973.5
980.3,979.95,2025-12-19,982.0,5376584,977.05
974.3,981.1,2025-12-22,983.0,5959037,972.55
971.9,976.3,2025-12-23,977.55,5123287,970.7
968.95,973.2,2025-12-24,977.3,4105643,967.5
966.3,968.95,2025-12-26,971.0,3286321,964.75
965.05,966.9,2025-12-29,968.9,5267233,961.45
973.45,963.0,2025-12-30,976.2,15030644,959.5
982.2,975.25,2025-12-31,985.65,5807630,973.5
984.75,983.2,2026-01-01,987.65,4328348,980.35
998.95,984.5,2026-01-02,1009.5,7357435,983.95
1005.55,1000.0,2026-01-05,1015.5,11259060,1000.0
1018.9,1007.95,2026-01-06,1024.0,9575742,1004.95
