close,open,date,high,volume,low
696.45,708.0,2025-07-01,710.55,3524637,694.0
676.9,695.75,2025-07-02,698.85,3288839,675.0
675.4,681.6,2025-07-03,684.25,6014549,672.95
676.15,675.95,2025-07-04,684.4,3843226,670.0
671.3,676.15,2025-07-07,680.0,1770086,669.0
668.95,672.0,2025-07-08,677.4,2820100,667.3
681.05,671.25,2025-07-09,683.0,3560120,671.0
671.75,684.0,2025-07-10,687.35,3035156,671.0
668.25,676.0,2025-07-11,676.7,4931083,662.4
669.75,670.0,2025-07-14,672.9,2832157,662.5
684.45,674.9,2025-07-15,688.0,3786182,670.7
668.35,674.0,2025-07-16,674.0,9358644,654.5
665.45,670.0,2025-07-17,672.0,2671888,664.85
645.5,670.0,2025-07-18,670.5,6570609,644.5
655.65,645.5,2025-07-21,658.0,4980207,637.5
640.15,658.0,2025-07-22,659.9,4671422,639.0
654.05,642.0,2025-07-23,654.75,5191770,638.05
633.55,660.0,2025-07-24,660.0,7248079,631.75
615.85,625.0,2025-07-25,629.95,16922561,601.7
633.45,615.85,2025-07-28,638.85,11583112,611.05
638.35,632.0,2025-07-29,643.35,6858651,626.55
632.8,635.0,2025-07-30,638.35,6024759,626.1
630.85,625.0,2025-07-31,639.45,6481051,623.05
614.2,630.0,2025-08-01,632.0,3528632,612.25
624.9,615.9,2025-08-04,626.8,2955463,615.9
630.1,630.5,2025-08-05,633.2,3996694,621.15
630.6,634.0,2025-08-06,639.8,4763826,622.4
627.35,626.85,2025-08-07,629.8,3482599,618.3
609.65,623.3,2025-08-08,626.85,5493423,607.95
617.6,610.45,2025-08-11,623.5,3348109,609.15
611.9,616.0,2025-08-12,619.0,2787285,611.0
619.25,612.05,2025-08-13,621.35,5325700,610.35
616.45,614.3,2025-08-14,622.9,4279172,611.5
626.8,627.0,2025-08-18,637.5,5265058,625.45
626.35,626.0,2025-08-19,630.55,4765094,615.1
616.3,623.35,2025-08-20,624.95,5710611,613.3
619.8,618.0,2025-08-21,622.0,3993795,615.8
615.85,619.8,2025-08-22,622.0,3496256,612.55
620.85,620.0,2025-08-25,623.8,6850166,616.4
594.7,619.9,2025-08-26,620.45,18048586,593.1
571.65,576.75,2025-08-28,587.95,20025147,570.0
580.25,570.5,2025-08-29,588.65,12236788,566.5
588.6,580.0,2025-09-01,590.2,3886326,578.6
584.6,590.0,2025-09-02,596.4,4136915,582.25
586.3,585.0,2025-09-03,588.9,6612194,580.0
585.8,596.0,2025-09-04,596.0,5054056,583.9
592.5,589.0,2025-09-05,596.0,4166734,585.6
596.75,596.0,2025-09-08,604.0,2968301,592.85
595.0,598.0,2025-09-09,598.95,3947645,590.85
604.8,598.6,2025-09-10,606.8,4708224,596.7
620.05,604.8,2025-09-11,622.9,8412580,602.8
632.85,623.2,2025-09-12,633.7,10816255,619.25
623.65,630.8,2025-09-15,631.6,3643666,620.2
618.1,623.65,2025-09-16,628.4,4759255,614.1
623.25,620.0,2025-09-17,626.0,4633747,617.75
626.9,620.0,2025-09-18,631.0,4675034,620.0
633.2,630.0,2025-09-19,637.3,6415748,627.1
627.85,638.0,2025-09-22,638.0,2712596,625.45
628.8,628.0,2025-09-23,634.4,3586451,624.5
625.15,628.2,2025-09-24,630.0,2129098,620.3
612.7,625.15,2025-09-25,626.0,4280161,610.8
606.05,610.0,2025-09-26,617.4,3958021,603.75
611.8,608.9,2025-09-29,615.5,4098133,603.15
616.1,611.8,2025-09-30,620.7,5882401,611.15
648.7,616.05,2025-10-01,649.95,15107673,616.05
645.8,645.0,2025-10-03,650.0,7200543,636.0
671.45,646.5,2025-10-06,675.5,10343487,646.5
666.8,670.2,2025-10-07,673.0,3729360,663.5
666.9,662.0,2025-10-08,673.3,2870458,662.0
669.05,666.9,2025-10-09,672.0,2274108,660.0
665.05,669.0,2025-10-10,671.4,2480723,663.0
672.15,660.0,2025-10-13,674.2,2469940,658.75
674.45,675.05,2025-10-14,680.95,4731724,667.0
677.15,675.5,2025-10-15,682.4,4687947,672.55
672.5,676.85,2025-10-16,683.75,5309779,662.25
675.5,672.2,2025-10-17,679.65,3516617,670.1
693.95,678.4,2025-10-20,698.65,6170486,678.1
695.25,695.5,2025-10-21,697.5,674998,690.3
709.65,695.25,2025-10-23,717.75,8911040,695.25
715.45,711.05,2025-10-24,723.35,6036751,711.05
719.6,721.0,2025-10-27,730.3,8133230,718.25
723.7,719.5,2025-10-28,726.85,7071903,710.25
738.45,723.7,2025-10-29,741.9,10246214,717.4
738.25,738.5,2025-10-30,747.85,6357608,733.15
748.9,733.45,2025-10-31,769.8,18363853,727.0
796.45,762.8,2025-11-03,799.9,26222030,758.5
796.5,792.45,2025-11-04,814.15,8543137,792.25
792.5,792.6,2025-11-06,800.6,10930939,785.0
816.35,792.5,2025-11-07,820.0,9765252,780.8
821.1,822.0,2025-11-10,830.7,8623863,816.65
832.3,821.1,2025-11-11,833.3,7336169,804.05
822.5,832.3,2025-11-12,838.65,4239741,821.4
814.0,826.0,2025-11-13,826.35,6048569,809.75
809.3,809.5,2025-11-14,817.95,5672058,803.9
817.9,809.0,2025-11-17,828.35,7386312,808.6
820.2,820.0,2025-11-18,827.7,6684086,810.0
818.05,824.15,2025-11-19,826.7,3711577,815.8
826.6,822.0,2025-11-20,828.7,3187958,816.5
823.3,825.0,2025-11-21,832.0,3831244,810.6
828.2,825.0,2025-11-24,839.5,8140579,821.1
838.25,828.2,2025-11-25,841.85,5418151,827.2
856.6,841.95,2025-11-26,858.85,7052927,838.3
867.65,860.0,2025-11-27,869.5,6752154,857.25
851.65,870.05,2025-11-28,872.0,8198342,848.75
851.55,857.85,2025-12-01,865.0,6330770,849.45
843.4,855.75,2025-12-02,855.95,5587375,840.8
828.1,843.4,2025-12-03,846.45,9931005,818.95
828.15,830.45,2025-12-04,836.0,11436899,821.0
854.9,828.15,2025-12-05,857.0,12137708,828.15
834.25,858.5,2025-12-08,858.85,4117973,831.0
846.7,830.0,2025-12-09,849.0,5737027,817.8
837.25,846.0,2025-12-10,855.8,3699625,833.3
847.15,841.8,2025-12-11,850.6,4213992,835.7
848.0,852.0,2025-12-12,854.75,6036788,841.5
855.35,852.0,2025-12-15,870.6,7193809,845.85
848.4,855.35,2025-12-16,856.65,5171831,843.0
864.2,856.0,2025-12-17,875.45,11621162,855.0
869.45,868.5,2025-12-18,876.9,12481529,861.8
901.7,869.0,2025-12-19,913.5,35297309,850.5
934.85,919.0,2025-12-22,949.8,31894463,915.0
957.8,938.7,2025-12-23,959.95,14632455,931.7
973.7,958.0,2025-12-24,983.7,10574513,958.0
960.25,976.55,2025-12-26,978.75,4739099,956.7
955.5,963.0,2025-12-29,966.0,4897735,949.2
979.4,960.95,2025-12-30,984.6,17757531,960.95
996.2,983.0,2025-12-31,1000.2,9795995,979.4
1019.7,996.2,2026-01-01,1025.6,4289057,996.0
1010.35,1024.75,2026-01-02,1025.0,5264026,1007.2
1003.35,1013.5,2026-01-05,1014.8,4603571,994.65
1002.65,1002.5,2026-01-06,1011.75,4352915,992.45
995.85,996.05,2026-01-07,1003.1,4191098,990.25
992.9,1001.4,2026-01-08,1002.55,3804564,981.1
975.4,987.0,2026-01-09,993.2,6949168,961.0
972.8,979.0,2026-01-12,985.65,5510203,962.45
979.05,975.0,2026-01-13,987.65,3860197,969.2
981.1,980.0,2026-01-14,990.5,3846614,970.4
995.45,981.0,2026-01-16,1022.0,13316550,981.0
1010.35,1002.0,2026-01-19,1014.5,4908985,991.2
987.5,1005.0,2026-01-20,1008.05,6129218,983.0
986.0,982.55,2026-01-21,997.5,7042588,972.55
1005.5,995.05,2026-01-22,1009.7,7210572,986.1
1003.55,1010.0,2026-01-23,1020.85,9023942,973.65
1001.05,1011.2,2026-01-27,1019.95,7984660,984.2
1018.8,1002.0,2026-01-28,1020.7,5587231,999.5
1022.8,1022.4,2026-01-29,1028.4,6653822,1006.15
1020.0,1025.0,2026-01-30,1029.3,6464610,1010.15
962.1,990.2,2026-02-02,992.7,13566710,939.0
1000.4,1013.0,2026-02-03,1041.5,9880727,997.2
998.8,1010.4,2026-02-04,1011.2,4402517,995.5
992.0,995.5,2026-02-05,998.0,5775866,972.4
1002.5,994.0,2026-02-06,1005.0,3270421,972.9
1062.7,1005.0,2026-02-09,1067.8,8667620,1003.4
1048.6,1064.9,2026-02-10,1066.8,4345362,1036.5
1056.8,1053.0,2026-02-11,1059.3,4898578,1041.5
1082.8,1053.5,2026-02-12,1087.1,8462756,1049.7
1065.8,1081.8,2026-02-13,1086.0,4555743,1060.0
1085.4,1065.8,2026-02-16,1088.3,5096496,1052.8
1075.0,1080.0,2026-02-17,1081.9,2832145,1060.0
1076.2,1076.2,2026-02-18,1087.1,2470593,1072.1
1054.7,1078.0,2026-02-19,1078.0,2576169,1048.1
1059.3,1056.8,2026-02-20,1066.0,2295049,1044.6
1064.7,1072.8,2026-02-23,1077.5,2423932,1056.9
1061.7,1064.7,2026-02-24,1066.0,2464507,1050.2
1085.9,1065.0,2026-02-25,1095.0,3115583,1055.8
1104.6,1089.0,2026-02-26,1108.0,5231414,1085.1
1079.4,1099.0,2026-02-27,1103.9,5601117,1073.3
1052.5,1044.0,2026-03-02,1071.0,6717872,1038.0
1010.0,1042.3,2026-03-04,1042.5,9200897,987.4
1039.5,1022.3,2026-03-05,1046.4,5051614,1018.3
1007.5,1043.9,2026-03-06,1052.0,8166989,1000.0
987.2,957.5,2026-03-09,993.0,11999852,934.2
1062.9,1010.0,2026-03-10,1068.3,14297519,1006.7
1031.7,1062.9,2026-03-11,1077.9,10731059,1028.7
1031.7,1021.1,2026-03-12,1046.7,7054662,1006.1
1003.6,1021.3,2026-03-13,1028.0,6562852,994.7
992.0,990.0,2026-03-16,1002.9,10476354,969.3
1004.6,999.9,2026-03-17,1012.0,4175225,983.2
1021.6,1013.3,2026-03-18,1028.9,3915253,1008.5
949.8,1000.0,2026-03-19,1000.0,11956347,946.3
938.6,962.0,2026-03-20,966.9,28550627,922.3
877.7,930.0,2026-03-23,930.1,10556865,870.2
903.6,907.0,2026-03-24,931.9,13359073,896.2
956.0,919.0,2026-03-25,965.0,14265748,917.3
903.8,950.0,2026-03-27,951.0,12238678,900.0
872.1,888.0,2026-03-30,896.3,10949179,867.0
900.55,915.6,2026-04-01,926.3,11752172,895.75
891.6,876.0,2026-04-02,895.0,7230236,863.45
928.0,895.0,2026-04-06,931.0,5898399,885.65
930.65,920.0,2026-04-07,932.4,5503677,910.05
1023.2,975.0,2026-04-08,1035.45,18256527,975.0
996.3,1010.1,2026-04-09,1015.0,7668209,990.45
1027.55,1016.1,2026-04-10,1031.0,8048521,1011.25
1004.1,1000.15,2026-04-13,1015.5,8242484,988.8
1020.95,1030.0,2026-04-15,1043.5,7869459,1016.45
