close,open,date,high,volume,low
94.46,94.65,2025-09-16,95.55,4143342.0,94.2
94.39,94.97,2025-09-17,95.31,2820696.0,94.2
93.93,94.99,2025-09-18,95.4,3183350.0,93.5
94.45,93.93,2025-09-19,94.65,2911508.0,93.75
93.82,94.5,2025-09-22,95.4,2834523.0,93.7
92.7,93.9,2025-09-23,93.99,3836407.0,92.28
92.44,92.7,2025-09-24,93.29,2476038.0,92.25
92.0,92.54,2025-09-25,93.2,2712116.0,91.58
91.05,92.0,2025-09-26,92.3,3394960.0,89.95
90.03,91.2,2025-09-29,91.75,4180724.0,89.61
90.32,90.2,2025-09-30,91.34,2027688.0,90.0
90.95,90.75,2025-10-01,91.26,1981163.0,90.36
91.47,91.34,2025-10-03,92.16,2216867.0,90.88
90.75,91.9,2025-10-06,91.9,1772243.0,90.6
90.51,90.75,2025-10-07,91.2,1626600.0,90.4
89.92,90.9,2025-10-08,90.9,1852462.0,89.78
89.87,89.93,2025-10-09,90.55,1768701.0,89.67
90.1,90.0,2025-10-10,91.36,2474144.0,89.97
90.04,90.0,2025-10-13,90.95,2360986.0,89.84
88.54,90.48,2025-10-14,90.48,2874857.0,88.15
89.35,89.17,2025-10-15,89.8,2038480.0,88.82
88.97,89.75,2025-10-16,89.9,1591026.0,88.85
90.06,89.06,2025-10-17,91.25,6208459.0,87.89
89.22,90.5,2025-10-20,90.5,2026337.0,88.91
89.79,89.55,2025-10-21,90.18,498354.0,89.42
89.26,90.0,2025-10-23,90.4,2163949.0,89.1
88.98,89.64,2025-10-24,89.64,1908280.0,88.5
88.07,89.14,2025-10-27,89.22,2178603.0,87.95
88.16,88.48,2025-10-28,89.1,2332089.0,87.94
88.92,88.38,2025-10-29,90.14,4265956.0,88.15
88.3,89.0,2025-10-30,89.35,2461592.0,88.05
88.03,88.3,2025-10-31,88.39,1692629.0,88.0
88.01,88.3,2025-11-03,88.83,1822616.0,87.77
87.31,88.02,2025-11-04,88.2,1857026.0,87.15
85.93,87.31,2025-11-06,87.5,2068241.0,85.75
84.85,85.89,2025-11-07,85.89,2376356.0,84.35
84.23,85.27,2025-11-10,85.4,3617159.0,83.24
82.24,84.2,2025-11-11,84.38,4047345.0,81.9
82.74,82.99,2025-11-12,83.7,3673816.0,82.0
82.13,82.8,2025-11-13,83.2,2306864.0,82.0
83.44,82.35,2025-11-14,84.13,3737752.0,81.9
83.38,83.69,2025-11-17,84.4,1892839.0,83.25
82.13,83.54,2025-11-18,83.54,2112048.0,82.0
82.05,82.18,2025-11-19,82.39,1936748.0,81.66
81.84,82.29,2025-11-20,82.43,1406556.0,81.7
81.03,82.0,2025-11-21,82.0,1687023.0,80.9
79.39,81.03,2025-11-24,81.21,2892113.0,78.76
77.88,79.2,2025-11-25,79.5,3148292.0,77.7
78.57,78.05,2025-11-26,78.84,3365715.0,77.8
78.88,78.94,2025-11-27,79.53,1636846.0,78.7
77.86,78.88,2025-11-28,78.88,1475058.0,77.7
77.84,77.88,2025-12-01,79.0,1842079.0,77.6
77.37,77.87,2025-12-02,78.89,2473058.0,77.1
75.99,77.25,2025-12-03,77.52,2882411.0,75.5
75.38,76.0,2025-12-04,76.1,2123823.0,75.0
74.07,75.71,2025-12-05,75.71,3153252.0,73.9
71.24,73.71,2025-12-08,74.0,4689166.0,70.7
73.8,71.25,2025-12-09,77.2,5613560.0,70.0
73.85,73.99,2025-12-10,74.78,2725500.0,73.23
72.08,73.73,2025-12-11,73.73,2841138.0,71.82
72.3,72.29,2025-12-12,72.88,1895347.0,72.1
72.42,72.46,2025-12-15,72.79,2110780.0,72.03
72.54,72.55,2025-12-16,72.9,2475151.0,72.0
71.7,72.5,2025-12-17,72.52,2155017.0,71.15
70.37,71.7,2025-12-18,71.7,2456145.0,70.02
72.84,70.4,2025-12-19,73.0,3985309.0,69.85
72.95,73.0,2025-12-22,73.64,2326548.0,72.5
75.27,73.04,2025-12-23,76.13,6909243.0,72.75
75.02,75.49,2025-12-24,75.75,2085817.0,74.49
74.14,75.34,2025-12-26,76.2,6091168.0,74.0
73.12,74.14,2025-12-29,74.15,2508768.0,73.0
73.18,73.12,2025-12-30,73.99,2107744.0,72.05
74.76,73.29,2025-12-31,76.3,3727495.0,73.26
74.74,74.95,2026-01-01,75.5,1601702.0,74.6
83.04,74.96,2026-01-02,83.99,82265437.0,74.67
87.65,84.0,2026-01-05,88.8,101751319.0,83.8
84.36,87.38,2026-01-06,87.38,20012455.0,83.6
83.01,84.29,2026-01-07,84.38,6922260.0,82.2
80.12,82.69,2026-01-08,83.59,7005736.0,79.15
78.13,79.99,2026-01-09,80.31,6961354.0,77.8
80.53,78.0,2026-01-12,81.0,8728718.0,76.01
79.42,80.53,2026-01-13,81.38,7059809.0,79.05
78.71,79.41,2026-01-14,79.57,3672850.0,78.22
76.47,78.9,2026-01-16,79.3,8676362.0,75.15
74.52,76.47,2026-01-19,76.95,4271612.0,74.35
71.81,74.52,2026-01-20,74.78,7273564.0,70.92
71.37,71.81,2026-01-21,72.43,7450301.0,70.59
72.52,73.2,2026-01-22,73.2,3680823.0,71.96
70.86,73.1,2026-01-23,73.1,3451164.0,70.6
71.56,71.05,2026-01-27,72.1,4552913.0,69.75
74.22,71.99,2026-01-28,74.48,5749693.0,71.91
72.42,74.5,2026-01-29,74.71,5207484.0,72.3
72.5,72.42,2026-01-30,74.13,6686901.0,71.35
70.62,71.28,2026-02-02,71.5,6158282.0,68.13
72.13,73.45,2026-02-03,73.88,5171109.0,71.41
73.98,72.07,2026-02-04,74.4,5600113.0,71.42
72.19,73.95,2026-02-05,73.96,3321595.0,72.0
72.26,72.0,2026-02-06,72.54,3106246.0,71.7
73.31,72.88,2026-02-09,73.43,3300872.0,72.41
72.8,73.7,2026-02-10,73.88,3603081.0,72.7
77.38,73.0,2026-02-11,78.46,26862506.0,71.91
78.98,78.9,2026-02-12,81.5,53121380.0,78.05
76.67,78.0,2026-02-13,78.08,6444203.0,76.1
77.81,76.26,2026-02-16,78.36,5948963.0,75.57
77.55,77.81,2026-02-17,78.43,3516148.0,77.3
76.65,77.87,2026-02-18,77.88,2773487.0,76.51
75.14,76.65,2026-02-19,77.28,3925513.0,74.58
75.3,74.5,2026-02-20,75.77,4761094.0,73.5
73.93,75.4,2026-02-23,75.49,2710062.0,73.5
74.19,73.86,2026-02-24,74.65,4242452.0,72.91
75.16,74.5,2026-02-25,75.85,4181386.0,74.5
74.06,75.09,2026-02-26,75.09,2560658.0,73.75
73.03,74.07,2026-02-27,74.25,2964768.0,72.9
70.24,69.5,2026-03-02,71.49,4672987.0,69.37
68.24,69.09,2026-03-04,69.2,4209237.0,67.85
72.67,68.52,2026-03-05,73.05,8398954.0,68.52
70.99,72.06,2026-03-06,73.2,3487613.0,70.6
68.97,69.0,2026-03-09,69.61,3475625.0,68.35
69.86,70.01,2026-03-10,70.77,3764230.0,69.15
70.53,70.04,2026-03-11,71.9,4769277.0,69.85
72.35,70.53,2026-03-12,73.35,8792807.0,69.15
69.89,72.8,2026-03-13,73.81,7881201.0,69.55
69.16,70.4,2026-03-16,71.32,7850313.0,68.45
69.04,69.49,2026-03-17,70.3,4125024.0,68.52
