close,open,date,high,volume,low
438.05,438.0,2025-07-21,440.1,411197,431.0
430.05,440.0,2025-07-22,442.8,528995,427.5
428.2,429.6,2025-07-23,431.7,572332,416.85
430.3,430.0,2025-07-24,433.15,479379,426.0
413.0,429.9,2025-07-25,429.9,508570,410.05
408.0,413.9,2025-07-28,413.9,561820,405.45
408.25,407.0,2025-07-29,409.95,562882,399.15
413.95,408.25,2025-07-30,417.85,539930,407.05
391.95,411.0,2025-07-31,411.0,1961329,386.55
364.65,392.0,2025-08-01,395.95,1847201,360.2
359.1,366.95,2025-08-04,368.85,1750403,357.0
355.4,359.1,2025-08-05,363.85,887928,353.4
347.05,355.5,2025-08-06,357.0,909624,343.0
349.6,345.2,2025-08-07,350.6,509293,341.4
342.9,349.9,2025-08-08,351.95,328008,341.0
329.75,343.0,2025-08-11,344.65,1959465,327.8
373.6,331.0,2025-08-12,381.0,40992949,329.15
367.45,377.0,2025-08-13,385.0,9622633,353.75
359.7,367.0,2025-08-14,372.4,2373807,357.0
356.6,362.0,2025-08-18,362.8,2164296,348.0
355.9,359.4,2025-08-19,360.0,683463,354.0
372.35,359.0,2025-08-20,377.0,3067412,356.95
377.15,373.9,2025-08-21,383.4,1946986,371.9
372.8,374.0,2025-08-22,377.9,757145,368.6
381.35,376.65,2025-08-25,401.5,6821231,375.05
364.25,381.7,2025-08-26,383.75,1362867,362.35
358.2,363.95,2025-08-28,366.2,825519,356.0
350.85,360.3,2025-08-29,364.9,1196113,348.15
354.0,352.05,2025-09-01,363.95,1140276,352.0
356.3,355.65,2025-09-02,359.0,559540,353.65
359.55,357.4,2025-09-03,362.0,508808,355.3
359.95,362.0,2025-09-04,369.0,894696,358.65
359.0,359.95,2025-09-05,363.3,426250,356.15
355.4,359.0,2025-09-08,365.0,466663,354.0
369.5,358.25,2025-09-09,373.0,1434358,355.15
372.4,370.0,2025-09-10,381.5,1327947,369.1
379.25,372.4,2025-09-11,380.15,769004,368.55
382.6,384.95,2025-09-12,387.5,725234,379.25
379.9,383.5,2025-09-15,383.5,390661,377.5
378.8,381.45,2025-09-16,384.0,323564,375.9
390.2,380.4,2025-09-17,398.7,1653370,379.35
400.5,393.0,2025-09-18,421.5,11888695,391.2
394.1,400.45,2025-09-19,400.6,1080982,392.0
392.65,387.95,2025-09-22,396.0,1540457,381.8
386.65,392.95,2025-09-23,403.0,1078881,385.6
376.85,386.05,2025-09-24,387.5,1052592,372.5
368.3,374.75,2025-09-25,376.45,1051147,364.0
357.8,369.9,2025-09-26,369.9,558274,354.0
343.15,359.3,2025-09-29,361.0,1498093,340.7
346.1,345.1,2025-09-30,366.75,7206977,339.35
348.3,347.95,2025-10-01,352.2,1038016,342.65
349.6,348.7,2025-10-03,351.55,565501,346.5
351.8,350.15,2025-10-06,358.95,1036606,348.9
352.6,353.5,2025-10-07,357.2,573045,350.2
370.7,354.3,2025-10-08,384.7,9549088,351.35
374.9,371.0,2025-10-09,376.9,1237084,365.55
368.7,376.9,2025-10-10,376.9,530187,367.55
363.35,367.5,2025-10-13,368.0,442182,361.0
363.5,364.8,2025-10-14,368.95,452502,358.0
370.35,366.0,2025-10-15,375.0,860356,361.55
370.8,369.5,2025-10-16,372.0,501011,366.25
366.9,370.0,2025-10-17,370.0,323596,363.0
359.6,366.9,2025-10-20,368.7,523036,358.0
363.4,359.1,2025-10-21,367.8,134193,359.0
373.1,368.25,2025-10-23,392.3,7382188,365.0
371.65,374.0,2025-10-24,385.65,1798372,370.0
374.2,372.7,2025-10-27,376.0,597499,370.15
370.5,374.2,2025-10-28,374.6,352670,366.3
374.4,370.5,2025-10-29,375.6,316980,368.5
372.65,374.05,2025-10-30,376.35,216295,370.15
369.85,372.05,2025-10-31,374.55,281298,365.4
371.7,370.25,2025-11-03,374.5,266050,369.05
374.25,371.7,2025-11-04,376.0,296116,368.4
365.85,372.5,2025-11-06,375.0,323191,363.1
367.8,363.0,2025-11-07,369.5,301377,358.0
376.15,367.75,2025-11-10,379.0,728662,365.1
371.8,376.2,2025-11-11,378.0,299607,370.15
392.8,373.8,2025-11-12,396.5,2801504,372.0
389.4,393.05,2025-11-13,400.5,995358,386.0
374.15,390.0,2025-11-14,390.0,2305036,364.0
370.95,374.0,2025-11-17,375.0,874111,368.05
365.5,370.1,2025-11-18,370.95,623100,363.6
370.05,366.5,2025-11-19,376.9,1382029,362.6
364.95,371.05,2025-11-20,372.45,635123,362.1
358.05,364.95,2025-11-21,365.9,375039,356.25
360.3,358.25,2025-11-24,364.5,650417,358.0
357.95,362.0,2025-11-25,364.0,345435,355.95
360.4,360.45,2025-11-26,361.45,375441,356.1
357.05,362.85,2025-11-27,363.05,302290,355.55
357.4,357.95,2025-11-28,365.0,774003,354.4
358.8,358.55,2025-12-01,364.2,313926,357.2
350.1,360.0,2025-12-02,360.3,660702,349.45
364.45,352.05,2025-12-03,372.0,7681554,351.9
365.55,365.0,2025-12-04,374.8,1934702,363.75
361.2,365.6,2025-12-05,365.8,668416,357.1
354.75,361.4,2025-12-08,363.1,453702,351.2
348.85,355.4,2025-12-09,355.9,493734,345.0
347.85,351.7,2025-12-10,355.7,431089,346.3
351.2,350.0,2025-12-11,352.9,538827,341.2
350.05,354.5,2025-12-12,354.5,433815,348.95
349.4,350.0,2025-12-15,350.1,226593,346.75
344.55,350.5,2025-12-16,350.5,616427,341.9
341.55,344.55,2025-12-17,345.15,320016,340.5
339.7,340.8,2025-12-18,344.0,325433,338.2
344.6,342.9,2025-12-19,345.9,498925,341.1
351.85,348.35,2025-12-22,357.8,720109,348.15
362.75,354.0,2025-12-23,366.0,1305993,350.75
359.2,361.8,2025-12-24,362.6,683228,354.9
366.65,360.05,2025-12-26,370.85,936745,356.55
356.9,366.65,2025-12-29,367.45,700300,353.3
357.25,356.3,2025-12-30,363.5,731583,352.5
359.85,359.0,2025-12-31,364.85,233015,357.85
362.9,362.95,2026-01-01,364.95,274648,358.55
365.15,363.85,2026-01-02,366.0,290079,359.8
360.5,365.15,2026-01-05,367.0,270253,359.35
351.6,360.5,2026-01-06,360.75,506494,349.65
372.8,351.6,2026-01-07,374.5,3449726,349.1
362.2,372.55,2026-01-08,372.55,622308,358.7
351.65,360.4,2026-01-09,360.4,442995,350.5
348.3,348.6,2026-01-12,350.25,421275,341.1
351.55,349.0,2026-01-13,352.8,232521,346.1
346.25,351.05,2026-01-14,353.4,259836,345.4
339.05,347.2,2026-01-16,358.5,1766787,338.0
325.95,339.05,2026-01-19,341.4,710355,324.55
312.9,327.5,2026-01-20,328.4,754377,312.0
309.6,312.9,2026-01-21,318.45,716181,305.3
313.45,315.0,2026-01-22,317.85,342529,310.1
308.2,314.75,2026-01-23,316.0,371675,304.65
311.95,309.65,2026-01-27,314.0,436764,299.95
312.0,311.95,2026-01-28,315.95,331937,310.5
316.35,315.0,2026-01-29,323.5,526768,308.1
317.3,313.5,2026-01-30,318.5,318498,308.75
310.2,313.25,2026-02-02,316.85,448336,307.85
327.3,319.8,2026-02-03,331.5,848316,316.0
315.6,321.0,2026-02-04,323.0,885793,311.5
309.15,314.0,2026-02-05,314.85,520248,308.15
305.9,306.0,2026-02-06,309.0,511409,301.1
315.15,310.0,2026-02-09,316.7,648647,305.55
318.85,316.0,2026-02-10,324.3,446003,313.35
314.95,319.5,2026-02-11,321.65,326775,313.5
288.65,312.55,2026-02-12,313.0,1774175,276.9
279.1,279.0,2026-02-13,286.8,1956919,275.0
273.5,280.0,2026-02-16,281.0,773560,270.0
283.95,275.0,2026-02-17,291.2,2345100,272.2
283.7,286.35,2026-02-18,289.45,550514,277.6
287.75,284.0,2026-02-19,289.7,1297494,281.0
285.65,286.75,2026-02-20,292.5,662190,283.6
281.65,285.6,2026-02-23,291.8,616926,280.05
270.15,282.4,2026-02-24,282.4,751337,268.95
272.6,272.95,2026-02-25,278.0,454794,271.05
270.95,273.15,2026-02-26,280.3,556152,270.0
268.2,271.95,2026-02-27,275.7,632253,267.0
260.25,252.7,2026-03-02,265.4,586936,252.25
255.65,258.5,2026-03-04,263.1,821270,254.5
250.25,257.05,2026-03-05,259.0,795444,248.25
246.45,250.0,2026-03-06,252.5,916440,245.7
247.0,243.0,2026-03-09,259.4,6389341,238.45
250.45,251.05,2026-03-10,252.0,868718,245.45
244.8,250.95,2026-03-11,256.5,876692,243.1
242.45,243.0,2026-03-12,247.05,773224,237.3
235.75,241.25,2026-03-13,242.45,568958,231.45
233.15,235.75,2026-03-16,239.2,821891,232.1
231.75,236.0,2026-03-17,236.0,397159,229.3
240.9,232.15,2026-03-18,243.6,855408,231.75
231.9,238.0,2026-03-19,238.0,320597,231.0
236.75,235.0,2026-03-20,239.85,414537,233.7
225.0,235.5,2026-03-23,236.1,865043,222.75
227.8,233.95,2026-03-24,235.15,749334,223.15
227.75,228.55,2026-03-25,235.7,1170188,226.05
219.0,225.5,2026-03-27,229.3,1233526,216.0
209.6,215.0,2026-03-30,218.55,1159005,207.15
220.74,217.5,2026-04-01,226.34,1059320,215.55
231.79,214.0,2026-04-02,234.0,1048562,212.55
232.31,233.0,2026-04-06,235.35,549727,228.54
236.06,231.0,2026-04-07,238.55,574257,230.0
245.94,244.95,2026-04-08,248.24,680955,238.5
244.43,246.8,2026-04-09,250.46,565268,241.83
246.27,244.5,2026-04-10,248.35,438446,242.19
242.16,243.0,2026-04-13,245.89,379035,236.9
253.79,246.9,2026-04-15,254.5,582084,245.0
279.27,264.2,2026-04-16,291.4,21846812,260.51
280.34,277.88,2026-04-17,284.0,1598755,272.0
272.86,282.0,2026-04-20,282.0,1065507,270.0
272.94,272.86,2026-04-21,275.5,310099,271.31
268.09,272.0,2026-04-22,274.1,674516,266.6
264.42,268.1,2026-04-23,273.92,504972,263.5
256.98,264.8,2026-04-24,266.19,427022,255.0
259.91,256.95,2026-04-27,263.03,467126,256.2
257.1,259.91,2026-04-28,261.71,327582,256.2
263.01,259.25,2026-04-29,269.04,727171,257.15
255.03,261.5,2026-04-30,261.99,690569,254.05
261.65,255.5,2026-05-04,265.1,527230,255.5
