close,open,date,high,volume,low
817.8,814.0,2025-07-23,826.3,33571,801.05
809.6,796.65,2025-07-24,814.5,146034,785.8
800.05,809.0,2025-07-25,809.0,52279,792.55
802.95,792.8,2025-07-28,806.0,39011,787.1
794.5,795.7,2025-07-29,807.0,27787,792.0
798.6,798.7,2025-07-30,806.2,11215,789.65
786.2,798.0,2025-07-31,813.95,100422,781.0
830.0,784.05,2025-08-01,835.4,215049,784.05
815.45,845.0,2025-08-04,857.95,135118,803.0
819.2,808.05,2025-08-05,828.0,24641,808.05
799.7,823.25,2025-08-06,823.25,26667,793.95
764.7,799.7,2025-08-07,799.7,46182,756.1
747.5,765.0,2025-08-08,765.95,42588,742.3
733.0,748.0,2025-08-11,757.0,31138,727.0
728.75,735.0,2025-08-12,744.4,7385,726.15
753.35,732.6,2025-08-13,759.95,26509,721.3
731.6,753.0,2025-08-14,766.8,19088,726.2
805.15,732.0,2025-08-18,848.0,1917843,732.0
829.4,810.0,2025-08-19,841.65,467147,802.85
826.85,833.5,2025-08-20,842.0,68433,821.9
824.6,834.5,2025-08-21,838.0,30337,821.0
795.05,827.0,2025-08-22,827.1,41600,786.95
785.0,797.9,2025-08-25,797.9,20759,781.1
768.1,781.05,2025-08-26,785.85,44307,763.0
751.3,760.05,2025-08-28,775.3,26766,748.0
764.15,746.55,2025-08-29,770.0,18350,742.65
778.7,764.15,2025-09-01,780.4,21175,763.95
774.95,771.6,2025-09-02,788.5,13545,771.6
775.8,779.0,2025-09-03,780.4,6330,769.85
775.4,777.05,2025-09-04,790.0,19759,771.0
780.15,779.5,2025-09-05,784.95,13474,768.45
788.55,784.3,2025-09-08,801.0,271677,773.15
774.2,798.0,2025-09-09,798.0,31153,768.15
780.65,772.85,2025-09-10,787.2,49300,772.85
792.4,781.1,2025-09-11,797.0,19357,776.0
788.4,785.2,2025-09-12,801.0,22029,784.55
793.25,788.3,2025-09-15,798.0,13715,784.5
804.4,788.1,2025-09-16,807.0,16494,788.1
805.45,797.1,2025-09-17,813.0,13922,797.1
822.8,806.1,2025-09-18,825.0,43379,797.15
841.25,818.0,2025-09-19,844.2,70754,814.4
848.85,835.0,2025-09-22,851.0,65414,830.5
860.2,853.3,2025-09-23,862.0,51146,842.0
860.15,864.7,2025-09-24,868.0,52805,849.8
850.9,857.2,2025-09-25,865.7,18936,842.4
870.1,858.0,2025-09-26,880.7,207303,857.0
843.25,870.0,2025-09-29,979.0,10541845,816.3
832.15,862.4,2025-09-30,872.0,1322333,805.3
821.05,848.7,2025-10-01,848.7,294089,805.35
847.2,821.0,2025-10-03,857.2,272501,821.0
824.2,847.15,2025-10-06,848.0,89428,821.0
807.6,822.05,2025-10-07,829.35,80950,804.05
797.0,808.3,2025-10-08,808.3,106060,785.0
798.25,791.0,2025-10-09,803.7,57296,785.95
801.15,803.9,2025-10-10,810.05,53292,790.9
782.75,795.0,2025-10-13,803.95,36019,780.0
764.95,782.95,2025-10-14,786.9,78461,760.1
779.0,760.0,2025-10-15,785.0,47787,760.0
775.75,783.1,2025-10-16,788.0,30866,770.25
776.7,775.0,2025-10-17,787.0,41009,763.0
770.65,776.7,2025-10-20,780.6,33925,762.85
802.95,776.25,2025-10-21,815.0,35789,771.9
802.6,805.0,2025-10-23,808.0,71380,785.75
808.1,802.6,2025-10-24,812.0,60945,788.05
