close,open,date,high,volume,low
584.65,609.55,2025-07-21,618.0,737380,581.75
593.55,584.65,2025-07-22,597.2,228023,584.65
588.3,593.8,2025-07-23,600.95,352101,585.0
590.95,590.0,2025-07-24,598.3,313511,587.0
584.9,589.0,2025-07-25,593.25,277673,581.4
580.3,586.0,2025-07-28,592.25,446248,575.85
604.7,576.1,2025-07-29,612.0,789420,576.1
652.25,607.65,2025-07-30,660.05,5449373,603.55
648.7,640.0,2025-07-31,663.5,1493087,635.1
630.65,651.0,2025-08-01,656.0,681765,626.2
637.8,632.0,2025-08-04,665.0,3372750,627.8
632.55,638.55,2025-08-05,644.7,581921,625.0
604.75,630.6,2025-08-06,635.0,483739,601.5
589.1,603.05,2025-08-07,610.15,334748,585.35
577.1,589.4,2025-08-08,593.65,297476,573.0
583.4,581.85,2025-08-11,588.0,234124,572.05
594.5,586.0,2025-08-12,596.8,220425,579.6
597.05,596.0,2025-08-13,602.4,243238,585.95
586.45,598.6,2025-08-14,603.7,254137,584.9
577.4,588.2,2025-08-18,597.2,326972,575.1
585.3,577.4,2025-08-19,588.25,131433,576.85
590.15,585.95,2025-08-20,601.35,818464,582.2
593.4,590.15,2025-08-21,599.0,355620,585.05
598.05,600.0,2025-08-22,608.95,650021,588.65
587.15,600.0,2025-08-25,602.8,242461,585.1
570.0,585.0,2025-08-26,586.3,417018,562.4
566.8,565.0,2025-08-28,569.8,161353,560.3
566.15,568.5,2025-08-29,577.2,311254,556.95
569.2,562.95,2025-09-01,572.5,293041,555.2
570.95,569.2,2025-09-02,577.75,391396,551.1
590.55,574.8,2025-09-03,595.0,441414,568.55
584.5,598.0,2025-09-04,598.95,157982,580.25
569.5,580.5,2025-09-05,585.45,261572,568.0
565.75,567.0,2025-09-08,575.75,302730,562.0
566.15,570.0,2025-09-09,574.0,90595,564.85
573.25,566.15,2025-09-10,576.3,184162,566.15
569.85,575.1,2025-09-11,576.95,94639,566.35
554.7,570.0,2025-09-12,573.85,263921,552.2
552.5,557.0,2025-09-15,560.0,189308,548.2
552.5,556.0,2025-09-16,561.15,242593,550.5
569.05,558.0,2025-09-17,571.8,249921,552.5
564.55,574.4,2025-09-18,574.4,173929,562.6
601.8,564.55,2025-09-19,617.45,1612602,555.8
582.2,601.8,2025-09-22,605.0,377511,580.0
567.2,580.1,2025-09-23,582.15,310930,563.55
563.2,569.9,2025-09-24,569.9,131103,561.0
555.8,564.9,2025-09-25,565.05,139053,552.6
535.45,554.0,2025-09-26,554.0,241496,532.7
531.4,536.0,2025-09-29,543.2,424451,530.0
533.25,528.25,2025-09-30,539.25,115599,527.7
544.05,534.0,2025-10-01,546.75,194063,532.3
538.3,549.0,2025-10-03,549.0,138003,533.65
541.6,538.1,2025-10-06,545.25,127314,535.0
534.35,543.6,2025-10-07,543.6,133390,528.8
529.8,519.2,2025-10-08,534.5,276167,519.2
524.65,528.85,2025-10-09,534.3,130758,523.0
527.75,524.65,2025-10-10,533.95,294194,522.4
524.25,522.45,2025-10-13,533.0,207589,520.6
520.4,532.35,2025-10-14,532.35,268694,516.55
518.2,518.15,2025-10-15,528.0,159186,516.8
517.7,519.25,2025-10-16,528.9,234271,515.35
526.4,518.0,2025-10-17,532.0,563453,515.05
523.75,528.75,2025-10-20,530.5,339577,515.0
529.8,523.75,2025-10-21,534.0,44907,523.75
518.75,535.5,2025-10-23,535.5,142511,517.5
517.9,522.4,2025-10-24,522.4,193805,514.2
518.0,518.0,2025-10-27,538.0,1402033,506.0
512.1,509.0,2025-10-28,514.7,614848,506.0
506.55,512.3,2025-10-29,514.9,238577,505.1
508.75,506.55,2025-10-30,510.0,374094,505.65
502.2,507.1,2025-10-31,511.45,412632,501.0
507.85,504.0,2025-11-03,512.0,400646,496.0
499.45,507.85,2025-11-04,509.7,435710,497.05
480.05,499.45,2025-11-06,502.7,604807,478.5
475.15,480.05,2025-11-07,484.8,431397,471.65
472.7,478.95,2025-11-10,480.8,110570,471.4
473.8,473.0,2025-11-11,475.2,308143,460.15
475.65,477.0,2025-11-12,481.2,267209,472.05
468.0,475.55,2025-11-13,476.45,664045,467.25
464.8,464.3,2025-11-14,470.4,452476,462.0
463.35,467.95,2025-11-17,472.15,176808,461.6
456.15,462.7,2025-11-18,463.95,185517,455.1
458.1,458.0,2025-11-19,460.3,127030,452.7
455.35,458.45,2025-11-20,465.6,187003,454.0
451.7,455.35,2025-11-21,458.8,348635,448.9
444.9,455.0,2025-11-24,456.4,342304,442.95
451.1,449.5,2025-11-25,453.0,158098,446.1
456.25,449.15,2025-11-26,457.45,121890,448.4
458.8,456.25,2025-11-27,461.0,161766,451.1
466.0,458.5,2025-11-28,471.0,366958,454.65
473.05,465.2,2025-12-01,475.05,215066,465.0
460.2,472.0,2025-12-02,472.55,346963,458.7
462.15,460.35,2025-12-03,465.55,104768,453.65
465.35,460.0,2025-12-04,467.6,125574,456.5
465.25,466.0,2025-12-05,466.5,110984,457.0
452.35,466.9,2025-12-08,466.9,183314,448.3
454.5,450.0,2025-12-09,460.35,198502,447.0
456.0,454.5,2025-12-10,465.0,79003,453.55
454.8,454.05,2025-12-11,457.1,67159,451.4
456.95,455.0,2025-12-12,459.3,151697,451.55
455.45,456.0,2025-12-15,457.7,180447,452.2
455.85,457.0,2025-12-16,462.95,257619,453.1
448.7,456.45,2025-12-17,457.6,384432,446.0
447.15,451.9,2025-12-18,451.9,205383,444.8
442.6,447.0,2025-12-19,447.8,386380,432.2
455.0,445.15,2025-12-22,456.7,160730,445.15
460.1,457.8,2025-12-23,461.75,169621,450.55
459.15,461.0,2025-12-24,462.6,139766,455.2
462.05,459.2,2025-12-26,463.6,93079,455.85
464.65,461.95,2025-12-29,466.85,146526,457.85
463.45,464.65,2025-12-30,475.95,307233,458.7
471.0,463.0,2025-12-31,471.9,103792,462.6
469.5,471.0,2026-01-01,471.0,82796,465.0
468.7,469.6,2026-01-02,470.85,74618,466.0
479.4,469.0,2026-01-05,481.35,223443,468.75
473.35,481.7,2026-01-06,481.7,193563,454.6
459.65,473.2,2026-01-07,473.2,187380,458.1
445.45,456.0,2026-01-08,460.1,137712,443.35
440.9,445.4,2026-01-09,451.25,155204,439.2
438.05,442.0,2026-01-12,442.55,113746,431.45
441.9,438.15,2026-01-13,444.95,137664,435.0
430.2,444.35,2026-01-14,444.8,296102,428.0
430.65,428.1,2026-01-16,437.05,222067,428.0
425.9,430.0,2026-01-19,434.95,180164,424.2
422.6,422.0,2026-01-20,426.7,199117,420.1
