close,open,date,high,volume,low
1641.6,1629.8,2025-08-04,1647.4,1898762,1613.6
1632.1,1640.9,2025-08-05,1644.6,1622897,1620.1
1595.2,1629.7,2025-08-06,1629.7,2376257,1591.0
1598.4,1581.0,2025-08-07,1605.4,3435674,1571.0
1586.9,1590.0,2025-08-08,1602.0,1654424,1580.9
1608.4,1586.9,2025-08-11,1660.0,1140902,1584.2
1622.2,1611.7,2025-08-12,1636.7,1679088,1610.1
1639.8,1624.2,2025-08-13,1643.5,1313668,1617.3
1641.4,1639.8,2025-08-14,1651.1,1738094,1632.2
1632.7,1649.6,2025-08-18,1649.6,3080173,1625.4
1626.6,1632.8,2025-08-19,1638.0,2656391,1619.1
1633.1,1634.0,2025-08-20,1636.5,1831706,1616.0
1640.2,1630.8,2025-08-21,1652.5,1727099,1623.9
1641.8,1642.0,2025-08-22,1651.4,2098310,1635.1
1656.7,1649.2,2025-08-25,1660.5,1904984,1634.0
1600.3,1645.0,2025-08-26,1647.4,4502371,1596.2
1585.7,1593.1,2025-08-28,1600.0,4993739,1567.6
1594.5,1581.0,2025-08-29,1601.7,3176534,1575.8
1563.3,1599.0,2025-09-01,1600.2,9366820,1556.2
1565.2,1566.0,2025-09-02,1570.3,2855840,1558.0
1578.7,1562.1,2025-09-03,1581.1,2091370,1558.3
1582.3,1597.0,2025-09-04,1597.0,2298657,1561.0
1593.6,1582.4,2025-09-05,1599.3,1814479,1575.5
1581.0,1597.6,2025-09-08,1604.5,1369139,1578.2
1591.7,1580.0,2025-09-09,1597.0,1709406,1577.5
1593.4,1592.1,2025-09-10,1601.6,2408379,1582.4
1609.7,1592.5,2025-09-11,1617.0,1762484,1591.0
1616.6,1610.0,2025-09-12,1622.5,1878894,1603.1
1602.0,1616.6,2025-09-15,1617.1,2005917,1595.4
1610.5,1602.5,2025-09-16,1615.0,1480567,1600.0
1620.2,1612.6,2025-09-17,1622.1,2128406,1607.4
1648.6,1635.1,2025-09-18,1651.3,1832386,1627.7
1656.0,1648.6,2025-09-19,1668.1,3191406,1643.1
1644.0,1650.0,2025-09-22,1657.9,1785320,1635.3
1631.2,1643.2,2025-09-23,1644.0,1967731,1625.1
1627.1,1630.0,2025-09-24,1635.9,1131058,1625.0
1627.4,1627.9,2025-09-25,1642.8,2762750,1622.7
1586.7,1585.0,2025-09-26,1602.9,7256759,1548.0
1589.3,1581.0,2025-09-29,1618.9,4180922,1580.0
1594.3,1589.1,2025-09-30,1604.3,2257443,1586.0
1636.2,1611.9,2025-10-01,1651.5,3109095,1611.9
1631.2,1600.0,2025-10-03,1645.5,4041865,1600.0
1654.7,1630.0,2025-10-06,1659.7,1756916,1620.0
1653.1,1649.4,2025-10-07,1663.0,2174852,1647.0
1631.6,1645.0,2025-10-08,1655.0,1846507,1629.0
1658.5,1645.0,2025-10-09,1662.3,2197566,1632.4
1670.9,1655.0,2025-10-10,1676.6,1454056,1649.0
1668.4,1662.5,2025-10-13,1675.0,1375179,1655.8
1654.4,1667.6,2025-10-14,1669.9,2108287,1646.2
1655.1,1652.5,2025-10-15,1668.7,2088737,1650.1
1659.0,1654.0,2025-10-16,1662.9,2895957,1643.2
1679.1,1658.2,2025-10-17,1692.0,1594147,1656.7
1688.6,1684.9,2025-10-20,1696.9,1647622,1682.8
1690.5,1690.0,2025-10-21,1696.0,74296,1684.0
1689.9,1705.0,2025-10-23,1712.0,2687094,1682.2
1699.0,1690.0,2025-10-24,1701.9,994307,1686.0
1693.6,1701.0,2025-10-27,1708.5,2067904,1690.0
1687.0,1692.0,2025-10-28,1702.7,2440939,1679.2
1715.9,1690.0,2025-10-29,1722.0,1016738,1687.3
1703.4,1715.8,2025-10-30,1716.9,1986233,1680.1
