close,open,date,high,volume,low
65.06,66.26,2025-07-18,66.59,37155281,64.77
66.42,65.24,2025-07-21,66.5,35813725,65.0
66.58,66.68,2025-07-22,66.78,35735857,65.7
65.98,66.1,2025-07-23,66.44,32844030,65.52
65.32,65.98,2025-07-24,66.24,25857103,65.05
63.62,65.3,2025-07-25,65.32,55135489,62.83
60.85,63.5,2025-07-28,63.55,63833967,60.65
61.79,60.69,2025-07-29,62.61,53322991,59.95
61.21,61.98,2025-07-30,62.05,26142390,61.01
61.6,60.05,2025-07-31,62.02,52270070,59.78
65.95,62.3,2025-08-01,66.8,282885799,62.3
65.0,66.6,2025-08-04,66.81,72002898,64.65
65.44,65.0,2025-08-05,66.1,49369073,64.87
65.26,65.78,2025-08-06,65.85,47280146,64.57
64.21,64.81,2025-08-07,65.26,75542321,62.21
63.19,64.5,2025-08-08,64.52,44361456,62.96
63.32,63.2,2025-08-11,64.78,56446107,62.89
63.13,64.2,2025-08-12,64.95,98199194,62.57
60.38,63.15,2025-08-13,63.8,173116275,60.1
60.06,60.68,2025-08-14,60.99,61474611,60.0
58.07,61.5,2025-08-18,61.64,175241892,56.62
59.59,58.25,2025-08-19,59.75,100339049,57.72
59.85,59.65,2025-08-20,60.35,59028795,59.2
58.16,60.16,2025-08-21,60.24,53042863,58.01
58.51,58.39,2025-08-22,59.29,67410588,58.06
57.43,59.04,2025-08-25,59.04,55015151,57.36
56.97,57.04,2025-08-26,57.45,54251386,56.61
56.32,57.31,2025-08-28,57.31,57742437,55.89
56.43,56.35,2025-08-29,57.15,66053084,55.53
57.86,56.9,2025-09-01,57.98,62787374,56.57
58.25,58.45,2025-09-02,59.1,72989341,57.9
57.99,58.25,2025-09-03,58.72,44161578,57.9
57.42,58.74,2025-09-04,58.9,45523685,57.27
57.87,57.64,2025-09-05,58.15,36924536,57.3
57.45,58.1,2025-09-08,58.25,31288449,57.35
57.06,57.73,2025-09-09,57.75,28437335,57.0
57.57,57.3,2025-09-10,58.03,37061910,57.21
56.94,57.57,2025-09-11,58.04,35651527,56.88
57.11,57.26,2025-09-12,57.42,30872715,56.73
