close,open,date,high,volume,low
635.65,635.15,2025-09-02,638.0,1515948.0,629.8
651.9,637.3,2025-09-03,653.0,654308.0,634.1
656.8,656.9,2025-09-04,666.45,865487.0,652.95
648.4,655.05,2025-09-05,662.95,413652.0,644.25
649.5,651.6,2025-09-08,655.5,396717.0,642.35
644.6,650.0,2025-09-09,653.5,833385.0,628.0
652.55,645.2,2025-09-10,655.75,307076.0,645.0
661.0,655.0,2025-09-11,664.0,629853.0,651.75
664.15,664.1,2025-09-12,666.85,999196.0,658.9
670.8,663.4,2025-09-15,673.7,910593.0,658.1
657.25,670.8,2025-09-16,673.9,817761.0,653.8
651.2,660.5,2025-09-17,663.0,1337662.0,650.2
657.95,652.0,2025-09-18,660.0,410959.0,649.3
665.45,659.0,2025-09-19,666.75,505847.0,656.3
655.3,666.0,2025-09-22,668.0,484909.0,650.0
643.65,658.0,2025-09-23,659.1,163168.0,642.0
641.15,643.65,2025-09-24,645.45,509932.0,638.55
636.9,641.05,2025-09-25,642.15,362664.0,635.2
609.45,628.0,2025-09-26,633.75,870657.0,608.0
614.3,612.45,2025-09-29,622.0,574552.0,607.05
622.85,614.3,2025-09-30,625.75,786426.0,613.35
631.6,623.3,2025-10-01,636.45,380909.0,623.0
635.5,631.0,2025-10-03,640.6,509766.0,627.5
634.5,635.95,2025-10-06,637.85,688215.0,626.9
632.7,634.5,2025-10-07,641.8,712522.0,631.2
630.65,632.4,2025-10-08,637.7,859528.0,627.7
638.6,630.0,2025-10-09,643.4,755810.0,630.0
651.3,636.45,2025-10-10,656.55,1247635.0,630.3
633.9,650.0,2025-10-13,650.0,600007.0,630.65
625.65,634.0,2025-10-14,635.3,719369.0,617.55
628.1,625.55,2025-10-15,631.7,640076.0,625.1
640.4,628.5,2025-10-16,648.5,789430.0,628.1
638.65,644.4,2025-10-17,644.65,305601.0,631.5
643.9,639.95,2025-10-20,646.5,333114.0,638.75
641.85,643.9,2025-10-21,646.45,25485.0,641.0
661.25,644.0,2025-10-23,664.25,1034780.0,642.0
659.85,666.15,2025-10-24,667.85,687780.0,655.4
660.4,662.0,2025-10-27,666.8,308585.0,658.1
657.5,658.0,2025-10-28,664.25,342626.0,652.45
659.25,657.5,2025-10-29,662.65,192741.0,656.0
650.65,657.4,2025-10-30,660.05,379950.0,643.45
650.1,654.4,2025-10-31,657.55,435568.0,647.05
657.8,654.55,2025-11-03,660.8,308348.0,652.35
646.55,657.8,2025-11-04,659.85,367631.0,643.6
620.6,635.25,2025-11-06,653.9,1642849.0,616.0
616.3,611.5,2025-11-07,622.0,1904996.0,608.6
630.2,612.0,2025-11-10,632.8,391199.0,609.4
644.9,640.0,2025-11-11,655.95,2473758.0,632.65
663.85,649.3,2025-11-12,667.4,1155741.0,640.65
662.1,663.85,2025-11-13,673.4,1099229.0,660.5
654.4,662.1,2025-11-14,666.6,491837.0,650.5
652.15,654.55,2025-11-17,658.5,486418.0,649.2
643.1,650.05,2025-11-18,653.0,547823.0,641.55
634.85,644.3,2025-11-19,646.1,713649.0,630.8
634.6,635.1,2025-11-20,636.35,173819.0,630.9
629.25,633.0,2025-11-21,639.8,299082.0,626.7
639.7,633.0,2025-11-24,646.45,826462.0,630.25
642.05,643.0,2025-11-25,643.85,421080.0,637.8
646.85,641.75,2025-11-26,649.0,171609.0,641.2
640.0,650.7,2025-11-27,650.7,180447.0,638.2
648.3,640.0,2025-11-28,651.8,408631.0,637.05
645.45,651.5,2025-12-01,652.1,293778.0,639.1
637.3,642.0,2025-12-02,647.15,350946.0,634.7
636.2,635.4,2025-12-03,643.8,235584.0,631.3
642.35,631.0,2025-12-04,644.95,337969.0,631.0
639.8,639.0,2025-12-05,644.0,433951.0,631.1
632.15,638.0,2025-12-08,639.8,597646.0,625.0
627.15,628.0,2025-12-09,635.0,194493.0,623.65
629.35,627.95,2025-12-10,634.25,645188.0,626.0
640.85,627.4,2025-12-11,643.9,171610.0,625.15
647.0,640.85,2025-12-12,652.7,777102.0,639.9
660.35,647.0,2025-12-15,661.2,758214.0,646.95
646.35,658.0,2025-12-16,661.2,494479.0,642.8
646.5,642.0,2025-12-17,652.95,888872.0,642.0
657.1,646.5,2025-12-18,660.25,952822.0,641.25
654.15,658.0,2025-12-19,665.3,664090.0,643.95
659.0,653.5,2025-12-22,663.15,363035.0,652.25
658.55,659.0,2025-12-23,662.05,188354.0,655.65
652.95,658.55,2025-12-24,661.0,810149.0,651.5
654.65,650.95,2025-12-26,656.25,130024.0,648.8
655.55,657.9,2025-12-29,659.45,495480.0,651.3
643.75,655.55,2025-12-30,655.55,353685.0,638.0
