close,open,date,high,volume,low
860.3,833.9,2025-09-08,875.0,1848077.0,827.0
859.0,860.3,2025-09-09,865.0,1005168.0,841.15
846.85,861.25,2025-09-10,873.35,967611.0,841.6
835.2,846.2,2025-09-11,866.95,1122497.0,832.05
825.35,839.9,2025-09-12,852.3,1337137.0,817.4
802.8,825.4,2025-09-15,828.5,982832.0,800.0
817.65,806.4,2025-09-16,831.95,1104929.0,806.35
798.45,824.0,2025-09-17,829.0,1222358.0,790.9
811.85,803.7,2025-09-18,818.0,1207585.0,792.05
827.55,811.85,2025-09-19,840.0,1556820.0,803.45
815.65,829.8,2025-09-22,837.0,832345.0,812.05
817.9,818.0,2025-09-23,836.0,737589.0,814.2
858.4,820.0,2025-09-24,866.5,3528657.0,816.0
835.3,860.0,2025-09-25,870.9,1989691.0,830.25
802.85,835.0,2025-09-26,836.85,1381059.0,798.7
794.95,806.0,2025-09-29,820.75,754781.0,791.5
767.4,794.0,2025-09-30,800.95,912844.0,765.5
804.1,770.05,2025-10-01,828.2,3519471.0,769.0
828.5,809.0,2025-10-03,831.9,1165641.0,800.1
817.85,835.85,2025-10-06,835.85,583970.0,810.7
851.95,819.4,2025-10-07,868.95,3969271.0,818.0
847.1,852.0,2025-10-08,855.25,1195674.0,826.1
821.75,845.9,2025-10-09,848.7,847812.0,819.0
843.65,822.0,2025-10-10,848.45,836155.0,821.75
829.6,838.05,2025-10-13,838.8,671198.0,820.0
801.9,835.0,2025-10-14,863.0,1976329.0,795.55
796.05,804.05,2025-10-15,808.0,884834.0,790.0
789.85,797.8,2025-10-16,802.0,879041.0,787.0
787.0,795.0,2025-10-17,807.0,869995.0,782.15
779.9,791.8,2025-10-20,792.5,698497.0,775.0
795.65,785.85,2025-10-21,801.3,274494.0,783.9
768.85,800.05,2025-10-23,804.55,1126925.0,765.0
773.85,777.0,2025-10-24,788.0,949900.0,766.5
754.95,770.35,2025-10-27,772.6,1376999.0,742.9
802.25,765.0,2025-10-28,809.55,6476920.0,763.15
816.95,808.2,2025-10-29,826.75,2020037.0,801.2
823.15,813.75,2025-10-30,829.9,1191409.0,805.1
813.8,825.0,2025-10-31,833.3,860044.0,809.5
790.55,813.8,2025-11-03,821.35,859034.0,788.35
784.2,791.85,2025-11-04,800.8,663838.0,781.6
788.65,790.95,2025-11-06,815.8,1846599.0,780.6
799.5,781.0,2025-11-07,806.0,1231411.0,760.1
808.05,803.0,2025-11-10,814.6,1204696.0,794.75
831.05,820.0,2025-11-11,892.75,19204808.0,798.0
892.9,844.95,2025-11-12,901.0,15178405.0,842.05
887.0,894.0,2025-11-13,909.9,5818716.0,872.0
894.35,884.0,2025-11-14,902.1,1812446.0,878.0
903.1,899.8,2025-11-17,906.0,1553597.0,888.35
875.4,904.65,2025-11-18,904.65,1563838.0,872.2
876.25,873.0,2025-11-19,883.8,1127412.0,860.75
871.85,879.1,2025-11-20,880.0,985239.0,857.05
835.9,870.0,2025-11-21,875.2,1187636.0,832.0
819.15,838.3,2025-11-24,852.5,1434923.0,813.85
833.8,818.0,2025-11-25,849.9,1629737.0,808.5
857.3,835.9,2025-11-26,859.45,1216314.0,830.4
850.3,861.0,2025-11-27,864.25,1246792.0,834.45
820.25,851.2,2025-11-28,852.7,1874508.0,802.2
813.05,823.5,2025-12-01,850.8,1888896.0,809.2
795.15,813.0,2025-12-02,821.95,1101287.0,791.6
795.35,795.85,2025-12-03,797.55,745208.0,780.4
786.25,794.6,2025-12-04,802.0,1094288.0,782.85
743.25,784.95,2025-12-05,788.9,1759858.0,739.35
728.9,749.45,2025-12-08,764.9,2001935.0,725.4
757.3,726.5,2025-12-09,762.7,1807427.0,715.0
734.1,759.1,2025-12-10,760.65,859825.0,730.1
733.15,734.5,2025-12-11,743.5,871616.0,729.85
738.8,736.9,2025-12-12,752.5,856676.0,733.05
733.7,738.05,2025-12-15,746.4,591148.0,731.1
718.85,732.4,2025-12-16,739.15,566943.0,717.0
717.45,719.0,2025-12-17,723.5,689141.0,710.3
709.85,719.0,2025-12-18,720.05,618051.0,704.4
729.7,711.55,2025-12-19,737.9,1460465.0,704.5
725.8,734.8,2025-12-22,740.0,758212.0,718.85
733.5,728.0,2025-12-23,735.0,989827.0,716.0
733.85,732.2,2025-12-24,743.4,883395.0,725.7
737.7,733.8,2025-12-26,741.9,564067.0,727.0
712.95,736.9,2025-12-29,736.95,783251.0,709.2
722.7,712.95,2025-12-30,737.0,1190014.0,711.0
733.15,722.4,2025-12-31,735.0,377297.0,722.25
719.4,733.0,2026-01-01,734.95,459942.0,714.0
741.9,722.9,2026-01-02,744.8,808159.0,718.0
750.25,745.0,2026-01-05,760.0,822101.0,735.1
750.6,753.0,2026-01-06,757.9,675230.0,743.5
749.4,752.0,2026-01-07,757.5,511731.0,744.1
