close,open,date,high,volume,low
1076.8,1083.9,2025-07-11,1101.8,983485,1074.0
1071.8,1076.8,2025-07-14,1083.5,770739,1070.0
1081.8,1071.8,2025-07-15,1085.0,538506,1067.5
1081.5,1081.8,2025-07-16,1089.9,1753658,1068.2
1105.8,1081.5,2025-07-17,1109.7,1193262,1080.0
1095.9,1106.0,2025-07-18,1108.3,844437,1093.5
1090.3,1095.8,2025-07-21,1095.8,805610,1077.0
1084.8,1089.9,2025-07-22,1090.3,961735,1075.3
1062.6,1085.0,2025-07-23,1087.0,1508414,1051.0
1072.8,1084.0,2025-07-24,1104.5,6264546,1065.5
1054.4,1078.0,2025-07-25,1079.8,1180451,1050.0
1059.9,1048.0,2025-07-28,1071.0,1219854,1044.4
1061.6,1059.9,2025-07-29,1076.2,944513,1054.0
1073.1,1056.0,2025-07-30,1083.0,1175543,1056.0
1073.2,1068.7,2025-07-31,1079.7,1114320,1054.5
1070.4,1067.1,2025-08-01,1089.9,1040166,1067.0
1072.6,1070.4,2025-08-04,1075.6,663828,1060.0
1064.6,1072.6,2025-08-05,1073.0,861402,1059.1
1052.8,1061.0,2025-08-06,1067.3,598309,1050.6
1052.8,1051.0,2025-08-07,1056.5,600790,1038.7
1051.0,1052.0,2025-08-08,1062.0,843741,1043.0
1059.1,1048.0,2025-08-11,1062.9,617689,1037.7
1046.8,1055.8,2025-08-12,1062.9,651741,1045.0
1056.1,1047.8,2025-08-13,1058.7,501792,1043.2
1051.2,1057.2,2025-08-14,1059.4,767620,1045.4
1071.3,1061.0,2025-08-18,1090.0,1099268,1059.0
1085.8,1076.7,2025-08-19,1092.9,667231,1069.0
1105.3,1086.0,2025-08-20,1106.9,871108,1078.9
1088.1,1104.0,2025-08-21,1104.0,614098,1086.5
1084.1,1087.2,2025-08-22,1091.7,394813,1080.0
1081.6,1085.0,2025-08-25,1091.3,444715,1079.1
1079.9,1074.1,2025-08-26,1091.8,1201357,1070.1
1062.4,1081.5,2025-08-28,1085.2,641975,1060.0
1065.4,1065.0,2025-08-29,1077.5,1079893,1055.2
1075.7,1059.1,2025-09-01,1077.0,807324,1057.0
1100.8,1077.0,2025-09-02,1105.6,1649975,1074.1
1104.4,1102.9,2025-09-03,1106.6,1244093,1086.5
1071.1,1126.0,2025-09-04,1126.0,2407789,1067.2
1072.4,1074.0,2025-09-05,1077.5,1130356,1061.2
1074.2,1072.4,2025-09-08,1081.3,600835,1068.7
1083.5,1074.2,2025-09-09,1086.0,779147,1068.1
1101.0,1083.5,2025-09-10,1103.0,1200433,1081.7
1105.3,1099.0,2025-09-11,1107.8,1030547,1094.3
1103.9,1105.0,2025-09-12,1109.3,1131972,1095.2
1102.6,1103.9,2025-09-15,1107.9,1491729,1090.6
1092.1,1103.0,2025-09-16,1105.4,641025,1087.0
1136.3,1103.1,2025-09-17,1138.8,3361334,1103.1
1129.3,1136.3,2025-09-18,1144.4,1030976,1123.0
1126.8,1128.5,2025-09-19,1132.6,1438338,1114.4
1130.1,1120.0,2025-09-22,1136.8,701996,1119.9
1128.5,1131.0,2025-09-23,1134.6,1082761,1118.4
1140.1,1125.0,2025-09-24,1147.1,1100753,1118.4
1134.2,1145.0,2025-09-25,1146.5,1023970,1127.6
1119.0,1126.0,2025-09-26,1136.9,565909,1117.2
1123.1,1119.0,2025-09-29,1130.4,1372491,1103.0
1129.3,1123.0,2025-09-30,1133.2,1377509,1114.0
1144.8,1129.1,2025-10-01,1149.8,789835,1122.1
1137.5,1146.0,2025-10-03,1150.0,1567152,1129.1
1142.1,1133.0,2025-10-06,1152.0,1472109,1132.3
1120.0,1136.4,2025-10-07,1144.9,1354474,1115.3
1120.2,1112.0,2025-10-08,1126.7,963508,1110.0
1118.0,1117.0,2025-10-09,1124.4,852898,1114.5
1126.5,1116.0,2025-10-10,1131.4,982270,1108.4
1117.0,1120.0,2025-10-13,1132.4,832628,1112.5
1118.9,1115.0,2025-10-14,1124.5,1033610,1110.7
1114.2,1118.9,2025-10-15,1122.1,1299596,1112.2
1149.3,1114.2,2025-10-16,1154.2,2383412,1109.0
1166.0,1152.2,2025-10-17,1173.5,2001759,1142.5
1176.4,1166.9,2025-10-20,1187.5,1751305,1163.6
1174.6,1176.4,2025-10-21,1184.4,123219,1172.5
1161.0,1174.6,2025-10-23,1191.2,1137414,1158.0
1155.3,1163.3,2025-10-24,1163.3,1103267,1144.4
1169.9,1155.9,2025-10-27,1180.0,874449,1155.9
1168.9,1169.3,2025-10-28,1176.4,842574,1157.8
1177.1,1169.0,2025-10-29,1188.0,1017034,1167.3
1176.6,1184.0,2025-10-30,1184.0,900192,1167.0
1165.0,1171.0,2025-10-31,1183.5,749738,1157.8
1197.5,1164.8,2025-11-03,1202.8,2595111,1157.2
1179.3,1199.8,2025-11-04,1199.8,2886618,1138.1
1190.4,1172.1,2025-11-06,1192.5,2401724,1167.4
1167.2,1185.0,2025-11-07,1187.8,1351606,1155.8
1142.7,1167.2,2025-11-10,1173.8,1586398,1138.6
1156.2,1148.0,2025-11-11,1159.0,1177071,1134.0
1162.0,1156.3,2025-11-12,1165.8,1168588,1153.1
