close,open,date,high,volume,low
6580.5,6559.0,2025-07-15,6624.0,11783,6557.0
6594.0,6613.5,2025-07-16,6645.0,10530,6575.0
6591.0,6594.0,2025-07-17,6647.0,9944,6574.0
6541.0,6619.5,2025-07-18,6632.0,10548,6530.0
6759.5,6540.0,2025-07-21,6950.0,317190,6476.0
6716.0,6789.0,2025-07-22,6849.0,37869,6700.0
6775.5,6749.0,2025-07-23,6862.0,47110,6683.5
6750.5,6797.0,2025-07-24,6899.0,23499,6730.5
6623.5,6749.0,2025-07-25,6749.0,17092,6602.5
6646.5,6575.0,2025-07-28,6860.0,55260,6575.0
6717.5,6639.0,2025-07-29,6787.0,33742,6590.5
6731.0,6734.5,2025-07-30,6839.0,24813,6703.0
6801.0,6770.0,2025-07-31,6929.5,96573,6732.0
6782.5,6929.0,2025-08-01,6931.0,56778,6750.0
6976.0,6806.0,2025-08-04,7165.0,246285,6745.5
7138.0,7100.0,2025-08-05,7630.0,1347839,7075.5
7084.5,7150.0,2025-08-06,7218.0,116467,7057.0
6902.5,7093.0,2025-08-07,7122.0,93813,6850.0
6894.5,6970.0,2025-08-08,6970.0,51404,6853.0
6898.5,6904.5,2025-08-11,6994.5,32557,6876.0
6889.5,6926.5,2025-08-12,6937.0,26036,6843.0
6875.5,6909.5,2025-08-13,6949.0,23504,6860.0
6875.5,6881.0,2025-08-14,6920.5,20983,6858.5
6887.5,6930.0,2025-08-18,7000.0,23055,6864.0
6922.0,6913.5,2025-08-19,6951.0,17856,6890.0
6939.5,6936.0,2025-08-20,7025.0,24571,6926.0
6954.0,6972.0,2025-08-21,7060.5,21904,6939.0
6915.5,6951.0,2025-08-22,6970.0,15522,6909.0
6996.5,6945.0,2025-08-25,7044.0,46538,6920.5
6881.0,6988.0,2025-08-26,6988.0,19511,6860.0
6834.5,6881.0,2025-08-28,6900.5,22446,6771.0
6815.5,6855.0,2025-08-29,6890.0,25761,6797.5
6816.5,6900.0,2025-09-01,6948.0,31563,6802.5
6826.5,6844.5,2025-09-02,6891.0,17394,6811.0
6802.5,6826.5,2025-09-03,6874.5,23725,6780.5
6747.5,6846.0,2025-09-04,6860.0,22656,6733.0
6758.5,6778.5,2025-09-05,6825.0,15273,6711.5
6724.5,6759.0,2025-09-08,6810.0,17441,6710.0
6691.5,6766.0,2025-09-09,6771.5,20858,6660.0
6760.5,6699.5,2025-09-10,6824.5,21009,6699.5
6860.5,6786.0,2025-09-11,6990.0,80946,6771.0
6877.0,6920.0,2025-09-12,6980.0,51996,6821.5
6892.0,6900.0,2025-09-15,6919.5,19747,6861.5
7039.0,6906.0,2025-09-16,7105.0,61098,6875.5
7041.5,7040.0,2025-09-17,7167.5,40710,7003.5
7502.5,7074.5,2025-09-18,7545.5,704675,7021.0
7333.5,7500.0,2025-09-19,7500.0,120569,7277.5
7281.0,7333.5,2025-09-22,7486.0,128466,7202.0
8138.0,7388.0,2025-09-23,8238.0,1728371,7281.5
8863.5,8250.0,2025-09-24,9099.5,3639650,8201.0
8372.0,8730.0,2025-09-25,8775.0,843057,8325.0
8666.0,8360.0,2025-09-26,8916.0,2126796,8173.0
8843.0,8830.5,2025-09-29,9128.0,1160000,8780.0
10330.5,8903.5,2025-09-30,10611.5,5439296,8581.5
10580.0,10660.0,2025-10-01,10950.0,2836448,10311.0
10002.0,10600.0,2025-10-03,11847.0,5205998,9801.0
9947.0,10203.0,2025-10-06,10724.0,1929567,9781.0
9205.0,10100.0,2025-10-07,10146.0,2067088,9123.0
9246.0,9289.0,2025-10-08,9640.0,1804822,9141.0
9020.0,9399.0,2025-10-09,9443.0,1055022,8920.0
9295.0,9030.0,2025-10-10,9448.0,1824207,8880.0
9922.0,9300.0,2025-10-13,10030.0,2669150,9162.0
1035.0,1042.0,2025-10-14,1082.0,11153600,1007.0
941.0,1010.0,2025-10-15,1012.0,6340338,931.0
906.0,945.0,2025-10-16,955.0,3509452,901.0
889.0,924.0,2025-10-17,926.0,2288047,885.0
805.0,895.0,2025-10-20,898.0,6277495,799.0
875.0,814.0,2025-10-21,885.0,8882025,814.0
827.0,892.0,2025-10-23,898.0,9005470,822.0
839.0,836.0,2025-10-24,849.0,4032263,821.0
837.0,845.0,2025-10-27,849.0,3315230,818.0
821.0,840.0,2025-10-28,841.0,1152682,814.0
812.0,825.0,2025-10-29,825.0,1238639,805.0
802.0,813.0,2025-10-30,818.0,854469,799.0
799.0,802.0,2025-10-31,810.0,826411,795.0
798.7,798.0,2025-11-03,814.85,926013,792.5
786.15,798.7,2025-11-04,799.0,882635,780.5
766.25,791.6,2025-11-06,792.05,881224,760.85
781.25,766.0,2025-11-07,789.0,1680656,750.25
781.6,785.15,2025-11-10,792.3,576282,773.0
778.7,779.7,2025-11-11,782.0,427302,768.6
776.0,774.0,2025-11-12,791.4,727295,772.7
777.3,776.0,2025-11-13,804.75,797890,774.2
779.2,777.3,2025-11-14,782.0,364621,772.15
775.25,779.2,2025-11-17,783.5,339618,772.4
767.5,775.25,2025-11-18,775.25,432199,761.05
762.35,762.0,2025-11-19,772.95,371769,756.0
759.05,764.9,2025-11-20,766.85,210518,757.6
750.85,757.6,2025-11-21,762.0,268659,750.0
736.65,750.85,2025-11-24,753.1,508687,731.9
726.55,736.7,2025-11-25,739.85,404057,724.0
766.6,746.8,2025-11-26,795.0,9297941,731.95
