close,open,date,high,volume,low
407.9,411.0,2025-07-18,414.15,4614946,406.15
401.85,404.0,2025-07-21,404.0,7045744,395.0
399.15,403.75,2025-07-22,403.9,3980682,398.5
402.5,400.1,2025-07-23,405.0,3778869,399.65
400.7,402.3,2025-07-24,403.95,4023200,398.7
395.35,399.8,2025-07-25,401.25,5831294,394.3
399.2,394.1,2025-07-28,403.8,5758606,393.5
399.85,397.0,2025-07-29,401.6,5038609,396.0
401.35,401.5,2025-07-30,403.75,5468844,397.7
397.75,396.7,2025-07-31,400.5,5285016,396.1
389.3,395.1,2025-08-01,398.15,6240934,388.2
387.1,390.0,2025-08-04,391.65,13251686,376.25
385.55,388.0,2025-08-05,390.5,6366590,382.7
385.55,385.55,2025-08-06,387.0,6114204,381.65
385.55,383.0,2025-08-07,386.75,5333971,379.0
378.8,385.55,2025-08-08,387.1,3495353,376.0
384.3,380.0,2025-08-11,385.9,3328976,377.5
384.45,384.1,2025-08-12,388.95,2575426,383.5
387.2,385.5,2025-08-13,388.95,3757839,384.4
385.3,387.2,2025-08-14,388.6,2662149,383.15
387.3,389.0,2025-08-18,390.0,3712118,385.3
389.15,387.35,2025-08-19,389.65,2047149,386.5
390.55,388.95,2025-08-20,392.45,3045301,388.05
388.05,390.1,2025-08-21,392.3,2551655,386.8
385.6,387.0,2025-08-22,388.7,3042678,384.7
383.25,386.05,2025-08-25,388.4,4216691,382.4
377.75,382.15,2025-08-26,383.6,5561286,376.6
371.1,377.75,2025-08-28,378.5,5704659,370.25
374.15,371.1,2025-08-29,375.0,5793121,368.5
380.55,374.15,2025-09-01,381.0,2169911,374.15
386.05,380.9,2025-09-02,388.4,3362410,380.0
389.15,386.05,2025-09-03,389.7,2628692,385.7
382.6,390.05,2025-09-04,392.0,4114491,381.75
385.8,382.6,2025-09-05,386.5,3358057,380.1
383.25,385.8,2025-09-08,387.8,2978303,382.6
384.65,383.5,2025-09-09,385.65,3129390,381.15
386.5,386.8,2025-09-10,390.95,4022433,386.05
388.1,386.45,2025-09-11,388.7,3078027,385.5
386.25,388.2,2025-09-12,389.8,3626792,384.0
388.0,386.0,2025-09-15,390.95,3837268,385.5
396.05,388.0,2025-09-16,399.8,10102211,388.0
394.65,397.25,2025-09-17,397.8,4229347,393.55
393.1,395.05,2025-09-18,397.0,3956999,390.1
396.3,393.25,2025-09-19,397.5,5457632,393.15
395.3,396.0,2025-09-22,399.9,4424464,394.0
395.5,396.5,2025-09-23,398.2,2963511,394.25
390.3,394.5,2025-09-24,396.4,3121538,389.2
386.0,390.3,2025-09-25,392.4,3091484,385.2
383.8,386.0,2025-09-26,387.0,3519702,382.2
388.05,384.25,2025-09-29,389.45,3592071,383.25
388.65,388.0,2025-09-30,392.05,3229139,386.1
391.15,388.65,2025-10-01,392.8,2705427,388.6
394.9,392.0,2025-10-03,395.5,4157330,390.0
395.55,394.9,2025-10-06,396.4,4190489,389.3
392.5,395.5,2025-10-07,397.5,5544502,391.25
385.45,391.5,2025-10-08,393.4,5286159,384.25
388.2,386.8,2025-10-09,389.65,5139999,381.5
390.1,396.0,2025-10-10,396.8,7725390,389.6
391.15,388.0,2025-10-13,392.05,4861965,385.25
391.55,391.15,2025-10-14,393.1,4978714,387.7
396.5,391.55,2025-10-15,397.3,4091897,391.3
399.0,397.0,2025-10-16,402.8,5611314,396.15
397.8,399.0,2025-10-17,400.5,4998891,394.55
399.8,398.3,2025-10-20,401.0,4130123,396.65
398.8,400.0,2025-10-21,401.2,712785,397.55
397.65,398.85,2025-10-23,403.85,5231732,396.15
396.85,397.65,2025-10-24,399.2,5032576,394.0
400.25,396.9,2025-10-27,401.75,2799280,395.65
398.65,400.25,2025-10-28,401.85,3949368,396.1
410.7,399.0,2025-10-29,412.4,10944400,398.7
409.8,411.05,2025-10-30,413.25,3782450,408.3
404.9,409.6,2025-10-31,409.9,5071291,404.5
408.6,403.85,2025-11-03,409.5,4166052,401.25
400.6,407.5,2025-11-04,408.0,6132035,398.55
391.75,400.7,2025-11-06,402.3,5024909,390.25
393.2,390.95,2025-11-07,394.4,4676601,386.0
395.85,393.2,2025-11-10,397.9,2906630,392.35
395.6,395.8,2025-11-11,396.4,3826554,390.05
388.65,390.0,2025-11-12,395.9,7856248,387.5
388.8,389.4,2025-11-13,392.7,5052456,385.0
388.4,388.8,2025-11-14,390.0,5263918,385.15
392.75,388.5,2025-11-17,393.4,6120004,388.5
386.25,394.0,2025-11-18,394.0,4583330,385.5
389.1,386.95,2025-11-19,389.75,3747191,384.2
388.1,389.25,2025-11-20,392.0,3477240,387.0
387.0,388.05,2025-11-21,390.2,4036922,385.7
382.55,390.0,2025-11-24,391.5,5819567,381.2
380.0,383.0,2025-11-25,383.65,4238096,379.0
391.5,380.5,2025-11-26,392.0,4917525,380.3
392.05,392.4,2025-11-27,399.95,7412732,391.5
390.1,392.2,2025-11-28,393.95,3760769,389.4
389.75,390.65,2025-12-01,393.0,3420680,386.7
388.45,387.1,2025-12-02,389.15,3302460,385.9
383.65,387.2,2025-12-03,389.1,3885600,382.3
384.45,383.6,2025-12-04,386.85,3786100,382.0
384.5,385.0,2025-12-05,386.0,5332479,380.55
374.15,383.2,2025-12-08,385.25,7008862,372.3
376.25,373.5,2025-12-09,378.35,2822828,369.8
379.85,376.75,2025-12-10,382.4,4914788,376.5
380.15,379.85,2025-12-11,382.25,3985013,376.2
381.95,382.1,2025-12-12,383.6,6778054,379.8
381.65,380.0,2025-12-15,382.4,3359948,378.0
379.85,381.65,2025-12-16,381.9,2682924,378.2
378.55,379.85,2025-12-17,383.3,2168123,377.3
374.95,377.5,2025-12-18,377.65,3323975,373.0
380.55,375.05,2025-12-19,381.45,3882916,373.5
380.8,381.0,2025-12-22,382.7,3280837,380.0
382.2,380.8,2025-12-23,383.5,2330687,380.5
379.7,382.2,2025-12-24,383.7,5215726,379.0
379.55,378.9,2025-12-26,381.9,2459099,378.1
376.2,379.0,2025-12-29,380.3,2379612,375.15
374.35,376.05,2025-12-30,376.9,1675136,372.7
379.6,375.0,2025-12-31,380.75,2075846,374.8
381.85,380.0,2026-01-01,382.25,1798707,379.0
393.1,381.85,2026-01-02,393.65,13045325,381.25
388.85,392.5,2026-01-05,393.0,3966735,387.3
386.5,388.85,2026-01-06,390.45,3689482,384.75
380.75,386.6,2026-01-07,387.9,4136188,379.0
374.2,380.15,2026-01-08,381.85,3791372,373.05
364.8,373.0,2026-01-09,374.0,5875179,362.95
370.6,364.8,2026-01-12,371.35,5589564,360.1
