close,open,date,high,volume,low
157.94,161.0,2025-07-31,162.13,26213891,156.56
153.01,157.93,2025-08-01,157.93,23927359,152.51
159.56,153.5,2025-08-04,159.92,30064719,153.5
159.62,159.56,2025-08-05,160.14,14441034,158.28
158.66,159.62,2025-08-06,159.8,13438851,157.8
159.67,157.15,2025-08-07,160.0,23159540,156.26
157.95,159.5,2025-08-08,159.95,11951173,157.01
158.52,157.95,2025-08-11,160.0,14325736,157.15
160.16,158.52,2025-08-12,161.65,20056598,158.5
160.18,160.96,2025-08-13,162.4,18079396,159.9
155.3,160.02,2025-08-14,160.6,47256126,154.83
157.96,158.0,2025-08-18,159.0,61022494,156.0
159.23,158.5,2025-08-19,159.46,21224239,156.76
161.92,158.2,2025-08-20,162.76,28520245,158.03
161.51,161.92,2025-08-21,162.54,17282594,161.19
158.55,161.25,2025-08-22,161.28,16063984,158.1
159.63,159.2,2025-08-25,160.33,16376542,158.64
155.03,159.16,2025-08-26,159.16,19621100,154.64
153.63,155.78,2025-08-28,155.87,22269875,153.16
154.48,154.5,2025-08-29,155.1,16971859,153.05
156.17,154.48,2025-09-01,156.36,10798622,153.7
158.39,156.17,2025-09-02,159.07,21202113,155.5
167.85,158.4,2025-09-03,168.0,82352014,158.4
166.81,169.0,2025-09-04,169.3,26316842,166.62
167.68,167.0,2025-09-05,168.0,16798170,165.94
168.82,170.0,2025-09-08,172.5,36402317,168.46
169.15,169.3,2025-09-09,169.72,14028910,167.99
169.43,169.19,2025-09-10,170.73,13128306,168.75
169.41,169.35,2025-09-11,170.9,13829526,168.46
169.78,169.6,2025-09-12,171.0,12119036,168.63
169.23,169.77,2025-09-15,170.2,10611401,168.63
172.02,169.39,2025-09-16,172.27,26629438,169.02
171.36,172.5,2025-09-17,172.9,21381306,169.35
172.03,171.46,2025-09-18,172.2,16413388,169.81
171.48,172.1,2025-09-19,172.67,25406461,170.6
171.39,170.8,2025-09-22,172.21,20970704,170.51
173.29,171.45,2025-09-23,173.81,24533561,171.2
172.66,173.16,2025-09-24,174.44,20168891,172.38
172.38,172.9,2025-09-25,173.85,17026549,171.86
167.4,172.22,2025-09-26,173.37,20157657,167.2
168.98,167.6,2025-09-29,170.28,16832342,167.56
168.77,169.5,2025-09-30,170.15,24553596,168.41
167.51,169.0,2025-10-01,169.74,17542776,166.13
173.21,168.12,2025-10-03,174.74,55172705,168.12
170.06,173.3,2025-10-06,173.48,21474004,169.3
171.43,170.4,2025-10-07,172.2,19189843,170.4
171.94,172.0,2025-10-08,173.63,22662699,170.06
176.42,172.79,2025-10-09,177.82,68504717,172.78
173.86,176.0,2025-10-10,176.14,18085975,172.9
173.03,173.0,2025-10-13,173.8,19386219,170.91
170.51,174.91,2025-10-14,176.45,22082970,169.25
173.24,170.83,2025-10-15,174.0,15031989,170.11
174.0,173.0,2025-10-16,174.49,12205250,172.22
172.22,173.6,2025-10-17,174.31,21659007,170.99
171.95,173.3,2025-10-20,173.3,18049579,170.82
