close,open,date,high,volume,low
668.2,665.1,2025-08-07,671.4,1124636,652.5
659.2,668.5,2025-08-08,671.0,591462,656.0
660.1,659.2,2025-08-11,662.2,489217,653.3
659.2,664.0,2025-08-12,669.8,671972,657.2
666.75,662.0,2025-08-13,669.7,555429,659.8
663.35,668.4,2025-08-14,672.65,467036,662.0
671.75,671.0,2025-08-18,675.7,507010,666.35
682.75,671.95,2025-08-19,684.0,618239,670.05
689.0,682.7,2025-08-20,694.0,655106,680.25
686.55,692.2,2025-08-21,694.55,465186,685.2
683.6,686.95,2025-08-22,689.1,291916,682.3
685.15,690.0,2025-08-25,693.85,583277,684.0
679.15,683.75,2025-08-26,687.5,664263,676.35
662.15,677.0,2025-08-28,679.15,715484,659.2
657.25,664.95,2025-08-29,668.0,432250,655.0
677.15,657.25,2025-09-01,679.0,810099,652.0
681.1,677.15,2025-09-02,690.0,625279,674.0
684.8,684.6,2025-09-03,686.8,408618,677.95
676.05,689.5,2025-09-04,690.95,376569,674.3
672.1,676.2,2025-09-05,680.6,582676,666.4
678.2,674.05,2025-09-08,684.0,527291,672.8
679.55,680.1,2025-09-09,689.1,598002,678.25
704.85,683.8,2025-09-10,711.9,2612862,682.05
702.1,709.0,2025-09-11,709.0,902219,698.0
702.1,703.0,2025-09-12,707.3,705641,700.0
711.45,710.15,2025-09-15,720.75,2115248,707.75
711.2,711.95,2025-09-16,715.0,866794,706.0
714.0,714.5,2025-09-17,719.75,956224,711.0
717.4,719.0,2025-09-18,724.2,1249512,713.3
724.4,717.4,2025-09-19,725.75,2262078,713.45
702.25,710.0,2025-09-22,713.9,1560556,700.0
697.8,702.25,2025-09-23,706.7,743334,695.8
684.55,700.0,2025-09-24,700.95,808907,682.35
680.15,684.0,2025-09-25,688.65,632219,678.0
667.3,680.1,2025-09-26,681.0,704757,665.1
676.2,670.0,2025-09-29,679.75,749442,666.8
669.5,676.9,2025-09-30,680.7,660364,665.0
690.4,670.0,2025-10-01,692.35,980727,667.5
707.05,693.0,2025-10-03,709.0,1311909,686.15
710.85,708.0,2025-10-06,714.9,999799,703.6
712.95,711.0,2025-10-07,718.5,1047843,709.05
708.55,710.8,2025-10-08,718.95,665696,706.15
717.6,708.0,2025-10-09,718.95,838331,708.0
714.35,719.0,2025-10-10,722.65,562514,713.0
700.7,709.2,2025-10-13,712.5,590082,699.35
688.0,701.5,2025-10-14,703.8,734055,687.1
695.3,687.5,2025-10-15,698.35,573650,686.2
