close,open,date,high,volume,low
1409.9,1402.5,2025-07-16,1433.3,289054,1400.0
1424.8,1409.9,2025-07-17,1427.1,128436,1395.6
1419.2,1424.8,2025-07-18,1427.1,40834,1401.1
1387.1,1402.0,2025-07-21,1423.9,50271,1375.9
1427.6,1400.0,2025-07-22,1453.3,154968,1400.0
1443.3,1434.0,2025-07-23,1458.0,93537,1413.4
1432.7,1437.0,2025-07-24,1454.4,45628,1430.0
1370.8,1418.5,2025-07-25,1430.0,77687,1360.5
1369.0,1360.0,2025-07-28,1394.9,47082,1355.3
1379.6,1372.0,2025-07-29,1394.0,178667,1355.2
1352.6,1400.0,2025-07-30,1400.0,42891,1343.3
1354.6,1330.0,2025-07-31,1379.0,41596,1330.0
1415.4,1350.0,2025-08-01,1430.0,229757,1347.8
1397.9,1430.0,2025-08-04,1443.0,173993,1381.9
1381.6,1360.0,2025-08-05,1395.4,306051,1321.6
1372.2,1405.7,2025-08-06,1407.6,83407,1361.5
1364.1,1370.0,2025-08-07,1387.2,75772,1353.7
1361.7,1370.9,2025-08-08,1383.0,74623,1354.0
1394.8,1350.0,2025-08-11,1412.4,113555,1340.2
1445.4,1398.7,2025-08-12,1459.0,178324,1395.7
1446.3,1452.2,2025-08-13,1478.9,133878,1430.0
1444.0,1439.0,2025-08-14,1483.0,127117,1434.3
1464.8,1441.0,2025-08-18,1479.9,82750,1440.1
1455.2,1465.0,2025-08-19,1482.2,63872,1439.0
1468.0,1469.8,2025-08-20,1475.0,57114,1449.2
1455.7,1480.0,2025-08-21,1481.6,44325,1453.3
1442.6,1465.9,2025-08-22,1468.0,74330,1413.7
1417.3,1450.0,2025-08-25,1460.5,70826,1408.0
1379.6,1410.0,2025-08-26,1411.9,223521,1350.0
1357.9,1389.9,2025-08-28,1392.1,41544,1352.0
1307.3,1360.3,2025-08-29,1373.9,337499,1301.4
1361.0,1307.3,2025-09-01,1366.9,80321,1296.5
1382.5,1385.0,2025-09-02,1412.8,103876,1353.0
1591.0,1560.0,2025-09-03,1608.0,5047440,1504.7
1524.6,1615.0,2025-09-04,1619.8,601218,1516.8
1542.0,1515.0,2025-09-05,1572.4,280318,1515.0
1578.3,1549.8,2025-09-08,1687.0,2450937,1549.8
1642.6,1590.1,2025-09-09,1688.0,1507875,1578.4
1609.0,1634.1,2025-09-10,1638.0,252800,1595.3
1556.4,1609.0,2025-09-11,1616.1,174651,1551.1
1554.7,1558.9,2025-09-12,1580.0,156670,1547.0
1590.1,1556.2,2025-09-15,1603.7,169631,1542.7
1595.1,1597.3,2025-09-16,1602.8,102452,1569.8
1597.5,1587.0,2025-09-17,1623.0,137499,1571.4
1600.7,1602.0,2025-09-18,1618.0,63673,1590.0
1631.2,1610.4,2025-09-19,1700.0,1517252,1564.2
1638.2,1638.9,2025-09-22,1652.4,123692,1615.0
1599.0,1630.0,2025-09-23,1634.1,74220,1587.7
1585.3,1596.0,2025-09-24,1598.9,34526,1573.8
1543.5,1594.0,2025-09-25,1603.4,64194,1529.1
1494.7,1540.0,2025-09-26,1545.6,87466,1488.0
1476.6,1509.7,2025-09-29,1529.1,78278,1467.0
1525.1,1476.6,2025-09-30,1560.0,161168,1472.8
1522.3,1529.9,2025-10-01,1537.3,55028,1501.1
1600.5,1545.0,2025-10-03,1610.0,162637,1530.0
1595.2,1610.0,2025-10-06,1610.0,37797,1581.0
1532.5,1599.0,2025-10-07,1599.0,62789,1526.6
1544.7,1544.8,2025-10-08,1555.1,127336,1532.0
1533.0,1572.5,2025-10-09,1572.5,38767,1527.0
1561.6,1540.0,2025-10-10,1566.5,51650,1526.1
1536.6,1561.6,2025-10-13,1573.0,51408,1529.0
1497.7,1536.6,2025-10-14,1561.0,133838,1483.5
1550.2,1500.9,2025-10-15,1560.0,75048,1500.9
1568.7,1569.0,2025-10-16,1592.0,76346,1548.2
1577.7,1552.5,2025-10-17,1584.0,85252,1549.9
1587.1,1590.0,2025-10-20,1605.2,88085,1574.9
1574.2,1582.0,2025-10-21,1597.9,5216,1561.0
1594.6,1573.2,2025-10-23,1630.1,84960,1561.2
1598.0,1602.5,2025-10-24,1619.8,61724,1576.5
1614.3,1605.9,2025-10-27,1623.9,133639,1590.0
1580.8,1620.0,2025-10-28,1620.0,49548,1564.3
1540.9,1578.6,2025-10-29,1578.6,69720,1526.1
1508.8,1543.0,2025-10-30,1565.0,72841,1501.0
1483.2,1539.0,2025-10-31,1539.0,42423,1472.2
1496.6,1471.8,2025-11-03,1506.0,74866,1467.4
1589.0,1560.0,2025-11-04,1669.4,5084237,1554.0
1578.6,1589.0,2025-11-06,1607.6,221745,1545.0
1600.0,1584.4,2025-11-07,1606.0,151287,1535.8
1618.7,1611.5,2025-11-10,1647.7,180458,1579.2
1590.6,1594.0,2025-11-11,1600.0,53015,1571.0
1604.3,1614.0,2025-11-12,1618.4,78047,1587.8
1563.0,1609.9,2025-11-13,1612.3,72512,1543.8
