close,open,date,high,volume,low
1463.2,1451.3,2025-07-30,1466.1,1299448,1448.6
1463.7,1450.0,2025-07-31,1473.3,1382994,1447.2
1438.8,1456.6,2025-08-01,1459.8,1620011,1432.4
1475.0,1435.0,2025-08-04,1477.0,1581473,1419.1
1485.4,1470.1,2025-08-05,1487.8,2929677,1461.2
1459.0,1480.1,2025-08-06,1481.5,1039973,1453.3
1482.0,1455.0,2025-08-07,1492.0,1587489,1450.0
1480.4,1473.8,2025-08-08,1496.0,1371665,1473.8
1481.1,1480.4,2025-08-11,1522.7,888886,1469.7
1509.3,1482.6,2025-08-12,1517.4,2532937,1481.0
1506.3,1515.0,2025-08-13,1518.7,1815196,1499.3
1486.7,1509.9,2025-08-14,1529.9,1715172,1485.0
1471.2,1500.0,2025-08-18,1500.0,1249405,1468.1
1496.7,1472.0,2025-08-19,1499.6,1807647,1464.4
1524.1,1488.0,2025-08-20,1532.0,2329633,1487.4
1521.3,1528.0,2025-08-21,1531.7,1251760,1509.1
1505.0,1529.6,2025-08-22,1529.6,969599,1499.0
1527.1,1516.0,2025-08-25,1539.7,1386218,1505.0
1502.2,1521.0,2025-08-26,1526.5,1510822,1498.9
1495.6,1500.0,2025-08-28,1509.2,1771867,1482.6
1481.4,1498.8,2025-08-29,1504.7,2279980,1478.7
1505.5,1485.0,2025-09-01,1509.9,1241192,1485.0
1512.8,1502.0,2025-09-02,1519.9,1137022,1498.6
1508.2,1512.8,2025-09-03,1516.1,1431929,1497.3
1500.4,1506.1,2025-09-04,1510.8,1038934,1495.3
1477.9,1499.0,2025-09-05,1507.4,1875965,1462.1
1460.7,1482.4,2025-09-08,1487.9,1308412,1459.0
1498.2,1466.6,2025-09-09,1500.0,1749566,1465.7
1526.0,1503.0,2025-09-10,1536.0,1660976,1501.8
1521.2,1526.0,2025-09-11,1531.5,896908,1505.7
1525.5,1529.0,2025-09-12,1530.0,770698,1512.5
1519.8,1527.9,2025-09-15,1527.9,825515,1505.6
1531.5,1522.9,2025-09-16,1534.0,1011289,1510.0
1547.2,1538.3,2025-09-17,1549.4,1946337,1525.6
1550.7,1556.0,2025-09-18,1566.9,2246114,1541.8
1553.8,1551.0,2025-09-19,1557.4,2621234,1541.6
1505.4,1499.0,2025-09-22,1510.0,5723501,1453.3
1471.9,1511.7,2025-09-23,1511.7,1380054,1468.2
1452.4,1470.0,2025-09-24,1470.0,2122106,1439.0
1444.3,1452.0,2025-09-25,1460.2,1581629,1437.0
1407.7,1439.9,2025-09-26,1441.5,1851067,1403.5
1410.7,1415.0,2025-09-29,1425.0,2708118,1391.9
1400.3,1408.0,2025-09-30,1426.7,2225340,1392.5
1416.0,1401.0,2025-10-01,1423.6,1683484,1393.4
1400.6,1423.0,2025-10-03,1423.8,2568702,1397.3
1439.3,1404.9,2025-10-06,1442.0,3036770,1397.1
1438.9,1440.0,2025-10-07,1445.8,1105550,1426.6
1458.2,1432.1,2025-10-08,1472.8,1154614,1432.1
1466.6,1458.2,2025-10-09,1475.4,1354036,1452.0
1457.2,1477.0,2025-10-10,1477.7,937053,1450.1
1450.9,1455.0,2025-10-13,1461.5,1229414,1439.2
1468.0,1460.0,2025-10-14,1479.8,1430713,1457.9
1459.0,1470.0,2025-10-15,1479.0,2810322,1440.4
1463.8,1466.0,2025-10-16,1466.7,1619438,1447.9
1447.6,1465.0,2025-10-17,1465.0,1433539,1440.1
1444.4,1440.0,2025-10-20,1455.0,1800507,1439.0
1448.7,1450.0,2025-10-21,1457.3,114229,1442.0
1463.4,1465.0,2025-10-23,1487.5,3244860,1460.9
1453.7,1465.4,2025-10-24,1468.0,969361,1450.0
1462.8,1457.9,2025-10-27,1475.6,1036807,1457.0
1447.4,1469.0,2025-10-28,1469.6,1432913,1435.3
1452.2,1453.0,2025-10-29,1461.2,1311858,1442.6
1433.8,1453.2,2025-10-30,1458.1,1797868,1432.5
1424.4,1433.8,2025-10-31,1437.5,1757591,1420.3
1419.8,1419.1,2025-11-03,1424.0,2136091,1414.0
1409.2,1419.9,2025-11-04,1425.3,1191278,1405.6
1413.6,1412.0,2025-11-06,1420.9,2502412,1410.0
1386.7,1400.1,2025-11-07,1409.8,1209479,1385.0
1397.8,1386.7,2025-11-10,1404.3,2883323,1383.6
1408.0,1405.0,2025-11-11,1410.4,2488036,1392.2
1456.1,1415.0,2025-11-12,1460.2,2958869,1414.0
1451.4,1463.0,2025-11-13,1463.8,1178211,1442.3
1439.2,1444.2,2025-11-14,1445.8,1220596,1422.9
1452.8,1440.0,2025-11-17,1455.9,999416,1438.3
1422.0,1444.0,2025-11-18,1451.1,1553597,1419.5
1433.9,1427.5,2025-11-19,1443.5,5777445,1417.8
1456.0,1445.3,2025-11-20,1464.7,2818268,1430.7
1461.5,1455.0,2025-11-21,1469.0,2615232,1440.0
1494.7,1470.0,2025-11-24,1513.8,6808658,1461.8
1494.7,1501.2,2025-11-25,1502.0,1675981,1483.5
1520.4,1498.0,2025-11-26,1522.7,1592891,1496.2
1509.8,1523.0,2025-11-27,1532.0,1426194,1505.0
1517.3,1515.8,2025-11-28,1525.3,1247146,1503.7
1529.5,1515.3,2025-12-01,1532.0,1527101,1509.7
1536.7,1523.1,2025-12-02,1539.0,1754978,1520.0
1541.7,1537.9,2025-12-03,1550.8,2142830,1530.3
1562.3,1545.1,2025-12-04,1577.9,2422663,1541.1
1570.8,1567.1,2025-12-05,1583.0,2223397,1556.6
1591.8,1581.0,2025-12-08,1595.7,2833786,1572.7
1561.6,1579.1,2025-12-09,1586.0,1533609,1559.0
1550.8,1563.0,2025-12-10,1572.9,735586,1548.2
1568.2,1550.0,2025-12-11,1572.0,1248064,1541.0
1578.4,1575.0,2025-12-12,1580.5,754479,1558.7
1575.4,1571.0,2025-12-15,1588.7,784781,1567.7
1578.2,1570.0,2025-12-16,1580.3,999338,1564.7
1579.4,1578.2,2025-12-17,1586.2,582251,1570.3
1605.6,1581.0,2025-12-18,1608.8,1748780,1574.6
1612.5,1611.0,2025-12-19,1624.0,1802793,1595.0
1646.7,1615.9,2025-12-22,1649.8,1466208,1612.8
1633.0,1646.5,2025-12-23,1646.5,1161166,1628.8
1631.5,1630.0,2025-12-24,1636.6,955523,1615.3
1612.3,1630.5,2025-12-26,1633.7,461192,1608.0
1612.4,1614.0,2025-12-29,1629.8,891096,1610.1
1604.6,1614.9,2025-12-30,1616.2,1973547,1599.0
1590.9,1614.8,2025-12-31,1614.8,729913,1588.3
1607.7,1591.0,2026-01-01,1613.5,565878,1587.2
1612.0,1611.0,2026-01-02,1619.1,637080,1601.9
1596.9,1601.9,2026-01-05,1610.1,907810,1576.1
1601.8,1603.9,2026-01-06,1625.4,570335,1596.1
1625.2,1599.0,2026-01-07,1633.9,1309781,1595.8
1577.9,1625.0,2026-01-08,1632.8,1657201,1574.5
1582.2,1583.0,2026-01-09,1606.4,1410053,1578.1
1586.1,1572.1,2026-01-12,1594.0,652320,1562.8
1614.8,1582.0,2026-01-13,1622.9,2573438,1582.0
1588.5,1612.9,2026-01-14,1613.0,1570385,1583.1
1670.5,1600.0,2026-01-16,1680.7,3733401,1600.0
1718.3,1690.0,2026-01-19,1736.0,10621562,1673.5
1678.5,1715.0,2026-01-20,1716.7,1825981,1675.0
1686.7,1678.5,2026-01-21,1694.3,1766163,1660.1
1687.4,1695.0,2026-01-22,1712.6,3123567,1682.7
1701.1,1699.0,2026-01-23,1709.7,1831521,1689.2
1745.1,1720.0,2026-01-27,1749.0,2932973,1700.0
1762.9,1748.0,2026-01-28,1765.7,2534826,1739.9
1768.4,1751.1,2026-01-29,1776.6,1893136,1736.1
1743.1,1757.1,2026-01-30,1760.0,1672787,1731.0
1724.0,1713.7,2026-02-02,1729.6,1030696,1709.2
1716.5,1845.0,2026-02-03,1854.0,2711705,1712.7
1645.3,1651.0,2026-02-04,1656.0,4823180,1598.0
1646.2,1630.1,2026-02-05,1659.1,1720981,1630.0
1619.9,1645.0,2026-02-06,1645.9,1988639,1600.0
1621.7,1625.0,2026-02-09,1636.0,933821,1613.6
1644.6,1625.0,2026-02-10,1658.5,1527966,1611.1
1634.4,1655.0,2026-02-11,1658.0,1521823,1625.0
1536.6,1605.0,2026-02-12,1611.0,5343729,1528.0
1534.4,1482.6,2026-02-13,1548.0,7058376,1464.4
1512.7,1526.0,2026-02-16,1541.9,1873472,1494.7
1523.8,1512.7,2026-02-17,1547.5,1781501,1506.0
1504.8,1524.6,2026-02-18,1528.6,1989222,1481.7
1479.3,1506.8,2026-02-19,1532.8,1108260,1472.3
1456.9,1465.0,2026-02-20,1477.3,1599813,1453.1
1440.9,1459.5,2026-02-23,1470.0,2660793,1430.0
1345.4,1420.0,2026-02-24,1423.2,7441035,1335.3
1361.8,1355.1,2026-02-25,1397.7,2683571,1351.4
1361.8,1366.4,2026-02-26,1396.6,1587449,1360.4
1357.8,1391.0,2026-02-27,1410.4,2601590,1354.0
1345.4,1335.0,2026-03-02,1362.8,1564363,1322.2
1351.2,1321.0,2026-03-04,1362.2,1820421,1321.0
1333.3,1358.0,2026-03-05,1366.7,1210010,1319.3
1331.7,1330.0,2026-03-06,1359.5,1033627,1326.6
1336.3,1305.0,2026-03-09,1340.4,1032250,1304.1
1336.6,1340.0,2026-03-10,1347.9,1069187,1316.7
