close,open,date,high,volume,low
587.2,584.0,2025-09-01,593.0,330761,582.55
585.8,590.0,2025-09-02,593.0,513531,583.0
612.4,590.0,2025-09-03,624.85,3094293,585.55
598.55,615.15,2025-09-04,618.0,465790,597.0
588.25,600.0,2025-09-05,600.3,453648,584.75
591.6,593.55,2025-09-08,599.7,265242,590.5
587.65,595.0,2025-09-09,595.0,333243,585.55
591.0,590.0,2025-09-10,596.6,380334,589.05
590.85,591.0,2025-09-11,596.8,292218,590.0
592.75,593.0,2025-09-12,605.6,570583,588.3
594.45,595.4,2025-09-15,607.0,514565,592.7
615.35,597.9,2025-09-16,626.2,2581273,596.3
619.05,619.95,2025-09-17,625.75,627813,613.1
615.35,621.25,2025-09-18,623.7,484047,613.0
610.95,616.9,2025-09-19,617.5,396139,607.95
599.85,606.0,2025-09-22,614.5,430703,598.2
596.6,600.0,2025-09-23,603.95,338648,591.7
589.15,598.0,2025-09-24,603.0,344528,587.5
582.85,594.8,2025-09-25,594.8,341371,581.2
588.8,584.45,2025-09-26,597.4,889236,572.0
593.85,614.8,2025-09-29,621.9,3557977,589.65
585.4,595.0,2025-09-30,595.6,411207,582.0
582.35,586.55,2025-10-01,589.25,418820,579.95
590.7,585.1,2025-10-03,593.0,386841,583.65
601.55,594.95,2025-10-06,609.7,1012167,591.8
592.5,600.0,2025-10-07,601.4,309018,591.4
588.7,592.5,2025-10-08,600.6,355780,587.5
594.95,594.95,2025-10-09,599.8,622659,586.0
600.3,595.0,2025-10-10,608.65,902667,594.0
593.1,597.75,2025-10-13,598.85,422146,590.75
585.05,595.0,2025-10-14,601.0,427829,583.05
585.4,587.0,2025-10-15,591.35,364874,583.7
591.15,590.0,2025-10-16,596.5,351095,587.5
589.7,592.0,2025-10-17,599.45,491128,586.85
539.7,560.05,2025-10-20,567.9,4507243,537.05
548.65,539.5,2025-10-21,554.0,599354,539.35
539.65,549.0,2025-10-23,552.0,872938,538.5
538.7,540.0,2025-10-24,542.35,584669,535.1
544.2,543.0,2025-10-27,549.85,800464,542.0
543.85,546.0,2025-10-28,546.25,425692,540.0
542.25,545.0,2025-10-29,545.25,312869,540.0
536.2,543.0,2025-10-30,545.65,472535,534.55
533.5,538.9,2025-10-31,540.5,359810,532.25
535.2,534.0,2025-11-03,543.6,568845,532.25
541.7,535.85,2025-11-04,558.2,1724868,535.85
529.5,541.7,2025-11-06,542.2,424848,527.0
522.3,530.0,2025-11-07,530.1,343683,520.3
505.95,522.4,2025-11-10,525.7,631647,504.2
506.5,508.95,2025-11-11,512.8,471100,501.0
549.15,507.0,2025-11-12,555.0,8419650,507.0
525.6,547.8,2025-11-13,547.8,1577180,522.45
521.15,525.75,2025-11-14,532.95,813600,517.0
521.0,523.25,2025-11-17,528.85,402153,520.0
514.4,521.0,2025-11-18,521.0,313654,511.7
511.6,514.7,2025-11-19,515.8,364132,507.35
509.6,513.0,2025-11-20,521.95,444853,507.5
503.15,511.0,2025-11-21,515.45,419761,501.75
484.0,503.25,2025-11-24,504.9,909276,480.4
476.7,484.0,2025-11-25,488.5,631697,474.45
481.45,480.0,2025-11-26,485.5,537318,475.85
503.8,483.95,2025-11-27,515.0,8201210,483.85
494.2,503.8,2025-11-28,503.8,599894,492.0
513.55,504.0,2025-12-01,523.0,5382197,503.8
522.0,513.95,2025-12-02,524.9,1086594,502.5
510.25,521.0,2025-12-03,521.0,719638,507.5
502.45,509.75,2025-12-04,509.75,442353,501.0
494.15,501.55,2025-12-05,502.4,428407,492.1
472.15,495.95,2025-12-08,496.75,636584,470.0
469.8,472.15,2025-12-09,475.95,922634,456.05
461.6,473.15,2025-12-10,482.0,793053,459.5
465.95,469.95,2025-12-11,473.45,1019853,462.9
479.35,474.5,2025-12-12,499.95,5813714,469.2
469.2,479.35,2025-12-15,479.6,956798,466.65
468.15,469.0,2025-12-16,481.15,1169316,464.75
452.45,470.0,2025-12-17,472.65,1133958,451.4
447.5,454.5,2025-12-18,455.9,967481,445.0
449.2,449.0,2025-12-19,451.0,1025154,440.0
453.25,455.5,2025-12-22,464.35,1160815,451.9
453.95,457.0,2025-12-23,459.0,731851,449.35
452.0,454.95,2025-12-24,455.05,403517,450.1
448.75,453.0,2025-12-26,453.0,367752,447.25
455.45,448.0,2025-12-29,465.0,1480921,445.2
451.45,453.15,2025-12-30,456.8,374321,448.95
449.65,453.0,2025-12-31,457.85,512711,448.5
452.1,452.6,2026-01-01,453.25,305992,450.0
453.25,452.1,2026-01-02,456.35,453292,448.8
449.55,454.4,2026-01-05,464.45,732308,448.3
445.25,451.0,2026-01-06,451.1,412529,444.05
449.1,446.4,2026-01-07,452.5,682445,441.8
441.7,450.0,2026-01-08,454.0,509146,440.2
417.15,443.0,2026-01-09,443.6,3460301,410.4
377.6,399.0,2026-01-12,403.45,20673487,364.25
375.5,381.4,2026-01-13,397.4,9724008,372.75
370.8,377.0,2026-01-14,379.3,2243266,369.0
364.85,370.0,2026-01-16,374.9,1564071,363.0
349.3,362.5,2026-01-19,363.05,1811269,347.0
328.0,348.0,2026-01-20,350.6,3082528,325.3
326.55,328.0,2026-01-21,338.0,2983146,321.25
323.1,330.0,2026-01-22,333.0,1658230,317.0
304.05,324.65,2026-01-23,324.8,1823137,300.0
296.15,304.15,2026-01-27,305.95,2486804,294.0
339.05,298.0,2026-01-28,344.0,33314967,298.0
325.8,341.0,2026-01-29,349.0,7533267,322.3
340.8,324.45,2026-01-30,353.45,7340224,317.35
328.25,331.0,2026-02-02,335.4,1530319,319.05
