close,open,date,high,volume,low
3000.6,2893.9,2025-08-11,3015.4,315016,2878.5
3021.7,2985.0,2025-08-12,3050.0,469315,2980.0
3057.2,3021.8,2025-08-13,3071.9,187828,3021.8
3063.6,3052.0,2025-08-14,3082.8,170555,3044.0
3051.2,3080.1,2025-08-18,3097.9,170097,3045.0
3152.4,3051.5,2025-08-19,3172.9,339925,3049.8
3180.0,3162.0,2025-08-20,3251.7,421986,3136.3
3097.4,3180.0,2025-08-21,3199.0,166487,3091.1
3072.1,3085.0,2025-08-22,3189.1,376900,3063.5
3060.0,3085.1,2025-08-25,3112.0,209973,3053.0
3028.4,3053.0,2025-08-26,3068.3,649177,3014.4
2943.4,3038.1,2025-08-28,3051.9,376659,2930.2
2961.6,2943.4,2025-08-29,2998.9,315651,2897.4
3140.9,2950.0,2025-09-01,3152.0,508869,2950.0
3047.5,3155.0,2025-09-02,3180.0,1041247,3042.6
3043.8,3060.0,2025-09-03,3070.0,331847,2991.2
2996.9,3080.2,2025-09-04,3085.5,205521,2989.1
2990.6,3019.0,2025-09-05,3049.0,270435,2946.1
3072.3,3002.0,2025-09-08,3095.0,776128,2960.6
3151.5,3079.4,2025-09-09,3169.0,951765,3079.3
3235.1,3177.0,2025-09-10,3255.0,501252,3166.1
3211.3,3235.1,2025-09-11,3249.9,264580,3190.0
3231.2,3233.0,2025-09-12,3260.0,283216,3198.6
3354.1,3245.0,2025-09-15,3374.4,698056,3240.0
3404.4,3380.0,2025-09-16,3419.9,518815,3358.1
3387.0,3400.0,2025-09-17,3414.3,196881,3363.0
3389.9,3400.0,2025-09-18,3403.7,153976,3358.6
3329.7,3386.9,2025-09-19,3399.9,376891,3313.5
3350.1,3329.7,2025-09-22,3381.8,213053,3301.0
3303.0,3369.0,2025-09-23,3394.5,179660,3294.0
3276.5,3303.0,2025-09-24,3331.9,139434,3266.3
3212.8,3284.8,2025-09-25,3287.0,262960,3195.0
3129.1,3195.0,2025-09-26,3210.9,200317,3110.0
3098.6,3136.1,2025-09-29,3156.4,142335,3087.6
3096.7,3125.0,2025-09-30,3138.7,251549,3080.0
3084.1,3110.8,2025-10-01,3125.4,151713,3057.6
