close,open,date,high,volume,low
3372.8,3380.2,2025-07-14,3420.0,217060,3351.1
3377.0,3371.0,2025-07-15,3419.8,157364,3360.0
3407.1,3361.0,2025-07-16,3437.6,117286,3360.0
3437.8,3413.9,2025-07-17,3448.0,55540,3382.0
3445.0,3449.9,2025-07-18,3467.1,61761,3417.6
3492.8,3403.7,2025-07-21,3510.0,94360,3396.0
3500.6,3522.5,2025-07-22,3522.5,134674,3461.9
3533.7,3509.9,2025-07-23,3575.0,280361,3504.5
3514.2,3560.7,2025-07-24,3560.7,218368,3466.1
3389.1,3498.0,2025-07-25,3498.0,93856,3363.9
3447.8,3370.0,2025-07-28,3467.1,141220,3370.0
3359.5,3449.0,2025-07-29,3449.0,53490,3335.5
3391.0,3386.4,2025-07-30,3417.4,35146,3359.1
3318.9,3360.5,2025-07-31,3383.3,118910,3302.0
3155.1,3297.0,2025-08-01,3297.0,77186,3141.1
3091.5,3083.5,2025-08-04,3123.9,163118,3000.0
2998.4,3100.0,2025-08-05,3100.0,112107,2990.0
2919.9,2980.0,2025-08-06,3008.4,179050,2890.7
2898.0,2860.1,2025-08-07,2915.6,126812,2847.9
2869.1,2910.0,2025-08-08,2947.9,46986,2854.1
2851.4,2869.1,2025-08-11,2871.9,39871,2836.0
2891.3,2851.5,2025-08-12,2911.9,59257,2835.0
2851.9,2919.5,2025-08-13,2919.5,54928,2844.6
2835.7,2838.6,2025-08-14,2900.9,64633,2832.0
2850.7,2850.0,2025-08-18,2873.0,41787,2831.2
2939.4,2854.0,2025-08-19,2964.8,100337,2836.1
2957.6,2945.0,2025-08-20,2971.0,155198,2930.6
2979.5,2960.0,2025-08-21,3024.0,132784,2942.6
3001.7,2980.0,2025-08-22,3036.9,74144,2980.0
3027.4,3032.6,2025-08-25,3110.0,150230,3000.0
2941.2,3010.0,2025-08-26,3015.0,49028,2911.0
2883.0,2940.0,2025-08-28,2950.1,23490,2856.5
2888.2,2882.6,2025-08-29,2918.1,46016,2843.1
2931.9,2923.0,2025-09-01,2945.0,36907,2868.6
2931.3,2932.6,2025-09-02,2954.7,272265,2880.0
2934.7,2930.6,2025-09-03,2953.7,129964,2907.0
2876.0,2942.6,2025-09-04,2942.6,147616,2870.0
2877.5,2876.0,2025-09-05,2905.0,95982,2843.0
2921.0,2878.0,2025-09-08,2945.0,66467,2853.1
2935.4,2921.0,2025-09-09,2944.5,48009,2901.0
3023.8,2935.4,2025-09-10,3030.0,318121,2935.3
3034.3,3025.0,2025-09-11,3047.0,47652,3000.2
3025.9,3041.0,2025-09-12,3060.0,23822,3010.0
3026.5,3049.4,2025-09-15,3049.6,12756,3015.6
3049.3,3045.6,2025-09-16,3065.0,15992,3029.7
3053.5,3049.3,2025-09-17,3060.0,59324,3023.5
3050.7,3060.0,2025-09-18,3066.8,56506,3017.0
3042.3,3060.0,2025-09-19,3060.0,40360,3025.0
3049.6,3057.3,2025-09-22,3076.0,71087,3023.0
3046.1,3054.0,2025-09-23,3066.5,58511,3016.6
3020.0,3032.9,2025-09-24,3039.0,28283,2991.2
3033.4,3008.6,2025-09-25,3049.9,55539,2969.4
2998.2,3012.6,2025-09-26,3032.2,70873,2952.1
2994.2,2984.6,2025-09-29,3007.3,80486,2937.2
3009.9,2985.0,2025-09-30,3015.0,27031,2976.3
3068.8,3001.9,2025-10-01,3087.1,38706,2981.9
3076.0,3068.8,2025-10-03,3091.6,26727,3020.6
3022.8,3052.6,2025-10-06,3072.2,19662,3010.0
3034.4,3042.6,2025-10-07,3042.6,40832,3010.0
2957.8,3028.6,2025-10-08,3031.8,28179,2945.1
2980.0,2948.6,2025-10-09,2990.0,12932,2938.6
2985.3,2989.0,2025-10-10,2998.3,17353,2955.3
2930.2,2955.0,2025-10-13,2987.9,123242,2909.0
2909.4,2930.2,2025-10-14,2956.0,63841,2885.5
2929.3,2932.0,2025-10-15,2975.0,375442,2890.0
