close,open,date,high,volume,low
3666.2,3700.0,2025-06-27,3709.1,601285,3659.5
3690.2,3666.2,2025-06-30,3698.5,921775,3652.0
3700.5,3699.0,2025-07-01,3726.5,947173,3667.0
3708.0,3705.0,2025-07-02,3721.9,583514,3689.0
3678.7,3702.0,2025-07-03,3712.9,528710,3672.2
3686.9,3666.0,2025-07-04,3690.1,629926,3645.1
3666.1,3675.5,2025-07-07,3696.0,829472,3647.9
3441.3,3581.8,2025-07-08,3581.8,3952270,3435.0
3432.1,3441.3,2025-07-09,3461.5,1868271,3420.6
3419.8,3432.1,2025-07-10,3445.0,496586,3414.0
3361.6,3408.0,2025-07-11,3422.2,856956,3357.0
3404.7,3372.0,2025-07-14,3410.0,755781,3344.0
3415.0,3418.0,2025-07-15,3422.0,686088,3387.7
3417.3,3417.0,2025-07-16,3422.2,669532,3388.5
3433.3,3418.4,2025-07-17,3448.0,559482,3416.5
3402.9,3444.0,2025-07-18,3444.0,293360,3392.0
3433.0,3391.0,2025-07-21,3439.1,561799,3365.2
3472.4,3450.0,2025-07-22,3490.0,1752275,3430.3
3471.4,3472.4,2025-07-23,3481.9,584590,3444.0
3484.4,3467.4,2025-07-24,3489.8,630718,3458.0
3462.8,3476.4,2025-07-25,3480.0,624410,3447.0
3393.0,3453.0,2025-07-28,3462.6,603916,3382.0
3379.2,3390.0,2025-07-29,3397.0,511042,3355.6
3376.5,3380.0,2025-07-30,3393.5,443735,3345.3
3347.3,3340.0,2025-07-31,3364.5,553157,3315.5
3316.0,3340.0,2025-08-01,3347.3,422977,3307.0
3356.3,3315.0,2025-08-04,3365.0,450434,3308.1
3418.2,3356.3,2025-08-05,3443.0,837335,3348.0
3417.7,3437.0,2025-08-06,3462.4,635456,3400.0
3415.7,3380.0,2025-08-07,3437.0,509599,3377.7
3460.2,3450.1,2025-08-08,3489.8,2184271,3403.1
3467.9,3473.0,2025-08-11,3487.3,563586,3402.8
3486.8,3467.9,2025-08-12,3534.0,929276,3460.1
3466.8,3486.8,2025-08-13,3494.9,360474,3463.2
3489.4,3476.5,2025-08-14,3505.8,597987,3464.1
3554.8,3496.0,2025-08-18,3574.8,1253006,3493.5
3568.1,3555.0,2025-08-19,3577.3,537433,3545.0
3595.0,3560.0,2025-08-20,3602.9,517031,3552.0
3616.3,3595.0,2025-08-21,3625.0,673486,3588.2
3621.0,3616.3,2025-08-22,3641.4,691835,3607.7
3651.4,3629.7,2025-08-25,3669.6,700503,3615.5
3594.0,3662.8,2025-08-26,3672.8,960778,3589.1
3637.7,3552.1,2025-08-28,3650.9,989246,3552.1
3628.8,3637.7,2025-08-29,3642.0,660956,3603.6
3618.6,3631.0,2025-09-01,3653.4,297533,3610.4
3620.6,3614.0,2025-09-02,3655.8,536300,3606.1
3690.6,3605.0,2025-09-03,3697.9,791874,3590.0
3691.1,3740.0,2025-09-04,3740.0,635811,3676.8
3665.3,3695.0,2025-09-05,3700.0,454120,3660.0
3658.0,3653.0,2025-09-08,3683.6,548987,3640.0
3630.1,3667.8,2025-09-09,3667.8,428367,3619.2
3620.6,3632.0,2025-09-10,3648.7,408800,3608.2
3584.2,3620.0,2025-09-11,3644.0,495417,3580.0
3571.9,3589.9,2025-09-12,3598.2,275049,3563.9
3534.1,3556.0,2025-09-15,3576.5,362285,3515.0
3556.8,3525.0,2025-09-16,3570.3,724742,3502.0
3523.0,3561.9,2025-09-17,3572.7,659866,3513.2
3511.3,3530.0,2025-09-18,3546.0,829442,3503.4
3467.2,3504.0,2025-09-19,3511.3,2337255,3460.0
3457.5,3458.2,2025-09-22,3477.0,817833,3440.0
3439.2,3465.2,2025-09-23,3465.3,1144975,3405.0
3418.3,3430.0,2025-09-24,3437.4,690454,3411.0
3378.5,3408.0,2025-09-25,3419.9,1139904,3370.0
3327.3,3387.7,2025-09-26,3402.0,7524068,3303.1
3401.2,3327.0,2025-09-29,3418.0,1452636,3327.0
3367.0,3452.0,2025-09-30,3474.5,1733728,3355.0
3408.3,3370.0,2025-10-01,3414.9,798754,3351.0
3453.3,3379.9,2025-10-03,3459.0,1655328,3378.0
3425.4,3453.3,2025-10-06,3459.3,1184781,3401.0
3418.2,3425.0,2025-10-07,3445.9,996165,3411.0
3565.6,3474.0,2025-10-08,3580.0,4531362,3460.0
3550.6,3559.8,2025-10-09,3561.7,597739,3526.4
3531.9,3548.9,2025-10-10,3571.7,825274,3523.3
3533.6,3518.0,2025-10-13,3545.0,606122,3509.5
3537.4,3533.0,2025-10-14,3549.4,925998,3506.5
3549.0,3532.9,2025-10-15,3561.9,1005045,3511.0
3640.3,3549.0,2025-10-16,3652.0,1528118,3540.0
3674.8,3635.0,2025-10-17,3715.0,1123500,3633.0
3737.2,3680.0,2025-10-20,3749.9,707974,3676.2
3729.0,3737.2,2025-10-21,3746.0,156306,3719.0
3772.3,3765.0,2025-10-23,3800.0,1622402,3738.3
3714.9,3775.0,2025-10-24,3781.0,563296,3706.1
3739.8,3714.0,2025-10-27,3753.9,856124,3710.0
3717.0,3750.0,2025-10-28,3770.0,1482961,3688.1
3748.3,3734.2,2025-10-29,3753.5,789557,3714.2
3750.7,3745.0,2025-10-30,3773.9,544151,3720.1
3746.7,3758.9,2025-10-31,3783.0,900994,3739.5
3724.5,3730.0,2025-11-03,3762.0,1119367,3667.3
3813.5,3724.5,2025-11-04,3827.0,2524600,3715.0
3774.4,3780.0,2025-11-06,3837.7,927231,3761.6
3769.3,3766.0,2025-11-07,3792.0,728998,3736.0
3803.0,3788.0,2025-11-10,3815.0,599567,3769.3
3812.4,3810.5,2025-11-11,3820.0,668789,3752.1
3851.1,3838.0,2025-11-12,3877.0,805025,3804.2
3839.2,3860.0,2025-11-13,3867.9,668623,3817.0
3829.2,3839.2,2025-11-14,3854.7,575050,3800.0
3868.6,3848.0,2025-11-17,3874.3,504928,3821.5
3879.2,3865.0,2025-11-18,3900.0,849966,3841.6
3933.1,3882.9,2025-11-19,3940.5,1578123,3862.4
3902.4,3950.0,2025-11-20,3956.0,762391,3895.0
3904.2,3901.0,2025-11-21,3925.0,383311,3882.1
3874.3,3915.5,2025-11-24,3937.2,1258036,3865.0
3855.1,3874.4,2025-11-25,3908.4,680366,3845.0
3897.7,3845.0,2025-11-26,3914.5,364592,3843.5
