close,open,date,high,volume,low
1342.8,1368.0,2025-07-22,1372.7,349201,1339.1
1357.0,1343.6,2025-07-23,1360.4,657001,1340.5
1356.4,1360.7,2025-07-24,1369.3,253564,1345.0
1325.5,1354.8,2025-07-25,1354.8,200310,1321.2
1338.4,1324.9,2025-07-28,1344.3,216922,1316.0
1324.9,1328.1,2025-07-29,1344.0,265829,1318.5
1336.5,1326.0,2025-07-30,1364.3,439272,1316.8
1310.0,1320.0,2025-07-31,1326.7,356942,1301.9
1288.2,1307.0,2025-08-01,1314.7,228446,1285.0
1312.1,1291.4,2025-08-04,1316.6,244606,1277.0
1313.6,1313.0,2025-08-05,1325.3,687764,1280.1
1319.9,1290.0,2025-08-06,1338.0,944308,1272.0
1357.5,1309.9,2025-08-07,1360.0,575035,1309.1
1335.8,1357.5,2025-08-08,1368.9,428142,1330.1
1345.0,1335.0,2025-08-11,1354.0,304004,1327.1
1358.1,1346.3,2025-08-12,1360.6,207267,1345.2
1362.1,1360.0,2025-08-13,1376.0,211541,1350.0
1329.6,1366.9,2025-08-14,1366.9,772075,1327.3
1301.6,1340.2,2025-08-18,1344.0,373981,1295.2
1297.4,1302.0,2025-08-19,1309.9,917897,1288.5
1285.3,1298.0,2025-08-20,1301.9,799579,1282.7
1291.8,1290.2,2025-08-21,1311.8,1323556,1287.0
1282.0,1291.8,2025-08-22,1294.5,327330,1270.0
1282.5,1269.3,2025-08-25,1290.0,362874,1264.8
1270.2,1282.0,2025-08-26,1284.9,711255,1261.1
1248.3,1270.2,2025-08-28,1271.8,590424,1240.0
1227.3,1241.0,2025-08-29,1251.4,430488,1225.0
1262.0,1304.9,2025-09-01,1311.9,3371553,1237.1
1304.6,1262.0,2025-09-02,1306.9,723218,1261.2
1314.2,1305.0,2025-09-03,1316.0,350814,1294.9
1294.9,1314.2,2025-09-04,1330.1,200798,1291.0
1262.9,1296.7,2025-09-05,1298.9,309076,1258.0
1259.8,1273.9,2025-09-08,1276.7,177992,1257.0
1243.9,1261.0,2025-09-09,1266.0,558968,1239.6
1262.9,1255.6,2025-09-10,1276.3,417026,1246.2
1268.3,1267.0,2025-09-11,1278.9,387142,1261.2
1267.8,1268.3,2025-09-12,1277.1,195591,1262.2
1267.3,1268.0,2025-09-15,1278.5,285602,1262.1
1261.9,1267.3,2025-09-16,1277.0,374352,1259.2
1265.6,1267.9,2025-09-17,1269.5,259253,1257.7
1284.5,1269.0,2025-09-18,1290.4,828094,1258.4
1264.5,1285.1,2025-09-19,1297.6,868169,1261.8
1268.6,1265.9,2025-09-22,1289.6,383051,1261.0
1279.3,1268.0,2025-09-23,1289.3,503712,1265.4
1264.3,1287.1,2025-09-24,1289.5,485234,1260.6
1254.5,1264.0,2025-09-25,1268.4,363109,1242.8
1233.3,1252.6,2025-09-26,1255.9,318155,1227.1
1224.2,1235.1,2025-09-29,1244.9,380269,1220.0
1218.9,1224.2,2025-09-30,1238.5,329216,1215.0
1216.0,1220.0,2025-10-01,1227.9,342856,1208.8
1221.1,1216.0,2025-10-03,1227.0,492640,1210.1
1200.0,1223.9,2025-10-06,1226.4,2472821,1188.0
