close,open,date,high,volume,low
5043.0,5154.0,2025-07-25,5171.5,1136699,5033.0
4994.0,5043.0,2025-07-28,5109.5,1450708,4980.5
5001.5,4994.0,2025-07-29,5052.0,1285403,4957.5
5043.5,5011.5,2025-07-30,5073.5,640920,4987.5
5018.0,4975.0,2025-07-31,5077.0,752111,4964.5
5180.0,5034.0,2025-08-01,5275.5,2034517,5005.0
5249.0,5275.0,2025-08-04,5289.0,790968,5162.5
5317.5,5245.0,2025-08-05,5356.0,976873,5200.0
5356.5,5350.0,2025-08-06,5430.0,2486662,5318.0
5303.5,5285.0,2025-08-07,5440.0,2293342,5210.5
5317.0,5330.0,2025-08-08,5374.0,1192637,5238.5
5443.5,5330.0,2025-08-11,5487.0,1110381,5306.5
5365.5,5443.5,2025-08-12,5460.0,441837,5357.5
5398.5,5365.5,2025-08-13,5445.0,615620,5360.0
5370.5,5424.0,2025-08-14,5440.0,697401,5360.0
5519.0,5530.0,2025-08-18,5623.0,1714061,5501.0
5496.0,5550.0,2025-08-19,5561.5,548359,5465.0
5453.0,5496.0,2025-08-20,5498.0,636301,5432.0
5452.5,5457.0,2025-08-21,5547.0,607314,5439.0
5418.0,5452.5,2025-08-22,5484.5,443698,5404.0
5423.0,5460.0,2025-08-25,5485.5,656081,5404.0
5295.0,5420.0,2025-08-26,5447.0,949915,5272.0
5235.5,5295.0,2025-08-28,5298.0,784214,5215.0
5298.0,5239.0,2025-08-29,5411.0,1333724,5230.0
5450.0,5321.0,2025-09-01,5462.0,688959,5304.0
5412.0,5450.0,2025-09-02,5472.0,541160,5386.0
5479.0,5416.0,2025-09-03,5500.0,832845,5350.0
5529.0,5525.0,2025-09-04,5674.0,1412461,5503.0
5528.5,5557.0,2025-09-05,5617.0,622758,5494.0
5315.5,5540.0,2025-09-08,5555.5,876255,5300.0
5218.5,5330.0,2025-09-09,5347.0,1014203,5206.0
5193.0,5250.0,2025-09-10,5260.5,898752,5171.0
5171.0,5214.5,2025-09-11,5214.5,585140,5150.0
5130.0,5179.0,2025-09-12,5202.0,625409,5125.0
5133.0,5131.0,2025-09-15,5175.0,955394,5109.0
5147.5,5154.0,2025-09-16,5156.5,703169,5115.0
5197.5,5180.0,2025-09-17,5248.0,828577,5163.5
5144.0,5215.0,2025-09-18,5225.0,810331,5134.0
5080.0,5149.0,2025-09-19,5158.0,1105187,5074.0
5010.5,5089.5,2025-09-22,5138.0,799543,4990.0
4891.0,5010.5,2025-09-23,5019.5,2734495,4846.0
4897.0,4938.0,2025-09-24,4963.5,941080,4879.5
4742.5,4914.5,2025-09-25,4928.5,1518468,4710.0
4679.0,4739.0,2025-09-26,4775.0,1038283,4660.0
4730.5,4700.0,2025-09-29,4747.0,815624,4686.0
4677.5,4744.5,2025-09-30,4746.0,751802,4666.0
4832.0,4711.0,2025-10-01,4849.9,1270493,4701.1
4815.7,4804.0,2025-10-03,4836.5,1070640,4738.0
4777.3,4817.0,2025-10-06,4908.0,1075080,4689.6
4686.0,4695.0,2025-10-07,4721.9,2789651,4590.0
4616.6,4709.0,2025-10-08,4746.0,1114855,4606.4
4660.9,4630.0,2025-10-09,4676.9,749429,4601.2
4691.1,4670.0,2025-10-10,4729.9,735165,4652.1
4681.6,4677.1,2025-10-13,4695.0,602116,4626.0
4617.2,4690.0,2025-10-14,4700.0,913650,4598.6
4724.2,4617.2,2025-10-15,4752.1,1298534,4610.1
4793.4,4743.0,2025-10-16,4808.5,1140794,4727.6
4814.4,4793.4,2025-10-17,4850.0,1243932,4747.0
4802.3,4821.9,2025-10-20,4835.3,610816,4772.0
4791.1,4827.0,2025-10-21,4839.0,82502,4772.0
4783.3,4800.0,2025-10-23,4866.5,769642,4766.9
4789.6,4796.0,2025-10-24,4806.9,519615,4760.0
4798.7,4810.0,2025-10-27,4831.7,414172,4786.4
4725.4,4800.6,2025-10-28,4828.4,616890,4692.5
4780.6,4735.0,2025-10-29,4788.0,305268,4735.0
4744.5,4781.1,2025-10-30,4784.8,346569,4724.0
4694.3,4745.0,2025-10-31,4748.9,498496,4685.2
4713.4,4694.3,2025-11-03,4720.0,292566,4655.2
4660.6,4720.0,2025-11-04,4724.9,475909,4646.0
4679.2,4660.6,2025-11-06,4704.1,476465,4635.0
4627.3,4679.5,2025-11-07,4708.1,543059,4611.2
4283.7,4568.0,2025-11-10,4579.9,6807962,4262.6
4315.8,4295.0,2025-11-11,4365.0,1802510,4263.1
4375.8,4330.0,2025-11-12,4396.7,937925,4295.0
4326.4,4378.0,2025-11-13,4402.9,926858,4312.9
4391.2,4335.0,2025-11-14,4399.9,808967,4327.0
4404.6,4391.9,2025-11-17,4414.1,551524,4375.0
4374.0,4404.6,2025-11-18,4409.9,316742,4359.9
4358.9,4380.0,2025-11-19,4388.9,593957,4330.9
4388.9,4352.2,2025-11-20,4417.8,513726,4352.1
4359.1,4397.0,2025-11-21,4397.0,411274,4355.0
4310.9,4370.0,2025-11-24,4370.0,1144110,4299.0
4243.9,4310.9,2025-11-25,4319.5,1019740,4235.8
