close,open,date,high,volume,low
31.19,31.7,2025-07-14,31.75,5178910,31.1
31.31,31.4,2025-07-15,31.68,3695375,31.23
31.37,31.36,2025-07-16,31.82,3643015,31.3
31.84,31.49,2025-07-17,32.24,11929389,31.44
31.48,31.99,2025-07-18,32.13,5076950,31.36
31.54,31.73,2025-07-21,31.8,5031058,31.44
30.37,31.69,2025-07-22,31.76,11405437,29.77
31.0,30.52,2025-07-23,31.1,6999187,30.42
31.53,31.19,2025-07-24,31.9,12389268,31.01
31.49,32.95,2025-07-25,33.66,143915459,31.01
30.7,31.56,2025-07-28,31.89,17666501,30.52
30.97,30.75,2025-07-29,31.13,8075521,30.2
30.68,31.0,2025-07-30,31.18,6177817,30.6
29.99,29.89,2025-07-31,30.5,10686968,29.28
28.9,30.05,2025-08-01,30.09,9492370,28.58
28.64,29.0,2025-08-04,29.2,9697230,28.38
28.46,28.86,2025-08-05,29.12,6522231,28.39
28.06,28.71,2025-08-06,28.84,6156397,28.0
28.04,27.7,2025-08-07,28.28,7117248,27.46
27.68,28.24,2025-08-08,28.3,4659043,27.52
27.6,27.9,2025-08-11,27.9,5381114,27.26
27.9,27.67,2025-08-12,28.01,4207843,27.65
28.07,27.9,2025-08-13,28.2,3445963,27.81
27.97,28.13,2025-08-14,28.29,3246867,27.85
28.1,28.28,2025-08-18,28.42,3812795,28.02
28.73,28.01,2025-08-19,28.88,8768105,28.01
28.93,28.73,2025-08-20,29.14,5408191,28.4
28.63,28.95,2025-08-21,29.1,3262204,28.58
28.49,28.64,2025-08-22,28.8,3047631,28.31
28.23,28.25,2025-08-25,28.73,3381800,28.12
27.72,28.2,2025-08-26,28.23,3928085,27.6
27.5,27.35,2025-08-28,27.75,5200887,27.14
27.37,27.28,2025-08-29,27.81,3787496,27.2
27.59,27.3,2025-09-01,27.74,2765136,27.27
28.41,27.62,2025-09-02,28.84,9880230,27.58
28.38,28.41,2025-09-03,28.7,4568085,28.24
28.34,29.0,2025-09-04,29.11,4157393,28.2
28.24,28.39,2025-09-05,28.54,2964800,28.08
28.23,28.32,2025-09-08,28.57,2897218,28.09
28.11,28.37,2025-09-09,28.48,2405028,28.02
29.16,28.4,2025-09-10,30.0,31512033,28.4
29.09,29.16,2025-09-11,29.29,4583946,28.8
28.93,29.2,2025-09-12,29.4,3326366,28.9
29.0,29.0,2025-09-15,29.22,4765189,28.82
29.73,29.11,2025-09-16,30.36,16672322,29.07
29.96,29.89,2025-09-17,30.25,6868609,29.73
29.87,30.01,2025-09-18,30.18,4362058,29.7
30.12,29.91,2025-09-19,30.27,6689703,29.72
30.35,30.19,2025-09-22,30.65,9358250,30.02
29.86,30.42,2025-09-23,30.48,4545100,29.73
29.56,29.8,2025-09-24,29.96,4106405,29.5
29.08,29.59,2025-09-25,29.59,3170964,29.0
28.69,28.99,2025-09-26,29.0,4959324,28.4
28.14,28.69,2025-09-29,28.76,3530300,28.05
28.17,28.2,2025-09-30,28.5,2730565,28.0
28.31,28.15,2025-10-01,28.44,2760226,28.0
28.61,28.31,2025-10-03,28.69,3271383,28.25
28.41,28.7,2025-10-06,28.88,3206666,28.26
28.33,28.49,2025-10-07,28.57,3032110,28.28
28.31,28.3,2025-10-08,28.5,3232120,28.13
28.13,28.21,2025-10-09,28.34,3231380,28.02
28.35,28.07,2025-10-10,28.57,3640595,28.07
28.17,28.33,2025-10-13,28.35,2409554,28.12
27.85,28.17,2025-10-14,28.3,2735167,27.8
27.83,27.85,2025-10-15,27.98,4057873,27.75
28.06,27.9,2025-10-16,28.45,3938638,27.88
27.92,28.02,2025-10-17,28.11,2766644,27.83
27.91,27.9,2025-10-20,28.08,3248554,27.63
28.2,28.0,2025-10-21,28.29,993758,27.91
28.71,28.81,2025-10-23,30.0,20570340,28.53
28.59,28.72,2025-10-24,29.0,4155262,28.4
28.62,28.64,2025-10-27,28.72,2914487,28.55
28.51,28.75,2025-10-28,28.75,2807319,28.4
28.97,28.52,2025-10-29,29.21,6924331,28.47
28.81,28.99,2025-10-30,29.09,2351459,28.74
28.63,28.7,2025-10-31,28.94,2511480,28.52
28.91,28.63,2025-11-03,29.14,4084424,28.58
28.62,29.01,2025-11-04,29.04,2605882,28.53
28.06,28.62,2025-11-06,28.65,3222290,28.01
28.05,28.05,2025-11-07,28.32,4708762,27.73
27.92,28.05,2025-11-10,28.15,1946029,27.9
28.13,28.15,2025-11-11,28.33,3375161,27.83
28.92,28.45,2025-11-12,29.0,6463708,28.25
28.77,29.1,2025-11-13,29.13,5196742,28.35
28.21,28.69,2025-11-14,28.69,5053092,28.02
28.45,28.4,2025-11-17,28.96,4738887,28.4
28.38,28.55,2025-11-18,28.61,3099361,28.23
28.56,28.39,2025-11-19,28.68,4084290,28.35
28.59,28.63,2025-11-20,28.8,3636439,28.5
28.38,28.5,2025-11-21,28.69,4629875,28.28
28.06,28.47,2025-11-24,28.48,3781897,27.96
27.82,28.19,2025-11-25,28.24,2783940,27.77
28.37,27.82,2025-11-26,28.5,3753988,27.69
28.18,28.37,2025-11-27,28.54,2580885,28.04
28.24,28.2,2025-11-28,28.35,2865229,27.98
28.08,28.35,2025-12-01,28.49,3468830,27.5
27.91,28.01,2025-12-02,28.02,2995374,27.59
28.12,27.9,2025-12-03,28.22,2736079,27.71
27.98,28.02,2025-12-04,28.15,2508877,27.9
27.83,27.8,2025-12-05,27.98,2246838,27.75
27.11,27.82,2025-12-08,27.93,4572890,27.0
27.7,27.0,2025-12-09,27.85,3963306,26.65
27.66,27.75,2025-12-10,28.0,3228450,27.52
27.69,27.5,2025-12-11,27.95,2497625,27.45
27.63,27.8,2025-12-12,27.95,2028405,27.56
27.4,27.5,2025-12-15,27.7,1738060,27.36
27.01,27.4,2025-12-16,27.51,2418665,27.0
27.0,27.01,2025-12-17,27.79,2437349,26.88
26.67,26.97,2025-12-18,26.99,3200248,26.45
26.95,26.67,2025-12-19,27.17,5693407,26.58
26.99,26.97,2025-12-22,27.15,1745292,26.92
27.13,26.99,2025-12-23,27.5,3712574,26.95
27.02,27.04,2025-12-24,27.23,1991060,27.0
26.88,27.02,2025-12-26,27.13,1953785,26.85
26.56,26.85,2025-12-29,26.85,2079596,26.5
26.59,26.5,2025-12-30,26.7,2227680,26.44
26.73,26.59,2025-12-31,26.9,2147470,26.56
26.83,26.75,2026-01-01,26.95,1834943,26.7
27.03,26.75,2026-01-02,27.09,2603066,26.67
26.95,27.07,2026-01-05,27.3,2884403,26.89
26.63,26.9,2026-01-06,26.92,2703995,26.56
26.24,26.6,2026-01-07,26.66,4108481,26.11
27.11,26.19,2026-01-08,28.5,99706881,26.11
26.19,26.96,2026-01-09,26.97,18378794,25.81
25.47,26.19,2026-01-12,26.2,10883977,25.04
25.38,25.61,2026-01-13,25.92,7139695,25.29
